Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEL_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEL_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEL_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEL_M_R,SIBERIA_2024_WorldCover_2021_43VEL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
15,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,Shrubland,Water,Non_Wetland,Water
24,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
29,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,Grassland,Non_Water,Non_Wetland,Wetland
34,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,Non_Water,Non_Wetland,Water
36,NULL,Grassland,Non_Water,Non_Wetland,Forest
37,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,Grassland,Water,Non_Wetland,Wetland
39,NULL,Grassland,Water,Non_Wetland,Forest
40,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
41,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,Wetland,NULL,Wetland,NULL
43,NULL,Wetland,NULL,Wetland,Grassland
44,NULL,Wetland,NULL,Wetland,Wetland
45,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
46,NULL,Wetland,NULL,Wetland,Bareland
47,NULL,Wetland,NULL,Wetland,Built-up
48,NULL,Wetland,NULL,Wetland,Water
49,NULL,Wetland,NULL,Wetland,Forest
50,NULL,Wetland,Non_Water,Wetland,NULL
51,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,Wetland,Non_Water,Wetland,Water
54,NULL,Wetland,Non_Water,Wetland,Forest
55,NULL,Wetland,Water,Wetland,Grassland
56,NULL,Wetland,Water,Wetland,Wetland
57,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
58,NULL,Wetland,Water,Wetland,Bareland
59,NULL,Wetland,Water,Wetland,Water
60,NULL,Wetland,Water,Wetland,Forest
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
68,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
69,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
70,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
71,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
72,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
73,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
74,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
75,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
76,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
77,NULL,Bareland,NULL,Non_Wetland,NULL
78,NULL,Bareland,NULL,Non_Wetland,Grassland
79,NULL,Bareland,NULL,Non_Wetland,Cropland
80,NULL,Bareland,NULL,Non_Wetland,Wetland
81,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,Bareland,NULL,Non_Wetland,Bareland
83,NULL,Bareland,NULL,Non_Wetland,Built-up
84,NULL,Bareland,NULL,Non_Wetland,Water
85,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
86,NULL,Bareland,NULL,Non_Wetland,Forest
87,NULL,Bareland,Non_Water,Non_Wetland,NULL
88,NULL,Bareland,Non_Water,Non_Wetland,Grassland
89,NULL,Bareland,Non_Water,Non_Wetland,Wetland
90,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,Non_Water,Non_Wetland,Bareland
92,NULL,Bareland,Non_Water,Non_Wetland,Built-up
93,NULL,Bareland,Non_Water,Non_Wetland,Water
94,NULL,Bareland,Non_Water,Non_Wetland,Forest
95,NULL,Bareland,Water,Non_Wetland,Grassland
96,NULL,Bareland,Water,Non_Wetland,Wetland
97,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,Water,Non_Wetland,Bareland
99,NULL,Bareland,Water,Non_Wetland,Built-up
100,NULL,Bareland,Water,Non_Wetland,Water
101,NULL,Bareland,Water,Non_Wetland,Forest
102,NULL,Built-up,NULL,Non_Wetland,Grassland
103,NULL,Built-up,NULL,Non_Wetland,Wetland
104,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
105,NULL,Built-up,NULL,Non_Wetland,Bareland
106,NULL,Built-up,NULL,Non_Wetland,Built-up
107,NULL,Built-up,NULL,Non_Wetland,Water
108,NULL,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
109,NULL,Built-up,NULL,Non_Wetland,Forest
110,NULL,Built-up,Non_Water,Non_Wetland,Grassland
111,NULL,Built-up,Non_Water,Non_Wetland,Wetland
112,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
113,NULL,Built-up,Non_Water,Non_Wetland,Bareland
114,NULL,Built-up,Non_Water,Non_Wetland,Built-up
115,NULL,Built-up,Non_Water,Non_Wetland,Water
116,NULL,Built-up,Non_Water,Non_Wetland,Permanent_ice_and_snow
117,NULL,Built-up,Non_Water,Non_Wetland,Forest
118,NULL,Built-up,Water,Non_Wetland,Grassland
119,NULL,Built-up,Water,Non_Wetland,Wetland
120,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
121,NULL,Built-up,Water,Non_Wetland,Built-up
122,NULL,Built-up,Water,Non_Wetland,Water
123,NULL,Built-up,Water,Non_Wetland,Forest
124,NULL,Water,NULL,Water,Grassland
125,NULL,Water,NULL,Water,Wetland
126,NULL,Water,NULL,Water,Lichens_and_Mosses
127,NULL,Water,NULL,Water,Bareland
128,NULL,Water,NULL,Water,Water
129,NULL,Water,NULL,Water,Forest
130,NULL,Water,Non_Water,Water,Grassland
131,NULL,Water,Non_Water,Water,Wetland
132,NULL,Water,Non_Water,Water,Water
133,NULL,Water,Non_Water,Water,Forest
134,NULL,Water,Water,Water,Grassland
135,NULL,Water,Water,Water,Wetland
136,NULL,Water,Water,Water,Lichens_and_Mosses
137,NULL,Water,Water,Water,Bareland
138,NULL,Water,Water,Water,Water
139,NULL,Water,Water,Water,Forest
140,NULL,Forest,NULL,Non_Wetland,NULL
141,NULL,Forest,NULL,Non_Wetland,Grassland
142,NULL,Forest,NULL,Non_Wetland,Wetland
143,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
144,NULL,Forest,NULL,Non_Wetland,Bareland
145,NULL,Forest,NULL,Non_Wetland,Built-up
146,NULL,Forest,NULL,Non_Wetland,Water
147,NULL,Forest,NULL,Non_Wetland,Forest
148,NULL,Forest,Non_Water,Non_Wetland,NULL
149,NULL,Forest,Non_Water,Non_Wetland,Grassland
150,NULL,Forest,Non_Water,Non_Wetland,Wetland
151,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
152,NULL,Forest,Non_Water,Non_Wetland,Water
153,NULL,Forest,Non_Water,Non_Wetland,Forest
154,NULL,Forest,Water,Non_Wetland,Grassland
155,NULL,Forest,Water,Non_Wetland,Wetland
156,NULL,Forest,Water,Non_Wetland,Built-up
157,NULL,Forest,Water,Non_Wetland,Water
158,NULL,Forest,Water,Non_Wetland,Forest
159,Cropland,NULL,NULL,Non_Wetland,Grassland
160,Cropland,NULL,NULL,Non_Wetland,Wetland
161,Cropland,NULL,NULL,Non_Wetland,Forest
162,Cropland,Shrubland,NULL,Non_Wetland,NULL
163,Cropland,Shrubland,NULL,Non_Wetland,Grassland
164,Cropland,Shrubland,NULL,Non_Wetland,Wetland
165,Cropland,Shrubland,NULL,Non_Wetland,Forest
166,Cropland,Grassland,NULL,Non_Wetland,Grassland
167,Cropland,Grassland,NULL,Non_Wetland,Wetland
168,Cropland,Grassland,NULL,Non_Wetland,Forest
169,Cropland,Wetland,NULL,Wetland,NULL
170,Cropland,Wetland,NULL,Wetland,Grassland
171,Cropland,Wetland,NULL,Wetland,Wetland
172,Cropland,Wetland,NULL,Wetland,Built-up
173,Cropland,Wetland,NULL,Wetland,Water
174,Cropland,Wetland,NULL,Wetland,Forest
175,Cropland,Wetland,Water,Wetland,Water
176,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
177,Cropland,Bareland,NULL,Non_Wetland,NULL
178,Cropland,Bareland,NULL,Non_Wetland,Grassland
179,Cropland,Bareland,NULL,Non_Wetland,Wetland
180,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
181,Cropland,Bareland,NULL,Non_Wetland,Bareland
182,Cropland,Bareland,NULL,Non_Wetland,Built-up
183,Cropland,Bareland,NULL,Non_Wetland,Water
184,Cropland,Bareland,NULL,Non_Wetland,Forest
185,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
186,Cropland,Bareland,Non_Water,Non_Wetland,Forest
187,Cropland,Bareland,Water,Non_Wetland,Wetland
188,Cropland,Bareland,Water,Non_Wetland,Water
189,Cropland,Bareland,Water,Non_Wetland,Forest
190,Cropland,Built-up,NULL,Non_Wetland,Grassland
191,Cropland,Built-up,NULL,Non_Wetland,Wetland
192,Cropland,Built-up,NULL,Non_Wetland,Built-up
193,Cropland,Water,NULL,Water,Grassland
194,Cropland,Water,NULL,Water,Wetland
195,Cropland,Water,Water,Water,Wetland
196,Cropland,Water,Water,Water,Water
197,Cropland,Forest,NULL,Non_Wetland,NULL
198,Cropland,Forest,NULL,Non_Wetland,Grassland
199,Cropland,Forest,NULL,Non_Wetland,Wetland
200,Cropland,Forest,NULL,Non_Wetland,Built-up
201,Cropland,Forest,NULL,Non_Wetland,Water
202,Cropland,Forest,NULL,Non_Wetland,Forest
203,Cropland,Forest,Non_Water,Non_Wetland,Wetland
204,Wetland,NULL,NULL,Non_Wetland,NULL
205,Wetland,NULL,NULL,Non_Wetland,Grassland
206,Wetland,NULL,NULL,Non_Wetland,Wetland
207,Wetland,NULL,NULL,Non_Wetland,Built-up
208,Wetland,NULL,NULL,Non_Wetland,Water
209,Wetland,NULL,NULL,Non_Wetland,Forest
210,Wetland,NULL,Non_Water,Non_Wetland,Grassland
211,Wetland,NULL,Non_Water,Non_Wetland,Wetland
212,Wetland,NULL,Non_Water,Non_Wetland,Water
213,Wetland,NULL,Non_Water,Non_Wetland,Forest
214,Wetland,NULL,Water,Non_Wetland,Grassland
215,Wetland,NULL,Water,Non_Wetland,Wetland
216,Wetland,NULL,Water,Non_Wetland,Water
217,Wetland,NULL,Water,Non_Wetland,Forest
218,Wetland,Shrubland,NULL,Non_Wetland,NULL
219,Wetland,Shrubland,NULL,Non_Wetland,Grassland
220,Wetland,Shrubland,NULL,Non_Wetland,Wetland
221,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
222,Wetland,Shrubland,NULL,Non_Wetland,Bareland
223,Wetland,Shrubland,NULL,Non_Wetland,Built-up
224,Wetland,Shrubland,NULL,Non_Wetland,Water
225,Wetland,Shrubland,NULL,Non_Wetland,Forest
226,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
227,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
228,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
229,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
230,Wetland,Shrubland,Non_Water,Non_Wetland,Water
231,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
232,Wetland,Shrubland,Water,Non_Wetland,Grassland
233,Wetland,Shrubland,Water,Non_Wetland,Wetland
234,Wetland,Shrubland,Water,Non_Wetland,Bareland
235,Wetland,Shrubland,Water,Non_Wetland,Water
236,Wetland,Shrubland,Water,Non_Wetland,Forest
237,Wetland,Grassland,NULL,Non_Wetland,NULL
238,Wetland,Grassland,NULL,Non_Wetland,Grassland
239,Wetland,Grassland,NULL,Non_Wetland,Wetland
240,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
241,Wetland,Grassland,NULL,Non_Wetland,Bareland
242,Wetland,Grassland,NULL,Non_Wetland,Built-up
243,Wetland,Grassland,NULL,Non_Wetland,Water
244,Wetland,Grassland,NULL,Non_Wetland,Forest
245,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
246,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
247,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
248,Wetland,Grassland,Non_Water,Non_Wetland,Water
249,Wetland,Grassland,Non_Water,Non_Wetland,Forest
250,Wetland,Grassland,Water,Non_Wetland,Grassland
251,Wetland,Grassland,Water,Non_Wetland,Wetland
252,Wetland,Grassland,Water,Non_Wetland,Water
253,Wetland,Grassland,Water,Non_Wetland,Forest
254,Wetland,Cropland,NULL,Non_Wetland,Wetland
255,Wetland,Cropland,NULL,Non_Wetland,Forest
256,Wetland,Cropland,Non_Water,Non_Wetland,Forest
257,Wetland,Wetland,NULL,Wetland,NULL
258,Wetland,Wetland,NULL,Wetland,Grassland
259,Wetland,Wetland,NULL,Wetland,Wetland
260,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
