Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPP_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPP_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPP_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPP_M_R,SIBERIA_2024_WorldCover_2021_41WPP_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,Shrubland,NULL,Non_Wetland,Built-up
19,NULL,Shrubland,NULL,Non_Wetland,Water
20,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
25,NULL,Shrubland,Non_Water,Non_Wetland,Water
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
30,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,Grassland,NULL,Non_Wetland,Built-up
37,NULL,Grassland,NULL,Non_Wetland,Water
38,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,Grassland,Non_Water,Non_Wetland,Wetland
41,NULL,Grassland,Non_Water,Non_Wetland,Forest
42,NULL,Grassland,Water,Non_Wetland,Grassland
43,NULL,Grassland,Water,Non_Wetland,Wetland
44,NULL,Wetland,NULL,Wetland,NULL
45,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,Wetland,NULL,Wetland,Wetland
47,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
48,NULL,Wetland,NULL,Wetland,Built-up
49,NULL,Wetland,NULL,Wetland,Water
50,NULL,Wetland,NULL,Wetland,Forest
51,NULL,Wetland,Non_Water,Wetland,Grassland
52,NULL,Wetland,Non_Water,Wetland,Wetland
53,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
54,NULL,Wetland,Non_Water,Wetland,Bareland
55,NULL,Wetland,Non_Water,Wetland,Water
56,NULL,Wetland,Non_Water,Wetland,Forest
57,NULL,Wetland,Water,Wetland,Grassland
58,NULL,Wetland,Water,Wetland,Wetland
59,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
60,NULL,Wetland,Water,Wetland,Bareland
61,NULL,Wetland,Water,Wetland,Water
62,NULL,Wetland,Water,Wetland,Forest
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
70,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
71,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
72,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
73,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
74,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
76,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
77,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
82,NULL,Bareland,NULL,Non_Wetland,NULL
83,NULL,Bareland,NULL,Non_Wetland,Grassland
84,NULL,Bareland,NULL,Non_Wetland,Wetland
85,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,NULL,Non_Wetland,Bareland
87,NULL,Bareland,NULL,Non_Wetland,Built-up
88,NULL,Bareland,NULL,Non_Wetland,Water
89,NULL,Bareland,NULL,Non_Wetland,Forest
90,NULL,Bareland,Non_Water,Non_Wetland,Grassland
91,NULL,Bareland,Non_Water,Non_Wetland,Wetland
92,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,Non_Water,Non_Wetland,Bareland
94,NULL,Bareland,Non_Water,Non_Wetland,Water
95,NULL,Bareland,Non_Water,Non_Wetland,Forest
96,NULL,Bareland,Water,Non_Wetland,Grassland
97,NULL,Bareland,Water,Non_Wetland,Wetland
98,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
99,NULL,Bareland,Water,Non_Wetland,Bareland
100,NULL,Bareland,Water,Non_Wetland,Built-up
101,NULL,Bareland,Water,Non_Wetland,Water
102,NULL,Bareland,Water,Non_Wetland,Forest
103,NULL,Built-up,NULL,Non_Wetland,Grassland
104,NULL,Built-up,NULL,Non_Wetland,Wetland
105,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
106,NULL,Built-up,NULL,Non_Wetland,Bareland
107,NULL,Built-up,NULL,Non_Wetland,Built-up
108,NULL,Built-up,NULL,Non_Wetland,Water
109,NULL,Built-up,NULL,Non_Wetland,Forest
110,NULL,Built-up,Non_Water,Non_Wetland,Grassland
111,NULL,Built-up,Non_Water,Non_Wetland,Wetland
112,NULL,Built-up,Non_Water,Non_Wetland,Built-up
113,NULL,Built-up,Non_Water,Non_Wetland,Forest
114,NULL,Built-up,Water,Non_Wetland,Grassland
115,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
116,NULL,Built-up,Water,Non_Wetland,Built-up
117,NULL,Built-up,Water,Non_Wetland,Water
118,NULL,Water,NULL,Water,Grassland
119,NULL,Water,NULL,Water,Wetland
120,NULL,Water,NULL,Water,Lichens_and_Mosses
121,NULL,Water,NULL,Water,Bareland
122,NULL,Water,NULL,Water,Water
123,NULL,Water,NULL,Water,Forest
124,NULL,Water,Non_Water,Water,Grassland
125,NULL,Water,Non_Water,Water,Wetland
126,NULL,Water,Non_Water,Water,Lichens_and_Mosses
127,NULL,Water,Non_Water,Water,Water
128,NULL,Water,Non_Water,Water,Forest
129,NULL,Water,Water,Water,Grassland
130,NULL,Water,Water,Water,Wetland
131,NULL,Water,Water,Water,Lichens_and_Mosses
132,NULL,Water,Water,Water,Water
133,NULL,Water,Water,Water,Forest
134,NULL,Forest,NULL,Non_Wetland,NULL
135,NULL,Forest,NULL,Non_Wetland,Grassland
136,NULL,Forest,NULL,Non_Wetland,Wetland
137,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
138,NULL,Forest,NULL,Non_Wetland,Bareland
139,NULL,Forest,NULL,Non_Wetland,Built-up
140,NULL,Forest,NULL,Non_Wetland,Water
141,NULL,Forest,NULL,Non_Wetland,Forest
142,NULL,Forest,Non_Water,Non_Wetland,Grassland
143,NULL,Forest,Non_Water,Non_Wetland,Wetland
144,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
145,NULL,Forest,Non_Water,Non_Wetland,Water
146,NULL,Forest,Non_Water,Non_Wetland,Forest
147,NULL,Forest,Water,Non_Wetland,Grassland
148,NULL,Forest,Water,Non_Wetland,Wetland
149,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
150,NULL,Forest,Water,Non_Wetland,Water
151,NULL,Forest,Water,Non_Wetland,Forest
152,Cropland,NULL,NULL,Non_Wetland,Grassland
153,Cropland,NULL,NULL,Non_Wetland,Wetland
154,Cropland,NULL,NULL,Non_Wetland,Forest
155,Cropland,Shrubland,NULL,Non_Wetland,Grassland
156,Cropland,Shrubland,NULL,Non_Wetland,Wetland
157,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
158,Cropland,Shrubland,NULL,Non_Wetland,Forest
159,Cropland,Grassland,NULL,Non_Wetland,Grassland
160,Cropland,Grassland,NULL,Non_Wetland,Wetland
161,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
162,Cropland,Wetland,NULL,Wetland,Grassland
163,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
164,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
165,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
166,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
167,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
