Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VCK_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VCK_M_R,SIBERIA_2024_GSW_Yearly_2021_43VCK_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R,SIBERIA_2024_WorldCover_2021_43VCK_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Non_Water,Non_Wetland,NULL
5,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Non_Water,Non_Wetland,Water
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
20,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
25,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
29,NULL,Shrubland,Water,Non_Wetland,Bareland
30,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,Grassland,Non_Water,Non_Wetland,Wetland
39,NULL,Grassland,Non_Water,Non_Wetland,Forest
40,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,Cropland,NULL,Non_Wetland,Wetland
44,NULL,Cropland,NULL,Non_Wetland,Bareland
45,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,Wetland,NULL,Wetland,NULL
47,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,Wetland,NULL,Wetland,Wetland
49,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
50,NULL,Wetland,NULL,Wetland,Bareland
51,NULL,Wetland,NULL,Wetland,Built-up
52,NULL,Wetland,NULL,Wetland,Water
53,NULL,Wetland,NULL,Wetland,Forest
54,NULL,Wetland,Non_Water,Wetland,NULL
55,NULL,Wetland,Non_Water,Wetland,Grassland
56,NULL,Wetland,Non_Water,Wetland,Wetland
57,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
58,NULL,Wetland,Non_Water,Wetland,Bareland
59,NULL,Wetland,Non_Water,Wetland,Water
60,NULL,Wetland,Non_Water,Wetland,Forest
61,NULL,Wetland,Water,Wetland,NULL
62,NULL,Wetland,Water,Wetland,Grassland
63,NULL,Wetland,Water,Wetland,Wetland
64,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
65,NULL,Wetland,Water,Wetland,Bareland
66,NULL,Wetland,Water,Wetland,Built-up
67,NULL,Wetland,Water,Wetland,Water
68,NULL,Wetland,Water,Wetland,Forest
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
84,NULL,Bareland,NULL,Non_Wetland,NULL
85,NULL,Bareland,NULL,Non_Wetland,Grassland
86,NULL,Bareland,NULL,Non_Wetland,Cropland
87,NULL,Bareland,NULL,Non_Wetland,Wetland
88,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
89,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,Bareland,NULL,Non_Wetland,Built-up
91,NULL,Bareland,NULL,Non_Wetland,Water
92,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
93,NULL,Bareland,NULL,Non_Wetland,Forest
94,NULL,Bareland,Non_Water,Non_Wetland,Grassland
95,NULL,Bareland,Non_Water,Non_Wetland,Wetland
96,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Bareland,Non_Water,Non_Wetland,Bareland
98,NULL,Bareland,Non_Water,Non_Wetland,Built-up
99,NULL,Bareland,Non_Water,Non_Wetland,Water
100,NULL,Bareland,Non_Water,Non_Wetland,Forest
101,NULL,Bareland,Water,Non_Wetland,NULL
102,NULL,Bareland,Water,Non_Wetland,Grassland
103,NULL,Bareland,Water,Non_Wetland,Wetland
104,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
105,NULL,Bareland,Water,Non_Wetland,Bareland
106,NULL,Bareland,Water,Non_Wetland,Built-up
107,NULL,Bareland,Water,Non_Wetland,Water
108,NULL,Bareland,Water,Non_Wetland,Forest
109,NULL,Built-up,NULL,Non_Wetland,NULL
110,NULL,Built-up,NULL,Non_Wetland,Grassland
111,NULL,Built-up,NULL,Non_Wetland,Wetland
112,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
113,NULL,Built-up,NULL,Non_Wetland,Bareland
114,NULL,Built-up,NULL,Non_Wetland,Built-up
115,NULL,Built-up,NULL,Non_Wetland,Water
116,NULL,Built-up,NULL,Non_Wetland,Forest
117,NULL,Built-up,Non_Water,Non_Wetland,Grassland
118,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
119,NULL,Built-up,Non_Water,Non_Wetland,Bareland
120,NULL,Built-up,Non_Water,Non_Wetland,Built-up
121,NULL,Built-up,Non_Water,Non_Wetland,Water
122,NULL,Built-up,Non_Water,Non_Wetland,Forest
123,NULL,Built-up,Water,Non_Wetland,Wetland
124,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
125,NULL,Built-up,Water,Non_Wetland,Bareland
126,NULL,Built-up,Water,Non_Wetland,Built-up
127,NULL,Built-up,Water,Non_Wetland,Water
128,NULL,Built-up,Water,Non_Wetland,Forest
129,NULL,Water,NULL,Water,Grassland
130,NULL,Water,NULL,Water,Wetland
131,NULL,Water,NULL,Water,Lichens_and_Mosses
132,NULL,Water,NULL,Water,Bareland
133,NULL,Water,NULL,Water,Water
134,NULL,Water,NULL,Water,Forest
135,NULL,Water,Non_Water,Water,Grassland
136,NULL,Water,Non_Water,Water,Wetland
137,NULL,Water,Non_Water,Water,Lichens_and_Mosses
138,NULL,Water,Non_Water,Water,Bareland
139,NULL,Water,Non_Water,Water,Water
140,NULL,Water,Non_Water,Water,Forest
141,NULL,Water,Water,Water,NULL
142,NULL,Water,Water,Water,Grassland
143,NULL,Water,Water,Water,Wetland
144,NULL,Water,Water,Water,Lichens_and_Mosses
145,NULL,Water,Water,Water,Water
146,NULL,Water,Water,Water,Forest
147,NULL,Forest,NULL,Non_Wetland,NULL
148,NULL,Forest,NULL,Non_Wetland,Grassland
149,NULL,Forest,NULL,Non_Wetland,Wetland
150,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
151,NULL,Forest,NULL,Non_Wetland,Bareland
152,NULL,Forest,NULL,Non_Wetland,Built-up
153,NULL,Forest,NULL,Non_Wetland,Water
154,NULL,Forest,NULL,Non_Wetland,Forest
155,NULL,Forest,Non_Water,Non_Wetland,NULL
156,NULL,Forest,Non_Water,Non_Wetland,Grassland
157,NULL,Forest,Non_Water,Non_Wetland,Wetland
158,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
159,NULL,Forest,Non_Water,Non_Wetland,Bareland
160,NULL,Forest,Non_Water,Non_Wetland,Water
161,NULL,Forest,Non_Water,Non_Wetland,Forest
162,NULL,Forest,Water,Non_Wetland,NULL
163,NULL,Forest,Water,Non_Wetland,Grassland
164,NULL,Forest,Water,Non_Wetland,Wetland
165,NULL,Forest,Water,Non_Wetland,Water
166,NULL,Forest,Water,Non_Wetland,Forest
167,Cropland,NULL,NULL,Non_Wetland,NULL
168,Cropland,NULL,NULL,Non_Wetland,Grassland
169,Cropland,NULL,NULL,Non_Wetland,Wetland
170,Cropland,NULL,NULL,Non_Wetland,Forest
171,Cropland,Shrubland,NULL,Non_Wetland,Grassland
172,Cropland,Shrubland,NULL,Non_Wetland,Wetland
173,Cropland,Grassland,NULL,Non_Wetland,Grassland
174,Cropland,Grassland,NULL,Non_Wetland,Wetland
175,Cropland,Grassland,NULL,Non_Wetland,Forest
176,Cropland,Cropland,NULL,Non_Wetland,Grassland
177,Cropland,Wetland,NULL,Wetland,NULL
178,Cropland,Wetland,NULL,Wetland,Grassland
179,Cropland,Wetland,NULL,Wetland,Wetland
180,Cropland,Wetland,NULL,Wetland,Forest
181,Cropland,Wetland,Water,Wetland,Grassland
182,Cropland,Wetland,Water,Wetland,Wetland
183,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
184,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
185,Cropland,Bareland,NULL,Non_Wetland,NULL
186,Cropland,Bareland,NULL,Non_Wetland,Grassland
187,Cropland,Bareland,NULL,Non_Wetland,Wetland
188,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
189,Cropland,Bareland,NULL,Non_Wetland,Bareland
190,Cropland,Bareland,NULL,Non_Wetland,Built-up
191,Cropland,Bareland,NULL,Non_Wetland,Forest
192,Cropland,Built-up,NULL,Non_Wetland,Grassland
193,Cropland,Built-up,NULL,Non_Wetland,Built-up
194,Cropland,Built-up,NULL,Non_Wetland,Forest
195,Cropland,Water,NULL,Water,Wetland
196,Cropland,Forest,NULL,Non_Wetland,NULL
197,Cropland,Forest,NULL,Non_Wetland,Grassland
198,Cropland,Forest,NULL,Non_Wetland,Wetland
199,Cropland,Forest,NULL,Non_Wetland,Built-up
200,Cropland,Forest,NULL,Non_Wetland,Forest
201,Cropland,Forest,Non_Water,Non_Wetland,NULL
202,Cropland,Forest,Non_Water,Non_Wetland,Wetland
203,Cropland,Forest,Non_Water,Non_Wetland,Forest
204,Wetland,NULL,NULL,Non_Wetland,NULL
205,Wetland,NULL,NULL,Non_Wetland,Grassland
206,Wetland,NULL,NULL,Non_Wetland,Wetland
207,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
208,Wetland,NULL,NULL,Non_Wetland,Bareland
209,Wetland,NULL,NULL,Non_Wetland,Built-up
210,Wetland,NULL,NULL,Non_Wetland,Water
211,Wetland,NULL,NULL,Non_Wetland,Forest
212,Wetland,NULL,Non_Water,Non_Wetland,NULL
213,Wetland,NULL,Non_Water,Non_Wetland,Grassland
214,Wetland,NULL,Non_Water,Non_Wetland,Wetland
215,Wetland,NULL,Non_Water,Non_Wetland,Water
216,Wetland,NULL,Non_Water,Non_Wetland,Forest
217,Wetland,NULL,Water,Non_Wetland,NULL
218,Wetland,NULL,Water,Non_Wetland,Grassland
219,Wetland,NULL,Water,Non_Wetland,Wetland
220,Wetland,NULL,Water,Non_Wetland,Water
221,Wetland,NULL,Water,Non_Wetland,Forest
222,Wetland,Shrubland,NULL,Non_Wetland,NULL
223,Wetland,Shrubland,NULL,Non_Wetland,Grassland
224,Wetland,Shrubland,NULL,Non_Wetland,Wetland
225,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
226,Wetland,Shrubland,NULL,Non_Wetland,Bareland
227,Wetland,Shrubland,NULL,Non_Wetland,Built-up
228,Wetland,Shrubland,NULL,Non_Wetland,Water
229,Wetland,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
230,Wetland,Shrubland,NULL,Non_Wetland,Forest
231,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
232,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
233,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
234,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
235,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
236,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
237,Wetland,Shrubland,Non_Water,Non_Wetland,Water
238,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
239,Wetland,Shrubland,Water,Non_Wetland,NULL
240,Wetland,Shrubland,Water,Non_Wetland,Grassland
241,Wetland,Shrubland,Water,Non_Wetland,Wetland
242,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
243,Wetland,Shrubland,Water,Non_Wetland,Bareland
244,Wetland,Shrubland,Water,Non_Wetland,Built-up
245,Wetland,Shrubland,Water,Non_Wetland,Water
246,Wetland,Shrubland,Water,Non_Wetland,Forest
247,Wetland,Grassland,NULL,Non_Wetland,NULL
248,Wetland,Grassland,NULL,Non_Wetland,Grassland
249,Wetland,Grassland,NULL,Non_Wetland,Wetland
250,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
251,Wetland,Grassland,NULL,Non_Wetland,Bareland
252,Wetland,Grassland,NULL,Non_Wetland,Built-up
253,Wetland,Grassland,NULL,Non_Wetland,Water
254,Wetland,Grassland,NULL,Non_Wetland,Forest
255,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
256,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
257,Wetland,Grassland,Non_Water,Non_Wetland,Water
258,Wetland,Grassland,Non_Water,Non_Wetland,Forest
259,Wetland,Grassland,Water,Non_Wetland,Grassland
