Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVL_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVL_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVL_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVL_M_R,SIBERIA_2024_WorldCover_2021_42VVL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Cropland
14,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Cropland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,Shrubland,Water,Non_Wetland,Forest
29,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,Cropland,NULL,Non_Wetland,Cropland
36,NULL,Cropland,NULL,Non_Wetland,Wetland
37,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Cropland,NULL,Non_Wetland,Bareland
39,NULL,Cropland,NULL,Non_Wetland,Built-up
40,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,Cropland,Non_Water,Non_Wetland,NULL
42,NULL,Cropland,Non_Water,Non_Wetland,Grassland
43,NULL,Cropland,Non_Water,Non_Wetland,Cropland
44,NULL,Cropland,Non_Water,Non_Wetland,Wetland
45,NULL,Cropland,Non_Water,Non_Wetland,Built-up
46,NULL,Cropland,Non_Water,Non_Wetland,Forest
47,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,Cropland,Water,Non_Wetland,Cropland
49,NULL,Cropland,Water,Non_Wetland,Wetland
50,NULL,Cropland,Water,Non_Wetland,Forest
51,NULL,Wetland,NULL,Wetland,NULL
52,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,Wetland,NULL,Wetland,Cropland
54,NULL,Wetland,NULL,Wetland,Wetland
55,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
56,NULL,Wetland,NULL,Wetland,Built-up
57,NULL,Wetland,NULL,Wetland,Water
58,NULL,Wetland,NULL,Wetland,Forest
59,NULL,Wetland,Non_Water,Wetland,NULL
60,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,Wetland,Non_Water,Wetland,Cropland
62,NULL,Wetland,Non_Water,Wetland,Wetland
63,NULL,Wetland,Non_Water,Wetland,Water
64,NULL,Wetland,Non_Water,Wetland,Forest
65,NULL,Wetland,Water,Wetland,NULL
66,NULL,Wetland,Water,Wetland,Grassland
67,NULL,Wetland,Water,Wetland,Cropland
68,NULL,Wetland,Water,Wetland,Wetland
69,NULL,Wetland,Water,Wetland,Water
70,NULL,Wetland,Water,Wetland,Forest
71,NULL,Bareland,NULL,Non_Wetland,NULL
72,NULL,Bareland,NULL,Non_Wetland,Grassland
73,NULL,Bareland,NULL,Non_Wetland,Cropland
74,NULL,Bareland,NULL,Non_Wetland,Wetland
75,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
76,NULL,Bareland,NULL,Non_Wetland,Bareland
77,NULL,Bareland,NULL,Non_Wetland,Built-up
78,NULL,Bareland,NULL,Non_Wetland,Forest
79,NULL,Bareland,Non_Water,Non_Wetland,Grassland
80,NULL,Bareland,Non_Water,Non_Wetland,Cropland
81,NULL,Bareland,Non_Water,Non_Wetland,Wetland
82,NULL,Bareland,Non_Water,Non_Wetland,Water
83,NULL,Bareland,Non_Water,Non_Wetland,Forest
84,NULL,Bareland,Water,Non_Wetland,Grassland
85,NULL,Bareland,Water,Non_Wetland,Wetland
86,NULL,Bareland,Water,Non_Wetland,Water
87,NULL,Bareland,Water,Non_Wetland,Forest
88,NULL,Built-up,NULL,Non_Wetland,NULL
89,NULL,Built-up,NULL,Non_Wetland,Grassland
90,NULL,Built-up,NULL,Non_Wetland,Cropland
91,NULL,Built-up,NULL,Non_Wetland,Wetland
92,NULL,Built-up,NULL,Non_Wetland,Bareland
93,NULL,Built-up,NULL,Non_Wetland,Built-up
94,NULL,Built-up,NULL,Non_Wetland,Forest
95,NULL,Built-up,Non_Water,Non_Wetland,Grassland
96,NULL,Built-up,Non_Water,Non_Wetland,Wetland
97,NULL,Built-up,Water,Non_Wetland,Grassland
98,NULL,Built-up,Water,Non_Wetland,Wetland
99,NULL,Water,NULL,Water,NULL
100,NULL,Water,NULL,Water,Grassland
101,NULL,Water,NULL,Water,Wetland
102,NULL,Water,NULL,Water,Lichens_and_Mosses
103,NULL,Water,NULL,Water,Water
104,NULL,Water,NULL,Water,Forest
105,NULL,Water,Non_Water,Water,Grassland
106,NULL,Water,Non_Water,Water,Cropland
107,NULL,Water,Non_Water,Water,Wetland
108,NULL,Water,Non_Water,Water,Water
109,NULL,Water,Non_Water,Water,Forest
110,NULL,Water,Water,Water,Grassland
111,NULL,Water,Water,Water,Wetland
112,NULL,Water,Water,Water,Water
113,NULL,Water,Water,Water,Forest
114,NULL,Forest,NULL,Non_Wetland,NULL
115,NULL,Forest,NULL,Non_Wetland,Grassland
116,NULL,Forest,NULL,Non_Wetland,Cropland
117,NULL,Forest,NULL,Non_Wetland,Wetland
118,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
119,NULL,Forest,NULL,Non_Wetland,Bareland
120,NULL,Forest,NULL,Non_Wetland,Built-up
121,NULL,Forest,NULL,Non_Wetland,Water
122,NULL,Forest,NULL,Non_Wetland,Forest
123,NULL,Forest,Non_Water,Non_Wetland,NULL
124,NULL,Forest,Non_Water,Non_Wetland,Grassland
125,NULL,Forest,Non_Water,Non_Wetland,Cropland
126,NULL,Forest,Non_Water,Non_Wetland,Wetland
127,NULL,Forest,Non_Water,Non_Wetland,Water
128,NULL,Forest,Non_Water,Non_Wetland,Forest
129,NULL,Forest,Water,Non_Wetland,Grassland
130,NULL,Forest,Water,Non_Wetland,Cropland
131,NULL,Forest,Water,Non_Wetland,Wetland
132,NULL,Forest,Water,Non_Wetland,Water
133,NULL,Forest,Water,Non_Wetland,Forest
134,Cropland,NULL,NULL,Non_Wetland,Grassland
135,Cropland,NULL,NULL,Non_Wetland,Cropland
136,Cropland,NULL,NULL,Non_Wetland,Wetland
137,Cropland,NULL,NULL,Non_Wetland,Forest
138,Cropland,Shrubland,NULL,Non_Wetland,Grassland
139,Cropland,Shrubland,NULL,Non_Wetland,Cropland
140,Cropland,Shrubland,NULL,Non_Wetland,Forest
141,Cropland,Cropland,NULL,Non_Wetland,Grassland
142,Cropland,Cropland,NULL,Non_Wetland,Cropland
143,Cropland,Cropland,NULL,Non_Wetland,Wetland
144,Cropland,Cropland,NULL,Non_Wetland,Bareland
145,Cropland,Cropland,NULL,Non_Wetland,Built-up
146,Cropland,Cropland,NULL,Non_Wetland,Forest
147,Cropland,Cropland,Water,Non_Wetland,Grassland
148,Cropland,Wetland,NULL,Wetland,NULL
149,Cropland,Wetland,NULL,Wetland,Grassland
150,Cropland,Wetland,NULL,Wetland,Cropland
151,Cropland,Wetland,NULL,Wetland,Wetland
152,Cropland,Wetland,NULL,Wetland,Forest
153,Cropland,Wetland,Non_Water,Wetland,Grassland
154,Cropland,Wetland,Non_Water,Wetland,Wetland
155,Cropland,Bareland,NULL,Non_Wetland,Grassland
156,Cropland,Bareland,NULL,Non_Wetland,Cropland
157,Cropland,Bareland,NULL,Non_Wetland,Wetland
158,Cropland,Bareland,NULL,Non_Wetland,Forest
159,Cropland,Built-up,NULL,Non_Wetland,Grassland
160,Cropland,Built-up,NULL,Non_Wetland,Cropland
161,Cropland,Built-up,NULL,Non_Wetland,Bareland
162,Cropland,Built-up,NULL,Non_Wetland,Built-up
163,Cropland,Built-up,NULL,Non_Wetland,Forest
164,Cropland,Forest,NULL,Non_Wetland,NULL
165,Cropland,Forest,NULL,Non_Wetland,Grassland
166,Cropland,Forest,NULL,Non_Wetland,Cropland
167,Cropland,Forest,NULL,Non_Wetland,Wetland
168,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
169,Cropland,Forest,NULL,Non_Wetland,Built-up
170,Cropland,Forest,NULL,Non_Wetland,Forest
171,Cropland,Forest,Non_Water,Non_Wetland,Grassland
172,Cropland,Forest,Non_Water,Non_Wetland,Cropland
173,Cropland,Forest,Non_Water,Non_Wetland,Forest
174,Wetland,NULL,NULL,Non_Wetland,NULL
175,Wetland,NULL,NULL,Non_Wetland,Grassland
176,Wetland,NULL,NULL,Non_Wetland,Cropland
177,Wetland,NULL,NULL,Non_Wetland,Wetland
178,Wetland,NULL,NULL,Non_Wetland,Built-up
179,Wetland,NULL,NULL,Non_Wetland,Water
180,Wetland,NULL,NULL,Non_Wetland,Forest
181,Wetland,NULL,Non_Water,Non_Wetland,Grassland
182,Wetland,NULL,Non_Water,Non_Wetland,Cropland
183,Wetland,NULL,Non_Water,Non_Wetland,Wetland
184,Wetland,NULL,Non_Water,Non_Wetland,Water
185,Wetland,NULL,Non_Water,Non_Wetland,Forest
186,Wetland,NULL,Water,Non_Wetland,Grassland
187,Wetland,NULL,Water,Non_Wetland,Cropland
188,Wetland,NULL,Water,Non_Wetland,Wetland
189,Wetland,NULL,Water,Non_Wetland,Water
190,Wetland,NULL,Water,Non_Wetland,Forest
191,Wetland,Shrubland,NULL,Non_Wetland,NULL
192,Wetland,Shrubland,NULL,Non_Wetland,Grassland
193,Wetland,Shrubland,NULL,Non_Wetland,Cropland
194,Wetland,Shrubland,NULL,Non_Wetland,Wetland
195,Wetland,Shrubland,NULL,Non_Wetland,Bareland
196,Wetland,Shrubland,NULL,Non_Wetland,Built-up
197,Wetland,Shrubland,NULL,Non_Wetland,Water
198,Wetland,Shrubland,NULL,Non_Wetland,Forest
199,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
200,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
201,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
202,Wetland,Shrubland,Non_Water,Non_Wetland,Water
203,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
204,Wetland,Shrubland,Water,Non_Wetland,Grassland
205,Wetland,Shrubland,Water,Non_Wetland,Cropland
206,Wetland,Shrubland,Water,Non_Wetland,Wetland
207,Wetland,Shrubland,Water,Non_Wetland,Water
208,Wetland,Shrubland,Water,Non_Wetland,Forest
209,Wetland,Grassland,NULL,Non_Wetland,Forest
210,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
211,Wetland,Cropland,NULL,Non_Wetland,NULL
212,Wetland,Cropland,NULL,Non_Wetland,Grassland
213,Wetland,Cropland,NULL,Non_Wetland,Cropland
214,Wetland,Cropland,NULL,Non_Wetland,Wetland
215,Wetland,Cropland,NULL,Non_Wetland,Bareland
216,Wetland,Cropland,NULL,Non_Wetland,Built-up
217,Wetland,Cropland,NULL,Non_Wetland,Water
218,Wetland,Cropland,NULL,Non_Wetland,Forest
219,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
220,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
221,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
222,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
223,Wetland,Cropland,Non_Water,Non_Wetland,Built-up
224,Wetland,Cropland,Non_Water,Non_Wetland,Water
225,Wetland,Cropland,Non_Water,Non_Wetland,Forest
226,Wetland,Cropland,Water,Non_Wetland,Grassland
227,Wetland,Cropland,Water,Non_Wetland,Cropland
228,Wetland,Cropland,Water,Non_Wetland,Wetland
229,Wetland,Cropland,Water,Non_Wetland,Water
230,Wetland,Cropland,Water,Non_Wetland,Forest
231,Wetland,Wetland,NULL,Wetland,NULL
232,Wetland,Wetland,NULL,Wetland,Grassland
233,Wetland,Wetland,NULL,Wetland,Cropland
234,Wetland,Wetland,NULL,Wetland,Wetland
235,Wetland,Wetland,NULL,Wetland,Built-up
236,Wetland,Wetland,NULL,Wetland,Water
237,Wetland,Wetland,NULL,Wetland,Forest
238,Wetland,Wetland,Non_Water,Wetland,NULL
239,Wetland,Wetland,Non_Water,Wetland,Grassland
240,Wetland,Wetland,Non_Water,Wetland,Cropland
241,Wetland,Wetland,Non_Water,Wetland,Wetland
242,Wetland,Wetland,Non_Water,Wetland,Water
243,Wetland,Wetland,Non_Water,Wetland,Forest
244,Wetland,Wetland,Water,Wetland,NULL
245,Wetland,Wetland,Water,Wetland,Grassland
246,Wetland,Wetland,Water,Wetland,Cropland
247,Wetland,Wetland,Water,Wetland,Wetland
248,Wetland,Wetland,Water,Wetland,Bareland
249,Wetland,Wetland,Water,Wetland,Water
250,Wetland,Wetland,Water,Wetland,Forest
251,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
252,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
253,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
254,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
255,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
256,Wetland,Bareland,NULL,Non_Wetland,NULL
257,Wetland,Bareland,NULL,Non_Wetland,Grassland
258,Wetland,Bareland,NULL,Non_Wetland,Cropland
259,Wetland,Bareland,NULL,Non_Wetland,Wetland
260,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
261,Wetland,Bareland,NULL,Non_Wetland,Bareland
262,Wetland,Bareland,NULL,Non_Wetland,Built-up
263,Wetland,Bareland,NULL,Non_Wetland,Water
264,Wetland,Bareland,NULL,Non_Wetland,Forest
265,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
266,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
