Value,SIBERIA_2024_ESA_CALU_2024_44WME_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44WME_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WME_M_R,SIBERIA_2024_GSW_Yearly_2021_44WME_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WME_M_R,SIBERIA_2024_WorldCover_2021_44WME_M_R
108,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
109,NULL,NULL,Bareland,Water,Non_Wetland,Water
110,NULL,NULL,Bareland,Water,Non_Wetland,Forest
111,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
112,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
113,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
114,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
115,NULL,NULL,Built-up,NULL,Non_Wetland,Water
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
120,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
121,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
122,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
123,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
124,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
125,NULL,NULL,Built-up,Water,Non_Wetland,Water
126,NULL,NULL,Water,NULL,NULL,Wetland
127,NULL,NULL,Water,NULL,NULL,Lichens_and_Mosses
128,NULL,NULL,Water,NULL,NULL,Water
129,NULL,NULL,Water,NULL,Water,Grassland
130,NULL,NULL,Water,NULL,Water,Wetland
131,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
132,NULL,NULL,Water,NULL,Water,Bareland
133,NULL,NULL,Water,NULL,Water,Water
134,NULL,NULL,Water,NULL,Water,Forest
135,NULL,NULL,Water,Non_Water,NULL,Lichens_and_Mosses
136,NULL,NULL,Water,Non_Water,NULL,Water
137,NULL,NULL,Water,Non_Water,Water,Grassland
138,NULL,NULL,Water,Non_Water,Water,Wetland
139,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
140,NULL,NULL,Water,Non_Water,Water,Bareland
141,NULL,NULL,Water,Non_Water,Water,Water
142,NULL,NULL,Water,Water,NULL,Wetland
143,NULL,NULL,Water,Water,NULL,Lichens_and_Mosses
144,NULL,NULL,Water,Water,NULL,Bareland
145,NULL,NULL,Water,Water,NULL,Water
146,NULL,NULL,Water,Water,Water,Grassland
147,NULL,NULL,Water,Water,Water,Wetland
148,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
149,NULL,NULL,Water,Water,Water,Bareland
150,NULL,NULL,Water,Water,Water,Water
151,NULL,NULL,Water,Water,Water,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
154,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
155,NULL,NULL,Forest,NULL,Non_Wetland,Water
156,NULL,NULL,Forest,NULL,Non_Wetland,Forest
157,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
158,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
159,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
160,NULL,NULL,Forest,Water,Non_Wetland,Grassland
161,NULL,NULL,Forest,Water,Non_Wetland,Wetland
162,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
163,NULL,NULL,Forest,Water,Non_Wetland,Water
