Value,SIBERIA_2024_ESA_CALU_2024_45XWC_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_45XWC_M_R,SIBERIA_2024_GLC_FCS30D_2022_45XWC_M_R,SIBERIA_2024_GSW_Yearly_2021_45XWC_M_R,SIBERIA_2024_GWL_FCS30D_2022_45XWC_M_R,SIBERIA_2024_WorldCover_2021_45XWC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
25,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
40,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
41,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
42,NULL,NULL,Grassland,Water,Non_Wetland,Water
43,NULL,NULL,Wetland,NULL,NULL,Grassland
44,NULL,NULL,Wetland,NULL,NULL,Wetland
45,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
46,NULL,NULL,Wetland,NULL,NULL,Bareland
47,NULL,NULL,Wetland,NULL,NULL,Water
48,NULL,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
51,NULL,NULL,Wetland,NULL,Wetland,Bareland
52,NULL,NULL,Wetland,NULL,Wetland,Water
53,NULL,NULL,Wetland,Non_Water,NULL,Grassland
54,NULL,NULL,Wetland,Non_Water,NULL,Wetland
55,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
56,NULL,NULL,Wetland,Non_Water,NULL,Bareland
57,NULL,NULL,Wetland,Non_Water,NULL,Water
58,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
59,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
60,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
61,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
62,NULL,NULL,Wetland,Non_Water,Wetland,Water
63,NULL,NULL,Wetland,Water,NULL,Grassland
64,NULL,NULL,Wetland,Water,NULL,Wetland
65,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
66,NULL,NULL,Wetland,Water,NULL,Bareland
67,NULL,NULL,Wetland,Water,NULL,Water
68,NULL,NULL,Wetland,Water,Wetland,Grassland
69,NULL,NULL,Wetland,Water,Wetland,Wetland
70,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
71,NULL,NULL,Wetland,Water,Wetland,Bareland
72,NULL,NULL,Wetland,Water,Wetland,Water
73,NULL,NULL,Wetland,Water,Wetland,Forest
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
80,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
81,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
82,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
83,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
84,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
85,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
86,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
87,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
88,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
89,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
90,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
91,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
93,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
94,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
95,NULL,NULL,Bareland,NULL,Non_Wetland,Water
96,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
102,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
103,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
104,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
105,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
106,NULL,NULL,Bareland,Water,Non_Wetland,Water
107,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
108,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
109,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Water
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
