Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VUH_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VUH_M_R,SIBERIA_2024_GSW_Yearly_2021_45VUH_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VUH_M_R,SIBERIA_2024_WorldCover_2021_45VUH_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,Water,Non_Wetland,Wetland
8,NULL,NULL,Water,Non_Wetland,Forest
9,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
13,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
16,NULL,Shrubland,Non_Water,Non_Wetland,Forest
17,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,Shrubland,Water,Non_Wetland,Wetland
19,NULL,Shrubland,Water,Non_Wetland,Water
20,NULL,Shrubland,Water,Non_Wetland,Forest
21,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,Grassland,NULL,Non_Wetland,Wetland
24,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
25,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,Cropland,NULL,Non_Wetland,Grassland
27,NULL,Cropland,NULL,Non_Wetland,Wetland
28,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
29,NULL,Cropland,NULL,Non_Wetland,Forest
30,NULL,Wetland,NULL,Wetland,NULL
31,NULL,Wetland,NULL,Wetland,Grassland
32,NULL,Wetland,NULL,Wetland,Wetland
33,NULL,Wetland,NULL,Wetland,Water
34,NULL,Wetland,NULL,Wetland,Forest
35,NULL,Wetland,Non_Water,Wetland,NULL
36,NULL,Wetland,Non_Water,Wetland,Grassland
37,NULL,Wetland,Non_Water,Wetland,Wetland
38,NULL,Wetland,Non_Water,Wetland,Water
39,NULL,Wetland,Non_Water,Wetland,Forest
40,NULL,Wetland,Water,Wetland,NULL
41,NULL,Wetland,Water,Wetland,Grassland
42,NULL,Wetland,Water,Wetland,Wetland
43,NULL,Wetland,Water,Wetland,Forest
44,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
45,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
46,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
47,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
48,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
49,NULL,Bareland,NULL,Non_Wetland,NULL
50,NULL,Bareland,NULL,Non_Wetland,Grassland
51,NULL,Bareland,NULL,Non_Wetland,Wetland
52,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
53,NULL,Bareland,NULL,Non_Wetland,Bareland
54,NULL,Bareland,NULL,Non_Wetland,Water
55,NULL,Bareland,NULL,Non_Wetland,Forest
56,NULL,Bareland,Non_Water,Non_Wetland,Grassland
57,NULL,Bareland,Non_Water,Non_Wetland,Wetland
58,NULL,Bareland,Non_Water,Non_Wetland,Forest
59,NULL,Bareland,Water,Non_Wetland,Grassland
60,NULL,Bareland,Water,Non_Wetland,Wetland
61,NULL,Bareland,Water,Non_Wetland,Water
62,NULL,Bareland,Water,Non_Wetland,Forest
63,NULL,Built-up,NULL,Non_Wetland,NULL
64,NULL,Built-up,NULL,Non_Wetland,Grassland
65,NULL,Built-up,NULL,Non_Wetland,Wetland
66,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
67,NULL,Built-up,NULL,Non_Wetland,Bareland
68,NULL,Built-up,NULL,Non_Wetland,Forest
69,NULL,Built-up,Non_Water,Non_Wetland,Forest
70,NULL,Water,NULL,Water,NULL
71,NULL,Water,NULL,Water,Grassland
72,NULL,Water,NULL,Water,Wetland
73,NULL,Water,NULL,Water,Water
74,NULL,Water,NULL,Water,Forest
75,NULL,Water,Non_Water,Water,Wetland
76,NULL,Water,Non_Water,Water,Forest
77,NULL,Water,Water,Water,NULL
78,NULL,Water,Water,Water,Wetland
79,NULL,Water,Water,Water,Bareland
80,NULL,Water,Water,Water,Water
81,NULL,Water,Water,Water,Forest
82,NULL,Forest,NULL,Non_Wetland,NULL
83,NULL,Forest,NULL,Non_Wetland,Grassland
84,NULL,Forest,NULL,Non_Wetland,Wetland
85,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,Forest,NULL,Non_Wetland,Water
87,NULL,Forest,NULL,Non_Wetland,Forest
88,NULL,Forest,Non_Water,Non_Wetland,Grassland
89,NULL,Forest,Non_Water,Non_Wetland,Wetland
90,NULL,Forest,Non_Water,Non_Wetland,Water
91,NULL,Forest,Non_Water,Non_Wetland,Forest
92,NULL,Forest,Water,Non_Wetland,Grassland
93,NULL,Forest,Water,Non_Wetland,Wetland
94,NULL,Forest,Water,Non_Wetland,Forest
95,Cropland,NULL,NULL,Non_Wetland,Grassland
96,Cropland,NULL,NULL,Non_Wetland,Forest
97,Cropland,NULL,Water,Non_Wetland,Forest
98,Cropland,Shrubland,NULL,Non_Wetland,NULL
99,Cropland,Shrubland,NULL,Non_Wetland,Grassland
100,Cropland,Shrubland,NULL,Non_Wetland,Wetland
101,Cropland,Shrubland,NULL,Non_Wetland,Forest
102,Cropland,Wetland,NULL,Wetland,NULL
103,Cropland,Wetland,NULL,Wetland,Grassland
104,Cropland,Wetland,NULL,Wetland,Wetland
105,Cropland,Wetland,NULL,Wetland,Forest
106,Cropland,Wetland,Non_Water,Wetland,NULL
107,Cropland,Wetland,Non_Water,Wetland,Wetland
108,Cropland,Wetland,Water,Wetland,Forest
109,Cropland,Bareland,NULL,Non_Wetland,NULL
110,Cropland,Bareland,NULL,Non_Wetland,Grassland
111,Cropland,Bareland,NULL,Non_Wetland,Wetland
112,Cropland,Bareland,NULL,Non_Wetland,Forest
113,Cropland,Built-up,NULL,Non_Wetland,Forest
114,Cropland,Water,Water,Water,Water
115,Cropland,Forest,NULL,Non_Wetland,NULL
116,Cropland,Forest,NULL,Non_Wetland,Grassland
117,Cropland,Forest,NULL,Non_Wetland,Wetland
118,Cropland,Forest,NULL,Non_Wetland,Forest
119,Cropland,Forest,Water,Non_Wetland,Forest
120,Wetland,NULL,NULL,Non_Wetland,NULL
121,Wetland,NULL,NULL,Non_Wetland,Grassland
122,Wetland,NULL,NULL,Non_Wetland,Wetland
123,Wetland,NULL,NULL,Non_Wetland,Water
124,Wetland,NULL,NULL,Non_Wetland,Forest
125,Wetland,NULL,Non_Water,Non_Wetland,Water
126,Wetland,NULL,Non_Water,Non_Wetland,Forest
127,Wetland,NULL,Water,Non_Wetland,Grassland
128,Wetland,NULL,Water,Non_Wetland,Wetland
129,Wetland,NULL,Water,Non_Wetland,Water
130,Wetland,NULL,Water,Non_Wetland,Forest
131,Wetland,Shrubland,NULL,Non_Wetland,NULL
132,Wetland,Shrubland,NULL,Non_Wetland,Grassland
133,Wetland,Shrubland,NULL,Non_Wetland,Wetland
134,Wetland,Shrubland,NULL,Non_Wetland,Water
135,Wetland,Shrubland,NULL,Non_Wetland,Forest
136,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
137,Wetland,Shrubland,Non_Water,Non_Wetland,Water
138,Wetland,Shrubland,Water,Non_Wetland,Wetland
139,Wetland,Shrubland,Water,Non_Wetland,Water
140,Wetland,Shrubland,Water,Non_Wetland,Forest
141,Wetland,Grassland,NULL,Non_Wetland,Grassland
142,Wetland,Grassland,NULL,Non_Wetland,Wetland
143,Wetland,Grassland,NULL,Non_Wetland,Forest
144,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
145,Wetland,Grassland,Non_Water,Non_Wetland,Forest
146,Wetland,Grassland,Water,Non_Wetland,Forest
147,Wetland,Cropland,NULL,Non_Wetland,Forest
148,Wetland,Cropland,Non_Water,Non_Wetland,Forest
149,Wetland,Wetland,NULL,Wetland,NULL
150,Wetland,Wetland,NULL,Wetland,Grassland
151,Wetland,Wetland,NULL,Wetland,Wetland
152,Wetland,Wetland,NULL,Wetland,Bareland
153,Wetland,Wetland,NULL,Wetland,Water
154,Wetland,Wetland,NULL,Wetland,Forest
155,Wetland,Wetland,Non_Water,Wetland,NULL
156,Wetland,Wetland,Non_Water,Wetland,Grassland
157,Wetland,Wetland,Non_Water,Wetland,Wetland
158,Wetland,Wetland,Non_Water,Wetland,Water
159,Wetland,Wetland,Non_Water,Wetland,Forest
160,Wetland,Wetland,Water,Wetland,NULL
161,Wetland,Wetland,Water,Wetland,Grassland
162,Wetland,Wetland,Water,Wetland,Wetland
163,Wetland,Wetland,Water,Wetland,Bareland
164,Wetland,Wetland,Water,Wetland,Water
165,Wetland,Wetland,Water,Wetland,Forest
166,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
167,Wetland,Bareland,NULL,Non_Wetland,NULL
168,Wetland,Bareland,NULL,Non_Wetland,Grassland
169,Wetland,Bareland,NULL,Non_Wetland,Wetland
170,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
171,Wetland,Bareland,NULL,Non_Wetland,Bareland
172,Wetland,Bareland,NULL,Non_Wetland,Water
173,Wetland,Bareland,NULL,Non_Wetland,Forest
174,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
175,Wetland,Bareland,Non_Water,Non_Wetland,Water
176,Wetland,Bareland,Non_Water,Non_Wetland,Forest
177,Wetland,Bareland,Water,Non_Wetland,Wetland
178,Wetland,Bareland,Water,Non_Wetland,Water
179,Wetland,Bareland,Water,Non_Wetland,Forest
180,Wetland,Built-up,NULL,Non_Wetland,NULL
181,Wetland,Built-up,NULL,Non_Wetland,Wetland
182,Wetland,Built-up,NULL,Non_Wetland,Forest
183,Wetland,Built-up,Water,Non_Wetland,Wetland
184,Wetland,Built-up,Water,Non_Wetland,Forest
185,Wetland,Water,NULL,Water,NULL
186,Wetland,Water,NULL,Water,Wetland
187,Wetland,Water,NULL,Water,Water
188,Wetland,Water,NULL,Water,Forest
189,Wetland,Water,Non_Water,Water,Grassland
190,Wetland,Water,Non_Water,Water,Wetland
191,Wetland,Water,Non_Water,Water,Water
192,Wetland,Water,Non_Water,Water,Forest
193,Wetland,Water,Water,Water,NULL
194,Wetland,Water,Water,Water,Grassland
195,Wetland,Water,Water,Water,Wetland
196,Wetland,Water,Water,Water,Water
197,Wetland,Water,Water,Water,Forest
198,Wetland,Forest,NULL,Non_Wetland,NULL
199,Wetland,Forest,NULL,Non_Wetland,Grassland
200,Wetland,Forest,NULL,Non_Wetland,Wetland
201,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
202,Wetland,Forest,NULL,Non_Wetland,Water
203,Wetland,Forest,NULL,Non_Wetland,Forest
204,Wetland,Forest,Non_Water,Non_Wetland,Grassland
205,Wetland,Forest,Non_Water,Non_Wetland,Wetland
206,Wetland,Forest,Non_Water,Non_Wetland,Water
207,Wetland,Forest,Non_Water,Non_Wetland,Forest
208,Wetland,Forest,Water,Non_Wetland,NULL
209,Wetland,Forest,Water,Non_Wetland,Grassland
210,Wetland,Forest,Water,Non_Wetland,Wetland
211,Wetland,Forest,Water,Non_Wetland,Water
212,Wetland,Forest,Water,Non_Wetland,Forest
213,Bareland,NULL,NULL,Non_Wetland,Water
214,Bareland,NULL,NULL,Non_Wetland,Forest
215,Bareland,Wetland,NULL,Wetland,Grassland
216,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
217,Bareland,Wetland,NULL,Wetland,Bareland
218,Bareland,Wetland,NULL,Wetland,Water
219,Bareland,Wetland,NULL,Wetland,Forest
220,Bareland,Wetland,Non_Water,Wetland,Water
221,Bareland,Wetland,Non_Water,Wetland,Forest
222,Bareland,Wetland,Water,Wetland,Grassland
223,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
224,Bareland,Wetland,Water,Wetland,Bareland
225,Bareland,Wetland,Water,Wetland,Water
226,Bareland,Bareland,NULL,Non_Wetland,Grassland
227,Bareland,Bareland,NULL,Non_Wetland,Wetland
228,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
229,Bareland,Bareland,NULL,Non_Wetland,Bareland
230,Bareland,Bareland,NULL,Non_Wetland,Forest
231,Bareland,Bareland,Water,Non_Wetland,Grassland
232,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
233,Bareland,Bareland,Water,Non_Wetland,Bareland
234,Bareland,Built-up,NULL,Non_Wetland,Bareland
235,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
236,Bareland,Water,NULL,Water,Water
237,Bareland,Water,NULL,Water,Forest
238,Bareland,Water,Water,Water,Lichens_and_Mosses
239,Bareland,Water,Water,Water,Bareland
240,Bareland,Water,Water,Water,Water
241,Bareland,Water,Water,Water,Forest
242,Bareland,Forest,NULL,Non_Wetland,Wetland
243,Bareland,Forest,NULL,Non_Wetland,Water
244,Bareland,Forest,NULL,Non_Wetland,Forest
245,Bareland,Forest,Non_Water,Non_Wetland,Water
246,Bareland,Forest,Water,Non_Wetland,Forest
247,Built-up,Bareland,NULL,Non_Wetland,Bareland
248,Built-up,Bareland,NULL,Non_Wetland,Forest
249,Water,NULL,NULL,Non_Wetland,Grassland
250,Water,NULL,NULL,Non_Wetland,Wetland
251,Water,NULL,NULL,Non_Wetland,Water
252,Water,NULL,NULL,Non_Wetland,Forest
253,Water,NULL,Non_Water,Non_Wetland,Grassland
254,Water,NULL,Non_Water,Non_Wetland,Wetland
255,Water,NULL,Non_Water,Non_Wetland,Water
256,Water,NULL,Non_Water,Non_Wetland,Forest
257,Water,NULL,Water,Non_Wetland,Wetland
258,Water,NULL,Water,Non_Wetland,Water
259,Water,NULL,Water,Non_Wetland,Forest
260,Water,Shrubland,NULL,Non_Wetland,Wetland
261,Water,Shrubland,NULL,Non_Wetland,Bareland
262,Water,Shrubland,NULL,Non_Wetland,Water
263,Water,Shrubland,NULL,Non_Wetland,Forest
264,Water,Shrubland,Non_Water,Non_Wetland,Grassland
265,Water,Shrubland,Non_Water,Non_Wetland,Water
266,Water,Shrubland,Water,Non_Wetland,Wetland
267,Water,Shrubland,Water,Non_Wetland,Bareland
268,Water,Shrubland,Water,Non_Wetland,Water
269,Water,Shrubland,Water,Non_Wetland,Forest
270,Water,Grassland,Water,Non_Wetland,Forest
271,Water,Wetland,NULL,Wetland,NULL
272,Water,Wetland,NULL,Wetland,Grassland
273,Water,Wetland,NULL,Wetland,Wetland
274,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
