Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWR_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWR_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWR_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWR_M_R,SIBERIA_2024_WorldCover_2021_45WWR_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Permanent_ice_and_snow
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,Non_Water,Non_Wetland,Bareland
12,NULL,NULL,Non_Water,Non_Wetland,Water
13,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Water,Non_Wetland,Bareland
18,NULL,NULL,Water,Non_Wetland,Water
19,NULL,NULL,Water,Non_Wetland,Forest
20,NULL,Shrubland,NULL,Non_Wetland,NULL
21,NULL,Shrubland,NULL,Non_Wetland,Grassland
22,NULL,Shrubland,NULL,Non_Wetland,Wetland
23,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,NULL,Non_Wetland,Bareland
25,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
27,NULL,Shrubland,NULL,Non_Wetland,Forest
28,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
29,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
30,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
31,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
32,NULL,Shrubland,Non_Water,Non_Wetland,Water
33,NULL,Shrubland,Non_Water,Non_Wetland,Forest
34,NULL,Shrubland,Water,Non_Wetland,Grassland
35,NULL,Shrubland,Water,Non_Wetland,Wetland
36,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
37,NULL,Shrubland,Water,Non_Wetland,Bareland
38,NULL,Shrubland,Water,Non_Wetland,Water
39,NULL,Shrubland,Water,Non_Wetland,Forest
40,NULL,Grassland,NULL,Non_Wetland,NULL
41,NULL,Grassland,NULL,Non_Wetland,Grassland
42,NULL,Grassland,NULL,Non_Wetland,Wetland
43,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
44,NULL,Grassland,NULL,Non_Wetland,Bareland
45,NULL,Grassland,NULL,Non_Wetland,Water
46,NULL,Grassland,NULL,Non_Wetland,Forest
47,NULL,Grassland,Non_Water,Non_Wetland,Grassland
48,NULL,Grassland,Non_Water,Non_Wetland,Wetland
49,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
50,NULL,Grassland,Non_Water,Non_Wetland,Forest
51,NULL,Grassland,Water,Non_Wetland,Grassland
52,NULL,Grassland,Water,Non_Wetland,Wetland
53,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
54,NULL,Grassland,Water,Non_Wetland,Bareland
55,NULL,Grassland,Water,Non_Wetland,Water
56,NULL,Grassland,Water,Non_Wetland,Forest
57,NULL,Wetland,NULL,Wetland,Grassland
58,NULL,Wetland,NULL,Wetland,Wetland
59,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
60,NULL,Wetland,NULL,Wetland,Bareland
61,NULL,Wetland,NULL,Wetland,Water
62,NULL,Wetland,NULL,Wetland,Forest
63,NULL,Wetland,Non_Water,Wetland,Grassland
64,NULL,Wetland,Non_Water,Wetland,Wetland
65,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
66,NULL,Wetland,Non_Water,Wetland,Bareland
67,NULL,Wetland,Non_Water,Wetland,Water
68,NULL,Wetland,Non_Water,Wetland,Forest
69,NULL,Wetland,Water,Wetland,Grassland
70,NULL,Wetland,Water,Wetland,Wetland
71,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
72,NULL,Wetland,Water,Wetland,Bareland
73,NULL,Wetland,Water,Wetland,Water
74,NULL,Wetland,Water,Wetland,Forest
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
87,NULL,Bareland,NULL,Non_Wetland,NULL
88,NULL,Bareland,NULL,Non_Wetland,Grassland
89,NULL,Bareland,NULL,Non_Wetland,Wetland
90,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,Bareland,NULL,Non_Wetland,Built-up
93,NULL,Bareland,NULL,Non_Wetland,Water
94,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
95,NULL,Bareland,NULL,Non_Wetland,Forest
96,NULL,Bareland,Non_Water,Non_Wetland,Grassland
97,NULL,Bareland,Non_Water,Non_Wetland,Wetland
98,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
99,NULL,Bareland,Non_Water,Non_Wetland,Bareland
100,NULL,Bareland,Non_Water,Non_Wetland,Water
101,NULL,Bareland,Non_Water,Non_Wetland,Forest
102,NULL,Bareland,Water,Non_Wetland,Grassland
103,NULL,Bareland,Water,Non_Wetland,Wetland
104,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
105,NULL,Bareland,Water,Non_Wetland,Bareland
106,NULL,Bareland,Water,Non_Wetland,Water
107,NULL,Bareland,Water,Non_Wetland,Forest
108,NULL,Built-up,NULL,Non_Wetland,NULL
109,NULL,Built-up,NULL,Non_Wetland,Grassland
110,NULL,Built-up,NULL,Non_Wetland,Wetland
111,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
112,NULL,Built-up,NULL,Non_Wetland,Bareland
113,NULL,Built-up,NULL,Non_Wetland,Water
114,NULL,Built-up,NULL,Non_Wetland,Forest
115,NULL,Built-up,Non_Water,Non_Wetland,Grassland
116,NULL,Built-up,Non_Water,Non_Wetland,Wetland
117,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
118,NULL,Built-up,Non_Water,Non_Wetland,Bareland
119,NULL,Built-up,Non_Water,Non_Wetland,Water
120,NULL,Built-up,Non_Water,Non_Wetland,Forest
121,NULL,Built-up,Water,Non_Wetland,Grassland
122,NULL,Built-up,Water,Non_Wetland,Wetland
123,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
124,NULL,Built-up,Water,Non_Wetland,Bareland
125,NULL,Built-up,Water,Non_Wetland,Water
126,NULL,Built-up,Water,Non_Wetland,Forest
127,NULL,Water,NULL,Water,Grassland
128,NULL,Water,NULL,Water,Wetland
129,NULL,Water,NULL,Water,Lichens_and_Mosses
130,NULL,Water,NULL,Water,Bareland
131,NULL,Water,NULL,Water,Water
132,NULL,Water,NULL,Water,Permanent_ice_and_snow
133,NULL,Water,NULL,Water,Forest
134,NULL,Water,Non_Water,Water,Grassland
135,NULL,Water,Non_Water,Water,Wetland
136,NULL,Water,Non_Water,Water,Lichens_and_Mosses
137,NULL,Water,Non_Water,Water,Bareland
138,NULL,Water,Non_Water,Water,Water
139,NULL,Water,Non_Water,Water,Forest
140,NULL,Water,Water,Water,Grassland
141,NULL,Water,Water,Water,Wetland
142,NULL,Water,Water,Water,Lichens_and_Mosses
143,NULL,Water,Water,Water,Bareland
144,NULL,Water,Water,Water,Water
145,NULL,Water,Water,Water,Forest
146,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
147,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
149,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
150,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
151,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Forest
152,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
153,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Lichens_and_Mosses
154,NULL,Forest,NULL,Non_Wetland,NULL
155,NULL,Forest,NULL,Non_Wetland,Grassland
156,NULL,Forest,NULL,Non_Wetland,Wetland
157,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
158,NULL,Forest,NULL,Non_Wetland,Bareland
159,NULL,Forest,NULL,Non_Wetland,Built-up
160,NULL,Forest,NULL,Non_Wetland,Water
161,NULL,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
162,NULL,Forest,NULL,Non_Wetland,Forest
163,NULL,Forest,Non_Water,Non_Wetland,Grassland
164,NULL,Forest,Non_Water,Non_Wetland,Wetland
165,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
166,NULL,Forest,Non_Water,Non_Wetland,Bareland
167,NULL,Forest,Non_Water,Non_Wetland,Water
168,NULL,Forest,Non_Water,Non_Wetland,Forest
169,NULL,Forest,Water,Non_Wetland,Grassland
170,NULL,Forest,Water,Non_Wetland,Wetland
171,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
172,NULL,Forest,Water,Non_Wetland,Bareland
173,NULL,Forest,Water,Non_Wetland,Water
174,NULL,Forest,Water,Non_Wetland,Forest
175,Cropland,NULL,NULL,Non_Wetland,Grassland
176,Cropland,NULL,NULL,Non_Wetland,Wetland
177,Cropland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
178,Cropland,NULL,NULL,Non_Wetland,Forest
179,Cropland,Shrubland,NULL,Non_Wetland,Grassland
180,Cropland,Shrubland,NULL,Non_Wetland,Wetland
181,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
182,Cropland,Shrubland,NULL,Non_Wetland,Forest
183,Cropland,Grassland,NULL,Non_Wetland,Grassland
184,Cropland,Grassland,NULL,Non_Wetland,Wetland
185,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
186,Cropland,Grassland,NULL,Non_Wetland,Forest
187,Cropland,Bareland,NULL,Non_Wetland,Wetland
188,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
189,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
190,Cropland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
191,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
192,Cropland,Bareland,Non_Water,Non_Wetland,Water
193,Cropland,Bareland,Water,Non_Wetland,Bareland
194,Cropland,Bareland,Water,Non_Wetland,Water
195,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
196,Cropland,Water,Non_Water,Water,Bareland
197,Cropland,Water,Water,Water,Bareland
198,Cropland,Water,Water,Water,Water
199,Cropland,Forest,NULL,Non_Wetland,Grassland
200,Cropland,Forest,NULL,Non_Wetland,Wetland
201,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
202,Cropland,Forest,NULL,Non_Wetland,Forest
203,Wetland,NULL,NULL,Non_Wetland,Grassland
204,Wetland,NULL,NULL,Non_Wetland,Wetland
205,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
206,Wetland,NULL,NULL,Non_Wetland,Bareland
207,Wetland,NULL,NULL,Non_Wetland,Water
208,Wetland,NULL,NULL,Non_Wetland,Forest
209,Wetland,NULL,Non_Water,Non_Wetland,Grassland
210,Wetland,NULL,Non_Water,Non_Wetland,Wetland
211,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
212,Wetland,NULL,Non_Water,Non_Wetland,Water
213,Wetland,NULL,Non_Water,Non_Wetland,Forest
214,Wetland,NULL,Water,Non_Wetland,Grassland
215,Wetland,NULL,Water,Non_Wetland,Wetland
216,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
217,Wetland,NULL,Water,Non_Wetland,Bareland
218,Wetland,NULL,Water,Non_Wetland,Water
219,Wetland,NULL,Water,Non_Wetland,Forest
220,Wetland,Shrubland,NULL,Non_Wetland,Grassland
221,Wetland,Shrubland,NULL,Non_Wetland,Wetland
222,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
223,Wetland,Shrubland,NULL,Non_Wetland,Bareland
224,Wetland,Shrubland,NULL,Non_Wetland,Water
225,Wetland,Shrubland,NULL,Non_Wetland,Forest
226,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
227,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
228,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
229,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
230,Wetland,Shrubland,Non_Water,Non_Wetland,Water
231,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
232,Wetland,Shrubland,Water,Non_Wetland,Grassland
233,Wetland,Shrubland,Water,Non_Wetland,Wetland
234,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
235,Wetland,Shrubland,Water,Non_Wetland,Bareland
236,Wetland,Shrubland,Water,Non_Wetland,Water
237,Wetland,Shrubland,Water,Non_Wetland,Forest
238,Wetland,Grassland,NULL,Non_Wetland,NULL
239,Wetland,Grassland,NULL,Non_Wetland,Grassland
240,Wetland,Grassland,NULL,Non_Wetland,Wetland
241,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
242,Wetland,Grassland,NULL,Non_Wetland,Bareland
243,Wetland,Grassland,NULL,Non_Wetland,Water
244,Wetland,Grassland,NULL,Non_Wetland,Forest
245,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
246,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
247,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
248,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
249,Wetland,Grassland,Non_Water,Non_Wetland,Water
250,Wetland,Grassland,Non_Water,Non_Wetland,Forest
251,Wetland,Grassland,Water,Non_Wetland,Grassland
252,Wetland,Grassland,Water,Non_Wetland,Wetland
253,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
