Value,SIBERIA_2024_ESA_CALU_2024_42XWF_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42XWF_M_R,SIBERIA_2024_GLC_FCS30D_2022_42XWF_M_R,SIBERIA_2024_GSW_Yearly_2021_42XWF_M_R,SIBERIA_2024_GWL_FCS30D_2022_42XWF_M_R,SIBERIA_2024_WorldCover_2021_42XWF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,Water,Non_Wetland,Water
12,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Grassland,NULL,Non_Wetland,Water
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
20,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
21,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
22,NULL,NULL,Grassland,Water,Non_Wetland,Water
23,NULL,NULL,Wetland,NULL,Wetland,Grassland
24,NULL,NULL,Wetland,NULL,Wetland,Wetland
25,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
26,NULL,NULL,Wetland,NULL,Wetland,Bareland
27,NULL,NULL,Wetland,NULL,Wetland,Water
28,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
29,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
30,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
31,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
32,NULL,NULL,Wetland,Non_Water,Wetland,Water
33,NULL,NULL,Wetland,Water,NULL,Water
34,NULL,NULL,Wetland,Water,Wetland,Grassland
35,NULL,NULL,Wetland,Water,Wetland,Wetland
36,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
37,NULL,NULL,Wetland,Water,Wetland,Bareland
38,NULL,NULL,Wetland,Water,Wetland,Water
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
44,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
45,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
46,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
47,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
48,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
49,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
50,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
51,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
52,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
53,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
57,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Water
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
64,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
65,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
66,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
67,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
68,NULL,NULL,Bareland,Water,Non_Wetland,Water
69,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
73,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
74,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
75,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
76,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
77,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
78,NULL,NULL,Built-up,Water,Non_Wetland,Water
79,NULL,NULL,Water,NULL,NULL,Water
80,NULL,NULL,Water,NULL,Water,Grassland
81,NULL,NULL,Water,NULL,Water,Wetland
82,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
83,NULL,NULL,Water,NULL,Water,Bareland
84,NULL,NULL,Water,NULL,Water,Water
85,NULL,NULL,Water,Non_Water,Water,Wetland
86,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
87,NULL,NULL,Water,Non_Water,Water,Bareland
88,NULL,NULL,Water,Non_Water,Water,Water
89,NULL,NULL,Water,Water,NULL,Water
90,NULL,NULL,Water,Water,Water,Grassland
91,NULL,NULL,Water,Water,Water,Wetland
92,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
93,NULL,NULL,Water,Water,Water,Bareland
94,NULL,NULL,Water,Water,Water,Water
95,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
96,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
97,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
98,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
99,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
100,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
101,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
102,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
103,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
104,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
105,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
106,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
107,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
108,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
