Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNB_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNB_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNB_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNB_M_R,SIBERIA_2024_WorldCover_2021_44WNB_M_R
170,Wetland,NULL,Non_Water,Non_Wetland,Bareland
171,Wetland,NULL,Non_Water,Non_Wetland,Water
172,Wetland,NULL,Non_Water,Non_Wetland,Forest
173,Wetland,NULL,Water,Non_Wetland,Grassland
174,Wetland,NULL,Water,Non_Wetland,Wetland
175,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
176,Wetland,NULL,Water,Non_Wetland,Bareland
177,Wetland,NULL,Water,Non_Wetland,Water
178,Wetland,NULL,Water,Non_Wetland,Forest
179,Wetland,Shrubland,NULL,Non_Wetland,Grassland
180,Wetland,Shrubland,NULL,Non_Wetland,Wetland
181,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
182,Wetland,Shrubland,NULL,Non_Wetland,Bareland
183,Wetland,Shrubland,NULL,Non_Wetland,Water
184,Wetland,Shrubland,NULL,Non_Wetland,Forest
185,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
186,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
187,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
188,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
189,Wetland,Shrubland,Non_Water,Non_Wetland,Water
190,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
191,Wetland,Shrubland,Water,Non_Wetland,Grassland
192,Wetland,Shrubland,Water,Non_Wetland,Wetland
193,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
194,Wetland,Shrubland,Water,Non_Wetland,Bareland
195,Wetland,Shrubland,Water,Non_Wetland,Water
196,Wetland,Shrubland,Water,Non_Wetland,Forest
197,Wetland,Grassland,NULL,Non_Wetland,Grassland
198,Wetland,Grassland,NULL,Non_Wetland,Wetland
199,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
200,Wetland,Grassland,NULL,Non_Wetland,Bareland
201,Wetland,Grassland,NULL,Non_Wetland,Water
202,Wetland,Grassland,NULL,Non_Wetland,Forest
203,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
204,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
205,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
206,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
207,Wetland,Grassland,Non_Water,Non_Wetland,Water
208,Wetland,Grassland,Non_Water,Non_Wetland,Forest
209,Wetland,Grassland,Water,Non_Wetland,Grassland
210,Wetland,Grassland,Water,Non_Wetland,Wetland
211,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
212,Wetland,Grassland,Water,Non_Wetland,Bareland
213,Wetland,Grassland,Water,Non_Wetland,Water
214,Wetland,Grassland,Water,Non_Wetland,Forest
215,Wetland,Wetland,NULL,Wetland,Grassland
216,Wetland,Wetland,NULL,Wetland,Wetland
217,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
218,Wetland,Wetland,NULL,Wetland,Bareland
219,Wetland,Wetland,NULL,Wetland,Water
220,Wetland,Wetland,NULL,Wetland,Forest
221,Wetland,Wetland,Non_Water,Wetland,Grassland
222,Wetland,Wetland,Non_Water,Wetland,Wetland
223,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
224,Wetland,Wetland,Non_Water,Wetland,Bareland
225,Wetland,Wetland,Non_Water,Wetland,Water
226,Wetland,Wetland,Non_Water,Wetland,Forest
227,Wetland,Wetland,Water,Wetland,Grassland
228,Wetland,Wetland,Water,Wetland,Wetland
229,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
230,Wetland,Wetland,Water,Wetland,Bareland
231,Wetland,Wetland,Water,Wetland,Water
232,Wetland,Wetland,Water,Wetland,Forest
233,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
234,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
235,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
236,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
237,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
238,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
239,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
240,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
241,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
242,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
243,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
244,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
245,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
246,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
247,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
248,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
249,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
250,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
251,Wetland,Bareland,NULL,Non_Wetland,Grassland
252,Wetland,Bareland,NULL,Non_Wetland,Wetland
253,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
254,Wetland,Bareland,NULL,Non_Wetland,Bareland
255,Wetland,Bareland,NULL,Non_Wetland,Built-up
256,Wetland,Bareland,NULL,Non_Wetland,Water
257,Wetland,Bareland,NULL,Non_Wetland,Forest
258,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
259,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
260,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
261,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
262,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
263,Wetland,Bareland,Non_Water,Non_Wetland,Water
264,Wetland,Bareland,Non_Water,Non_Wetland,Forest
265,Wetland,Bareland,Water,Non_Wetland,Grassland
266,Wetland,Bareland,Water,Non_Wetland,Wetland
267,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
268,Wetland,Bareland,Water,Non_Wetland,Bareland
269,Wetland,Bareland,Water,Non_Wetland,Water
270,Wetland,Bareland,Water,Non_Wetland,Forest
271,Wetland,Built-up,NULL,Non_Wetland,Grassland
272,Wetland,Built-up,NULL,Non_Wetland,Wetland
273,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
274,Wetland,Built-up,NULL,Non_Wetland,Bareland
275,Wetland,Built-up,NULL,Non_Wetland,Built-up
276,Wetland,Built-up,NULL,Non_Wetland,Water
277,Wetland,Built-up,NULL,Non_Wetland,Forest
278,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
279,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
280,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
281,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
282,Wetland,Built-up,Non_Water,Non_Wetland,Water
283,Wetland,Built-up,Non_Water,Non_Wetland,Forest
284,Wetland,Built-up,Water,Non_Wetland,Grassland
285,Wetland,Built-up,Water,Non_Wetland,Wetland
286,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
287,Wetland,Built-up,Water,Non_Wetland,Bareland
288,Wetland,Built-up,Water,Non_Wetland,Water
289,Wetland,Built-up,Water,Non_Wetland,Forest
290,Wetland,Water,NULL,Water,Grassland
291,Wetland,Water,NULL,Water,Wetland
292,Wetland,Water,NULL,Water,Lichens_and_Mosses
293,Wetland,Water,NULL,Water,Bareland
294,Wetland,Water,NULL,Water,Water
295,Wetland,Water,NULL,Water,Forest
296,Wetland,Water,Non_Water,Water,Grassland
297,Wetland,Water,Non_Water,Water,Wetland
298,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
299,Wetland,Water,Non_Water,Water,Bareland
300,Wetland,Water,Non_Water,Water,Water
301,Wetland,Water,Non_Water,Water,Forest
302,Wetland,Water,Water,Water,Grassland
303,Wetland,Water,Water,Water,Wetland
304,Wetland,Water,Water,Water,Lichens_and_Mosses
305,Wetland,Water,Water,Water,Bareland
306,Wetland,Water,Water,Water,Water
307,Wetland,Water,Water,Water,Forest
308,Wetland,Forest,NULL,Non_Wetland,Grassland
309,Wetland,Forest,NULL,Non_Wetland,Wetland
310,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
311,Wetland,Forest,NULL,Non_Wetland,Bareland
312,Wetland,Forest,NULL,Non_Wetland,Built-up
313,Wetland,Forest,NULL,Non_Wetland,Water
314,Wetland,Forest,NULL,Non_Wetland,Forest
315,Wetland,Forest,Non_Water,Non_Wetland,Grassland
316,Wetland,Forest,Non_Water,Non_Wetland,Wetland
317,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
318,Wetland,Forest,Non_Water,Non_Wetland,Bareland
319,Wetland,Forest,Non_Water,Non_Wetland,Water
320,Wetland,Forest,Non_Water,Non_Wetland,Forest
321,Wetland,Forest,Water,Non_Wetland,Grassland
322,Wetland,Forest,Water,Non_Wetland,Wetland
323,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
324,Wetland,Forest,Water,Non_Wetland,Bareland
325,Wetland,Forest,Water,Non_Wetland,Water
326,Wetland,Forest,Water,Non_Wetland,Forest
327,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
328,Bareland,NULL,NULL,Non_Wetland,Bareland
329,Bareland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
330,Bareland,NULL,Non_Water,Non_Wetland,Bareland
331,Bareland,NULL,Non_Water,Non_Wetland,Water
332,Bareland,NULL,Water,Non_Wetland,Wetland
333,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
334,Bareland,NULL,Water,Non_Wetland,Bareland
335,Bareland,NULL,Water,Non_Wetland,Water
336,Bareland,Shrubland,NULL,Non_Wetland,Grassland
337,Bareland,Shrubland,NULL,Non_Wetland,Wetland
338,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
339,Bareland,Shrubland,NULL,Non_Wetland,Bareland
340,Bareland,Shrubland,NULL,Non_Wetland,Water
341,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
342,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
343,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
344,Bareland,Shrubland,Non_Water,Non_Wetland,Water
345,Bareland,Shrubland,Water,Non_Wetland,Wetland
346,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
347,Bareland,Shrubland,Water,Non_Wetland,Bareland
348,Bareland,Shrubland,Water,Non_Wetland,Water
349,Bareland,Grassland,NULL,Non_Wetland,Grassland
350,Bareland,Grassland,NULL,Non_Wetland,Wetland
351,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
352,Bareland,Grassland,NULL,Non_Wetland,Bareland
353,Bareland,Grassland,NULL,Non_Wetland,Water
354,Bareland,Grassland,NULL,Non_Wetland,Forest
355,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
356,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
357,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
358,Bareland,Grassland,Water,Non_Wetland,Water
359,Bareland,Wetland,NULL,Wetland,Grassland
360,Bareland,Wetland,NULL,Wetland,Wetland
361,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
362,Bareland,Wetland,NULL,Wetland,Bareland
363,Bareland,Wetland,NULL,Wetland,Water
364,Bareland,Wetland,Non_Water,Wetland,Wetland
365,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
366,Bareland,Wetland,Non_Water,Wetland,Bareland
367,Bareland,Wetland,Non_Water,Wetland,Water
368,Bareland,Wetland,Water,Wetland,Grassland
369,Bareland,Wetland,Water,Wetland,Wetland
370,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
371,Bareland,Wetland,Water,Wetland,Bareland
372,Bareland,Wetland,Water,Wetland,Water
373,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
374,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
375,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
376,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
377,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
378,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
379,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
380,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
381,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
382,Bareland,Bareland,NULL,Non_Wetland,Grassland
383,Bareland,Bareland,NULL,Non_Wetland,Wetland
384,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
385,Bareland,Bareland,NULL,Non_Wetland,Bareland
386,Bareland,Bareland,NULL,Non_Wetland,Built-up
387,Bareland,Bareland,NULL,Non_Wetland,Water
388,Bareland,Bareland,NULL,Non_Wetland,Forest
389,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
390,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
391,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
392,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
393,Bareland,Bareland,Non_Water,Non_Wetland,Water
394,Bareland,Bareland,Water,Non_Wetland,Grassland
395,Bareland,Bareland,Water,Non_Wetland,Wetland
396,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
397,Bareland,Bareland,Water,Non_Wetland,Bareland
398,Bareland,Bareland,Water,Non_Wetland,Water
399,Bareland,Built-up,NULL,Non_Wetland,Grassland
400,Bareland,Built-up,NULL,Non_Wetland,Wetland
401,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
402,Bareland,Built-up,NULL,Non_Wetland,Bareland
403,Bareland,Built-up,NULL,Non_Wetland,Water
404,Bareland,Built-up,NULL,Non_Wetland,Forest
405,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
406,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
407,Bareland,Built-up,Non_Water,Non_Wetland,Water
408,Bareland,Built-up,Water,Non_Wetland,Wetland
409,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
410,Bareland,Built-up,Water,Non_Wetland,Bareland
411,Bareland,Built-up,Water,Non_Wetland,Water
412,Bareland,Water,NULL,Water,Grassland
413,Bareland,Water,NULL,Water,Lichens_and_Mosses
414,Bareland,Water,NULL,Water,Bareland
415,Bareland,Water,NULL,Water,Water
416,Bareland,Water,Non_Water,Water,Wetland
417,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
418,Bareland,Water,Non_Water,Water,Bareland
419,Bareland,Water,Non_Water,Water,Water
420,Bareland,Water,Water,Water,Wetland
421,Bareland,Water,Water,Water,Lichens_and_Mosses
422,Bareland,Water,Water,Water,Bareland
423,Bareland,Water,Water,Water,Water
424,Bareland,Water,Water,Water,Forest
425,Bareland,Forest,NULL,Non_Wetland,Grassland
426,Bareland,Forest,NULL,Non_Wetland,Wetland
427,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
428,Bareland,Forest,NULL,Non_Wetland,Bareland
429,Bareland,Forest,NULL,Non_Wetland,Water
430,Bareland,Forest,NULL,Non_Wetland,Forest
431,Bareland,Forest,Non_Water,Non_Wetland,Bareland
432,Bareland,Forest,Non_Water,Non_Wetland,Water
433,Bareland,Forest,Water,Non_Wetland,Grassland
434,Bareland,Forest,Water,Non_Wetland,Wetland
435,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
436,Bareland,Forest,Water,Non_Wetland,Bareland
437,Bareland,Forest,Water,Non_Wetland,Water
438,Bareland,Forest,Water,Non_Wetland,Forest
439,Built-up,NULL,NULL,Non_Wetland,Lichens_and_Mosses
440,Built-up,NULL,NULL,Non_Wetland,Bareland
441,Built-up,NULL,NULL,Non_Wetland,Water
442,Built-up,NULL,NULL,Non_Wetland,Forest
443,Built-up,Shrubland,NULL,Non_Wetland,Grassland
444,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
445,Built-up,Shrubland,NULL,Non_Wetland,Bareland
446,Built-up,Shrubland,NULL,Non_Wetland,Built-up
447,Built-up,Shrubland,NULL,Non_Wetland,Forest
448,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
449,Built-up,Grassland,NULL,Non_Wetland,Grassland
450,Built-up,Grassland,NULL,Non_Wetland,Wetland
451,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
452,Built-up,Grassland,NULL,Non_Wetland,Bareland
453,Built-up,Grassland,NULL,Non_Wetland,Built-up
454,Built-up,Grassland,NULL,Non_Wetland,Water
455,Built-up,Grassland,NULL,Non_Wetland,Forest
456,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
457,Built-up,Grassland,Water,Non_Wetland,Lichens_and_Mosses
458,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
459,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
460,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
461,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
462,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
463,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
464,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
