Value,SIBERIA_2024_ESA_CALU_2024_45XVC_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_45XVC_M_R,SIBERIA_2024_GLC_FCS30D_2022_45XVC_M_R,SIBERIA_2024_GSW_Yearly_2021_45XVC_M_R,SIBERIA_2024_GWL_FCS30D_2022_45XVC_M_R,SIBERIA_2024_WorldCover_2021_45XVC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
2,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
13,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
16,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Water
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Water
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
28,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
29,NULL,NULL,Grassland,Water,Non_Wetland,Water
30,NULL,NULL,Wetland,NULL,NULL,Grassland
31,NULL,NULL,Wetland,NULL,NULL,Wetland
32,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
33,NULL,NULL,Wetland,NULL,NULL,Bareland
34,NULL,NULL,Wetland,NULL,NULL,Water
35,NULL,NULL,Wetland,NULL,Wetland,Grassland
36,NULL,NULL,Wetland,NULL,Wetland,Wetland
37,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
38,NULL,NULL,Wetland,NULL,Wetland,Bareland
39,NULL,NULL,Wetland,NULL,Wetland,Water
40,NULL,NULL,Wetland,NULL,Wetland,Forest
41,NULL,NULL,Wetland,Non_Water,NULL,Grassland
42,NULL,NULL,Wetland,Non_Water,NULL,Wetland
43,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
44,NULL,NULL,Wetland,Non_Water,NULL,Bareland
45,NULL,NULL,Wetland,Non_Water,NULL,Water
46,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
47,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
48,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
49,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
50,NULL,NULL,Wetland,Non_Water,Wetland,Water
51,NULL,NULL,Wetland,Non_Water,Wetland,Forest
52,NULL,NULL,Wetland,Water,NULL,NULL
53,NULL,NULL,Wetland,Water,NULL,Grassland
54,NULL,NULL,Wetland,Water,NULL,Wetland
55,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
56,NULL,NULL,Wetland,Water,NULL,Bareland
57,NULL,NULL,Wetland,Water,NULL,Water
58,NULL,NULL,Wetland,Water,NULL,Forest
59,NULL,NULL,Wetland,Water,Wetland,Grassland
60,NULL,NULL,Wetland,Water,Wetland,Wetland
61,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
62,NULL,NULL,Wetland,Water,Wetland,Bareland
63,NULL,NULL,Wetland,Water,Wetland,Water
64,NULL,NULL,Wetland,Water,Wetland,Forest
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
71,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
72,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
73,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
75,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
76,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
77,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
78,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
79,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
80,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
81,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
82,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
85,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
86,NULL,NULL,Bareland,NULL,Non_Wetland,Water
87,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
92,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
94,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
95,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
96,NULL,NULL,Bareland,Water,Non_Wetland,Water
97,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
100,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Water
102,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
107,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
108,NULL,NULL,Built-up,Water,Non_Wetland,Water
109,NULL,NULL,Water,NULL,NULL,NULL
110,NULL,NULL,Water,NULL,NULL,Grassland
111,NULL,NULL,Water,NULL,NULL,Wetland
112,NULL,NULL,Water,NULL,NULL,Lichens_and_Mosses
113,NULL,NULL,Water,NULL,NULL,Bareland
114,NULL,NULL,Water,NULL,NULL,Water
115,NULL,NULL,Water,NULL,Water,Grassland
116,NULL,NULL,Water,NULL,Water,Wetland
117,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
118,NULL,NULL,Water,NULL,Water,Bareland
119,NULL,NULL,Water,NULL,Water,Water
120,NULL,NULL,Water,NULL,Water,Forest
121,NULL,NULL,Water,Non_Water,NULL,Bareland
122,NULL,NULL,Water,Non_Water,NULL,Forest
123,NULL,NULL,Water,Non_Water,Water,Grassland
124,NULL,NULL,Water,Non_Water,Water,Wetland
125,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
126,NULL,NULL,Water,Non_Water,Water,Bareland
127,NULL,NULL,Water,Non_Water,Water,Water
128,NULL,NULL,Water,Water,NULL,NULL
129,NULL,NULL,Water,Water,NULL,Grassland
130,NULL,NULL,Water,Water,NULL,Wetland
131,NULL,NULL,Water,Water,NULL,Lichens_and_Mosses
132,NULL,NULL,Water,Water,NULL,Bareland
133,NULL,NULL,Water,Water,NULL,Water
134,NULL,NULL,Water,Water,Water,Grassland
135,NULL,NULL,Water,Water,Water,Wetland
136,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
137,NULL,NULL,Water,Water,Water,Bareland
138,NULL,NULL,Water,Water,Water,Water
139,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
140,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Wetland
141,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
142,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
143,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Grassland
144,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Wetland
145,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
146,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Bareland
147,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Grassland
148,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Wetland
149,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Lichens_and_Mosses
150,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Bareland
151,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Water
152,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
154,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
155,NULL,NULL,Forest,NULL,Non_Wetland,Water
156,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
157,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
158,NULL,NULL,Forest,Water,Non_Wetland,Grassland
159,NULL,NULL,Forest,Water,Non_Wetland,Wetland
160,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
161,NULL,Cropland,Wetland,Water,Wetland,Wetland
162,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
163,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
164,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
165,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
166,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
167,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
168,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
169,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
170,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
171,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
172,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
173,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
174,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
175,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
176,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
177,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
178,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
179,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
180,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
181,NULL,Wetland,Wetland,NULL,NULL,Grassland
182,NULL,Wetland,Wetland,NULL,NULL,Wetland
183,NULL,Wetland,Wetland,NULL,NULL,Water
184,NULL,Wetland,Wetland,NULL,Wetland,Grassland
185,NULL,Wetland,Wetland,NULL,Wetland,Wetland
186,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
187,NULL,Wetland,Wetland,NULL,Wetland,Bareland
188,NULL,Wetland,Wetland,NULL,Wetland,Water
189,NULL,Wetland,Wetland,Non_Water,NULL,Grassland
190,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
191,NULL,Wetland,Wetland,Non_Water,NULL,Water
192,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
193,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
194,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
195,NULL,Wetland,Wetland,Non_Water,Wetland,Water
196,NULL,Wetland,Wetland,Water,NULL,Grassland
197,NULL,Wetland,Wetland,Water,NULL,Wetland
198,NULL,Wetland,Wetland,Water,NULL,Water
199,NULL,Wetland,Wetland,Water,Wetland,Grassland
