Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWS_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWS_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWS_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWS_M_R,SIBERIA_2024_WorldCover_2021_45WWS_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,Non_Water,Non_Wetland,Built-up
12,NULL,NULL,Non_Water,Non_Wetland,Water
13,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Water,Non_Wetland,Bareland
18,NULL,NULL,Water,Non_Wetland,Water
19,NULL,NULL,Water,Non_Wetland,Forest
20,NULL,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,Shrubland,NULL,Non_Wetland,Wetland
22,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,Shrubland,NULL,Non_Wetland,Forest
27,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
28,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
29,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
30,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
31,NULL,Shrubland,Non_Water,Non_Wetland,Water
32,NULL,Shrubland,Non_Water,Non_Wetland,Forest
33,NULL,Shrubland,Water,Non_Wetland,Grassland
34,NULL,Shrubland,Water,Non_Wetland,Wetland
35,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
36,NULL,Shrubland,Water,Non_Wetland,Bareland
37,NULL,Shrubland,Water,Non_Wetland,Built-up
38,NULL,Shrubland,Water,Non_Wetland,Water
39,NULL,Shrubland,Water,Non_Wetland,Forest
40,NULL,Grassland,NULL,Non_Wetland,NULL
41,NULL,Grassland,NULL,Non_Wetland,Grassland
42,NULL,Grassland,NULL,Non_Wetland,Wetland
43,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
44,NULL,Grassland,NULL,Non_Wetland,Bareland
45,NULL,Grassland,NULL,Non_Wetland,Built-up
46,NULL,Grassland,NULL,Non_Wetland,Water
47,NULL,Grassland,NULL,Non_Wetland,Forest
48,NULL,Grassland,Non_Water,Non_Wetland,Grassland
49,NULL,Grassland,Non_Water,Non_Wetland,Wetland
50,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
51,NULL,Grassland,Non_Water,Non_Wetland,Water
52,NULL,Grassland,Non_Water,Non_Wetland,Forest
53,NULL,Grassland,Water,Non_Wetland,Grassland
54,NULL,Grassland,Water,Non_Wetland,Wetland
55,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
56,NULL,Grassland,Water,Non_Wetland,Bareland
57,NULL,Grassland,Water,Non_Wetland,Water
58,NULL,Grassland,Water,Non_Wetland,Forest
59,NULL,Wetland,NULL,Wetland,Grassland
60,NULL,Wetland,NULL,Wetland,Wetland
61,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
62,NULL,Wetland,NULL,Wetland,Bareland
63,NULL,Wetland,NULL,Wetland,Water
64,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
65,NULL,Wetland,NULL,Wetland,Forest
66,NULL,Wetland,Non_Water,Wetland,Grassland
67,NULL,Wetland,Non_Water,Wetland,Wetland
68,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
69,NULL,Wetland,Non_Water,Wetland,Bareland
70,NULL,Wetland,Non_Water,Wetland,Water
71,NULL,Wetland,Non_Water,Wetland,Forest
72,NULL,Wetland,Water,Wetland,Grassland
73,NULL,Wetland,Water,Wetland,Wetland
74,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
75,NULL,Wetland,Water,Wetland,Bareland
76,NULL,Wetland,Water,Wetland,Built-up
77,NULL,Wetland,Water,Wetland,Water
78,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
79,NULL,Wetland,Water,Wetland,Forest
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
85,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
86,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
87,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
88,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
89,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
90,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
91,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
92,NULL,Bareland,NULL,Non_Wetland,Grassland
93,NULL,Bareland,NULL,Non_Wetland,Wetland
94,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
95,NULL,Bareland,NULL,Non_Wetland,Bareland
96,NULL,Bareland,NULL,Non_Wetland,Built-up
97,NULL,Bareland,NULL,Non_Wetland,Water
98,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
99,NULL,Bareland,NULL,Non_Wetland,Forest
100,NULL,Bareland,Non_Water,Non_Wetland,Grassland
101,NULL,Bareland,Non_Water,Non_Wetland,Wetland
102,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Bareland,Non_Water,Non_Wetland,Bareland
104,NULL,Bareland,Non_Water,Non_Wetland,Water
105,NULL,Bareland,Non_Water,Non_Wetland,Forest
106,NULL,Bareland,Water,Non_Wetland,Grassland
107,NULL,Bareland,Water,Non_Wetland,Wetland
108,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
109,NULL,Bareland,Water,Non_Wetland,Bareland
110,NULL,Bareland,Water,Non_Wetland,Built-up
111,NULL,Bareland,Water,Non_Wetland,Water
112,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
113,NULL,Bareland,Water,Non_Wetland,Forest
114,NULL,Built-up,NULL,Non_Wetland,Grassland
115,NULL,Built-up,NULL,Non_Wetland,Wetland
116,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
117,NULL,Built-up,NULL,Non_Wetland,Bareland
118,NULL,Built-up,NULL,Non_Wetland,Built-up
119,NULL,Built-up,NULL,Non_Wetland,Water
120,NULL,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
121,NULL,Built-up,NULL,Non_Wetland,Forest
122,NULL,Built-up,Non_Water,Non_Wetland,Grassland
123,NULL,Built-up,Non_Water,Non_Wetland,Wetland
124,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
125,NULL,Built-up,Non_Water,Non_Wetland,Bareland
126,NULL,Built-up,Non_Water,Non_Wetland,Built-up
127,NULL,Built-up,Non_Water,Non_Wetland,Water
128,NULL,Built-up,Non_Water,Non_Wetland,Forest
129,NULL,Built-up,Water,Non_Wetland,Grassland
130,NULL,Built-up,Water,Non_Wetland,Wetland
131,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
132,NULL,Built-up,Water,Non_Wetland,Bareland
133,NULL,Built-up,Water,Non_Wetland,Built-up
134,NULL,Built-up,Water,Non_Wetland,Water
135,NULL,Built-up,Water,Non_Wetland,Forest
136,NULL,Water,NULL,Water,Grassland
137,NULL,Water,NULL,Water,Wetland
138,NULL,Water,NULL,Water,Lichens_and_Mosses
139,NULL,Water,NULL,Water,Bareland
140,NULL,Water,NULL,Water,Water
141,NULL,Water,NULL,Water,Permanent_ice_and_snow
142,NULL,Water,NULL,Water,Forest
143,NULL,Water,Non_Water,Water,Grassland
144,NULL,Water,Non_Water,Water,Wetland
145,NULL,Water,Non_Water,Water,Lichens_and_Mosses
146,NULL,Water,Non_Water,Water,Bareland
147,NULL,Water,Non_Water,Water,Water
148,NULL,Water,Non_Water,Water,Forest
149,NULL,Water,Water,Water,Grassland
150,NULL,Water,Water,Water,Wetland
151,NULL,Water,Water,Water,Lichens_and_Mosses
152,NULL,Water,Water,Water,Bareland
153,NULL,Water,Water,Water,Built-up
154,NULL,Water,Water,Water,Water
155,NULL,Water,Water,Water,Permanent_ice_and_snow
156,NULL,Water,Water,Water,Forest
157,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
158,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
159,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
160,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
161,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
162,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Forest
163,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
164,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Bareland
165,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Water
166,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Lichens_and_Mosses
