Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VPQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VPQ_M_R,SIBERIA_2024_GSW_Yearly_2021_44VPQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,SIBERIA_2024_WorldCover_2021_44VPQ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,Shrubland,Non_Water,Non_Wetland,Water
22,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
31,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,Grassland,Non_Water,Non_Wetland,Forest
33,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,Grassland,Water,Non_Wetland,Forest
35,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,Cropland,NULL,Non_Wetland,Wetland
37,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Cropland,NULL,Non_Wetland,Forest
39,NULL,Cropland,Non_Water,Non_Wetland,Forest
40,NULL,Wetland,NULL,Wetland,NULL
41,NULL,Wetland,NULL,Wetland,Grassland
42,NULL,Wetland,NULL,Wetland,Wetland
43,NULL,Wetland,NULL,Wetland,Bareland
44,NULL,Wetland,NULL,Wetland,Water
45,NULL,Wetland,NULL,Wetland,Forest
46,NULL,Wetland,Non_Water,Wetland,NULL
47,NULL,Wetland,Non_Water,Wetland,Grassland
48,NULL,Wetland,Non_Water,Wetland,Wetland
49,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
50,NULL,Wetland,Non_Water,Wetland,Water
51,NULL,Wetland,Non_Water,Wetland,Forest
52,NULL,Wetland,Water,Wetland,NULL
53,NULL,Wetland,Water,Wetland,Grassland
54,NULL,Wetland,Water,Wetland,Wetland
55,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
56,NULL,Wetland,Water,Wetland,Bareland
57,NULL,Wetland,Water,Wetland,Water
58,NULL,Wetland,Water,Wetland,Forest
59,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
60,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
63,NULL,Bareland,NULL,Non_Wetland,NULL
64,NULL,Bareland,NULL,Non_Wetland,Grassland
65,NULL,Bareland,NULL,Non_Wetland,Wetland
66,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
67,NULL,Bareland,NULL,Non_Wetland,Bareland
68,NULL,Bareland,NULL,Non_Wetland,Built-up
69,NULL,Bareland,NULL,Non_Wetland,Water
70,NULL,Bareland,NULL,Non_Wetland,Forest
71,NULL,Bareland,Non_Water,Non_Wetland,NULL
72,NULL,Bareland,Non_Water,Non_Wetland,Grassland
73,NULL,Bareland,Non_Water,Non_Wetland,Wetland
74,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
75,NULL,Bareland,Non_Water,Non_Wetland,Bareland
76,NULL,Bareland,Non_Water,Non_Wetland,Water
77,NULL,Bareland,Non_Water,Non_Wetland,Forest
78,NULL,Bareland,Water,Non_Wetland,Grassland
79,NULL,Bareland,Water,Non_Wetland,Wetland
80,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
81,NULL,Bareland,Water,Non_Wetland,Bareland
82,NULL,Bareland,Water,Non_Wetland,Water
83,NULL,Bareland,Water,Non_Wetland,Forest
84,NULL,Built-up,NULL,Non_Wetland,NULL
85,NULL,Built-up,NULL,Non_Wetland,Grassland
86,NULL,Built-up,NULL,Non_Wetland,Wetland
87,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
88,NULL,Built-up,NULL,Non_Wetland,Bareland
89,NULL,Built-up,NULL,Non_Wetland,Built-up
90,NULL,Built-up,NULL,Non_Wetland,Water
91,NULL,Built-up,NULL,Non_Wetland,Forest
92,NULL,Built-up,Non_Water,Non_Wetland,Wetland
93,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
94,NULL,Built-up,Non_Water,Non_Wetland,Forest
95,NULL,Built-up,Water,Non_Wetland,Wetland
96,NULL,Built-up,Water,Non_Wetland,Forest
97,NULL,Water,NULL,Water,NULL
98,NULL,Water,NULL,Water,Grassland
99,NULL,Water,NULL,Water,Wetland
100,NULL,Water,NULL,Water,Lichens_and_Mosses
101,NULL,Water,NULL,Water,Bareland
102,NULL,Water,NULL,Water,Water
103,NULL,Water,NULL,Water,Forest
104,NULL,Water,Non_Water,Water,Wetland
105,NULL,Water,Non_Water,Water,Water
106,NULL,Water,Non_Water,Water,Forest
107,NULL,Water,Water,Water,Grassland
108,NULL,Water,Water,Water,Wetland
109,NULL,Water,Water,Water,Lichens_and_Mosses
110,NULL,Water,Water,Water,Water
111,NULL,Water,Water,Water,Forest
112,NULL,Forest,NULL,Non_Wetland,NULL
113,NULL,Forest,NULL,Non_Wetland,Grassland
114,NULL,Forest,NULL,Non_Wetland,Wetland
115,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
116,NULL,Forest,NULL,Non_Wetland,Water
117,NULL,Forest,NULL,Non_Wetland,Forest
118,NULL,Forest,Non_Water,Non_Wetland,NULL
119,NULL,Forest,Non_Water,Non_Wetland,Grassland
120,NULL,Forest,Non_Water,Non_Wetland,Wetland
121,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
122,NULL,Forest,Non_Water,Non_Wetland,Water
123,NULL,Forest,Non_Water,Non_Wetland,Forest
124,NULL,Forest,Water,Non_Wetland,Grassland
125,NULL,Forest,Water,Non_Wetland,Wetland
126,NULL,Forest,Water,Non_Wetland,Water
127,NULL,Forest,Water,Non_Wetland,Forest
128,Cropland,NULL,NULL,Non_Wetland,Grassland
129,Cropland,NULL,NULL,Non_Wetland,Forest
130,Cropland,Shrubland,NULL,Non_Wetland,Grassland
131,Cropland,Shrubland,NULL,Non_Wetland,Wetland
132,Cropland,Shrubland,NULL,Non_Wetland,Forest
133,Cropland,Wetland,NULL,Wetland,NULL
134,Cropland,Wetland,NULL,Wetland,Grassland
135,Cropland,Wetland,NULL,Wetland,Wetland
136,Cropland,Wetland,NULL,Wetland,Forest
137,Cropland,Wetland,Non_Water,Wetland,Grassland
138,Cropland,Wetland,Non_Water,Wetland,Wetland
139,Cropland,Wetland,Non_Water,Wetland,Forest
140,Cropland,Bareland,NULL,Non_Wetland,NULL
141,Cropland,Bareland,NULL,Non_Wetland,Grassland
142,Cropland,Bareland,NULL,Non_Wetland,Wetland
143,Cropland,Bareland,NULL,Non_Wetland,Forest
144,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
145,Cropland,Bareland,Non_Water,Non_Wetland,Forest
146,Cropland,Built-up,NULL,Non_Wetland,Forest
147,Cropland,Forest,NULL,Non_Wetland,NULL
148,Cropland,Forest,NULL,Non_Wetland,Grassland
149,Cropland,Forest,NULL,Non_Wetland,Wetland
150,Cropland,Forest,NULL,Non_Wetland,Forest
151,Wetland,NULL,NULL,Non_Wetland,NULL
152,Wetland,NULL,NULL,Non_Wetland,Grassland
153,Wetland,NULL,NULL,Non_Wetland,Wetland
154,Wetland,NULL,NULL,Non_Wetland,Water
155,Wetland,NULL,NULL,Non_Wetland,Forest
156,Wetland,NULL,Non_Water,Non_Wetland,Grassland
157,Wetland,NULL,Non_Water,Non_Wetland,Wetland
158,Wetland,NULL,Non_Water,Non_Wetland,Water
159,Wetland,NULL,Non_Water,Non_Wetland,Forest
160,Wetland,NULL,Water,Non_Wetland,Grassland
161,Wetland,NULL,Water,Non_Wetland,Wetland
162,Wetland,NULL,Water,Non_Wetland,Bareland
163,Wetland,NULL,Water,Non_Wetland,Water
164,Wetland,NULL,Water,Non_Wetland,Forest
165,Wetland,Shrubland,NULL,Non_Wetland,NULL
166,Wetland,Shrubland,NULL,Non_Wetland,Grassland
167,Wetland,Shrubland,NULL,Non_Wetland,Wetland
168,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
169,Wetland,Shrubland,NULL,Non_Wetland,Water
170,Wetland,Shrubland,NULL,Non_Wetland,Forest
171,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
172,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
173,Wetland,Shrubland,Non_Water,Non_Wetland,Water
174,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
175,Wetland,Shrubland,Water,Non_Wetland,Grassland
176,Wetland,Shrubland,Water,Non_Wetland,Wetland
177,Wetland,Shrubland,Water,Non_Wetland,Water
178,Wetland,Shrubland,Water,Non_Wetland,Forest
179,Wetland,Grassland,NULL,Non_Wetland,Grassland
180,Wetland,Grassland,NULL,Non_Wetland,Wetland
181,Wetland,Grassland,NULL,Non_Wetland,Forest
182,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
183,Wetland,Grassland,Water,Non_Wetland,Forest
184,Wetland,Cropland,NULL,Non_Wetland,Grassland
185,Wetland,Cropland,NULL,Non_Wetland,Forest
186,Wetland,Wetland,NULL,Wetland,NULL
187,Wetland,Wetland,NULL,Wetland,Grassland
188,Wetland,Wetland,NULL,Wetland,Wetland
189,Wetland,Wetland,NULL,Wetland,Water
190,Wetland,Wetland,NULL,Wetland,Forest
191,Wetland,Wetland,Non_Water,Wetland,NULL
192,Wetland,Wetland,Non_Water,Wetland,Grassland
193,Wetland,Wetland,Non_Water,Wetland,Wetland
194,Wetland,Wetland,Non_Water,Wetland,Water
195,Wetland,Wetland,Non_Water,Wetland,Forest
196,Wetland,Wetland,Water,Wetland,NULL
197,Wetland,Wetland,Water,Wetland,Grassland
198,Wetland,Wetland,Water,Wetland,Wetland
199,Wetland,Wetland,Water,Wetland,Water
200,Wetland,Wetland,Water,Wetland,Forest
201,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
202,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
203,Wetland,Bareland,NULL,Non_Wetland,NULL
204,Wetland,Bareland,NULL,Non_Wetland,Grassland
205,Wetland,Bareland,NULL,Non_Wetland,Wetland
206,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
207,Wetland,Bareland,NULL,Non_Wetland,Bareland
208,Wetland,Bareland,NULL,Non_Wetland,Water
209,Wetland,Bareland,NULL,Non_Wetland,Forest
210,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
211,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
212,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
213,Wetland,Bareland,Non_Water,Non_Wetland,Water
214,Wetland,Bareland,Non_Water,Non_Wetland,Forest
215,Wetland,Bareland,Water,Non_Wetland,Grassland
216,Wetland,Bareland,Water,Non_Wetland,Wetland
217,Wetland,Bareland,Water,Non_Wetland,Water
218,Wetland,Bareland,Water,Non_Wetland,Forest
219,Wetland,Built-up,NULL,Non_Wetland,Grassland
220,Wetland,Built-up,NULL,Non_Wetland,Wetland
221,Wetland,Built-up,NULL,Non_Wetland,Water
222,Wetland,Built-up,NULL,Non_Wetland,Forest
223,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
224,Wetland,Built-up,Water,Non_Wetland,Wetland
225,Wetland,Water,NULL,Water,NULL
226,Wetland,Water,NULL,Water,Grassland
227,Wetland,Water,NULL,Water,Wetland
228,Wetland,Water,NULL,Water,Water
229,Wetland,Water,NULL,Water,Forest
230,Wetland,Water,Non_Water,Water,Wetland
231,Wetland,Water,Non_Water,Water,Water
232,Wetland,Water,Non_Water,Water,Forest
233,Wetland,Water,Water,Water,NULL
234,Wetland,Water,Water,Water,Grassland
235,Wetland,Water,Water,Water,Wetland
236,Wetland,Water,Water,Water,Lichens_and_Mosses
237,Wetland,Water,Water,Water,Water
238,Wetland,Water,Water,Water,Forest
239,Wetland,Forest,NULL,Non_Wetland,NULL
240,Wetland,Forest,NULL,Non_Wetland,Grassland
241,Wetland,Forest,NULL,Non_Wetland,Wetland
242,Wetland,Forest,NULL,Non_Wetland,Water
243,Wetland,Forest,NULL,Non_Wetland,Forest
244,Wetland,Forest,Non_Water,Non_Wetland,NULL
245,Wetland,Forest,Non_Water,Non_Wetland,Grassland
246,Wetland,Forest,Non_Water,Non_Wetland,Wetland
247,Wetland,Forest,Non_Water,Non_Wetland,Water
248,Wetland,Forest,Non_Water,Non_Wetland,Forest
249,Wetland,Forest,Water,Non_Wetland,NULL
250,Wetland,Forest,Water,Non_Wetland,Grassland
251,Wetland,Forest,Water,Non_Wetland,Wetland
252,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
253,Wetland,Forest,Water,Non_Wetland,Water
254,Wetland,Forest,Water,Non_Wetland,Forest
255,Bareland,NULL,NULL,Non_Wetland,Grassland
256,Bareland,NULL,NULL,Non_Wetland,Wetland
257,Bareland,NULL,NULL,Non_Wetland,Water
258,Bareland,NULL,NULL,Non_Wetland,Forest
259,Bareland,NULL,Non_Water,Non_Wetland,Water
260,Bareland,NULL,Non_Water,Non_Wetland,Forest
261,Bareland,NULL,Water,Non_Wetland,Forest
262,Bareland,Shrubland,NULL,Non_Wetland,Grassland
263,Bareland,Shrubland,NULL,Non_Wetland,Wetland
264,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
265,Bareland,Shrubland,NULL,Non_Wetland,Forest
266,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
267,Bareland,Grassland,NULL,Non_Wetland,Grassland
