Value,SIBERIA_2024_ESA_CALU_2024_44XNF_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44XNF_M_R,SIBERIA_2024_GLC_FCS30D_2022_44XNF_M_R,SIBERIA_2024_GSW_Yearly_2021_44XNF_M_R,SIBERIA_2024_GWL_FCS30D_2022_44XNF_M_R,SIBERIA_2024_WorldCover_2021_44XNF_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Water
17,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Water
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
28,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
30,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
31,NULL,NULL,Grassland,Water,Non_Wetland,Water
32,NULL,NULL,Wetland,NULL,NULL,Grassland
33,NULL,NULL,Wetland,NULL,NULL,Wetland
34,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
35,NULL,NULL,Wetland,NULL,NULL,Bareland
36,NULL,NULL,Wetland,NULL,NULL,Water
37,NULL,NULL,Wetland,NULL,Wetland,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,Wetland
39,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
40,NULL,NULL,Wetland,NULL,Wetland,Bareland
41,NULL,NULL,Wetland,NULL,Wetland,Water
42,NULL,NULL,Wetland,Non_Water,NULL,Grassland
43,NULL,NULL,Wetland,Non_Water,NULL,Wetland
44,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
45,NULL,NULL,Wetland,Non_Water,NULL,Bareland
46,NULL,NULL,Wetland,Non_Water,NULL,Water
47,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
48,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
49,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
50,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
51,NULL,NULL,Wetland,Non_Water,Wetland,Water
52,NULL,NULL,Wetland,Water,NULL,Grassland
53,NULL,NULL,Wetland,Water,NULL,Wetland
54,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
55,NULL,NULL,Wetland,Water,NULL,Bareland
56,NULL,NULL,Wetland,Water,NULL,Water
57,NULL,NULL,Wetland,Water,Wetland,Grassland
58,NULL,NULL,Wetland,Water,Wetland,Wetland
59,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
60,NULL,NULL,Wetland,Water,Wetland,Bareland
61,NULL,NULL,Wetland,Water,Wetland,Water
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
68,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
69,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
70,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
71,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
72,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
73,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
74,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
75,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
76,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
77,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
78,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
79,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
81,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Water
84,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
91,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
92,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
93,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
94,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
95,NULL,NULL,Bareland,Water,Non_Wetland,Water
96,NULL,NULL,Bareland,Water,Non_Wetland,Forest
97,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
98,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
100,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Water
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
107,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
108,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
109,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
110,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
111,NULL,NULL,Built-up,Water,Non_Wetland,Water
112,NULL,NULL,Water,NULL,NULL,Grassland
113,NULL,NULL,Water,NULL,NULL,Wetland
114,NULL,NULL,Water,NULL,Water,Grassland
115,NULL,NULL,Water,NULL,Water,Wetland
116,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
117,NULL,NULL,Water,NULL,Water,Bareland
118,NULL,NULL,Water,NULL,Water,Water
119,NULL,NULL,Water,Non_Water,Water,Grassland
120,NULL,NULL,Water,Non_Water,Water,Wetland
121,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
122,NULL,NULL,Water,Non_Water,Water,Bareland
123,NULL,NULL,Water,Non_Water,Water,Water
124,NULL,NULL,Water,Non_Water,Water,Forest
125,NULL,NULL,Water,Water,NULL,Water
126,NULL,NULL,Water,Water,Water,Grassland
127,NULL,NULL,Water,Water,Water,Wetland
128,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
129,NULL,NULL,Water,Water,Water,Bareland
130,NULL,NULL,Water,Water,Water,Water
131,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
132,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
133,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
134,NULL,NULL,Forest,NULL,Non_Wetland,Water
135,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
136,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
137,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
138,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
139,NULL,NULL,Forest,Water,Non_Wetland,Grassland
140,NULL,NULL,Forest,Water,Non_Wetland,Wetland
141,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
142,NULL,NULL,Forest,Water,Non_Wetland,Water
143,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
145,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
146,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
147,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
148,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
149,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
150,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
151,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
152,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
153,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
154,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
155,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
156,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
157,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
158,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
159,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
160,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
161,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
162,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
163,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
164,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
165,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
166,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
167,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
168,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
169,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
170,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
171,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
172,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
173,NULL,Wetland,Grassland,Water,Non_Wetland,Water
174,NULL,Wetland,Wetland,NULL,NULL,Grassland
175,NULL,Wetland,Wetland,NULL,NULL,Wetland
176,NULL,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
177,NULL,Wetland,Wetland,NULL,NULL,Bareland
178,NULL,Wetland,Wetland,NULL,NULL,Water
179,NULL,Wetland,Wetland,NULL,Wetland,Grassland
180,NULL,Wetland,Wetland,NULL,Wetland,Wetland
181,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
182,NULL,Wetland,Wetland,NULL,Wetland,Bareland
183,NULL,Wetland,Wetland,NULL,Wetland,Water
184,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
185,NULL,Wetland,Wetland,Non_Water,NULL,Lichens_and_Mosses
186,NULL,Wetland,Wetland,Non_Water,NULL,Bareland
187,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
188,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
189,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
