Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VNM_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VNM_M_R,SIBERIA_2024_GSW_Yearly_2021_44VNM_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VNM_M_R,SIBERIA_2024_WorldCover_2021_44VNM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,Grassland,NULL,Non_Wetland,NULL
25,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
28,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,Grassland,Non_Water,Non_Wetland,Forest
32,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,Grassland,Water,Non_Wetland,Bareland
34,NULL,Cropland,NULL,Non_Wetland,NULL
35,NULL,Cropland,NULL,Non_Wetland,Grassland
36,NULL,Cropland,NULL,Non_Wetland,Cropland
37,NULL,Cropland,NULL,Non_Wetland,Wetland
38,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Cropland,NULL,Non_Wetland,Bareland
40,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,Cropland,Non_Water,Non_Wetland,Wetland
43,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
44,NULL,Cropland,Non_Water,Non_Wetland,Forest
45,NULL,Cropland,Water,Non_Wetland,Grassland
46,NULL,Cropland,Water,Non_Wetland,Wetland
47,NULL,Cropland,Water,Non_Wetland,Forest
48,NULL,Wetland,NULL,Wetland,NULL
49,NULL,Wetland,NULL,Wetland,Grassland
50,NULL,Wetland,NULL,Wetland,Cropland
51,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
53,NULL,Wetland,NULL,Wetland,Water
54,NULL,Wetland,NULL,Wetland,Forest
55,NULL,Wetland,Non_Water,Wetland,NULL
56,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,Wetland,Non_Water,Wetland,Water
59,NULL,Wetland,Non_Water,Wetland,Forest
60,NULL,Wetland,Water,Wetland,NULL
61,NULL,Wetland,Water,Wetland,Grassland
62,NULL,Wetland,Water,Wetland,Cropland
63,NULL,Wetland,Water,Wetland,Wetland
64,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
65,NULL,Wetland,Water,Wetland,Bareland
66,NULL,Wetland,Water,Wetland,Water
67,NULL,Wetland,Water,Wetland,Forest
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
73,NULL,Bareland,NULL,Non_Wetland,NULL
74,NULL,Bareland,NULL,Non_Wetland,Grassland
75,NULL,Bareland,NULL,Non_Wetland,Cropland
76,NULL,Bareland,NULL,Non_Wetland,Wetland
77,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,Bareland,NULL,Non_Wetland,Bareland
79,NULL,Bareland,NULL,Non_Wetland,Water
80,NULL,Bareland,NULL,Non_Wetland,Forest
81,NULL,Bareland,Non_Water,Non_Wetland,Grassland
82,NULL,Bareland,Non_Water,Non_Wetland,Wetland
83,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
84,NULL,Bareland,Non_Water,Non_Wetland,Water
85,NULL,Bareland,Non_Water,Non_Wetland,Forest
86,NULL,Bareland,Water,Non_Wetland,Grassland
87,NULL,Bareland,Water,Non_Wetland,Wetland
88,NULL,Bareland,Water,Non_Wetland,Bareland
89,NULL,Bareland,Water,Non_Wetland,Water
90,NULL,Bareland,Water,Non_Wetland,Forest
91,NULL,Built-up,NULL,Non_Wetland,NULL
92,NULL,Built-up,NULL,Non_Wetland,Grassland
93,NULL,Built-up,NULL,Non_Wetland,Wetland
94,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
95,NULL,Built-up,NULL,Non_Wetland,Bareland
96,NULL,Built-up,NULL,Non_Wetland,Built-up
97,NULL,Built-up,NULL,Non_Wetland,Forest
98,NULL,Built-up,Non_Water,Non_Wetland,Forest
99,NULL,Built-up,Water,Non_Wetland,Forest
100,NULL,Water,NULL,Water,NULL
101,NULL,Water,NULL,Water,Grassland
102,NULL,Water,NULL,Water,Wetland
103,NULL,Water,NULL,Water,Lichens_and_Mosses
104,NULL,Water,NULL,Water,Water
105,NULL,Water,NULL,Water,Forest
106,NULL,Water,Non_Water,Water,Wetland
107,NULL,Water,Non_Water,Water,Water
108,NULL,Water,Non_Water,Water,Forest
109,NULL,Water,Water,Water,NULL
110,NULL,Water,Water,Water,Grassland
111,NULL,Water,Water,Water,Wetland
112,NULL,Water,Water,Water,Water
113,NULL,Water,Water,Water,Forest
114,NULL,Forest,NULL,Non_Wetland,NULL
115,NULL,Forest,NULL,Non_Wetland,Grassland
116,NULL,Forest,NULL,Non_Wetland,Wetland
117,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
118,NULL,Forest,NULL,Non_Wetland,Water
119,NULL,Forest,NULL,Non_Wetland,Forest
120,NULL,Forest,Non_Water,Non_Wetland,NULL
121,NULL,Forest,Non_Water,Non_Wetland,Grassland
122,NULL,Forest,Non_Water,Non_Wetland,Wetland
123,NULL,Forest,Non_Water,Non_Wetland,Water
124,NULL,Forest,Non_Water,Non_Wetland,Forest
125,NULL,Forest,Water,Non_Wetland,Grassland
126,NULL,Forest,Water,Non_Wetland,Wetland
127,NULL,Forest,Water,Non_Wetland,Forest
128,Cropland,NULL,NULL,Non_Wetland,Forest
129,Cropland,Shrubland,NULL,Non_Wetland,NULL
130,Cropland,Shrubland,NULL,Non_Wetland,Grassland
131,Cropland,Shrubland,NULL,Non_Wetland,Wetland
132,Cropland,Shrubland,NULL,Non_Wetland,Forest
133,Cropland,Wetland,NULL,Wetland,NULL
134,Cropland,Wetland,NULL,Wetland,Grassland
135,Cropland,Wetland,NULL,Wetland,Wetland
136,Cropland,Wetland,NULL,Wetland,Forest
137,Cropland,Bareland,NULL,Non_Wetland,NULL
138,Cropland,Bareland,NULL,Non_Wetland,Grassland
139,Cropland,Bareland,NULL,Non_Wetland,Wetland
140,Cropland,Bareland,NULL,Non_Wetland,Forest
141,Cropland,Forest,NULL,Non_Wetland,NULL
142,Cropland,Forest,NULL,Non_Wetland,Grassland
143,Cropland,Forest,NULL,Non_Wetland,Wetland
144,Cropland,Forest,NULL,Non_Wetland,Forest
145,Wetland,NULL,NULL,Non_Wetland,NULL
146,Wetland,NULL,NULL,Non_Wetland,Grassland
147,Wetland,NULL,NULL,Non_Wetland,Wetland
148,Wetland,NULL,NULL,Non_Wetland,Water
149,Wetland,NULL,NULL,Non_Wetland,Forest
150,Wetland,NULL,Non_Water,Non_Wetland,Grassland
151,Wetland,NULL,Non_Water,Non_Wetland,Wetland
152,Wetland,NULL,Non_Water,Non_Wetland,Water
153,Wetland,NULL,Non_Water,Non_Wetland,Forest
154,Wetland,NULL,Water,Non_Wetland,Grassland
155,Wetland,NULL,Water,Non_Wetland,Wetland
156,Wetland,NULL,Water,Non_Wetland,Water
157,Wetland,NULL,Water,Non_Wetland,Forest
158,Wetland,Shrubland,NULL,Non_Wetland,NULL
159,Wetland,Shrubland,NULL,Non_Wetland,Grassland
160,Wetland,Shrubland,NULL,Non_Wetland,Wetland
161,Wetland,Shrubland,NULL,Non_Wetland,Water
162,Wetland,Shrubland,NULL,Non_Wetland,Forest
163,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
164,Wetland,Shrubland,Non_Water,Non_Wetland,Water
165,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
166,Wetland,Shrubland,Water,Non_Wetland,Grassland
167,Wetland,Shrubland,Water,Non_Wetland,Wetland
168,Wetland,Shrubland,Water,Non_Wetland,Water
169,Wetland,Shrubland,Water,Non_Wetland,Forest
170,Wetland,Grassland,NULL,Non_Wetland,Grassland
171,Wetland,Grassland,NULL,Non_Wetland,Wetland
172,Wetland,Grassland,NULL,Non_Wetland,Water
173,Wetland,Grassland,NULL,Non_Wetland,Forest
174,Wetland,Grassland,Water,Non_Wetland,Grassland
175,Wetland,Grassland,Water,Non_Wetland,Wetland
176,Wetland,Grassland,Water,Non_Wetland,Bareland
177,Wetland,Grassland,Water,Non_Wetland,Water
178,Wetland,Grassland,Water,Non_Wetland,Forest
179,Wetland,Cropland,NULL,Non_Wetland,Grassland
180,Wetland,Cropland,NULL,Non_Wetland,Wetland
181,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
182,Wetland,Cropland,NULL,Non_Wetland,Bareland
183,Wetland,Cropland,NULL,Non_Wetland,Water
184,Wetland,Cropland,NULL,Non_Wetland,Forest
185,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
186,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
187,Wetland,Cropland,Non_Water,Non_Wetland,Forest
188,Wetland,Cropland,Water,Non_Wetland,Grassland
189,Wetland,Cropland,Water,Non_Wetland,Wetland
190,Wetland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
191,Wetland,Cropland,Water,Non_Wetland,Bareland
192,Wetland,Cropland,Water,Non_Wetland,Water
193,Wetland,Cropland,Water,Non_Wetland,Forest
194,Wetland,Wetland,NULL,Wetland,NULL
195,Wetland,Wetland,NULL,Wetland,Grassland
196,Wetland,Wetland,NULL,Wetland,Wetland
197,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
198,Wetland,Wetland,NULL,Wetland,Bareland
199,Wetland,Wetland,NULL,Wetland,Water
200,Wetland,Wetland,NULL,Wetland,Forest
201,Wetland,Wetland,Non_Water,Wetland,NULL
202,Wetland,Wetland,Non_Water,Wetland,Grassland
203,Wetland,Wetland,Non_Water,Wetland,Wetland
204,Wetland,Wetland,Non_Water,Wetland,Water
205,Wetland,Wetland,Non_Water,Wetland,Forest
206,Wetland,Wetland,Water,Wetland,NULL
207,Wetland,Wetland,Water,Wetland,Grassland
208,Wetland,Wetland,Water,Wetland,Cropland
209,Wetland,Wetland,Water,Wetland,Wetland
210,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
211,Wetland,Wetland,Water,Wetland,Bareland
212,Wetland,Wetland,Water,Wetland,Water
213,Wetland,Wetland,Water,Wetland,Forest
214,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
215,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
216,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
217,Wetland,Bareland,NULL,Non_Wetland,NULL
218,Wetland,Bareland,NULL,Non_Wetland,Grassland
219,Wetland,Bareland,NULL,Non_Wetland,Wetland
220,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
221,Wetland,Bareland,NULL,Non_Wetland,Water
222,Wetland,Bareland,NULL,Non_Wetland,Forest
223,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
224,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
225,Wetland,Bareland,Non_Water,Non_Wetland,Water
226,Wetland,Bareland,Non_Water,Non_Wetland,Forest
227,Wetland,Bareland,Water,Non_Wetland,Grassland
228,Wetland,Bareland,Water,Non_Wetland,Wetland
229,Wetland,Bareland,Water,Non_Wetland,Bareland
230,Wetland,Bareland,Water,Non_Wetland,Water
231,Wetland,Bareland,Water,Non_Wetland,Forest
232,Wetland,Built-up,NULL,Non_Wetland,Grassland
233,Wetland,Built-up,NULL,Non_Wetland,Wetland
234,Wetland,Built-up,NULL,Non_Wetland,Bareland
235,Wetland,Built-up,NULL,Non_Wetland,Water
236,Wetland,Built-up,NULL,Non_Wetland,Forest
237,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
238,Wetland,Built-up,Non_Water,Non_Wetland,Forest
239,Wetland,Built-up,Water,Non_Wetland,Water
240,Wetland,Water,NULL,Water,NULL
241,Wetland,Water,NULL,Water,Grassland
242,Wetland,Water,NULL,Water,Wetland
243,Wetland,Water,NULL,Water,Water
244,Wetland,Water,NULL,Water,Forest
245,Wetland,Water,Non_Water,Water,Grassland
246,Wetland,Water,Non_Water,Water,Wetland
247,Wetland,Water,Non_Water,Water,Water
248,Wetland,Water,Non_Water,Water,Forest
249,Wetland,Water,Water,Water,NULL
250,Wetland,Water,Water,Water,Grassland
251,Wetland,Water,Water,Water,Cropland
252,Wetland,Water,Water,Water,Wetland
253,Wetland,Water,Water,Water,Bareland
254,Wetland,Water,Water,Water,Water
255,Wetland,Water,Water,Water,Forest
256,Wetland,Forest,NULL,Non_Wetland,NULL
257,Wetland,Forest,NULL,Non_Wetland,Grassland
258,Wetland,Forest,NULL,Non_Wetland,Wetland
259,Wetland,Forest,NULL,Non_Wetland,Water
260,Wetland,Forest,NULL,Non_Wetland,Forest
261,Wetland,Forest,Non_Water,Non_Wetland,NULL
262,Wetland,Forest,Non_Water,Non_Wetland,Grassland
263,Wetland,Forest,Non_Water,Non_Wetland,Wetland
264,Wetland,Forest,Non_Water,Non_Wetland,Water
265,Wetland,Forest,Non_Water,Non_Wetland,Forest
266,Wetland,Forest,Water,Non_Wetland,NULL
267,Wetland,Forest,Water,Non_Wetland,Grassland
268,Wetland,Forest,Water,Non_Wetland,Wetland
269,Wetland,Forest,Water,Non_Wetland,Bareland
