Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXT_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXT_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXT_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXT_M_R,SIBERIA_2024_WorldCover_2021_42WXT_M_R
257,Wetland,Grassland,Water,Non_Wetland,Water
258,Wetland,Grassland,Water,Non_Wetland,Forest
259,Wetland,Cropland,NULL,Non_Wetland,Grassland
260,Wetland,Cropland,NULL,Non_Wetland,Wetland
261,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
262,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
263,Wetland,Cropland,Water,Non_Wetland,Grassland
264,Wetland,Wetland,NULL,Wetland,NULL
265,Wetland,Wetland,NULL,Wetland,Grassland
266,Wetland,Wetland,NULL,Wetland,Wetland
267,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
268,Wetland,Wetland,NULL,Wetland,Bareland
269,Wetland,Wetland,NULL,Wetland,Built-up
270,Wetland,Wetland,NULL,Wetland,Water
271,Wetland,Wetland,NULL,Wetland,Forest
272,Wetland,Wetland,Non_Water,Wetland,Grassland
273,Wetland,Wetland,Non_Water,Wetland,Wetland
274,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
275,Wetland,Wetland,Non_Water,Wetland,Bareland
276,Wetland,Wetland,Non_Water,Wetland,Built-up
277,Wetland,Wetland,Non_Water,Wetland,Water
278,Wetland,Wetland,Non_Water,Wetland,Forest
279,Wetland,Wetland,Water,Wetland,Grassland
280,Wetland,Wetland,Water,Wetland,Wetland
281,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
282,Wetland,Wetland,Water,Wetland,Bareland
283,Wetland,Wetland,Water,Wetland,Built-up
284,Wetland,Wetland,Water,Wetland,Water
285,Wetland,Wetland,Water,Wetland,Forest
286,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
287,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
288,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
289,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
290,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
291,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
292,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
293,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
294,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
295,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
296,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
297,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
298,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
299,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
300,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
301,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
302,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
303,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Built-up
304,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
305,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
306,Wetland,Bareland,NULL,Non_Wetland,NULL
307,Wetland,Bareland,NULL,Non_Wetland,Grassland
308,Wetland,Bareland,NULL,Non_Wetland,Wetland
309,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
310,Wetland,Bareland,NULL,Non_Wetland,Bareland
311,Wetland,Bareland,NULL,Non_Wetland,Built-up
312,Wetland,Bareland,NULL,Non_Wetland,Water
313,Wetland,Bareland,NULL,Non_Wetland,Forest
314,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
315,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
316,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
317,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
318,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
319,Wetland,Bareland,Non_Water,Non_Wetland,Water
320,Wetland,Bareland,Non_Water,Non_Wetland,Forest
321,Wetland,Bareland,Water,Non_Wetland,Grassland
322,Wetland,Bareland,Water,Non_Wetland,Wetland
323,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
324,Wetland,Bareland,Water,Non_Wetland,Bareland
325,Wetland,Bareland,Water,Non_Wetland,Built-up
326,Wetland,Bareland,Water,Non_Wetland,Water
327,Wetland,Bareland,Water,Non_Wetland,Forest
328,Wetland,Built-up,NULL,Non_Wetland,Grassland
329,Wetland,Built-up,NULL,Non_Wetland,Wetland
330,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
331,Wetland,Built-up,NULL,Non_Wetland,Bareland
332,Wetland,Built-up,NULL,Non_Wetland,Built-up
333,Wetland,Built-up,NULL,Non_Wetland,Water
334,Wetland,Built-up,NULL,Non_Wetland,Forest
335,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
336,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
337,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
338,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
339,Wetland,Built-up,Non_Water,Non_Wetland,Water
340,Wetland,Built-up,Non_Water,Non_Wetland,Forest
341,Wetland,Built-up,Water,Non_Wetland,Built-up
342,Wetland,Built-up,Water,Non_Wetland,Water
343,Wetland,Built-up,Water,Non_Wetland,Forest
344,Wetland,Water,NULL,Water,Grassland
345,Wetland,Water,NULL,Water,Wetland
346,Wetland,Water,NULL,Water,Lichens_and_Mosses
347,Wetland,Water,NULL,Water,Bareland
348,Wetland,Water,NULL,Water,Built-up
349,Wetland,Water,NULL,Water,Water
350,Wetland,Water,NULL,Water,Forest
351,Wetland,Water,Non_Water,Water,Grassland
352,Wetland,Water,Non_Water,Water,Wetland
353,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
354,Wetland,Water,Non_Water,Water,Bareland
355,Wetland,Water,Non_Water,Water,Water
356,Wetland,Water,Non_Water,Water,Forest
357,Wetland,Water,Water,Water,Grassland
358,Wetland,Water,Water,Water,Wetland
359,Wetland,Water,Water,Water,Lichens_and_Mosses
360,Wetland,Water,Water,Water,Bareland
361,Wetland,Water,Water,Water,Water
362,Wetland,Water,Water,Water,Forest
363,Wetland,Forest,NULL,Non_Wetland,NULL
364,Wetland,Forest,NULL,Non_Wetland,Grassland
365,Wetland,Forest,NULL,Non_Wetland,Wetland
366,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
367,Wetland,Forest,NULL,Non_Wetland,Bareland
368,Wetland,Forest,NULL,Non_Wetland,Built-up
369,Wetland,Forest,NULL,Non_Wetland,Water
370,Wetland,Forest,NULL,Non_Wetland,Forest
371,Wetland,Forest,Non_Water,Non_Wetland,Grassland
372,Wetland,Forest,Non_Water,Non_Wetland,Wetland
373,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
374,Wetland,Forest,Non_Water,Non_Wetland,Bareland
375,Wetland,Forest,Non_Water,Non_Wetland,Water
376,Wetland,Forest,Non_Water,Non_Wetland,Forest
377,Wetland,Forest,Water,Non_Wetland,Grassland
378,Wetland,Forest,Water,Non_Wetland,Wetland
379,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
380,Wetland,Forest,Water,Non_Wetland,Bareland
381,Wetland,Forest,Water,Non_Wetland,Water
382,Wetland,Forest,Water,Non_Wetland,Forest
383,Bareland,NULL,NULL,Non_Wetland,Bareland
384,Bareland,Shrubland,NULL,Non_Wetland,Grassland
385,Bareland,Shrubland,NULL,Non_Wetland,Wetland
386,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
387,Bareland,Shrubland,NULL,Non_Wetland,Bareland
388,Bareland,Shrubland,NULL,Non_Wetland,Water
389,Bareland,Shrubland,NULL,Non_Wetland,Forest
390,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
391,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
392,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
393,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
394,Bareland,Shrubland,Non_Water,Non_Wetland,Water
395,Bareland,Shrubland,Water,Non_Wetland,Grassland
396,Bareland,Shrubland,Water,Non_Wetland,Wetland
397,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
398,Bareland,Shrubland,Water,Non_Wetland,Bareland
399,Bareland,Shrubland,Water,Non_Wetland,Water
400,Bareland,Grassland,NULL,Non_Wetland,Grassland
401,Bareland,Grassland,NULL,Non_Wetland,Bareland
402,Bareland,Grassland,NULL,Non_Wetland,Built-up
403,Bareland,Grassland,NULL,Non_Wetland,Forest
404,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
405,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
406,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
407,Bareland,Grassland,Non_Water,Non_Wetland,Forest
408,Bareland,Grassland,Water,Non_Wetland,Grassland
409,Bareland,Grassland,Water,Non_Wetland,Wetland
410,Bareland,Grassland,Water,Non_Wetland,Bareland
411,Bareland,Grassland,Water,Non_Wetland,Water
412,Bareland,Wetland,NULL,Wetland,Grassland
413,Bareland,Wetland,NULL,Wetland,Wetland
414,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
415,Bareland,Wetland,NULL,Wetland,Bareland
416,Bareland,Wetland,NULL,Wetland,Built-up
417,Bareland,Wetland,NULL,Wetland,Water
418,Bareland,Wetland,NULL,Wetland,Forest
419,Bareland,Wetland,Non_Water,Wetland,Grassland
420,Bareland,Wetland,Non_Water,Wetland,Wetland
421,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
422,Bareland,Wetland,Non_Water,Wetland,Bareland
423,Bareland,Wetland,Non_Water,Wetland,Water
424,Bareland,Wetland,Non_Water,Wetland,Forest
425,Bareland,Wetland,Water,Wetland,Grassland
426,Bareland,Wetland,Water,Wetland,Wetland
427,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
428,Bareland,Wetland,Water,Wetland,Bareland
429,Bareland,Wetland,Water,Wetland,Water
430,Bareland,Wetland,Water,Wetland,Forest
431,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
432,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
433,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
434,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
435,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
436,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
437,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
438,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
439,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
440,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
441,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
442,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
443,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
444,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
445,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
446,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
447,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Forest
448,Bareland,Bareland,NULL,Non_Wetland,Grassland
449,Bareland,Bareland,NULL,Non_Wetland,Wetland
450,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
451,Bareland,Bareland,NULL,Non_Wetland,Bareland
452,Bareland,Bareland,NULL,Non_Wetland,Built-up
453,Bareland,Bareland,NULL,Non_Wetland,Water
454,Bareland,Bareland,NULL,Non_Wetland,Forest
455,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
456,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
457,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
458,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
459,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
460,Bareland,Bareland,Non_Water,Non_Wetland,Water
461,Bareland,Bareland,Non_Water,Non_Wetland,Forest
462,Bareland,Bareland,Water,Non_Wetland,Grassland
463,Bareland,Bareland,Water,Non_Wetland,Wetland
464,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
465,Bareland,Bareland,Water,Non_Wetland,Bareland
