Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVR_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVR_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVR_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVR_M_R,SIBERIA_2024_WorldCover_2021_42VVR_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,NULL
24,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,Shrubland,Non_Water,Non_Wetland,Water
28,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,Shrubland,Water,Non_Wetland,NULL
30,NULL,Shrubland,Water,Non_Wetland,Grassland
31,NULL,Shrubland,Water,Non_Wetland,Wetland
32,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
33,NULL,Shrubland,Water,Non_Wetland,Bareland
34,NULL,Shrubland,Water,Non_Wetland,Water
35,NULL,Shrubland,Water,Non_Wetland,Forest
36,NULL,Grassland,NULL,Non_Wetland,NULL
37,NULL,Grassland,NULL,Non_Wetland,Grassland
38,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,Grassland,NULL,Non_Wetland,Built-up
40,NULL,Grassland,NULL,Non_Wetland,Forest
41,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,Cropland,NULL,Non_Wetland,NULL
44,NULL,Cropland,NULL,Non_Wetland,Grassland
45,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
47,NULL,Cropland,NULL,Non_Wetland,Bareland
48,NULL,Cropland,NULL,Non_Wetland,Built-up
49,NULL,Cropland,NULL,Non_Wetland,Water
50,NULL,Cropland,NULL,Non_Wetland,Forest
51,NULL,Cropland,Non_Water,Non_Wetland,Grassland
52,NULL,Cropland,Non_Water,Non_Wetland,Wetland
53,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
54,NULL,Cropland,Non_Water,Non_Wetland,Forest
55,NULL,Cropland,Water,Non_Wetland,Grassland
56,NULL,Cropland,Water,Non_Wetland,Wetland
57,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
58,NULL,Cropland,Water,Non_Wetland,Bareland
59,NULL,Cropland,Water,Non_Wetland,Water
60,NULL,Cropland,Water,Non_Wetland,Forest
61,NULL,Wetland,NULL,Wetland,NULL
62,NULL,Wetland,NULL,Wetland,Grassland
63,NULL,Wetland,NULL,Wetland,Cropland
64,NULL,Wetland,NULL,Wetland,Wetland
65,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
66,NULL,Wetland,NULL,Wetland,Bareland
67,NULL,Wetland,NULL,Wetland,Built-up
68,NULL,Wetland,NULL,Wetland,Water
69,NULL,Wetland,NULL,Wetland,Forest
70,NULL,Wetland,Non_Water,Wetland,NULL
71,NULL,Wetland,Non_Water,Wetland,Grassland
72,NULL,Wetland,Non_Water,Wetland,Wetland
73,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
74,NULL,Wetland,Non_Water,Wetland,Bareland
75,NULL,Wetland,Non_Water,Wetland,Water
76,NULL,Wetland,Non_Water,Wetland,Forest
77,NULL,Wetland,Water,Wetland,NULL
78,NULL,Wetland,Water,Wetland,Grassland
79,NULL,Wetland,Water,Wetland,Wetland
80,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
81,NULL,Wetland,Water,Wetland,Bareland
82,NULL,Wetland,Water,Wetland,Water
83,NULL,Wetland,Water,Wetland,Forest
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
88,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
89,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
90,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
91,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
92,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
93,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
94,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
95,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
96,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
97,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
98,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
99,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
100,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
101,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
102,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
103,NULL,Bareland,NULL,Non_Wetland,NULL
104,NULL,Bareland,NULL,Non_Wetland,Grassland
105,NULL,Bareland,NULL,Non_Wetland,Cropland
106,NULL,Bareland,NULL,Non_Wetland,Wetland
107,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
108,NULL,Bareland,NULL,Non_Wetland,Bareland
109,NULL,Bareland,NULL,Non_Wetland,Built-up
110,NULL,Bareland,NULL,Non_Wetland,Water
111,NULL,Bareland,NULL,Non_Wetland,Forest
112,NULL,Bareland,Non_Water,Non_Wetland,NULL
113,NULL,Bareland,Non_Water,Non_Wetland,Grassland
114,NULL,Bareland,Non_Water,Non_Wetland,Wetland
115,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
116,NULL,Bareland,Non_Water,Non_Wetland,Bareland
117,NULL,Bareland,Non_Water,Non_Wetland,Built-up
118,NULL,Bareland,Non_Water,Non_Wetland,Water
119,NULL,Bareland,Non_Water,Non_Wetland,Forest
120,NULL,Bareland,Water,Non_Wetland,Grassland
121,NULL,Bareland,Water,Non_Wetland,Wetland
122,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
123,NULL,Bareland,Water,Non_Wetland,Bareland
124,NULL,Bareland,Water,Non_Wetland,Water
125,NULL,Bareland,Water,Non_Wetland,Forest
126,NULL,Built-up,NULL,Non_Wetland,NULL
127,NULL,Built-up,NULL,Non_Wetland,Grassland
128,NULL,Built-up,NULL,Non_Wetland,Wetland
129,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
130,NULL,Built-up,NULL,Non_Wetland,Bareland
131,NULL,Built-up,NULL,Non_Wetland,Built-up
132,NULL,Built-up,NULL,Non_Wetland,Water
133,NULL,Built-up,NULL,Non_Wetland,Forest
134,NULL,Built-up,Non_Water,Non_Wetland,Grassland
135,NULL,Built-up,Non_Water,Non_Wetland,Wetland
136,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
137,NULL,Built-up,Non_Water,Non_Wetland,Bareland
138,NULL,Built-up,Water,Non_Wetland,Wetland
139,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
140,NULL,Built-up,Water,Non_Wetland,Bareland
141,NULL,Built-up,Water,Non_Wetland,Water
142,NULL,Built-up,Water,Non_Wetland,Forest
143,NULL,Water,NULL,Water,NULL
144,NULL,Water,NULL,Water,Grassland
145,NULL,Water,NULL,Water,Wetland
146,NULL,Water,NULL,Water,Lichens_and_Mosses
147,NULL,Water,NULL,Water,Bareland
148,NULL,Water,NULL,Water,Water
149,NULL,Water,NULL,Water,Forest
150,NULL,Water,Non_Water,Water,Grassland
151,NULL,Water,Non_Water,Water,Wetland
152,NULL,Water,Non_Water,Water,Lichens_and_Mosses
153,NULL,Water,Non_Water,Water,Water
154,NULL,Water,Non_Water,Water,Forest
155,NULL,Water,Water,Water,NULL
156,NULL,Water,Water,Water,Grassland
157,NULL,Water,Water,Water,Wetland
158,NULL,Water,Water,Water,Lichens_and_Mosses
159,NULL,Water,Water,Water,Water
160,NULL,Water,Water,Water,Forest
161,NULL,Forest,NULL,Non_Wetland,NULL
162,NULL,Forest,NULL,Non_Wetland,Grassland
163,NULL,Forest,NULL,Non_Wetland,Wetland
164,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
165,NULL,Forest,NULL,Non_Wetland,Bareland
166,NULL,Forest,NULL,Non_Wetland,Built-up
167,NULL,Forest,NULL,Non_Wetland,Water
168,NULL,Forest,NULL,Non_Wetland,Forest
169,NULL,Forest,Non_Water,Non_Wetland,NULL
170,NULL,Forest,Non_Water,Non_Wetland,Grassland
171,NULL,Forest,Non_Water,Non_Wetland,Wetland
172,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
173,NULL,Forest,Non_Water,Non_Wetland,Water
174,NULL,Forest,Non_Water,Non_Wetland,Forest
175,NULL,Forest,Water,Non_Wetland,NULL
176,NULL,Forest,Water,Non_Wetland,Grassland
177,NULL,Forest,Water,Non_Wetland,Wetland
178,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
179,NULL,Forest,Water,Non_Wetland,Bareland
180,NULL,Forest,Water,Non_Wetland,Water
181,NULL,Forest,Water,Non_Wetland,Forest
182,Cropland,NULL,NULL,Non_Wetland,Grassland
183,Cropland,NULL,NULL,Non_Wetland,Wetland
184,Cropland,NULL,NULL,Non_Wetland,Forest
185,Cropland,Shrubland,NULL,Non_Wetland,NULL
186,Cropland,Shrubland,NULL,Non_Wetland,Grassland
187,Cropland,Shrubland,NULL,Non_Wetland,Wetland
188,Cropland,Shrubland,NULL,Non_Wetland,Built-up
189,Cropland,Shrubland,NULL,Non_Wetland,Forest
190,Cropland,Grassland,NULL,Non_Wetland,Forest
191,Cropland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
192,Cropland,Cropland,NULL,Non_Wetland,Forest
193,Cropland,Wetland,NULL,Wetland,NULL
194,Cropland,Wetland,NULL,Wetland,Grassland
195,Cropland,Wetland,NULL,Wetland,Wetland
196,Cropland,Wetland,NULL,Wetland,Forest
197,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
198,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
199,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
200,Cropland,Bareland,NULL,Non_Wetland,NULL
201,Cropland,Bareland,NULL,Non_Wetland,Grassland
202,Cropland,Bareland,NULL,Non_Wetland,Wetland
203,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
204,Cropland,Bareland,NULL,Non_Wetland,Bareland
205,Cropland,Bareland,NULL,Non_Wetland,Built-up
206,Cropland,Bareland,NULL,Non_Wetland,Forest
207,Cropland,Bareland,Water,Non_Wetland,Wetland
208,Cropland,Built-up,NULL,Non_Wetland,Grassland
209,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
210,Cropland,Built-up,NULL,Non_Wetland,Forest
211,Cropland,Forest,NULL,Non_Wetland,NULL
212,Cropland,Forest,NULL,Non_Wetland,Grassland
213,Cropland,Forest,NULL,Non_Wetland,Wetland
214,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
215,Cropland,Forest,NULL,Non_Wetland,Forest
216,Wetland,NULL,NULL,Non_Wetland,NULL
217,Wetland,NULL,NULL,Non_Wetland,Grassland
218,Wetland,NULL,NULL,Non_Wetland,Wetland
219,Wetland,NULL,NULL,Non_Wetland,Water
220,Wetland,NULL,NULL,Non_Wetland,Forest
221,Wetland,NULL,Non_Water,Non_Wetland,NULL
222,Wetland,NULL,Non_Water,Non_Wetland,Grassland
223,Wetland,NULL,Non_Water,Non_Wetland,Wetland
224,Wetland,NULL,Non_Water,Non_Wetland,Water
225,Wetland,NULL,Non_Water,Non_Wetland,Forest
226,Wetland,NULL,Water,Non_Wetland,Grassland
227,Wetland,NULL,Water,Non_Wetland,Wetland
228,Wetland,NULL,Water,Non_Wetland,Water
229,Wetland,NULL,Water,Non_Wetland,Forest
230,Wetland,Shrubland,NULL,Non_Wetland,NULL
231,Wetland,Shrubland,NULL,Non_Wetland,Grassland
232,Wetland,Shrubland,NULL,Non_Wetland,Wetland
233,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
234,Wetland,Shrubland,NULL,Non_Wetland,Built-up
235,Wetland,Shrubland,NULL,Non_Wetland,Water
236,Wetland,Shrubland,NULL,Non_Wetland,Forest
237,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
238,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
239,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
240,Wetland,Shrubland,Non_Water,Non_Wetland,Water
241,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
242,Wetland,Shrubland,Water,Non_Wetland,Grassland
243,Wetland,Shrubland,Water,Non_Wetland,Wetland
244,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
245,Wetland,Shrubland,Water,Non_Wetland,Water
246,Wetland,Shrubland,Water,Non_Wetland,Forest
247,Wetland,Grassland,NULL,Non_Wetland,Grassland
248,Wetland,Grassland,NULL,Non_Wetland,Wetland
249,Wetland,Grassland,NULL,Non_Wetland,Forest
250,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
251,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
252,Wetland,Grassland,Non_Water,Non_Wetland,Forest
253,Wetland,Cropland,NULL,Non_Wetland,Grassland
254,Wetland,Cropland,NULL,Non_Wetland,Wetland
255,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
256,Wetland,Cropland,NULL,Non_Wetland,Bareland
257,Wetland,Cropland,NULL,Non_Wetland,Water
258,Wetland,Cropland,NULL,Non_Wetland,Forest
