Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VWJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VWJ_M_R,SIBERIA_2024_GSW_Yearly_2021_45VWJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VWJ_M_R,SIBERIA_2024_WorldCover_2021_45VWJ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Water,Non_Wetland,Water
9,NULL,NULL,Water,Non_Wetland,Forest
10,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
14,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,Shrubland,NULL,Non_Wetland,Water
16,NULL,Shrubland,NULL,Non_Wetland,Forest
17,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
28,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,Grassland,NULL,Non_Wetland,Water
30,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,Grassland,Non_Water,Non_Wetland,Forest
33,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,Grassland,Water,Non_Wetland,Wetland
35,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
36,NULL,Grassland,Water,Non_Wetland,Water
37,NULL,Grassland,Water,Non_Wetland,Forest
38,NULL,Cropland,NULL,Non_Wetland,Grassland
39,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,Wetland,NULL,Wetland,NULL
41,NULL,Wetland,NULL,Wetland,Grassland
42,NULL,Wetland,NULL,Wetland,Wetland
43,NULL,Wetland,NULL,Wetland,Water
44,NULL,Wetland,NULL,Wetland,Forest
45,NULL,Wetland,Non_Water,Wetland,NULL
46,NULL,Wetland,Non_Water,Wetland,Grassland
47,NULL,Wetland,Non_Water,Wetland,Wetland
48,NULL,Wetland,Non_Water,Wetland,Forest
49,NULL,Wetland,Water,Wetland,Grassland
50,NULL,Wetland,Water,Wetland,Wetland
51,NULL,Wetland,Water,Wetland,Bareland
52,NULL,Wetland,Water,Wetland,Water
53,NULL,Wetland,Water,Wetland,Forest
54,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
55,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
56,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
57,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
58,NULL,Bareland,NULL,Non_Wetland,NULL
59,NULL,Bareland,NULL,Non_Wetland,Grassland
60,NULL,Bareland,NULL,Non_Wetland,Wetland
61,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
62,NULL,Bareland,NULL,Non_Wetland,Bareland
63,NULL,Bareland,NULL,Non_Wetland,Water
64,NULL,Bareland,NULL,Non_Wetland,Forest
65,NULL,Bareland,Non_Water,Non_Wetland,Grassland
66,NULL,Bareland,Non_Water,Non_Wetland,Wetland
67,NULL,Bareland,Non_Water,Non_Wetland,Forest
68,NULL,Bareland,Water,Non_Wetland,Grassland
69,NULL,Bareland,Water,Non_Wetland,Wetland
70,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
71,NULL,Bareland,Water,Non_Wetland,Bareland
72,NULL,Bareland,Water,Non_Wetland,Water
73,NULL,Bareland,Water,Non_Wetland,Forest
74,NULL,Built-up,NULL,Non_Wetland,Grassland
75,NULL,Built-up,NULL,Non_Wetland,Wetland
76,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
77,NULL,Built-up,NULL,Non_Wetland,Forest
78,NULL,Built-up,Non_Water,Non_Wetland,Wetland
79,NULL,Built-up,Non_Water,Non_Wetland,Forest
80,NULL,Built-up,Water,Non_Wetland,Forest
81,NULL,Water,NULL,Water,Grassland
82,NULL,Water,NULL,Water,Wetland
83,NULL,Water,NULL,Water,Water
84,NULL,Water,NULL,Water,Forest
85,NULL,Water,Non_Water,Water,Wetland
86,NULL,Water,Non_Water,Water,Water
87,NULL,Water,Water,Water,Grassland
88,NULL,Water,Water,Water,Wetland
89,NULL,Water,Water,Water,Water
90,NULL,Water,Water,Water,Forest
91,NULL,Forest,NULL,Non_Wetland,NULL
92,NULL,Forest,NULL,Non_Wetland,Grassland
93,NULL,Forest,NULL,Non_Wetland,Wetland
94,NULL,Forest,NULL,Non_Wetland,Bareland
95,NULL,Forest,NULL,Non_Wetland,Water
96,NULL,Forest,NULL,Non_Wetland,Forest
97,NULL,Forest,Non_Water,Non_Wetland,NULL
98,NULL,Forest,Non_Water,Non_Wetland,Grassland
99,NULL,Forest,Non_Water,Non_Wetland,Wetland
100,NULL,Forest,Non_Water,Non_Wetland,Forest
101,NULL,Forest,Water,Non_Wetland,Grassland
102,NULL,Forest,Water,Non_Wetland,Wetland
103,NULL,Forest,Water,Non_Wetland,Water
104,NULL,Forest,Water,Non_Wetland,Forest
105,Cropland,Wetland,NULL,Wetland,NULL
106,Cropland,Wetland,NULL,Wetland,Grassland
107,Cropland,Wetland,NULL,Wetland,Wetland
108,Cropland,Wetland,NULL,Wetland,Forest
109,Cropland,Wetland,Non_Water,Wetland,Grassland
110,Cropland,Wetland,Non_Water,Wetland,Wetland
111,Cropland,Bareland,NULL,Non_Wetland,Forest
112,Cropland,Forest,NULL,Non_Wetland,Grassland
113,Cropland,Forest,NULL,Non_Wetland,Forest
114,Wetland,NULL,NULL,Non_Wetland,Grassland
115,Wetland,NULL,NULL,Non_Wetland,Wetland
116,Wetland,NULL,NULL,Non_Wetland,Water
117,Wetland,NULL,NULL,Non_Wetland,Forest
118,Wetland,NULL,Non_Water,Non_Wetland,Forest
119,Wetland,NULL,Water,Non_Wetland,Wetland
120,Wetland,NULL,Water,Non_Wetland,Water
121,Wetland,NULL,Water,Non_Wetland,Forest
122,Wetland,Shrubland,NULL,Non_Wetland,NULL
123,Wetland,Shrubland,NULL,Non_Wetland,Grassland
124,Wetland,Shrubland,NULL,Non_Wetland,Wetland
125,Wetland,Shrubland,NULL,Non_Wetland,Forest
126,Wetland,Shrubland,Water,Non_Wetland,Water
127,Wetland,Grassland,NULL,Non_Wetland,Grassland
128,Wetland,Grassland,NULL,Non_Wetland,Forest
129,Wetland,Grassland,Water,Non_Wetland,Forest
130,Wetland,Wetland,NULL,Wetland,NULL
131,Wetland,Wetland,NULL,Wetland,Grassland
132,Wetland,Wetland,NULL,Wetland,Wetland
133,Wetland,Wetland,NULL,Wetland,Water
134,Wetland,Wetland,NULL,Wetland,Forest
135,Wetland,Wetland,Non_Water,Wetland,Wetland
136,Wetland,Wetland,Non_Water,Wetland,Water
137,Wetland,Wetland,Water,Wetland,Grassland
138,Wetland,Wetland,Water,Wetland,Wetland
139,Wetland,Wetland,Water,Wetland,Water
140,Wetland,Wetland,Water,Wetland,Forest
141,Wetland,Bareland,NULL,Non_Wetland,Grassland
142,Wetland,Bareland,NULL,Non_Wetland,Wetland
143,Wetland,Bareland,NULL,Non_Wetland,Water
144,Wetland,Bareland,NULL,Non_Wetland,Forest
145,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
146,Wetland,Bareland,Non_Water,Non_Wetland,Forest
147,Wetland,Bareland,Water,Non_Wetland,Grassland
148,Wetland,Bareland,Water,Non_Wetland,Wetland
149,Wetland,Bareland,Water,Non_Wetland,Water
150,Wetland,Bareland,Water,Non_Wetland,Forest
151,Wetland,Built-up,NULL,Non_Wetland,Grassland
152,Wetland,Built-up,NULL,Non_Wetland,Wetland
153,Wetland,Built-up,NULL,Non_Wetland,Water
154,Wetland,Built-up,NULL,Non_Wetland,Forest
155,Wetland,Built-up,Water,Non_Wetland,Forest
156,Wetland,Water,NULL,Water,Wetland
157,Wetland,Water,NULL,Water,Water
158,Wetland,Water,NULL,Water,Forest
159,Wetland,Water,Non_Water,Water,Wetland
160,Wetland,Water,Non_Water,Water,Water
161,Wetland,Water,Water,Water,Grassland
162,Wetland,Water,Water,Water,Wetland
163,Wetland,Water,Water,Water,Water
164,Wetland,Water,Water,Water,Forest
165,Wetland,Forest,NULL,Non_Wetland,Grassland
166,Wetland,Forest,NULL,Non_Wetland,Wetland
167,Wetland,Forest,NULL,Non_Wetland,Water
168,Wetland,Forest,NULL,Non_Wetland,Forest
169,Wetland,Forest,Non_Water,Non_Wetland,Grassland
170,Wetland,Forest,Non_Water,Non_Wetland,Water
171,Wetland,Forest,Non_Water,Non_Wetland,Forest
172,Wetland,Forest,Water,Non_Wetland,Grassland
173,Wetland,Forest,Water,Non_Wetland,Wetland
174,Wetland,Forest,Water,Non_Wetland,Water
175,Wetland,Forest,Water,Non_Wetland,Forest
176,Bareland,NULL,NULL,Non_Wetland,Grassland
177,Bareland,NULL,NULL,Non_Wetland,Water
178,Bareland,NULL,NULL,Non_Wetland,Forest
179,Bareland,NULL,Water,Non_Wetland,Wetland
180,Bareland,NULL,Water,Non_Wetland,Water
181,Bareland,NULL,Water,Non_Wetland,Forest
182,Bareland,Shrubland,NULL,Non_Wetland,Grassland
183,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
184,Bareland,Shrubland,NULL,Non_Wetland,Bareland
185,Bareland,Shrubland,NULL,Non_Wetland,Built-up
186,Bareland,Shrubland,NULL,Non_Wetland,Forest
187,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
188,Bareland,Shrubland,Water,Non_Wetland,Bareland
189,Bareland,Grassland,NULL,Non_Wetland,Grassland
190,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
191,Bareland,Grassland,NULL,Non_Wetland,Forest
192,Bareland,Grassland,Water,Non_Wetland,Grassland
193,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
194,Bareland,Grassland,Water,Non_Wetland,Bareland
195,Bareland,Grassland,Water,Non_Wetland,Forest
196,Bareland,Wetland,NULL,Wetland,Water
197,Bareland,Wetland,NULL,Wetland,Forest
198,Bareland,Wetland,Water,Wetland,Grassland
199,Bareland,Wetland,Water,Wetland,Bareland
200,Bareland,Wetland,Water,Wetland,Water
201,Bareland,Wetland,Water,Wetland,Forest
202,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
203,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
204,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
205,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
206,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
207,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
208,Bareland,Bareland,NULL,Non_Wetland,Grassland
209,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
210,Bareland,Bareland,NULL,Non_Wetland,Bareland
211,Bareland,Bareland,NULL,Non_Wetland,Built-up
212,Bareland,Bareland,NULL,Non_Wetland,Water
213,Bareland,Bareland,NULL,Non_Wetland,Forest
214,Bareland,Bareland,Water,Non_Wetland,Grassland
215,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
216,Bareland,Bareland,Water,Non_Wetland,Bareland
217,Bareland,Bareland,Water,Non_Wetland,Water
218,Bareland,Bareland,Water,Non_Wetland,Forest
219,Bareland,Built-up,NULL,Non_Wetland,Grassland
220,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
221,Bareland,Built-up,Water,Non_Wetland,Bareland
222,Bareland,Built-up,Water,Non_Wetland,Water
223,Bareland,Water,NULL,Water,Grassland
224,Bareland,Water,NULL,Water,Water
225,Bareland,Water,NULL,Water,Forest
226,Bareland,Water,Water,Water,Grassland
227,Bareland,Water,Water,Water,Wetland
228,Bareland,Water,Water,Water,Lichens_and_Mosses
229,Bareland,Water,Water,Water,Water
230,Bareland,Water,Water,Water,Forest
231,Bareland,Forest,NULL,Non_Wetland,Grassland
232,Bareland,Forest,NULL,Non_Wetland,Wetland
233,Bareland,Forest,NULL,Non_Wetland,Water
234,Bareland,Forest,NULL,Non_Wetland,Forest
235,Bareland,Forest,Water,Non_Wetland,Grassland
236,Bareland,Forest,Water,Non_Wetland,Water
237,Bareland,Forest,Water,Non_Wetland,Forest
238,Built-up,NULL,NULL,Non_Wetland,Grassland
239,Built-up,NULL,NULL,Non_Wetland,Built-up
240,Built-up,NULL,NULL,Non_Wetland,Forest
241,Built-up,Shrubland,NULL,Non_Wetland,Grassland
242,Built-up,Shrubland,NULL,Non_Wetland,Built-up
243,Built-up,Shrubland,NULL,Non_Wetland,Forest
244,Built-up,Grassland,NULL,Non_Wetland,Grassland
245,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
246,Built-up,Grassland,NULL,Non_Wetland,Built-up
247,Built-up,Grassland,NULL,Non_Wetland,Forest
248,Built-up,Wetland,Water,Wetland,Water
249,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
250,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
251,Built-up,Bareland,NULL,Non_Wetland,Grassland
252,Built-up,Bareland,NULL,Non_Wetland,Bareland
253,Built-up,Bareland,NULL,Non_Wetland,Built-up
254,Built-up,Bareland,NULL,Non_Wetland,Water
255,Built-up,Bareland,NULL,Non_Wetland,Forest
256,Built-up,Bareland,Water,Non_Wetland,Grassland
257,Built-up,Bareland,Water,Non_Wetland,Bareland
258,Built-up,Bareland,Water,Non_Wetland,Built-up
259,Built-up,Bareland,Water,Non_Wetland,Forest
260,Built-up,Built-up,NULL,Non_Wetland,Grassland
261,Built-up,Built-up,NULL,Non_Wetland,Built-up
262,Built-up,Built-up,NULL,Non_Wetland,Forest
263,Built-up,Water,Water,Water,Forest
264,Built-up,Forest,NULL,Non_Wetland,Grassland
265,Built-up,Forest,NULL,Non_Wetland,Built-up
266,Built-up,Forest,NULL,Non_Wetland,Forest
267,Water,NULL,NULL,Non_Wetland,Grassland
268,Water,NULL,NULL,Non_Wetland,Wetland
269,Water,NULL,NULL,Non_Wetland,Bareland
270,Water,NULL,NULL,Non_Wetland,Water
