Value,SIBERIA_2024_ESA_CALU_2024_43WDQ_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WDQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WDQ_M_R,SIBERIA_2024_GSW_Yearly_2021_43WDQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WDQ_M_R,SIBERIA_2024_WorldCover_2021_43WDQ_M_R
107,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
108,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
109,NULL,NULL,Water,NULL,NULL,NULL
110,NULL,NULL,Water,NULL,NULL,Water
111,NULL,NULL,Water,NULL,Water,Grassland
112,NULL,NULL,Water,NULL,Water,Wetland
113,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
114,NULL,NULL,Water,NULL,Water,Bareland
115,NULL,NULL,Water,NULL,Water,Water
116,NULL,NULL,Water,NULL,Water,Forest
117,NULL,NULL,Water,Non_Water,Water,Grassland
118,NULL,NULL,Water,Non_Water,Water,Wetland
119,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
120,NULL,NULL,Water,Non_Water,Water,Bareland
121,NULL,NULL,Water,Non_Water,Water,Water
122,NULL,NULL,Water,Non_Water,Water,Forest
123,NULL,NULL,Water,Water,NULL,Water
124,NULL,NULL,Water,Water,Water,Grassland
125,NULL,NULL,Water,Water,Water,Wetland
126,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
127,NULL,NULL,Water,Water,Water,Bareland
128,NULL,NULL,Water,Water,Water,Water
129,NULL,NULL,Water,Water,Water,Forest
130,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
131,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
132,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
133,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
134,NULL,NULL,Forest,NULL,Non_Wetland,Water
135,NULL,NULL,Forest,NULL,Non_Wetland,Forest
136,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
137,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
138,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
139,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
141,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
142,NULL,NULL,Forest,Water,Non_Wetland,Grassland
143,NULL,NULL,Forest,Water,Non_Wetland,Wetland
144,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
145,NULL,NULL,Forest,Water,Non_Wetland,Bareland
146,NULL,NULL,Forest,Water,Non_Wetland,Water
147,NULL,NULL,Forest,Water,Non_Wetland,Forest
148,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
149,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
150,NULL,Wetland,NULL,NULL,Non_Wetland,Water
151,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
152,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
153,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
154,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
155,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
156,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
157,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
158,NULL,Wetland,NULL,Water,Non_Wetland,Water
159,NULL,Wetland,NULL,Water,Non_Wetland,Forest
160,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
161,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
162,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
163,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
164,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
165,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
166,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
167,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
168,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
169,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
170,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
171,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
172,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
173,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
174,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
175,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
176,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
177,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
178,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
179,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
180,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
181,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
182,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
183,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
184,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
185,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
186,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
187,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
188,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
189,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
190,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
191,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
192,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
193,NULL,Wetland,Grassland,Water,Non_Wetland,Water
194,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
195,NULL,Wetland,Wetland,NULL,NULL,Wetland
196,NULL,Wetland,Wetland,NULL,NULL,Water
197,NULL,Wetland,Wetland,NULL,Wetland,Grassland
198,NULL,Wetland,Wetland,NULL,Wetland,Wetland
199,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
200,NULL,Wetland,Wetland,NULL,Wetland,Bareland
201,NULL,Wetland,Wetland,NULL,Wetland,Built-up
202,NULL,Wetland,Wetland,NULL,Wetland,Water
203,NULL,Wetland,Wetland,NULL,Wetland,Forest
204,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
205,NULL,Wetland,Wetland,Non_Water,NULL,Water
206,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
207,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
208,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
209,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
210,NULL,Wetland,Wetland,Non_Water,Wetland,Water
211,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
212,NULL,Wetland,Wetland,Water,NULL,Wetland
213,NULL,Wetland,Wetland,Water,NULL,Water
214,NULL,Wetland,Wetland,Water,Wetland,Grassland
215,NULL,Wetland,Wetland,Water,Wetland,Wetland
216,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
217,NULL,Wetland,Wetland,Water,Wetland,Bareland
218,NULL,Wetland,Wetland,Water,Wetland,Water
219,NULL,Wetland,Wetland,Water,Wetland,Forest
220,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
221,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
222,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
223,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
224,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
225,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
226,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
227,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
228,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
229,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
230,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
231,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
232,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
233,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
234,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
235,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
236,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
237,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
238,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
239,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
240,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
241,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
242,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
243,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
244,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
245,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
246,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
247,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
248,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
249,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
250,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
251,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
252,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
253,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
254,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
255,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
256,NULL,Wetland,Bareland,Water,Non_Wetland,Water
257,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
258,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
259,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
260,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
261,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
262,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
263,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
264,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
265,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
266,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
267,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
268,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
269,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
270,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
271,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
272,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
273,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
274,NULL,Wetland,Built-up,Water,Non_Wetland,Built-up
275,NULL,Wetland,Built-up,Water,Non_Wetland,Water
276,NULL,Wetland,Water,NULL,Water,Grassland
277,NULL,Wetland,Water,NULL,Water,Wetland
278,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
279,NULL,Wetland,Water,NULL,Water,Bareland
280,NULL,Wetland,Water,NULL,Water,Water
281,NULL,Wetland,Water,NULL,Water,Forest
282,NULL,Wetland,Water,Non_Water,NULL,Wetland
283,NULL,Wetland,Water,Non_Water,Water,Grassland
284,NULL,Wetland,Water,Non_Water,Water,Wetland
285,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
286,NULL,Wetland,Water,Non_Water,Water,Bareland
287,NULL,Wetland,Water,Non_Water,Water,Water
288,NULL,Wetland,Water,Non_Water,Water,Forest
289,NULL,Wetland,Water,Water,NULL,Wetland
290,NULL,Wetland,Water,Water,NULL,Water
291,NULL,Wetland,Water,Water,Water,Grassland
292,NULL,Wetland,Water,Water,Water,Wetland
293,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
294,NULL,Wetland,Water,Water,Water,Bareland
295,NULL,Wetland,Water,Water,Water,Built-up
296,NULL,Wetland,Water,Water,Water,Water
297,NULL,Wetland,Water,Water,Water,Forest
298,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
299,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
300,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
301,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
302,NULL,Wetland,Forest,NULL,Non_Wetland,Water
303,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
304,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
305,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
306,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
307,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
308,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
309,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
310,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
311,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
312,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
313,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
314,NULL,Wetland,Forest,Water,Non_Wetland,Water
315,NULL,Wetland,Forest,Water,Non_Wetland,Forest
316,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
317,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
318,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
319,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
320,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
321,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
322,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
323,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
324,NULL,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
325,NULL,Bareland,Wetland,NULL,Wetland,Grassland
326,NULL,Bareland,Wetland,NULL,Wetland,Wetland
327,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
328,NULL,Bareland,Wetland,NULL,Wetland,Bareland
329,NULL,Bareland,Wetland,NULL,Wetland,Water
330,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
331,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
332,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
333,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
334,NULL,Bareland,Wetland,Non_Water,Wetland,Water
335,NULL,Bareland,Wetland,Water,Wetland,Grassland
336,NULL,Bareland,Wetland,Water,Wetland,Wetland
337,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
338,NULL,Bareland,Wetland,Water,Wetland,Bareland
339,NULL,Bareland,Wetland,Water,Wetland,Water
340,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
341,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
342,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
343,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
344,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
345,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
346,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
347,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
348,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
349,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
350,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
351,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
352,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
353,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
354,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
355,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
356,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
357,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
358,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
359,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
360,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
361,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
362,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
363,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
364,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
365,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
366,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
367,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
368,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
369,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
370,NULL,Bareland,Bareland,Water,Non_Wetland,Water
371,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
372,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
373,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
374,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
375,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
376,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
377,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
378,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
379,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
380,NULL,Bareland,Built-up,Water,Non_Wetland,Water
381,NULL,Bareland,Water,NULL,Water,Wetland
382,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
383,NULL,Bareland,Water,NULL,Water,Bareland
384,NULL,Bareland,Water,NULL,Water,Water
385,NULL,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
386,NULL,Bareland,Water,Non_Water,Water,Bareland
387,NULL,Bareland,Water,Non_Water,Water,Water
388,NULL,Bareland,Water,Water,Water,Wetland
389,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
390,NULL,Bareland,Water,Water,Water,Bareland
391,NULL,Bareland,Water,Water,Water,Water
392,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
393,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland
394,NULL,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
395,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
396,NULL,Bareland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
397,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
398,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
399,NULL,Bareland,Forest,Water,Non_Wetland,Water
400,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
401,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
402,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
403,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
404,NULL,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
405,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
406,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
407,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
408,NULL,Built-up,Wetland,NULL,Wetland,Grassland
409,NULL,Built-up,Wetland,NULL,Wetland,Wetland
410,NULL,Built-up,Wetland,NULL,Wetland,Lichens_and_Mosses
