Value,SIBERIA_2024_ESA_CALU_2024_43WEN_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WEN_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WEN_M_R,SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,SIBERIA_2024_WorldCover_2021_43WEN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,NULL,Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Water,Non_Wetland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
40,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
41,NULL,NULL,Grassland,Water,Non_Wetland,Water
42,NULL,NULL,Grassland,Water,Non_Wetland,Forest
43,NULL,NULL,Wetland,NULL,Wetland,NULL
44,NULL,NULL,Wetland,NULL,Wetland,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,Wetland
46,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
47,NULL,NULL,Wetland,NULL,Wetland,Bareland
48,NULL,NULL,Wetland,NULL,Wetland,Water
49,NULL,NULL,Wetland,NULL,Wetland,Forest
50,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
51,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
52,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
53,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
54,NULL,NULL,Wetland,Non_Water,Wetland,Water
55,NULL,NULL,Wetland,Non_Water,Wetland,Forest
56,NULL,NULL,Wetland,Water,Wetland,Grassland
57,NULL,NULL,Wetland,Water,Wetland,Wetland
58,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
59,NULL,NULL,Wetland,Water,Wetland,Bareland
60,NULL,NULL,Wetland,Water,Wetland,Water
61,NULL,NULL,Wetland,Water,Wetland,Forest
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
69,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
71,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
72,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
73,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
74,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
75,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
76,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
77,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
78,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
80,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
81,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
83,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
85,NULL,NULL,Bareland,NULL,Non_Wetland,Water
86,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
94,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
95,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
96,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
97,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
98,NULL,NULL,Bareland,Water,Non_Wetland,Water
99,NULL,NULL,Bareland,Water,Non_Wetland,Forest
100,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
102,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
104,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
105,NULL,NULL,Built-up,NULL,Non_Wetland,Water
106,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
111,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
112,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
113,NULL,NULL,Built-up,Water,Non_Wetland,Water
