Value,SIBERIA_2024_ESA_CALU_2024_43XEA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43XEA_M_R,SIBERIA_2024_GLC_FCS30D_2022_43XEA_M_R,SIBERIA_2024_GSW_Yearly_2021_43XEA_M_R,SIBERIA_2024_GWL_FCS30D_2022_43XEA_M_R,SIBERIA_2024_WorldCover_2021_43XEA_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
8,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,Water,Non_Wetland,Water
11,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
14,NULL,NULL,Grassland,NULL,Non_Wetland,Water
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
19,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
20,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
21,NULL,NULL,Grassland,Water,Non_Wetland,Water
22,NULL,NULL,Wetland,NULL,NULL,NULL
23,NULL,NULL,Wetland,NULL,NULL,Grassland
24,NULL,NULL,Wetland,NULL,NULL,Wetland
25,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
26,NULL,NULL,Wetland,NULL,NULL,Water
27,NULL,NULL,Wetland,NULL,Wetland,Grassland
28,NULL,NULL,Wetland,NULL,Wetland,Wetland
29,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
30,NULL,NULL,Wetland,NULL,Wetland,Bareland
31,NULL,NULL,Wetland,NULL,Wetland,Water
32,NULL,NULL,Wetland,Non_Water,NULL,Wetland
33,NULL,NULL,Wetland,Non_Water,NULL,Bareland
34,NULL,NULL,Wetland,Non_Water,NULL,Water
35,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
36,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
37,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
38,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
39,NULL,NULL,Wetland,Non_Water,Wetland,Water
40,NULL,NULL,Wetland,Water,NULL,Wetland
41,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
42,NULL,NULL,Wetland,Water,NULL,Bareland
43,NULL,NULL,Wetland,Water,NULL,Water
44,NULL,NULL,Wetland,Water,Wetland,Grassland
45,NULL,NULL,Wetland,Water,Wetland,Wetland
46,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
47,NULL,NULL,Wetland,Water,Wetland,Bareland
48,NULL,NULL,Wetland,Water,Wetland,Water
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
54,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
55,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
56,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
57,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
58,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
59,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
60,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
61,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
62,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
63,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
64,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
67,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Water
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
74,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
75,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
76,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
77,NULL,NULL,Bareland,Water,Non_Wetland,Water
78,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
79,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
80,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
81,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
82,NULL,NULL,Built-up,NULL,Non_Wetland,Water
83,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
85,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
87,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
88,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
89,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
90,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
91,NULL,NULL,Built-up,Water,Non_Wetland,Water
92,NULL,NULL,Water,NULL,NULL,NULL
93,NULL,NULL,Water,NULL,NULL,Grassland
94,NULL,NULL,Water,NULL,NULL,Wetland
95,NULL,NULL,Water,NULL,NULL,Lichens_and_Mosses
96,NULL,NULL,Water,NULL,NULL,Water
97,NULL,NULL,Water,NULL,Water,Grassland
98,NULL,NULL,Water,NULL,Water,Wetland
99,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
100,NULL,NULL,Water,NULL,Water,Bareland
101,NULL,NULL,Water,NULL,Water,Water
102,NULL,NULL,Water,Non_Water,NULL,Water
103,NULL,NULL,Water,Non_Water,Water,Grassland
104,NULL,NULL,Water,Non_Water,Water,Wetland
105,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
106,NULL,NULL,Water,Non_Water,Water,Water
107,NULL,NULL,Water,Water,NULL,Water
108,NULL,NULL,Water,Water,Water,Grassland
109,NULL,NULL,Water,Water,Water,Wetland
110,NULL,NULL,Water,Water,Water,Bareland
111,NULL,NULL,Water,Water,Water,Water
112,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
113,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
114,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
115,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
116,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
117,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
118,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
119,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
120,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
121,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
122,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
123,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
124,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
125,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
126,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
127,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
128,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
129,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
130,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
131,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
132,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
133,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
134,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
135,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
136,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
137,NULL,Wetland,Grassland,Water,Non_Wetland,Water
138,NULL,Wetland,Wetland,NULL,NULL,Grassland
139,NULL,Wetland,Wetland,NULL,NULL,Wetland
140,NULL,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
141,NULL,Wetland,Wetland,NULL,NULL,Bareland
142,NULL,Wetland,Wetland,NULL,NULL,Water
143,NULL,Wetland,Wetland,NULL,Wetland,Grassland
144,NULL,Wetland,Wetland,NULL,Wetland,Wetland
145,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
146,NULL,Wetland,Wetland,NULL,Wetland,Bareland
147,NULL,Wetland,Wetland,NULL,Wetland,Water
148,NULL,Wetland,Wetland,Non_Water,NULL,Grassland
149,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
150,NULL,Wetland,Wetland,Non_Water,NULL,Lichens_and_Mosses
151,NULL,Wetland,Wetland,Non_Water,NULL,Water
152,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
153,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
154,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
155,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
156,NULL,Wetland,Wetland,Non_Water,Wetland,Water
157,NULL,Wetland,Wetland,Water,NULL,Grassland
158,NULL,Wetland,Wetland,Water,NULL,Wetland
159,NULL,Wetland,Wetland,Water,NULL,Lichens_and_Mosses
160,NULL,Wetland,Wetland,Water,NULL,Bareland
161,NULL,Wetland,Wetland,Water,NULL,Water
162,NULL,Wetland,Wetland,Water,Wetland,Grassland
163,NULL,Wetland,Wetland,Water,Wetland,Wetland
164,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
165,NULL,Wetland,Wetland,Water,Wetland,Bareland
166,NULL,Wetland,Wetland,Water,Wetland,Water
167,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
168,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
169,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
170,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
171,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
172,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
173,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
174,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
175,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
176,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
177,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
178,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
179,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
180,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
181,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
182,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
183,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
184,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
185,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
186,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
187,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
