Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VUL_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VUL_M_R,SIBERIA_2024_GSW_Yearly_2021_45VUL_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VUL_M_R,SIBERIA_2024_WorldCover_2021_45VUL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Water
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,Shrubland,NULL,Non_Wetland,Water
20,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,Non_Water,Non_Wetland,Water
25,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
29,NULL,Shrubland,Water,Non_Wetland,Bareland
30,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,Grassland,NULL,Non_Wetland,NULL
33,NULL,Grassland,NULL,Non_Wetland,Grassland
34,NULL,Grassland,NULL,Non_Wetland,Wetland
35,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
36,NULL,Grassland,NULL,Non_Wetland,Bareland
37,NULL,Grassland,NULL,Non_Wetland,Water
38,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,Grassland,Non_Water,Non_Wetland,Bareland
41,NULL,Grassland,Non_Water,Non_Wetland,Forest
42,NULL,Grassland,Water,Non_Wetland,Grassland
43,NULL,Grassland,Water,Non_Wetland,Wetland
44,NULL,Grassland,Water,Non_Wetland,Bareland
45,NULL,Grassland,Water,Non_Wetland,Water
46,NULL,Grassland,Water,Non_Wetland,Forest
47,NULL,Cropland,NULL,Non_Wetland,Grassland
48,NULL,Cropland,NULL,Non_Wetland,Wetland
49,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
50,NULL,Cropland,NULL,Non_Wetland,Water
51,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,Cropland,Non_Water,Non_Wetland,Forest
54,NULL,Cropland,Water,Non_Wetland,Grassland
55,NULL,Cropland,Water,Non_Wetland,Forest
56,NULL,Wetland,NULL,Wetland,NULL
57,NULL,Wetland,NULL,Wetland,Grassland
58,NULL,Wetland,NULL,Wetland,Wetland
59,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
60,NULL,Wetland,NULL,Wetland,Bareland
61,NULL,Wetland,NULL,Wetland,Water
62,NULL,Wetland,NULL,Wetland,Forest
63,NULL,Wetland,Non_Water,Wetland,NULL
64,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,Wetland,Non_Water,Wetland,Bareland
67,NULL,Wetland,Non_Water,Wetland,Water
68,NULL,Wetland,Non_Water,Wetland,Forest
69,NULL,Wetland,Water,Wetland,Grassland
70,NULL,Wetland,Water,Wetland,Wetland
71,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
72,NULL,Wetland,Water,Wetland,Bareland
73,NULL,Wetland,Water,Wetland,Water
74,NULL,Wetland,Water,Wetland,Forest
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
87,NULL,Bareland,NULL,Non_Wetland,NULL
88,NULL,Bareland,NULL,Non_Wetland,Grassland
89,NULL,Bareland,NULL,Non_Wetland,Wetland
90,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,Bareland,NULL,Non_Wetland,Water
93,NULL,Bareland,NULL,Non_Wetland,Forest
94,NULL,Bareland,Non_Water,Non_Wetland,Grassland
95,NULL,Bareland,Non_Water,Non_Wetland,Wetland
96,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Bareland,Non_Water,Non_Wetland,Bareland
98,NULL,Bareland,Non_Water,Non_Wetland,Water
99,NULL,Bareland,Non_Water,Non_Wetland,Forest
100,NULL,Bareland,Water,Non_Wetland,Grassland
101,NULL,Bareland,Water,Non_Wetland,Wetland
102,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Bareland,Water,Non_Wetland,Bareland
104,NULL,Bareland,Water,Non_Wetland,Water
105,NULL,Bareland,Water,Non_Wetland,Forest
106,NULL,Built-up,NULL,Non_Wetland,NULL
107,NULL,Built-up,NULL,Non_Wetland,Grassland
108,NULL,Built-up,NULL,Non_Wetland,Wetland
109,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,Built-up,NULL,Non_Wetland,Bareland
111,NULL,Built-up,NULL,Non_Wetland,Water
112,NULL,Built-up,NULL,Non_Wetland,Forest
113,NULL,Built-up,Non_Water,Non_Wetland,Wetland
114,NULL,Built-up,Non_Water,Non_Wetland,Water
115,NULL,Built-up,Non_Water,Non_Wetland,Forest
116,NULL,Built-up,Water,Non_Wetland,Grassland
117,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
118,NULL,Built-up,Water,Non_Wetland,Bareland
119,NULL,Built-up,Water,Non_Wetland,Water
120,NULL,Built-up,Water,Non_Wetland,Forest
121,NULL,Water,NULL,Water,Grassland
122,NULL,Water,NULL,Water,Wetland
123,NULL,Water,NULL,Water,Lichens_and_Mosses
124,NULL,Water,NULL,Water,Bareland
125,NULL,Water,NULL,Water,Water
126,NULL,Water,NULL,Water,Forest
127,NULL,Water,Non_Water,Water,Grassland
128,NULL,Water,Non_Water,Water,Wetland
129,NULL,Water,Non_Water,Water,Lichens_and_Mosses
130,NULL,Water,Non_Water,Water,Water
131,NULL,Water,Non_Water,Water,Forest
132,NULL,Water,Water,Water,Grassland
133,NULL,Water,Water,Water,Wetland
134,NULL,Water,Water,Water,Lichens_and_Mosses
135,NULL,Water,Water,Water,Bareland
136,NULL,Water,Water,Water,Water
137,NULL,Water,Water,Water,Forest
138,NULL,Forest,NULL,Non_Wetland,NULL
139,NULL,Forest,NULL,Non_Wetland,Grassland
140,NULL,Forest,NULL,Non_Wetland,Wetland
141,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
142,NULL,Forest,NULL,Non_Wetland,Bareland
143,NULL,Forest,NULL,Non_Wetland,Water
144,NULL,Forest,NULL,Non_Wetland,Forest
145,NULL,Forest,Non_Water,Non_Wetland,NULL
146,NULL,Forest,Non_Water,Non_Wetland,Grassland
147,NULL,Forest,Non_Water,Non_Wetland,Wetland
148,NULL,Forest,Non_Water,Non_Wetland,Water
149,NULL,Forest,Non_Water,Non_Wetland,Forest
150,NULL,Forest,Water,Non_Wetland,NULL
151,NULL,Forest,Water,Non_Wetland,Grassland
152,NULL,Forest,Water,Non_Wetland,Wetland
153,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
154,NULL,Forest,Water,Non_Wetland,Bareland
155,NULL,Forest,Water,Non_Wetland,Water
156,NULL,Forest,Water,Non_Wetland,Forest
157,Cropland,NULL,NULL,Non_Wetland,Grassland
158,Cropland,NULL,NULL,Non_Wetland,Wetland
159,Cropland,NULL,NULL,Non_Wetland,Forest
160,Cropland,Shrubland,NULL,Non_Wetland,NULL
161,Cropland,Shrubland,NULL,Non_Wetland,Grassland
162,Cropland,Shrubland,NULL,Non_Wetland,Wetland
163,Cropland,Shrubland,NULL,Non_Wetland,Forest
164,Cropland,Grassland,NULL,Non_Wetland,Grassland
165,Cropland,Grassland,NULL,Non_Wetland,Forest
166,Cropland,Cropland,NULL,Non_Wetland,Forest
167,Cropland,Wetland,NULL,Wetland,NULL
168,Cropland,Wetland,NULL,Wetland,Grassland
169,Cropland,Wetland,NULL,Wetland,Wetland
170,Cropland,Wetland,NULL,Wetland,Forest
171,Cropland,Wetland,Non_Water,Wetland,Wetland
172,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
173,Cropland,Bareland,NULL,Non_Wetland,NULL
174,Cropland,Bareland,NULL,Non_Wetland,Grassland
175,Cropland,Bareland,NULL,Non_Wetland,Wetland
176,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
177,Cropland,Bareland,NULL,Non_Wetland,Forest
178,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
179,Cropland,Built-up,NULL,Non_Wetland,Wetland
180,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
181,Cropland,Water,NULL,Water,Wetland
182,Cropland,Water,Water,Water,Wetland
183,Cropland,Forest,NULL,Non_Wetland,NULL
184,Cropland,Forest,NULL,Non_Wetland,Grassland
185,Cropland,Forest,NULL,Non_Wetland,Wetland
186,Cropland,Forest,NULL,Non_Wetland,Forest
187,Wetland,NULL,NULL,Non_Wetland,NULL
188,Wetland,NULL,NULL,Non_Wetland,Grassland
189,Wetland,NULL,NULL,Non_Wetland,Wetland
190,Wetland,NULL,NULL,Non_Wetland,Water
191,Wetland,NULL,NULL,Non_Wetland,Forest
192,Wetland,NULL,Non_Water,Non_Wetland,Grassland
193,Wetland,NULL,Non_Water,Non_Wetland,Wetland
194,Wetland,NULL,Non_Water,Non_Wetland,Water
195,Wetland,NULL,Non_Water,Non_Wetland,Forest
196,Wetland,NULL,Water,Non_Wetland,Wetland
197,Wetland,NULL,Water,Non_Wetland,Water
198,Wetland,NULL,Water,Non_Wetland,Forest
199,Wetland,Shrubland,NULL,Non_Wetland,NULL
200,Wetland,Shrubland,NULL,Non_Wetland,Grassland
201,Wetland,Shrubland,NULL,Non_Wetland,Wetland
202,Wetland,Shrubland,NULL,Non_Wetland,Water
203,Wetland,Shrubland,NULL,Non_Wetland,Forest
204,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
205,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
206,Wetland,Shrubland,Water,Non_Wetland,Grassland
207,Wetland,Shrubland,Water,Non_Wetland,Wetland
208,Wetland,Shrubland,Water,Non_Wetland,Water
209,Wetland,Shrubland,Water,Non_Wetland,Forest
210,Wetland,Grassland,NULL,Non_Wetland,Grassland
211,Wetland,Grassland,NULL,Non_Wetland,Forest
212,Wetland,Grassland,Non_Water,Non_Wetland,Forest
213,Wetland,Grassland,Water,Non_Wetland,Grassland
214,Wetland,Grassland,Water,Non_Wetland,Wetland
215,Wetland,Grassland,Water,Non_Wetland,Forest
216,Wetland,Cropland,NULL,Non_Wetland,Grassland
217,Wetland,Cropland,NULL,Non_Wetland,Forest
218,Wetland,Wetland,NULL,Wetland,NULL
219,Wetland,Wetland,NULL,Wetland,Grassland
220,Wetland,Wetland,NULL,Wetland,Wetland
221,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
222,Wetland,Wetland,NULL,Wetland,Water
223,Wetland,Wetland,NULL,Wetland,Forest
224,Wetland,Wetland,Non_Water,Wetland,Grassland
225,Wetland,Wetland,Non_Water,Wetland,Wetland
226,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
227,Wetland,Wetland,Non_Water,Wetland,Water
228,Wetland,Wetland,Non_Water,Wetland,Forest
229,Wetland,Wetland,Water,Wetland,Grassland
230,Wetland,Wetland,Water,Wetland,Wetland
231,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
232,Wetland,Wetland,Water,Wetland,Bareland
233,Wetland,Wetland,Water,Wetland,Water
234,Wetland,Wetland,Water,Wetland,Forest
235,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
236,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
237,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
238,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
239,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
240,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
241,Wetland,Bareland,NULL,Non_Wetland,NULL
242,Wetland,Bareland,NULL,Non_Wetland,Grassland
243,Wetland,Bareland,NULL,Non_Wetland,Wetland
244,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
245,Wetland,Bareland,NULL,Non_Wetland,Water
246,Wetland,Bareland,NULL,Non_Wetland,Forest
247,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
248,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
249,Wetland,Bareland,Non_Water,Non_Wetland,Water
250,Wetland,Bareland,Non_Water,Non_Wetland,Forest
251,Wetland,Bareland,Water,Non_Wetland,Grassland
252,Wetland,Bareland,Water,Non_Wetland,Wetland
253,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
254,Wetland,Bareland,Water,Non_Wetland,Bareland
255,Wetland,Bareland,Water,Non_Wetland,Water
256,Wetland,Bareland,Water,Non_Wetland,Forest
257,Wetland,Built-up,NULL,Non_Wetland,Wetland
258,Wetland,Built-up,NULL,Non_Wetland,Water
259,Wetland,Built-up,NULL,Non_Wetland,Forest
260,Wetland,Built-up,Water,Non_Wetland,Grassland
261,Wetland,Built-up,Water,Non_Wetland,Bareland
262,Wetland,Water,NULL,Water,Grassland
