Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VVK_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VVK_M_R,SIBERIA_2024_GSW_Yearly_2021_45VVK_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VVK_M_R,SIBERIA_2024_WorldCover_2021_45VVK_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
14,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
31,NULL,Shrubland,Water,Non_Wetland,Bareland
32,NULL,Shrubland,Water,Non_Wetland,Forest
33,NULL,Grassland,NULL,Non_Wetland,NULL
34,NULL,Grassland,NULL,Non_Wetland,Grassland
35,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
37,NULL,Grassland,NULL,Non_Wetland,Bareland
38,NULL,Grassland,NULL,Non_Wetland,Forest
39,NULL,Grassland,Non_Water,Non_Wetland,Grassland
40,NULL,Grassland,Non_Water,Non_Wetland,Wetland
41,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
42,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,Grassland,Water,Non_Wetland,Wetland
45,NULL,Grassland,Water,Non_Wetland,Bareland
46,NULL,Grassland,Water,Non_Wetland,Forest
47,NULL,Cropland,NULL,Non_Wetland,Grassland
48,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
49,NULL,Cropland,NULL,Non_Wetland,Forest
50,NULL,Wetland,NULL,Wetland,NULL
51,NULL,Wetland,NULL,Wetland,Grassland
52,NULL,Wetland,NULL,Wetland,Wetland
53,NULL,Wetland,NULL,Wetland,Water
54,NULL,Wetland,NULL,Wetland,Forest
55,NULL,Wetland,Non_Water,Wetland,NULL
56,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,Wetland,Non_Water,Wetland,Water
59,NULL,Wetland,Non_Water,Wetland,Forest
60,NULL,Wetland,Water,Wetland,Grassland
61,NULL,Wetland,Water,Wetland,Wetland
62,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
63,NULL,Wetland,Water,Wetland,Water
64,NULL,Wetland,Water,Wetland,Forest
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
69,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
70,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
71,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
72,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
73,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
74,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
75,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
76,NULL,Bareland,NULL,Non_Wetland,NULL
77,NULL,Bareland,NULL,Non_Wetland,Grassland
78,NULL,Bareland,NULL,Non_Wetland,Wetland
79,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
80,NULL,Bareland,NULL,Non_Wetland,Bareland
81,NULL,Bareland,NULL,Non_Wetland,Water
82,NULL,Bareland,NULL,Non_Wetland,Forest
83,NULL,Bareland,Non_Water,Non_Wetland,Grassland
84,NULL,Bareland,Non_Water,Non_Wetland,Wetland
85,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,Non_Water,Non_Wetland,Bareland
87,NULL,Bareland,Non_Water,Non_Wetland,Water
88,NULL,Bareland,Non_Water,Non_Wetland,Forest
89,NULL,Bareland,Water,Non_Wetland,Grassland
90,NULL,Bareland,Water,Non_Wetland,Wetland
91,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
92,NULL,Bareland,Water,Non_Wetland,Bareland
93,NULL,Bareland,Water,Non_Wetland,Water
94,NULL,Bareland,Water,Non_Wetland,Forest
95,NULL,Built-up,NULL,Non_Wetland,NULL
96,NULL,Built-up,NULL,Non_Wetland,Grassland
97,NULL,Built-up,NULL,Non_Wetland,Wetland
98,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
99,NULL,Built-up,NULL,Non_Wetland,Forest
100,NULL,Built-up,Non_Water,Non_Wetland,Grassland
101,NULL,Built-up,Non_Water,Non_Wetland,Wetland
102,NULL,Built-up,Non_Water,Non_Wetland,Forest
103,NULL,Built-up,Water,Non_Wetland,Wetland
104,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
105,NULL,Built-up,Water,Non_Wetland,Bareland
106,NULL,Built-up,Water,Non_Wetland,Water
107,NULL,Built-up,Water,Non_Wetland,Forest
108,NULL,Water,NULL,Water,Grassland
109,NULL,Water,NULL,Water,Wetland
110,NULL,Water,NULL,Water,Lichens_and_Mosses
111,NULL,Water,NULL,Water,Water
112,NULL,Water,NULL,Water,Forest
113,NULL,Water,Non_Water,Water,Grassland
114,NULL,Water,Non_Water,Water,Wetland
115,NULL,Water,Non_Water,Water,Lichens_and_Mosses
116,NULL,Water,Non_Water,Water,Bareland
117,NULL,Water,Non_Water,Water,Water
118,NULL,Water,Non_Water,Water,Forest
119,NULL,Water,Water,Water,Grassland
120,NULL,Water,Water,Water,Wetland
121,NULL,Water,Water,Water,Lichens_and_Mosses
122,NULL,Water,Water,Water,Bareland
123,NULL,Water,Water,Water,Water
124,NULL,Water,Water,Water,Forest
125,NULL,Forest,NULL,Non_Wetland,NULL
126,NULL,Forest,NULL,Non_Wetland,Grassland
127,NULL,Forest,NULL,Non_Wetland,Wetland
128,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
129,NULL,Forest,NULL,Non_Wetland,Water
130,NULL,Forest,NULL,Non_Wetland,Forest
131,NULL,Forest,Non_Water,Non_Wetland,Grassland
132,NULL,Forest,Non_Water,Non_Wetland,Wetland
133,NULL,Forest,Non_Water,Non_Wetland,Forest
134,NULL,Forest,Water,Non_Wetland,Grassland
135,NULL,Forest,Water,Non_Wetland,Wetland
136,NULL,Forest,Water,Non_Wetland,Water
137,NULL,Forest,Water,Non_Wetland,Forest
138,Cropland,NULL,NULL,Non_Wetland,Grassland
139,Cropland,NULL,NULL,Non_Wetland,Forest
140,Cropland,Shrubland,NULL,Non_Wetland,NULL
141,Cropland,Shrubland,NULL,Non_Wetland,Grassland
142,Cropland,Shrubland,NULL,Non_Wetland,Wetland
143,Cropland,Shrubland,NULL,Non_Wetland,Forest
144,Cropland,Grassland,NULL,Non_Wetland,Grassland
145,Cropland,Grassland,NULL,Non_Wetland,Forest
146,Cropland,Wetland,NULL,Wetland,NULL
147,Cropland,Wetland,NULL,Wetland,Grassland
148,Cropland,Wetland,NULL,Wetland,Wetland
149,Cropland,Wetland,NULL,Wetland,Forest
150,Cropland,Wetland,Non_Water,Wetland,Forest
151,Cropland,Wetland,Water,Wetland,Forest
152,Cropland,Bareland,NULL,Non_Wetland,NULL
153,Cropland,Bareland,NULL,Non_Wetland,Grassland
154,Cropland,Bareland,NULL,Non_Wetland,Wetland
155,Cropland,Bareland,NULL,Non_Wetland,Forest
156,Cropland,Built-up,NULL,Non_Wetland,Forest
157,Cropland,Forest,NULL,Non_Wetland,NULL
158,Cropland,Forest,NULL,Non_Wetland,Grassland
159,Cropland,Forest,NULL,Non_Wetland,Wetland
160,Cropland,Forest,NULL,Non_Wetland,Forest
161,Wetland,NULL,NULL,Non_Wetland,NULL
162,Wetland,NULL,NULL,Non_Wetland,Grassland
163,Wetland,NULL,NULL,Non_Wetland,Wetland
164,Wetland,NULL,NULL,Non_Wetland,Water
165,Wetland,NULL,NULL,Non_Wetland,Forest
166,Wetland,NULL,Non_Water,Non_Wetland,Wetland
167,Wetland,NULL,Non_Water,Non_Wetland,Forest
168,Wetland,NULL,Water,Non_Wetland,Grassland
169,Wetland,NULL,Water,Non_Wetland,Wetland
170,Wetland,NULL,Water,Non_Wetland,Water
171,Wetland,NULL,Water,Non_Wetland,Forest
172,Wetland,Shrubland,NULL,Non_Wetland,NULL
173,Wetland,Shrubland,NULL,Non_Wetland,Grassland
174,Wetland,Shrubland,NULL,Non_Wetland,Wetland
175,Wetland,Shrubland,NULL,Non_Wetland,Water
176,Wetland,Shrubland,NULL,Non_Wetland,Forest
177,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
178,Wetland,Shrubland,Non_Water,Non_Wetland,Water
179,Wetland,Shrubland,Water,Non_Wetland,Grassland
180,Wetland,Shrubland,Water,Non_Wetland,Water
181,Wetland,Shrubland,Water,Non_Wetland,Forest
182,Wetland,Grassland,NULL,Non_Wetland,Grassland
183,Wetland,Grassland,NULL,Non_Wetland,Wetland
184,Wetland,Grassland,NULL,Non_Wetland,Forest
185,Wetland,Grassland,Non_Water,Non_Wetland,Forest
186,Wetland,Grassland,Water,Non_Wetland,Grassland
187,Wetland,Grassland,Water,Non_Wetland,Forest
188,Wetland,Wetland,NULL,Wetland,NULL
189,Wetland,Wetland,NULL,Wetland,Grassland
190,Wetland,Wetland,NULL,Wetland,Wetland
191,Wetland,Wetland,NULL,Wetland,Water
192,Wetland,Wetland,NULL,Wetland,Forest
193,Wetland,Wetland,Non_Water,Wetland,Grassland
194,Wetland,Wetland,Non_Water,Wetland,Wetland
195,Wetland,Wetland,Non_Water,Wetland,Water
196,Wetland,Wetland,Non_Water,Wetland,Forest
197,Wetland,Wetland,Water,Wetland,Grassland
198,Wetland,Wetland,Water,Wetland,Wetland
199,Wetland,Wetland,Water,Wetland,Water
200,Wetland,Wetland,Water,Wetland,Forest
201,Wetland,Bareland,NULL,Non_Wetland,NULL
202,Wetland,Bareland,NULL,Non_Wetland,Grassland
203,Wetland,Bareland,NULL,Non_Wetland,Wetland
204,Wetland,Bareland,NULL,Non_Wetland,Water
205,Wetland,Bareland,NULL,Non_Wetland,Forest
206,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
207,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
208,Wetland,Bareland,Non_Water,Non_Wetland,Water
209,Wetland,Bareland,Non_Water,Non_Wetland,Forest
210,Wetland,Bareland,Water,Non_Wetland,Grassland
211,Wetland,Bareland,Water,Non_Wetland,Wetland
212,Wetland,Bareland,Water,Non_Wetland,Water
213,Wetland,Bareland,Water,Non_Wetland,Forest
214,Wetland,Built-up,NULL,Non_Wetland,Wetland
215,Wetland,Built-up,NULL,Non_Wetland,Forest
216,Wetland,Water,NULL,Water,Grassland
217,Wetland,Water,NULL,Water,Wetland
218,Wetland,Water,NULL,Water,Water
219,Wetland,Water,NULL,Water,Forest
220,Wetland,Water,Non_Water,Water,Wetland
221,Wetland,Water,Non_Water,Water,Water
222,Wetland,Water,Non_Water,Water,Forest
223,Wetland,Water,Water,Water,Grassland
224,Wetland,Water,Water,Water,Wetland
225,Wetland,Water,Water,Water,Water
226,Wetland,Water,Water,Water,Forest
227,Wetland,Forest,NULL,Non_Wetland,NULL
228,Wetland,Forest,NULL,Non_Wetland,Grassland
229,Wetland,Forest,NULL,Non_Wetland,Wetland
230,Wetland,Forest,NULL,Non_Wetland,Water
231,Wetland,Forest,NULL,Non_Wetland,Forest
232,Wetland,Forest,Non_Water,Non_Wetland,Grassland
233,Wetland,Forest,Non_Water,Non_Wetland,Wetland
234,Wetland,Forest,Non_Water,Non_Wetland,Water
235,Wetland,Forest,Non_Water,Non_Wetland,Forest
236,Wetland,Forest,Water,Non_Wetland,Grassland
237,Wetland,Forest,Water,Non_Wetland,Wetland
238,Wetland,Forest,Water,Non_Wetland,Water
239,Wetland,Forest,Water,Non_Wetland,Forest
240,Bareland,NULL,NULL,Non_Wetland,Grassland
241,Bareland,NULL,NULL,Non_Wetland,Wetland
242,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
243,Bareland,NULL,NULL,Non_Wetland,Bareland
244,Bareland,NULL,NULL,Non_Wetland,Water
245,Bareland,NULL,NULL,Non_Wetland,Forest
246,Bareland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
247,Bareland,NULL,Non_Water,Non_Wetland,Water
248,Bareland,NULL,Water,Non_Wetland,Grassland
249,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
250,Bareland,NULL,Water,Non_Wetland,Water
251,Bareland,Shrubland,NULL,Non_Wetland,Grassland
252,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
253,Bareland,Shrubland,NULL,Non_Wetland,Bareland
254,Bareland,Shrubland,NULL,Non_Wetland,Water
255,Bareland,Shrubland,NULL,Non_Wetland,Forest
256,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
257,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
258,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
259,Bareland,Shrubland,Non_Water,Non_Wetland,Water
260,Bareland,Shrubland,Water,Non_Wetland,Grassland
261,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
262,Bareland,Shrubland,Water,Non_Wetland,Bareland
263,Bareland,Shrubland,Water,Non_Wetland,Water
264,Bareland,Grassland,NULL,Non_Wetland,Grassland
265,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
