Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VWF_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VWF_M_R,SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VWF_M_R,SIBERIA_2024_WorldCover_2021_45VWF_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,Shrubland,Water,Non_Wetland,Forest
24,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
28,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,Grassland,Non_Water,Non_Wetland,Forest
33,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,Grassland,Water,Non_Wetland,Cropland
35,NULL,Grassland,Water,Non_Wetland,Bareland
36,NULL,Grassland,Water,Non_Wetland,Forest
37,NULL,Cropland,NULL,Non_Wetland,Grassland
38,NULL,Cropland,NULL,Non_Wetland,Cropland
39,NULL,Cropland,NULL,Non_Wetland,Wetland
40,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
41,NULL,Cropland,NULL,Non_Wetland,Bareland
42,NULL,Cropland,NULL,Non_Wetland,Built-up
43,NULL,Cropland,NULL,Non_Wetland,Water
44,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
47,NULL,Cropland,Non_Water,Non_Wetland,Bareland
48,NULL,Cropland,Non_Water,Non_Wetland,Forest
49,NULL,Cropland,Water,Non_Wetland,Grassland
50,NULL,Cropland,Water,Non_Wetland,Cropland
51,NULL,Cropland,Water,Non_Wetland,Wetland
52,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
53,NULL,Cropland,Water,Non_Wetland,Bareland
54,NULL,Cropland,Water,Non_Wetland,Forest
55,NULL,Wetland,NULL,Wetland,NULL
56,NULL,Wetland,NULL,Wetland,Grassland
57,NULL,Wetland,NULL,Wetland,Cropland
58,NULL,Wetland,NULL,Wetland,Wetland
59,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
60,NULL,Wetland,NULL,Wetland,Water
61,NULL,Wetland,NULL,Wetland,Forest
62,NULL,Wetland,Non_Water,Wetland,NULL
63,NULL,Wetland,Non_Water,Wetland,Grassland
64,NULL,Wetland,Non_Water,Wetland,Wetland
65,NULL,Wetland,Non_Water,Wetland,Water
66,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,Wetland,Water,Wetland,Grassland
68,NULL,Wetland,Water,Wetland,Cropland
69,NULL,Wetland,Water,Wetland,Wetland
70,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
71,NULL,Wetland,Water,Wetland,Bareland
72,NULL,Wetland,Water,Wetland,Water
73,NULL,Wetland,Water,Wetland,Forest
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
76,NULL,Bareland,NULL,Non_Wetland,NULL
77,NULL,Bareland,NULL,Non_Wetland,Grassland
78,NULL,Bareland,NULL,Non_Wetland,Cropland
79,NULL,Bareland,NULL,Non_Wetland,Wetland
80,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
81,NULL,Bareland,NULL,Non_Wetland,Bareland
82,NULL,Bareland,NULL,Non_Wetland,Built-up
83,NULL,Bareland,NULL,Non_Wetland,Water
84,NULL,Bareland,NULL,Non_Wetland,Forest
85,NULL,Bareland,Non_Water,Non_Wetland,Grassland
86,NULL,Bareland,Non_Water,Non_Wetland,Wetland
87,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
88,NULL,Bareland,Non_Water,Non_Wetland,Bareland
89,NULL,Bareland,Non_Water,Non_Wetland,Forest
90,NULL,Bareland,Water,Non_Wetland,Grassland
91,NULL,Bareland,Water,Non_Wetland,Wetland
92,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,Water,Non_Wetland,Bareland
94,NULL,Bareland,Water,Non_Wetland,Water
95,NULL,Bareland,Water,Non_Wetland,Forest
96,NULL,Built-up,NULL,Non_Wetland,Grassland
97,NULL,Built-up,NULL,Non_Wetland,Cropland
98,NULL,Built-up,NULL,Non_Wetland,Wetland
99,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
100,NULL,Built-up,NULL,Non_Wetland,Bareland
101,NULL,Built-up,NULL,Non_Wetland,Built-up
102,NULL,Built-up,NULL,Non_Wetland,Water
103,NULL,Built-up,NULL,Non_Wetland,Forest
104,NULL,Built-up,Non_Water,Non_Wetland,Forest
105,NULL,Built-up,Water,Non_Wetland,Grassland
106,NULL,Built-up,Water,Non_Wetland,Cropland
107,NULL,Built-up,Water,Non_Wetland,Water
108,NULL,Built-up,Water,Non_Wetland,Forest
109,NULL,Water,NULL,Water,NULL
110,NULL,Water,NULL,Water,Grassland
111,NULL,Water,NULL,Water,Wetland
112,NULL,Water,NULL,Water,Water
113,NULL,Water,NULL,Water,Forest
114,NULL,Water,Non_Water,Water,Wetland
115,NULL,Water,Non_Water,Water,Water
116,NULL,Water,Water,Water,Grassland
117,NULL,Water,Water,Water,Wetland
118,NULL,Water,Water,Water,Lichens_and_Mosses
119,NULL,Water,Water,Water,Water
120,NULL,Water,Water,Water,Forest
121,NULL,Forest,NULL,Non_Wetland,NULL
122,NULL,Forest,NULL,Non_Wetland,Grassland
123,NULL,Forest,NULL,Non_Wetland,Cropland
124,NULL,Forest,NULL,Non_Wetland,Wetland
125,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
126,NULL,Forest,NULL,Non_Wetland,Bareland
127,NULL,Forest,NULL,Non_Wetland,Water
128,NULL,Forest,NULL,Non_Wetland,Forest
129,NULL,Forest,Non_Water,Non_Wetland,Grassland
130,NULL,Forest,Non_Water,Non_Wetland,Wetland
131,NULL,Forest,Non_Water,Non_Wetland,Forest
132,NULL,Forest,Water,Non_Wetland,Grassland
133,NULL,Forest,Water,Non_Wetland,Cropland
134,NULL,Forest,Water,Non_Wetland,Wetland
135,NULL,Forest,Water,Non_Wetland,Water
136,NULL,Forest,Water,Non_Wetland,Forest
137,Cropland,NULL,NULL,Non_Wetland,Grassland
138,Cropland,NULL,NULL,Non_Wetland,Wetland
139,Cropland,NULL,NULL,Non_Wetland,Bareland
140,Cropland,NULL,NULL,Non_Wetland,Forest
141,Cropland,Shrubland,NULL,Non_Wetland,Grassland
142,Cropland,Shrubland,NULL,Non_Wetland,Bareland
143,Cropland,Shrubland,NULL,Non_Wetland,Forest
144,Cropland,Grassland,NULL,Non_Wetland,Grassland
145,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
146,Cropland,Grassland,NULL,Non_Wetland,Bareland
147,Cropland,Grassland,NULL,Non_Wetland,Forest
148,Cropland,Cropland,NULL,Non_Wetland,Grassland
149,Cropland,Cropland,NULL,Non_Wetland,Wetland
150,Cropland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
151,Cropland,Cropland,NULL,Non_Wetland,Bareland
152,Cropland,Cropland,NULL,Non_Wetland,Forest
153,Cropland,Wetland,NULL,Wetland,NULL
154,Cropland,Wetland,NULL,Wetland,Grassland
155,Cropland,Wetland,NULL,Wetland,Wetland
156,Cropland,Wetland,NULL,Wetland,Forest
157,Cropland,Wetland,Non_Water,Wetland,Grassland
158,Cropland,Wetland,Non_Water,Wetland,Wetland
159,Cropland,Wetland,Water,Wetland,Wetland
160,Cropland,Bareland,NULL,Non_Wetland,Grassland
161,Cropland,Bareland,NULL,Non_Wetland,Wetland
162,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
163,Cropland,Bareland,NULL,Non_Wetland,Bareland
164,Cropland,Bareland,NULL,Non_Wetland,Forest
165,Cropland,Built-up,NULL,Non_Wetland,Grassland
166,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
167,Cropland,Built-up,NULL,Non_Wetland,Forest
168,Cropland,Water,NULL,Water,Grassland
169,Cropland,Water,NULL,Water,Wetland
170,Cropland,Water,Water,Water,Grassland
171,Cropland,Water,Water,Water,Wetland
172,Cropland,Water,Water,Water,Forest
173,Cropland,Forest,NULL,Non_Wetland,Grassland
174,Cropland,Forest,NULL,Non_Wetland,Wetland
175,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
176,Cropland,Forest,NULL,Non_Wetland,Bareland
177,Cropland,Forest,NULL,Non_Wetland,Forest
178,Wetland,NULL,NULL,Non_Wetland,Grassland
179,Wetland,NULL,NULL,Non_Wetland,Wetland
180,Wetland,NULL,NULL,Non_Wetland,Water
181,Wetland,NULL,NULL,Non_Wetland,Forest
182,Wetland,NULL,Non_Water,Non_Wetland,Wetland
183,Wetland,NULL,Non_Water,Non_Wetland,Water
184,Wetland,NULL,Non_Water,Non_Wetland,Forest
185,Wetland,NULL,Water,Non_Wetland,Grassland
186,Wetland,NULL,Water,Non_Wetland,Wetland
187,Wetland,NULL,Water,Non_Wetland,Water
188,Wetland,NULL,Water,Non_Wetland,Forest
189,Wetland,Shrubland,NULL,Non_Wetland,Grassland
190,Wetland,Shrubland,NULL,Non_Wetland,Wetland
191,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
192,Wetland,Shrubland,NULL,Non_Wetland,Forest
193,Wetland,Shrubland,Water,Non_Wetland,Bareland
194,Wetland,Shrubland,Water,Non_Wetland,Forest
195,Wetland,Grassland,NULL,Non_Wetland,Grassland
196,Wetland,Grassland,NULL,Non_Wetland,Cropland
197,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
198,Wetland,Grassland,NULL,Non_Wetland,Bareland
199,Wetland,Grassland,NULL,Non_Wetland,Forest
200,Wetland,Grassland,Water,Non_Wetland,Grassland
201,Wetland,Grassland,Water,Non_Wetland,Cropland
202,Wetland,Grassland,Water,Non_Wetland,Forest
203,Wetland,Cropland,NULL,Non_Wetland,Grassland
204,Wetland,Cropland,NULL,Non_Wetland,Cropland
205,Wetland,Cropland,NULL,Non_Wetland,Wetland
206,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
207,Wetland,Cropland,NULL,Non_Wetland,Bareland
208,Wetland,Cropland,NULL,Non_Wetland,Water
209,Wetland,Cropland,NULL,Non_Wetland,Forest
210,Wetland,Cropland,Non_Water,Non_Wetland,Forest
211,Wetland,Cropland,Water,Non_Wetland,Grassland
212,Wetland,Cropland,Water,Non_Wetland,Cropland
213,Wetland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
214,Wetland,Cropland,Water,Non_Wetland,Bareland
215,Wetland,Cropland,Water,Non_Wetland,Built-up
216,Wetland,Cropland,Water,Non_Wetland,Water
217,Wetland,Cropland,Water,Non_Wetland,Forest
218,Wetland,Wetland,NULL,Wetland,NULL
219,Wetland,Wetland,NULL,Wetland,Grassland
220,Wetland,Wetland,NULL,Wetland,Cropland
221,Wetland,Wetland,NULL,Wetland,Wetland
222,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
223,Wetland,Wetland,NULL,Wetland,Water
224,Wetland,Wetland,NULL,Wetland,Forest
225,Wetland,Wetland,Non_Water,Wetland,Wetland
226,Wetland,Wetland,Non_Water,Wetland,Water
227,Wetland,Wetland,Non_Water,Wetland,Forest
228,Wetland,Wetland,Water,Wetland,Grassland
229,Wetland,Wetland,Water,Wetland,Cropland
230,Wetland,Wetland,Water,Wetland,Wetland
231,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
232,Wetland,Wetland,Water,Wetland,Bareland
233,Wetland,Wetland,Water,Wetland,Water
234,Wetland,Wetland,Water,Wetland,Forest
235,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
236,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
237,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
238,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
239,Wetland,Bareland,NULL,Non_Wetland,NULL
240,Wetland,Bareland,NULL,Non_Wetland,Grassland
241,Wetland,Bareland,NULL,Non_Wetland,Wetland
242,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
243,Wetland,Bareland,NULL,Non_Wetland,Water
244,Wetland,Bareland,NULL,Non_Wetland,Forest
245,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
246,Wetland,Bareland,Non_Water,Non_Wetland,Forest
247,Wetland,Bareland,Water,Non_Wetland,Grassland
248,Wetland,Bareland,Water,Non_Wetland,Wetland
249,Wetland,Bareland,Water,Non_Wetland,Water
250,Wetland,Bareland,Water,Non_Wetland,Forest
251,Wetland,Built-up,NULL,Non_Wetland,Grassland
252,Wetland,Built-up,NULL,Non_Wetland,Wetland
253,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
254,Wetland,Built-up,NULL,Non_Wetland,Bareland
255,Wetland,Built-up,NULL,Non_Wetland,Water
256,Wetland,Built-up,NULL,Non_Wetland,Forest
257,Wetland,Built-up,Water,Non_Wetland,Grassland
258,Wetland,Built-up,Water,Non_Wetland,Cropland
259,Wetland,Built-up,Water,Non_Wetland,Wetland
260,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
261,Wetland,Built-up,Water,Non_Wetland,Bareland
262,Wetland,Built-up,Water,Non_Wetland,Water
263,Wetland,Built-up,Water,Non_Wetland,Forest
264,Wetland,Water,NULL,Water,Grassland
265,Wetland,Water,NULL,Water,Wetland
266,Wetland,Water,NULL,Water,Water
