Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VVL_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VVL_M_R,SIBERIA_2024_GSW_Yearly_2021_45VVL_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VVL_M_R,SIBERIA_2024_WorldCover_2021_45VVL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,Grassland,Non_Water,Non_Wetland,Wetland
32,NULL,Grassland,Non_Water,Non_Wetland,Forest
33,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,Grassland,Water,Non_Wetland,Wetland
35,NULL,Grassland,Water,Non_Wetland,Forest
36,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,Cropland,Non_Water,Non_Wetland,Forest
39,NULL,Wetland,NULL,Wetland,NULL
40,NULL,Wetland,NULL,Wetland,Grassland
41,NULL,Wetland,NULL,Wetland,Wetland
42,NULL,Wetland,NULL,Wetland,Water
43,NULL,Wetland,NULL,Wetland,Forest
44,NULL,Wetland,Non_Water,Wetland,NULL
45,NULL,Wetland,Non_Water,Wetland,Grassland
46,NULL,Wetland,Non_Water,Wetland,Wetland
47,NULL,Wetland,Non_Water,Wetland,Water
48,NULL,Wetland,Non_Water,Wetland,Forest
49,NULL,Wetland,Water,Wetland,NULL
50,NULL,Wetland,Water,Wetland,Grassland
51,NULL,Wetland,Water,Wetland,Wetland
52,NULL,Wetland,Water,Wetland,Water
53,NULL,Wetland,Water,Wetland,Forest
54,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
55,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
56,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
57,NULL,Bareland,NULL,Non_Wetland,NULL
58,NULL,Bareland,NULL,Non_Wetland,Grassland
59,NULL,Bareland,NULL,Non_Wetland,Wetland
60,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
61,NULL,Bareland,NULL,Non_Wetland,Bareland
62,NULL,Bareland,NULL,Non_Wetland,Water
63,NULL,Bareland,NULL,Non_Wetland,Forest
64,NULL,Bareland,Non_Water,Non_Wetland,NULL
65,NULL,Bareland,Non_Water,Non_Wetland,Grassland
66,NULL,Bareland,Non_Water,Non_Wetland,Wetland
67,NULL,Bareland,Non_Water,Non_Wetland,Forest
68,NULL,Bareland,Water,Non_Wetland,Grassland
69,NULL,Bareland,Water,Non_Wetland,Wetland
70,NULL,Bareland,Water,Non_Wetland,Water
71,NULL,Bareland,Water,Non_Wetland,Forest
72,NULL,Built-up,NULL,Non_Wetland,Grassland
73,NULL,Built-up,NULL,Non_Wetland,Wetland
74,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
75,NULL,Built-up,NULL,Non_Wetland,Water
76,NULL,Built-up,NULL,Non_Wetland,Forest
77,NULL,Built-up,Non_Water,Non_Wetland,Forest
78,NULL,Built-up,Water,Non_Wetland,Wetland
79,NULL,Built-up,Water,Non_Wetland,Forest
80,NULL,Water,NULL,Water,NULL
81,NULL,Water,NULL,Water,Grassland
82,NULL,Water,NULL,Water,Wetland
83,NULL,Water,NULL,Water,Water
84,NULL,Water,NULL,Water,Forest
85,NULL,Water,Non_Water,Water,Wetland
86,NULL,Water,Non_Water,Water,Water
87,NULL,Water,Non_Water,Water,Forest
88,NULL,Water,Water,Water,NULL
89,NULL,Water,Water,Water,Grassland
90,NULL,Water,Water,Water,Wetland
91,NULL,Water,Water,Water,Water
92,NULL,Water,Water,Water,Forest
93,NULL,Forest,NULL,Non_Wetland,NULL
94,NULL,Forest,NULL,Non_Wetland,Grassland
95,NULL,Forest,NULL,Non_Wetland,Wetland
96,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
97,NULL,Forest,NULL,Non_Wetland,Water
98,NULL,Forest,NULL,Non_Wetland,Forest
99,NULL,Forest,Non_Water,Non_Wetland,NULL
100,NULL,Forest,Non_Water,Non_Wetland,Grassland
101,NULL,Forest,Non_Water,Non_Wetland,Wetland
102,NULL,Forest,Non_Water,Non_Wetland,Forest
103,NULL,Forest,Water,Non_Wetland,Grassland
104,NULL,Forest,Water,Non_Wetland,Wetland
105,NULL,Forest,Water,Non_Wetland,Water
106,NULL,Forest,Water,Non_Wetland,Forest
107,Cropland,NULL,NULL,Non_Wetland,NULL
108,Cropland,NULL,NULL,Non_Wetland,Grassland
109,Cropland,NULL,NULL,Non_Wetland,Wetland
110,Cropland,NULL,NULL,Non_Wetland,Forest
111,Cropland,Shrubland,NULL,Non_Wetland,NULL
112,Cropland,Shrubland,NULL,Non_Wetland,Grassland
113,Cropland,Shrubland,NULL,Non_Wetland,Wetland
114,Cropland,Shrubland,NULL,Non_Wetland,Forest
115,Cropland,Grassland,NULL,Non_Wetland,Grassland
116,Cropland,Grassland,NULL,Non_Wetland,Forest
117,Cropland,Wetland,NULL,Wetland,NULL
118,Cropland,Wetland,NULL,Wetland,Grassland
119,Cropland,Wetland,NULL,Wetland,Wetland
120,Cropland,Wetland,NULL,Wetland,Forest
121,Cropland,Wetland,Non_Water,Wetland,Grassland
122,Cropland,Wetland,Non_Water,Wetland,Wetland
123,Cropland,Bareland,NULL,Non_Wetland,NULL
124,Cropland,Bareland,NULL,Non_Wetland,Grassland
125,Cropland,Bareland,NULL,Non_Wetland,Wetland
126,Cropland,Bareland,NULL,Non_Wetland,Forest
127,Cropland,Built-up,NULL,Non_Wetland,Forest
128,Cropland,Forest,NULL,Non_Wetland,NULL
129,Cropland,Forest,NULL,Non_Wetland,Grassland
130,Cropland,Forest,NULL,Non_Wetland,Wetland
131,Cropland,Forest,NULL,Non_Wetland,Forest
132,Cropland,Forest,Non_Water,Non_Wetland,Forest
133,Cropland,Forest,Water,Non_Wetland,Forest
134,Wetland,NULL,NULL,Non_Wetland,NULL
135,Wetland,NULL,NULL,Non_Wetland,Grassland
136,Wetland,NULL,NULL,Non_Wetland,Wetland
137,Wetland,NULL,NULL,Non_Wetland,Water
138,Wetland,NULL,NULL,Non_Wetland,Forest
139,Wetland,NULL,Non_Water,Non_Wetland,Wetland
140,Wetland,NULL,Non_Water,Non_Wetland,Water
141,Wetland,NULL,Non_Water,Non_Wetland,Forest
142,Wetland,NULL,Water,Non_Wetland,Grassland
143,Wetland,NULL,Water,Non_Wetland,Wetland
144,Wetland,NULL,Water,Non_Wetland,Water
145,Wetland,NULL,Water,Non_Wetland,Forest
146,Wetland,Shrubland,NULL,Non_Wetland,NULL
147,Wetland,Shrubland,NULL,Non_Wetland,Grassland
148,Wetland,Shrubland,NULL,Non_Wetland,Wetland
149,Wetland,Shrubland,NULL,Non_Wetland,Water
150,Wetland,Shrubland,NULL,Non_Wetland,Forest
151,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
152,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
153,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
154,Wetland,Shrubland,Water,Non_Wetland,Grassland
155,Wetland,Shrubland,Water,Non_Wetland,Wetland
156,Wetland,Shrubland,Water,Non_Wetland,Bareland
157,Wetland,Shrubland,Water,Non_Wetland,Water
158,Wetland,Shrubland,Water,Non_Wetland,Forest
159,Wetland,Grassland,NULL,Non_Wetland,NULL
160,Wetland,Grassland,NULL,Non_Wetland,Grassland
161,Wetland,Grassland,NULL,Non_Wetland,Wetland
162,Wetland,Grassland,NULL,Non_Wetland,Water
163,Wetland,Grassland,NULL,Non_Wetland,Forest
164,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
165,Wetland,Grassland,Water,Non_Wetland,Grassland
166,Wetland,Grassland,Water,Non_Wetland,Wetland
167,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
168,Wetland,Grassland,Water,Non_Wetland,Water
169,Wetland,Grassland,Water,Non_Wetland,Forest
170,Wetland,Cropland,NULL,Non_Wetland,Grassland
171,Wetland,Cropland,NULL,Non_Wetland,Forest
172,Wetland,Wetland,NULL,Wetland,NULL
173,Wetland,Wetland,NULL,Wetland,Grassland
174,Wetland,Wetland,NULL,Wetland,Wetland
175,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
176,Wetland,Wetland,NULL,Wetland,Water
177,Wetland,Wetland,NULL,Wetland,Forest
178,Wetland,Wetland,Non_Water,Wetland,NULL
179,Wetland,Wetland,Non_Water,Wetland,Grassland
180,Wetland,Wetland,Non_Water,Wetland,Wetland
181,Wetland,Wetland,Non_Water,Wetland,Water
182,Wetland,Wetland,Non_Water,Wetland,Forest
183,Wetland,Wetland,Water,Wetland,NULL
184,Wetland,Wetland,Water,Wetland,Grassland
185,Wetland,Wetland,Water,Wetland,Wetland
186,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
187,Wetland,Wetland,Water,Wetland,Bareland
188,Wetland,Wetland,Water,Wetland,Water
189,Wetland,Wetland,Water,Wetland,Forest
190,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
191,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
192,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
193,Wetland,Bareland,NULL,Non_Wetland,NULL
194,Wetland,Bareland,NULL,Non_Wetland,Grassland
195,Wetland,Bareland,NULL,Non_Wetland,Wetland
196,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
197,Wetland,Bareland,NULL,Non_Wetland,Bareland
198,Wetland,Bareland,NULL,Non_Wetland,Water
199,Wetland,Bareland,NULL,Non_Wetland,Forest
200,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
201,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
202,Wetland,Bareland,Non_Water,Non_Wetland,Water
203,Wetland,Bareland,Non_Water,Non_Wetland,Forest
204,Wetland,Bareland,Water,Non_Wetland,Grassland
205,Wetland,Bareland,Water,Non_Wetland,Wetland
206,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
207,Wetland,Bareland,Water,Non_Wetland,Bareland
208,Wetland,Bareland,Water,Non_Wetland,Water
209,Wetland,Bareland,Water,Non_Wetland,Forest
210,Wetland,Built-up,NULL,Non_Wetland,Grassland
211,Wetland,Built-up,NULL,Non_Wetland,Wetland
212,Wetland,Built-up,NULL,Non_Wetland,Water
213,Wetland,Built-up,NULL,Non_Wetland,Forest
214,Wetland,Built-up,Water,Non_Wetland,Wetland
215,Wetland,Built-up,Water,Non_Wetland,Bareland
216,Wetland,Built-up,Water,Non_Wetland,Water
217,Wetland,Built-up,Water,Non_Wetland,Forest
218,Wetland,Water,NULL,Water,NULL
219,Wetland,Water,NULL,Water,Grassland
220,Wetland,Water,NULL,Water,Wetland
221,Wetland,Water,NULL,Water,Water
222,Wetland,Water,NULL,Water,Forest
223,Wetland,Water,Non_Water,Water,Wetland
224,Wetland,Water,Non_Water,Water,Water
225,Wetland,Water,Non_Water,Water,Forest
226,Wetland,Water,Water,Water,NULL
227,Wetland,Water,Water,Water,Grassland
228,Wetland,Water,Water,Water,Wetland
229,Wetland,Water,Water,Water,Lichens_and_Mosses
230,Wetland,Water,Water,Water,Bareland
231,Wetland,Water,Water,Water,Water
232,Wetland,Water,Water,Water,Forest
233,Wetland,Forest,NULL,Non_Wetland,NULL
234,Wetland,Forest,NULL,Non_Wetland,Grassland
235,Wetland,Forest,NULL,Non_Wetland,Wetland
236,Wetland,Forest,NULL,Non_Wetland,Water
237,Wetland,Forest,NULL,Non_Wetland,Forest
238,Wetland,Forest,Non_Water,Non_Wetland,Grassland
239,Wetland,Forest,Non_Water,Non_Wetland,Wetland
240,Wetland,Forest,Non_Water,Non_Wetland,Water
241,Wetland,Forest,Non_Water,Non_Wetland,Forest
242,Wetland,Forest,Water,Non_Wetland,Grassland
243,Wetland,Forest,Water,Non_Wetland,Wetland
244,Wetland,Forest,Water,Non_Wetland,Water
245,Wetland,Forest,Water,Non_Wetland,Forest
246,Bareland,NULL,NULL,Non_Wetland,Grassland
247,Bareland,NULL,NULL,Non_Wetland,Wetland
248,Bareland,NULL,NULL,Non_Wetland,Water
249,Bareland,NULL,NULL,Non_Wetland,Forest
250,Bareland,NULL,Non_Water,Non_Wetland,Forest
251,Bareland,NULL,Water,Non_Wetland,Wetland
252,Bareland,NULL,Water,Non_Wetland,Water
253,Bareland,NULL,Water,Non_Wetland,Forest
254,Bareland,Shrubland,NULL,Non_Wetland,Grassland
255,Bareland,Shrubland,NULL,Non_Wetland,Water
256,Bareland,Shrubland,NULL,Non_Wetland,Forest
257,Bareland,Grassland,NULL,Non_Wetland,Grassland
258,Bareland,Grassland,NULL,Non_Wetland,Forest
259,Bareland,Wetland,NULL,Wetland,Grassland
260,Bareland,Wetland,NULL,Wetland,Wetland
261,Bareland,Wetland,NULL,Wetland,Water
262,Bareland,Wetland,NULL,Wetland,Forest
263,Bareland,Wetland,Non_Water,Wetland,Water
264,Bareland,Wetland,Non_Water,Wetland,Forest
265,Bareland,Wetland,Water,Wetland,Wetland
266,Bareland,Wetland,Water,Wetland,Water
267,Bareland,Wetland,Water,Wetland,Forest
268,Bareland,Bareland,NULL,Non_Wetland,Water
269,Bareland,Bareland,NULL,Non_Wetland,Forest
270,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
271,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
272,Bareland,Bareland,Water,Non_Wetland,Bareland
