Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VUP_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VUP_M_R,SIBERIA_2024_GSW_Yearly_2021_42VUP_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R,SIBERIA_2024_WorldCover_2021_42VUP_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Cropland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Built-up
22,NULL,Shrubland,NULL,Non_Wetland,Water
23,NULL,Shrubland,NULL,Non_Wetland,Forest
24,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
26,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
27,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
28,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,Shrubland,Water,Non_Wetland,Water
32,NULL,Shrubland,Water,Non_Wetland,Forest
33,NULL,Grassland,NULL,Non_Wetland,NULL
34,NULL,Grassland,NULL,Non_Wetland,Grassland
35,NULL,Grassland,NULL,Non_Wetland,Wetland
36,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
37,NULL,Grassland,NULL,Non_Wetland,Bareland
38,NULL,Grassland,NULL,Non_Wetland,Built-up
39,NULL,Grassland,NULL,Non_Wetland,Forest
40,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,Grassland,Water,Non_Wetland,Wetland
45,NULL,Cropland,NULL,Non_Wetland,NULL
46,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
49,NULL,Cropland,NULL,Non_Wetland,Bareland
50,NULL,Cropland,NULL,Non_Wetland,Built-up
51,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,Cropland,Non_Water,Non_Wetland,Grassland
53,NULL,Cropland,Non_Water,Non_Wetland,Wetland
54,NULL,Cropland,Non_Water,Non_Wetland,Bareland
55,NULL,Cropland,Non_Water,Non_Wetland,Forest
56,NULL,Cropland,Water,Non_Wetland,Grassland
57,NULL,Cropland,Water,Non_Wetland,Bareland
58,NULL,Cropland,Water,Non_Wetland,Water
59,NULL,Wetland,NULL,Wetland,NULL
60,NULL,Wetland,NULL,Wetland,Grassland
61,NULL,Wetland,NULL,Wetland,Cropland
62,NULL,Wetland,NULL,Wetland,Wetland
63,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
64,NULL,Wetland,NULL,Wetland,Bareland
65,NULL,Wetland,NULL,Wetland,Built-up
66,NULL,Wetland,NULL,Wetland,Water
67,NULL,Wetland,NULL,Wetland,Forest
68,NULL,Wetland,Non_Water,Wetland,NULL
69,NULL,Wetland,Non_Water,Wetland,Grassland
70,NULL,Wetland,Non_Water,Wetland,Cropland
71,NULL,Wetland,Non_Water,Wetland,Wetland
72,NULL,Wetland,Non_Water,Wetland,Bareland
73,NULL,Wetland,Non_Water,Wetland,Water
74,NULL,Wetland,Non_Water,Wetland,Forest
75,NULL,Wetland,Water,Wetland,NULL
76,NULL,Wetland,Water,Wetland,Grassland
77,NULL,Wetland,Water,Wetland,Cropland
78,NULL,Wetland,Water,Wetland,Wetland
79,NULL,Wetland,Water,Wetland,Bareland
80,NULL,Wetland,Water,Wetland,Water
81,NULL,Wetland,Water,Wetland,Forest
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
88,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
89,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
90,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
91,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
92,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
93,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
94,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
95,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
96,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
97,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
98,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
99,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
100,NULL,Bareland,NULL,Non_Wetland,NULL
101,NULL,Bareland,NULL,Non_Wetland,Grassland
102,NULL,Bareland,NULL,Non_Wetland,Cropland
103,NULL,Bareland,NULL,Non_Wetland,Wetland
104,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
105,NULL,Bareland,NULL,Non_Wetland,Bareland
106,NULL,Bareland,NULL,Non_Wetland,Built-up
107,NULL,Bareland,NULL,Non_Wetland,Water
108,NULL,Bareland,NULL,Non_Wetland,Forest
109,NULL,Bareland,Non_Water,Non_Wetland,Grassland
110,NULL,Bareland,Non_Water,Non_Wetland,Wetland
111,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
112,NULL,Bareland,Non_Water,Non_Wetland,Bareland
113,NULL,Bareland,Non_Water,Non_Wetland,Built-up
114,NULL,Bareland,Non_Water,Non_Wetland,Water
115,NULL,Bareland,Non_Water,Non_Wetland,Forest
116,NULL,Bareland,Water,Non_Wetland,Grassland
117,NULL,Bareland,Water,Non_Wetland,Wetland
118,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
119,NULL,Bareland,Water,Non_Wetland,Bareland
120,NULL,Bareland,Water,Non_Wetland,Water
121,NULL,Bareland,Water,Non_Wetland,Forest
122,NULL,Built-up,NULL,Non_Wetland,NULL
123,NULL,Built-up,NULL,Non_Wetland,Grassland
124,NULL,Built-up,NULL,Non_Wetland,Cropland
125,NULL,Built-up,NULL,Non_Wetland,Wetland
126,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
127,NULL,Built-up,NULL,Non_Wetland,Bareland
128,NULL,Built-up,NULL,Non_Wetland,Built-up
129,NULL,Built-up,NULL,Non_Wetland,Water
130,NULL,Built-up,NULL,Non_Wetland,Forest
131,NULL,Built-up,Non_Water,Non_Wetland,Grassland
132,NULL,Built-up,Non_Water,Non_Wetland,Wetland
133,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
134,NULL,Built-up,Non_Water,Non_Wetland,Bareland
135,NULL,Built-up,Non_Water,Non_Wetland,Built-up
136,NULL,Built-up,Non_Water,Non_Wetland,Water
137,NULL,Built-up,Non_Water,Non_Wetland,Forest
138,NULL,Built-up,Water,Non_Wetland,Grassland
139,NULL,Built-up,Water,Non_Wetland,Bareland
140,NULL,Built-up,Water,Non_Wetland,Built-up
141,NULL,Built-up,Water,Non_Wetland,Water
142,NULL,Built-up,Water,Non_Wetland,Forest
143,NULL,Water,NULL,Water,NULL
144,NULL,Water,NULL,Water,Grassland
145,NULL,Water,NULL,Water,Wetland
146,NULL,Water,NULL,Water,Lichens_and_Mosses
147,NULL,Water,NULL,Water,Bareland
148,NULL,Water,NULL,Water,Water
149,NULL,Water,NULL,Water,Forest
150,NULL,Water,Non_Water,Water,Grassland
151,NULL,Water,Non_Water,Water,Wetland
152,NULL,Water,Non_Water,Water,Water
153,NULL,Water,Non_Water,Water,Forest
154,NULL,Water,Water,Water,NULL
155,NULL,Water,Water,Water,Grassland
156,NULL,Water,Water,Water,Wetland
157,NULL,Water,Water,Water,Bareland
158,NULL,Water,Water,Water,Water
159,NULL,Water,Water,Water,Forest
160,NULL,Forest,NULL,Non_Wetland,NULL
161,NULL,Forest,NULL,Non_Wetland,Grassland
162,NULL,Forest,NULL,Non_Wetland,Cropland
163,NULL,Forest,NULL,Non_Wetland,Wetland
164,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
165,NULL,Forest,NULL,Non_Wetland,Bareland
166,NULL,Forest,NULL,Non_Wetland,Built-up
167,NULL,Forest,NULL,Non_Wetland,Water
168,NULL,Forest,NULL,Non_Wetland,Forest
169,NULL,Forest,Non_Water,Non_Wetland,NULL
170,NULL,Forest,Non_Water,Non_Wetland,Grassland
171,NULL,Forest,Non_Water,Non_Wetland,Wetland
172,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
173,NULL,Forest,Non_Water,Non_Wetland,Bareland
174,NULL,Forest,Non_Water,Non_Wetland,Built-up
175,NULL,Forest,Non_Water,Non_Wetland,Water
176,NULL,Forest,Non_Water,Non_Wetland,Forest
177,NULL,Forest,Water,Non_Wetland,NULL
178,NULL,Forest,Water,Non_Wetland,Grassland
179,NULL,Forest,Water,Non_Wetland,Wetland
180,NULL,Forest,Water,Non_Wetland,Bareland
181,NULL,Forest,Water,Non_Wetland,Water
182,NULL,Forest,Water,Non_Wetland,Forest
183,Cropland,NULL,NULL,Non_Wetland,NULL
184,Cropland,NULL,NULL,Non_Wetland,Grassland
185,Cropland,NULL,NULL,Non_Wetland,Wetland
186,Cropland,NULL,NULL,Non_Wetland,Forest
187,Cropland,Shrubland,NULL,Non_Wetland,NULL
188,Cropland,Shrubland,NULL,Non_Wetland,Grassland
189,Cropland,Shrubland,NULL,Non_Wetland,Wetland
190,Cropland,Shrubland,NULL,Non_Wetland,Forest
191,Cropland,Grassland,NULL,Non_Wetland,Grassland
192,Cropland,Grassland,NULL,Non_Wetland,Wetland
193,Cropland,Grassland,NULL,Non_Wetland,Forest
194,Cropland,Cropland,NULL,Non_Wetland,NULL
195,Cropland,Cropland,NULL,Non_Wetland,Grassland
196,Cropland,Cropland,NULL,Non_Wetland,Wetland
197,Cropland,Cropland,NULL,Non_Wetland,Bareland
198,Cropland,Cropland,NULL,Non_Wetland,Forest
199,Cropland,Wetland,NULL,Wetland,NULL
200,Cropland,Wetland,NULL,Wetland,Grassland
201,Cropland,Wetland,NULL,Wetland,Wetland
202,Cropland,Wetland,NULL,Wetland,Built-up
203,Cropland,Wetland,NULL,Wetland,Forest
204,Cropland,Wetland,Non_Water,Wetland,Grassland
205,Cropland,Wetland,Non_Water,Wetland,Wetland
206,Cropland,Wetland,Water,Wetland,Wetland
207,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
208,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
209,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
210,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
211,Cropland,Bareland,NULL,Non_Wetland,NULL
212,Cropland,Bareland,NULL,Non_Wetland,Grassland
213,Cropland,Bareland,NULL,Non_Wetland,Wetland
214,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
215,Cropland,Bareland,NULL,Non_Wetland,Bareland
216,Cropland,Bareland,NULL,Non_Wetland,Built-up
217,Cropland,Bareland,NULL,Non_Wetland,Forest
218,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
219,Cropland,Built-up,NULL,Non_Wetland,NULL
220,Cropland,Built-up,NULL,Non_Wetland,Grassland
221,Cropland,Built-up,NULL,Non_Wetland,Wetland
222,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
223,Cropland,Built-up,NULL,Non_Wetland,Bareland
224,Cropland,Built-up,NULL,Non_Wetland,Built-up
225,Cropland,Built-up,NULL,Non_Wetland,Forest
226,Cropland,Water,NULL,Water,Wetland
227,Cropland,Water,Water,Water,Wetland
228,Cropland,Forest,NULL,Non_Wetland,NULL
229,Cropland,Forest,NULL,Non_Wetland,Grassland
230,Cropland,Forest,NULL,Non_Wetland,Wetland
231,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
232,Cropland,Forest,NULL,Non_Wetland,Forest
233,Wetland,NULL,NULL,Non_Wetland,NULL
234,Wetland,NULL,NULL,Non_Wetland,Grassland
235,Wetland,NULL,NULL,Non_Wetland,Wetland
236,Wetland,NULL,NULL,Non_Wetland,Bareland
237,Wetland,NULL,NULL,Non_Wetland,Water
238,Wetland,NULL,NULL,Non_Wetland,Forest
239,Wetland,NULL,Non_Water,Non_Wetland,Grassland
240,Wetland,NULL,Non_Water,Non_Wetland,Wetland
241,Wetland,NULL,Non_Water,Non_Wetland,Water
242,Wetland,NULL,Non_Water,Non_Wetland,Forest
243,Wetland,NULL,Water,Non_Wetland,Grassland
244,Wetland,NULL,Water,Non_Wetland,Wetland
245,Wetland,NULL,Water,Non_Wetland,Water
246,Wetland,NULL,Water,Non_Wetland,Forest
247,Wetland,Shrubland,NULL,Non_Wetland,NULL
248,Wetland,Shrubland,NULL,Non_Wetland,Grassland
249,Wetland,Shrubland,NULL,Non_Wetland,Wetland
250,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
251,Wetland,Shrubland,NULL,Non_Wetland,Bareland
252,Wetland,Shrubland,NULL,Non_Wetland,Built-up
253,Wetland,Shrubland,NULL,Non_Wetland,Water
254,Wetland,Shrubland,NULL,Non_Wetland,Forest
255,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
256,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
257,Wetland,Shrubland,Non_Water,Non_Wetland,Water
258,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
259,Wetland,Shrubland,Water,Non_Wetland,Grassland
260,Wetland,Shrubland,Water,Non_Wetland,Wetland
261,Wetland,Shrubland,Water,Non_Wetland,Water
