Value,SIBERIA_2024_ESA_CALU_2024_42WWE_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWE_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWE_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWE_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWE_M_R,SIBERIA_2024_WorldCover_2021_42WWE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
14,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Water
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
20,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
21,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
22,NULL,NULL,Grassland,Water,Non_Wetland,Water
23,NULL,NULL,Wetland,NULL,Wetland,Grassland
24,NULL,NULL,Wetland,NULL,Wetland,Wetland
25,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
26,NULL,NULL,Wetland,NULL,Wetland,Bareland
27,NULL,NULL,Wetland,NULL,Wetland,Water
28,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
29,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
30,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
31,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
32,NULL,NULL,Wetland,Non_Water,Wetland,Water
33,NULL,NULL,Wetland,Water,Wetland,Grassland
34,NULL,NULL,Wetland,Water,Wetland,Wetland
35,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
36,NULL,NULL,Wetland,Water,Wetland,Bareland
37,NULL,NULL,Wetland,Water,Wetland,Water
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
43,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
45,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
46,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
47,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
48,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
49,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
50,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
51,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
52,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
53,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
56,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Water
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
63,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
64,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
65,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
66,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
67,NULL,NULL,Bareland,Water,Non_Wetland,Water
68,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Water
73,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
74,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
75,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
76,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
78,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
79,NULL,NULL,Built-up,Water,Non_Wetland,Water
80,NULL,NULL,Water,NULL,Water,Grassland
81,NULL,NULL,Water,NULL,Water,Wetland
82,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
83,NULL,NULL,Water,NULL,Water,Water
84,NULL,NULL,Water,Non_Water,Water,Wetland
85,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
86,NULL,NULL,Water,Non_Water,Water,Water
87,NULL,NULL,Water,Water,Water,Grassland
88,NULL,NULL,Water,Water,Water,Wetland
89,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
90,NULL,NULL,Water,Water,Water,Water
91,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
92,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
93,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
95,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
96,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
97,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
98,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
99,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
100,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
101,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
102,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
104,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
105,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
106,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
107,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
108,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
109,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
110,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
111,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
112,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
113,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
114,NULL,Wetland,Grassland,Water,Non_Wetland,Water
115,NULL,Wetland,Wetland,NULL,Wetland,Grassland
116,NULL,Wetland,Wetland,NULL,Wetland,Wetland
117,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
118,NULL,Wetland,Wetland,NULL,Wetland,Bareland
119,NULL,Wetland,Wetland,NULL,Wetland,Water
120,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
121,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
122,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
123,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
124,NULL,Wetland,Wetland,Non_Water,Wetland,Water
125,NULL,Wetland,Wetland,Water,Wetland,Grassland
126,NULL,Wetland,Wetland,Water,Wetland,Wetland
127,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
128,NULL,Wetland,Wetland,Water,Wetland,Bareland
129,NULL,Wetland,Wetland,Water,Wetland,Water
130,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
131,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
132,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
133,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
134,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
135,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
136,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
137,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
138,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
139,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
140,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
141,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
142,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
143,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
144,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
145,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
146,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
147,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
149,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
150,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
151,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
152,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
153,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
154,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
155,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
156,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
157,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
158,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
159,NULL,Wetland,Bareland,Water,Non_Wetland,Water
160,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
161,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
162,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
163,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
164,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
165,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
166,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
167,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
168,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
169,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
170,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
171,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
172,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
173,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
174,NULL,Wetland,Built-up,Water,Non_Wetland,Water
175,NULL,Wetland,Water,NULL,Water,Grassland
176,NULL,Wetland,Water,NULL,Water,Wetland
177,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
178,NULL,Wetland,Water,NULL,Water,Bareland
179,NULL,Wetland,Water,NULL,Water,Water
180,NULL,Wetland,Water,Non_Water,Water,Grassland
181,NULL,Wetland,Water,Non_Water,Water,Wetland
182,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
183,NULL,Wetland,Water,Non_Water,Water,Bareland
184,NULL,Wetland,Water,Non_Water,Water,Water
185,NULL,Wetland,Water,Water,Water,Grassland
186,NULL,Wetland,Water,Water,Water,Wetland
187,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
188,NULL,Wetland,Water,Water,Water,Bareland
189,NULL,Wetland,Water,Water,Water,Water
190,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
191,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
192,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
