Value,SIBERIA_2024_ESA_CALU_2024_42WVC_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVC_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVC_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVC_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVC_M_R,SIBERIA_2024_WorldCover_2021_42WVC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
28,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
41,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
44,NULL,NULL,Grassland,Water,Non_Wetland,Water
45,NULL,NULL,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,NULL,NULL,Wetland
47,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
48,NULL,NULL,Wetland,NULL,NULL,Bareland
49,NULL,NULL,Wetland,NULL,NULL,Water
50,NULL,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
53,NULL,NULL,Wetland,NULL,Wetland,Bareland
54,NULL,NULL,Wetland,NULL,Wetland,Water
55,NULL,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
56,NULL,NULL,Wetland,NULL,Wetland,Forest
57,NULL,NULL,Wetland,Non_Water,NULL,Wetland
58,NULL,NULL,Wetland,Non_Water,NULL,Bareland
59,NULL,NULL,Wetland,Non_Water,NULL,Water
60,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
63,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
64,NULL,NULL,Wetland,Non_Water,Wetland,Water
65,NULL,NULL,Wetland,Water,NULL,Grassland
66,NULL,NULL,Wetland,Water,NULL,Wetland
67,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
68,NULL,NULL,Wetland,Water,NULL,Bareland
69,NULL,NULL,Wetland,Water,NULL,Water
70,NULL,NULL,Wetland,Water,Wetland,Grassland
71,NULL,NULL,Wetland,Water,Wetland,Wetland
72,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
73,NULL,NULL,Wetland,Water,Wetland,Bareland
74,NULL,NULL,Wetland,Water,Wetland,Water
75,NULL,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
76,NULL,NULL,Wetland,Water,Wetland,Forest
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
79,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
83,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
85,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
86,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
87,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
88,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
89,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
90,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
92,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
93,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
94,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
95,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
96,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
97,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
98,NULL,NULL,Bareland,NULL,Non_Wetland,Water
99,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
100,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
105,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
106,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
107,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
108,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
