Value,SIBERIA_2024_ESA_CALU_2024_41WNT_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WNT_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WNT_M_R,SIBERIA_2024_GSW_Yearly_2021_41WNT_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WNT_M_R,SIBERIA_2024_WorldCover_2021_41WNT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
16,NULL,NULL,NULL,Water,Non_Wetland,Bareland
17,NULL,NULL,NULL,Water,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
32,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
34,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
35,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
36,NULL,NULL,Shrubland,Water,Non_Wetland,Water
37,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
39,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
42,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Water
44,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
49,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
50,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
51,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
52,NULL,NULL,Wetland,NULL,NULL,NULL
53,NULL,NULL,Wetland,NULL,Wetland,NULL
54,NULL,NULL,Wetland,NULL,Wetland,Grassland
55,NULL,NULL,Wetland,NULL,Wetland,Wetland
56,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
57,NULL,NULL,Wetland,NULL,Wetland,Bareland
58,NULL,NULL,Wetland,NULL,Wetland,Water
59,NULL,NULL,Wetland,NULL,Wetland,Forest
60,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
63,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
64,NULL,NULL,Wetland,Non_Water,Wetland,Water
65,NULL,NULL,Wetland,Water,NULL,Water
66,NULL,NULL,Wetland,Water,Wetland,Grassland
67,NULL,NULL,Wetland,Water,Wetland,Wetland
68,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
69,NULL,NULL,Wetland,Water,Wetland,Bareland
70,NULL,NULL,Wetland,Water,Wetland,Water
71,NULL,NULL,Wetland,Water,Wetland,Forest
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
79,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
80,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
81,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
82,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
83,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
84,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
85,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
86,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
87,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
89,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
91,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
92,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
93,NULL,NULL,Bareland,NULL,Non_Wetland,Water
94,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
101,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
102,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
103,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
104,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
105,NULL,NULL,Bareland,Water,Non_Wetland,Water
106,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
108,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
109,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
110,NULL,NULL,Built-up,NULL,Non_Wetland,Water
111,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
