Value,SIBERIA_2024_ESA_CALU_2024_44XNH_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44XNH_M_R,SIBERIA_2024_GLC_FCS30D_2022_44XNH_M_R,SIBERIA_2024_GSW_Yearly_2021_44XNH_M_R,SIBERIA_2024_GWL_FCS30D_2022_44XNH_M_R,SIBERIA_2024_WorldCover_2021_44XNH_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
10,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
13,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Water
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
21,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
23,NULL,NULL,Wetland,NULL,NULL,Grassland
24,NULL,NULL,Wetland,NULL,NULL,Wetland
25,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
26,NULL,NULL,Wetland,NULL,NULL,Bareland
27,NULL,NULL,Wetland,NULL,NULL,Water
28,NULL,NULL,Wetland,NULL,Wetland,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,Wetland
30,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
31,NULL,NULL,Wetland,NULL,Wetland,Bareland
32,NULL,NULL,Wetland,NULL,Wetland,Water
33,NULL,NULL,Wetland,Non_Water,NULL,Grassland
34,NULL,NULL,Wetland,Non_Water,NULL,Wetland
35,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
36,NULL,NULL,Wetland,Non_Water,NULL,Bareland
37,NULL,NULL,Wetland,Non_Water,NULL,Water
38,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
39,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
40,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
41,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
42,NULL,NULL,Wetland,Non_Water,Wetland,Water
43,NULL,NULL,Wetland,Water,NULL,Grassland
44,NULL,NULL,Wetland,Water,NULL,Wetland
45,NULL,NULL,Wetland,Water,NULL,Bareland
46,NULL,NULL,Wetland,Water,NULL,Water
47,NULL,NULL,Wetland,Water,Wetland,Grassland
48,NULL,NULL,Wetland,Water,Wetland,Wetland
49,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
50,NULL,NULL,Wetland,Water,Wetland,Bareland
51,NULL,NULL,Wetland,Water,Wetland,Water
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
58,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
60,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
61,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
62,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
63,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
64,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
65,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
66,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
67,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
68,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
69,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Water
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
78,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
80,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
81,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
82,NULL,NULL,Bareland,Water,Non_Wetland,Water
83,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
84,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Water
88,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
92,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
93,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
94,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
95,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
96,NULL,NULL,Built-up,Water,Non_Wetland,Water
97,NULL,NULL,Water,NULL,NULL,NULL
98,NULL,NULL,Water,NULL,NULL,Grassland
99,NULL,NULL,Water,NULL,NULL,Water
100,NULL,NULL,Water,NULL,Water,Grassland
101,NULL,NULL,Water,NULL,Water,Wetland
102,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
103,NULL,NULL,Water,NULL,Water,Bareland
104,NULL,NULL,Water,NULL,Water,Water
105,NULL,NULL,Water,Non_Water,NULL,Water
106,NULL,NULL,Water,Non_Water,Water,Grassland
107,NULL,NULL,Water,Non_Water,Water,Wetland
108,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
109,NULL,NULL,Water,Non_Water,Water,Water
110,NULL,NULL,Water,Water,NULL,Grassland
111,NULL,NULL,Water,Water,NULL,Bareland
112,NULL,NULL,Water,Water,NULL,Water
113,NULL,NULL,Water,Water,Water,Grassland
114,NULL,NULL,Water,Water,Water,Wetland
115,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
116,NULL,NULL,Water,Water,Water,Bareland
117,NULL,NULL,Water,Water,Water,Water
118,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
119,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Wetland
120,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
121,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
122,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
123,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
124,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
125,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
126,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
127,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
128,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
129,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
130,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
131,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
132,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
133,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
134,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
135,NULL,Wetland,Wetland,NULL,Wetland,Grassland
136,NULL,Wetland,Wetland,NULL,Wetland,Wetland
137,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
138,NULL,Wetland,Wetland,NULL,Wetland,Bareland
139,NULL,Wetland,Wetland,NULL,Wetland,Water
140,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
141,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
142,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
143,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
144,NULL,Wetland,Wetland,Non_Water,Wetland,Water
145,NULL,Wetland,Wetland,Water,Wetland,Grassland
146,NULL,Wetland,Wetland,Water,Wetland,Wetland
147,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
148,NULL,Wetland,Wetland,Water,Wetland,Bareland
149,NULL,Wetland,Wetland,Water,Wetland,Water
150,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
151,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
152,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
153,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
154,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
155,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
156,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
157,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
158,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
159,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
160,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
161,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
162,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
163,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
164,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
165,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
166,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
167,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
168,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
169,NULL,Wetland,Bareland,Water,Non_Wetland,Water
170,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
171,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
172,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
173,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
174,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
175,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
176,NULL,Wetland,Built-up,Water,Non_Wetland,Water
177,NULL,Wetland,Water,NULL,Water,Wetland
178,NULL,Wetland,Water,NULL,Water,Water
179,NULL,Wetland,Water,Non_Water,Water,Wetland
180,NULL,Wetland,Water,Non_Water,Water,Water
181,NULL,Wetland,Water,Water,Water,Wetland
182,NULL,Wetland,Water,Water,Water,Water
183,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
184,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
185,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
186,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
187,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
