Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNS_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNS_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,SIBERIA_2024_WorldCover_2021_44WNS_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,Non_Water,Non_Wetland,Water
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
32,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,Grassland,NULL,Non_Wetland,Forest
34,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,Grassland,Non_Water,Non_Wetland,Wetland
36,NULL,Grassland,Non_Water,Non_Wetland,Forest
37,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,Grassland,Water,Non_Wetland,Wetland
39,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
40,NULL,Grassland,Water,Non_Wetland,Forest
41,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,Cropland,NULL,Non_Wetland,Wetland
43,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
44,NULL,Cropland,NULL,Non_Wetland,Built-up
45,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,Cropland,Non_Water,Non_Wetland,Grassland
47,NULL,Cropland,Non_Water,Non_Wetland,Wetland
48,NULL,Cropland,Water,Non_Wetland,Grassland
49,NULL,Cropland,Water,Non_Wetland,Wetland
50,NULL,Cropland,Water,Non_Wetland,Forest
51,NULL,Wetland,NULL,Wetland,NULL
52,NULL,Wetland,NULL,Wetland,Grassland
53,NULL,Wetland,NULL,Wetland,Wetland
54,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
55,NULL,Wetland,NULL,Wetland,Bareland
56,NULL,Wetland,NULL,Wetland,Water
57,NULL,Wetland,NULL,Wetland,Forest
58,NULL,Wetland,Non_Water,Wetland,NULL
59,NULL,Wetland,Non_Water,Wetland,Grassland
60,NULL,Wetland,Non_Water,Wetland,Wetland
61,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
62,NULL,Wetland,Non_Water,Wetland,Bareland
63,NULL,Wetland,Non_Water,Wetland,Water
64,NULL,Wetland,Non_Water,Wetland,Forest
65,NULL,Wetland,Water,Wetland,Grassland
66,NULL,Wetland,Water,Wetland,Wetland
67,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
68,NULL,Wetland,Water,Wetland,Bareland
69,NULL,Wetland,Water,Wetland,Built-up
70,NULL,Wetland,Water,Wetland,Water
71,NULL,Wetland,Water,Wetland,Forest
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
81,NULL,Bareland,NULL,Non_Wetland,NULL
82,NULL,Bareland,NULL,Non_Wetland,Grassland
83,NULL,Bareland,NULL,Non_Wetland,Wetland
84,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
85,NULL,Bareland,NULL,Non_Wetland,Bareland
86,NULL,Bareland,NULL,Non_Wetland,Built-up
87,NULL,Bareland,NULL,Non_Wetland,Water
88,NULL,Bareland,NULL,Non_Wetland,Forest
89,NULL,Bareland,Non_Water,Non_Wetland,NULL
90,NULL,Bareland,Non_Water,Non_Wetland,Grassland
91,NULL,Bareland,Non_Water,Non_Wetland,Wetland
92,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,Non_Water,Non_Wetland,Water
94,NULL,Bareland,Non_Water,Non_Wetland,Forest
95,NULL,Bareland,Water,Non_Wetland,Grassland
96,NULL,Bareland,Water,Non_Wetland,Wetland
97,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,Water,Non_Wetland,Bareland
99,NULL,Bareland,Water,Non_Wetland,Water
100,NULL,Bareland,Water,Non_Wetland,Forest
101,NULL,Built-up,NULL,Non_Wetland,Grassland
102,NULL,Built-up,NULL,Non_Wetland,Wetland
103,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
104,NULL,Built-up,NULL,Non_Wetland,Bareland
105,NULL,Built-up,NULL,Non_Wetland,Built-up
106,NULL,Built-up,NULL,Non_Wetland,Forest
107,NULL,Built-up,Non_Water,Non_Wetland,Wetland
108,NULL,Built-up,Non_Water,Non_Wetland,Forest
109,NULL,Built-up,Water,Non_Wetland,Grassland
110,NULL,Built-up,Water,Non_Wetland,Wetland
111,NULL,Water,NULL,Water,Grassland
112,NULL,Water,NULL,Water,Wetland
113,NULL,Water,NULL,Water,Bareland
114,NULL,Water,NULL,Water,Water
115,NULL,Water,NULL,Water,Forest
116,NULL,Water,Non_Water,Water,Wetland
117,NULL,Water,Non_Water,Water,Lichens_and_Mosses
118,NULL,Water,Non_Water,Water,Water
119,NULL,Water,Non_Water,Water,Forest
120,NULL,Water,Water,Water,Grassland
121,NULL,Water,Water,Water,Wetland
122,NULL,Water,Water,Water,Bareland
123,NULL,Water,Water,Water,Water
124,NULL,Water,Water,Water,Forest
125,NULL,Forest,NULL,Non_Wetland,NULL
126,NULL,Forest,NULL,Non_Wetland,Grassland
127,NULL,Forest,NULL,Non_Wetland,Wetland
128,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
129,NULL,Forest,NULL,Non_Wetland,Water
130,NULL,Forest,NULL,Non_Wetland,Forest
131,NULL,Forest,Non_Water,Non_Wetland,NULL
132,NULL,Forest,Non_Water,Non_Wetland,Grassland
133,NULL,Forest,Non_Water,Non_Wetland,Wetland
134,NULL,Forest,Non_Water,Non_Wetland,Forest
135,NULL,Forest,Water,Non_Wetland,NULL
136,NULL,Forest,Water,Non_Wetland,Grassland
137,NULL,Forest,Water,Non_Wetland,Wetland
138,NULL,Forest,Water,Non_Wetland,Water
139,NULL,Forest,Water,Non_Wetland,Forest
140,Cropland,NULL,NULL,Non_Wetland,NULL
141,Cropland,NULL,NULL,Non_Wetland,Grassland
142,Cropland,NULL,NULL,Non_Wetland,Wetland
143,Cropland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
144,Cropland,NULL,NULL,Non_Wetland,Forest
145,Cropland,Shrubland,NULL,Non_Wetland,NULL
146,Cropland,Shrubland,NULL,Non_Wetland,Grassland
147,Cropland,Shrubland,NULL,Non_Wetland,Wetland
148,Cropland,Shrubland,NULL,Non_Wetland,Forest
149,Cropland,Grassland,NULL,Non_Wetland,Grassland
150,Cropland,Grassland,NULL,Non_Wetland,Forest
151,Cropland,Wetland,NULL,Wetland,NULL
152,Cropland,Wetland,NULL,Wetland,Grassland
153,Cropland,Wetland,NULL,Wetland,Wetland
154,Cropland,Wetland,NULL,Wetland,Water
155,Cropland,Wetland,NULL,Wetland,Forest
156,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
157,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
158,Cropland,Bareland,NULL,Non_Wetland,NULL
159,Cropland,Bareland,NULL,Non_Wetland,Grassland
160,Cropland,Bareland,NULL,Non_Wetland,Wetland
161,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
162,Cropland,Bareland,NULL,Non_Wetland,Forest
163,Cropland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
164,Cropland,Built-up,NULL,Non_Wetland,Forest
165,Cropland,Water,NULL,Water,Forest
166,Cropland,Water,Non_Water,Water,Wetland
167,Cropland,Water,Water,Water,Wetland
168,Cropland,Forest,NULL,Non_Wetland,NULL
169,Cropland,Forest,NULL,Non_Wetland,Grassland
170,Cropland,Forest,NULL,Non_Wetland,Wetland
171,Cropland,Forest,NULL,Non_Wetland,Forest
172,Cropland,Forest,Water,Non_Wetland,Forest
173,Wetland,NULL,NULL,Non_Wetland,NULL
174,Wetland,NULL,NULL,Non_Wetland,Grassland
175,Wetland,NULL,NULL,Non_Wetland,Wetland
176,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
177,Wetland,NULL,NULL,Non_Wetland,Water
178,Wetland,NULL,NULL,Non_Wetland,Forest
179,Wetland,NULL,Non_Water,Non_Wetland,Grassland
180,Wetland,NULL,Non_Water,Non_Wetland,Wetland
181,Wetland,NULL,Non_Water,Non_Wetland,Water
182,Wetland,NULL,Non_Water,Non_Wetland,Forest
183,Wetland,NULL,Water,Non_Wetland,Grassland
184,Wetland,NULL,Water,Non_Wetland,Wetland
185,Wetland,NULL,Water,Non_Wetland,Water
186,Wetland,NULL,Water,Non_Wetland,Forest
187,Wetland,Shrubland,NULL,Non_Wetland,NULL
188,Wetland,Shrubland,NULL,Non_Wetland,Grassland
189,Wetland,Shrubland,NULL,Non_Wetland,Wetland
190,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
191,Wetland,Shrubland,NULL,Non_Wetland,Bareland
192,Wetland,Shrubland,NULL,Non_Wetland,Built-up
193,Wetland,Shrubland,NULL,Non_Wetland,Water
194,Wetland,Shrubland,NULL,Non_Wetland,Forest
195,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
196,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
197,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
198,Wetland,Shrubland,Non_Water,Non_Wetland,Water
199,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
200,Wetland,Shrubland,Water,Non_Wetland,Grassland
201,Wetland,Shrubland,Water,Non_Wetland,Wetland
202,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
203,Wetland,Shrubland,Water,Non_Wetland,Water
204,Wetland,Shrubland,Water,Non_Wetland,Forest
205,Wetland,Grassland,NULL,Non_Wetland,NULL
206,Wetland,Grassland,NULL,Non_Wetland,Grassland
207,Wetland,Grassland,NULL,Non_Wetland,Wetland
208,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
209,Wetland,Grassland,NULL,Non_Wetland,Water
210,Wetland,Grassland,NULL,Non_Wetland,Forest
211,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
212,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
213,Wetland,Grassland,Non_Water,Non_Wetland,Forest
214,Wetland,Grassland,Water,Non_Wetland,Grassland
215,Wetland,Grassland,Water,Non_Wetland,Wetland
216,Wetland,Grassland,Water,Non_Wetland,Forest
217,Wetland,Cropland,NULL,Non_Wetland,Grassland
218,Wetland,Cropland,NULL,Non_Wetland,Wetland
219,Wetland,Cropland,NULL,Non_Wetland,Forest
220,Wetland,Wetland,NULL,Wetland,NULL
221,Wetland,Wetland,NULL,Wetland,Grassland
222,Wetland,Wetland,NULL,Wetland,Wetland
223,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
224,Wetland,Wetland,NULL,Wetland,Bareland
225,Wetland,Wetland,NULL,Wetland,Water
226,Wetland,Wetland,NULL,Wetland,Forest
227,Wetland,Wetland,Non_Water,Wetland,Grassland
228,Wetland,Wetland,Non_Water,Wetland,Wetland
229,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
230,Wetland,Wetland,Non_Water,Wetland,Water
231,Wetland,Wetland,Non_Water,Wetland,Forest
232,Wetland,Wetland,Water,Wetland,Grassland
233,Wetland,Wetland,Water,Wetland,Wetland
234,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
235,Wetland,Wetland,Water,Wetland,Bareland
236,Wetland,Wetland,Water,Wetland,Water
237,Wetland,Wetland,Water,Wetland,Forest
238,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
239,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
240,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
241,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
242,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
243,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
244,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
245,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
246,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
247,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
248,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
249,Wetland,Bareland,NULL,Non_Wetland,NULL
250,Wetland,Bareland,NULL,Non_Wetland,Grassland
251,Wetland,Bareland,NULL,Non_Wetland,Wetland
252,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
253,Wetland,Bareland,NULL,Non_Wetland,Bareland
254,Wetland,Bareland,NULL,Non_Wetland,Built-up
255,Wetland,Bareland,NULL,Non_Wetland,Water
256,Wetland,Bareland,NULL,Non_Wetland,Forest
257,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
258,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
259,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
