Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPA_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPA_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,SIBERIA_2024_WorldCover_2021_44WPA_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Water,Non_Wetland,Bareland
16,NULL,NULL,Water,Non_Wetland,Water
17,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
27,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
28,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
29,NULL,Shrubland,Non_Water,Non_Wetland,Water
30,NULL,Shrubland,Non_Water,Non_Wetland,Forest
31,NULL,Shrubland,Water,Non_Wetland,Grassland
32,NULL,Shrubland,Water,Non_Wetland,Wetland
33,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
34,NULL,Shrubland,Water,Non_Wetland,Bareland
35,NULL,Shrubland,Water,Non_Wetland,Water
36,NULL,Shrubland,Water,Non_Wetland,Forest
37,NULL,Grassland,NULL,Non_Wetland,Grassland
38,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
40,NULL,Grassland,NULL,Non_Wetland,Bareland
41,NULL,Grassland,NULL,Non_Wetland,Built-up
42,NULL,Grassland,NULL,Non_Wetland,Water
43,NULL,Grassland,NULL,Non_Wetland,Forest
44,NULL,Grassland,Non_Water,Non_Wetland,Grassland
45,NULL,Grassland,Non_Water,Non_Wetland,Wetland
46,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
47,NULL,Grassland,Non_Water,Non_Wetland,Bareland
48,NULL,Grassland,Non_Water,Non_Wetland,Water
49,NULL,Grassland,Non_Water,Non_Wetland,Forest
50,NULL,Grassland,Water,Non_Wetland,Grassland
51,NULL,Grassland,Water,Non_Wetland,Wetland
52,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
53,NULL,Grassland,Water,Non_Wetland,Bareland
54,NULL,Grassland,Water,Non_Wetland,Water
55,NULL,Grassland,Water,Non_Wetland,Forest
56,NULL,Wetland,NULL,Wetland,Grassland
57,NULL,Wetland,NULL,Wetland,Wetland
58,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
59,NULL,Wetland,NULL,Wetland,Bareland
60,NULL,Wetland,NULL,Wetland,Water
61,NULL,Wetland,NULL,Wetland,Forest
62,NULL,Wetland,Non_Water,Wetland,Grassland
63,NULL,Wetland,Non_Water,Wetland,Wetland
64,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
65,NULL,Wetland,Non_Water,Wetland,Bareland
66,NULL,Wetland,Non_Water,Wetland,Water
67,NULL,Wetland,Non_Water,Wetland,Forest
68,NULL,Wetland,Water,Wetland,Grassland
69,NULL,Wetland,Water,Wetland,Wetland
70,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
71,NULL,Wetland,Water,Wetland,Bareland
72,NULL,Wetland,Water,Wetland,Water
73,NULL,Wetland,Water,Wetland,Forest
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
84,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
88,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
89,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
90,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
91,NULL,Bareland,NULL,Non_Wetland,Grassland
92,NULL,Bareland,NULL,Non_Wetland,Wetland
93,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
94,NULL,Bareland,NULL,Non_Wetland,Bareland
95,NULL,Bareland,NULL,Non_Wetland,Built-up
96,NULL,Bareland,NULL,Non_Wetland,Water
97,NULL,Bareland,NULL,Non_Wetland,Forest
98,NULL,Bareland,Non_Water,Non_Wetland,Grassland
99,NULL,Bareland,Non_Water,Non_Wetland,Wetland
100,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
101,NULL,Bareland,Non_Water,Non_Wetland,Bareland
102,NULL,Bareland,Non_Water,Non_Wetland,Water
103,NULL,Bareland,Non_Water,Non_Wetland,Forest
104,NULL,Bareland,Water,Non_Wetland,Grassland
105,NULL,Bareland,Water,Non_Wetland,Wetland
106,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
107,NULL,Bareland,Water,Non_Wetland,Bareland
108,NULL,Bareland,Water,Non_Wetland,Water
109,NULL,Bareland,Water,Non_Wetland,Forest
110,NULL,Built-up,NULL,Non_Wetland,Grassland
111,NULL,Built-up,NULL,Non_Wetland,Wetland
112,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
113,NULL,Built-up,NULL,Non_Wetland,Bareland
114,NULL,Built-up,NULL,Non_Wetland,Built-up
115,NULL,Built-up,NULL,Non_Wetland,Water
116,NULL,Built-up,NULL,Non_Wetland,Forest
117,NULL,Built-up,Non_Water,Non_Wetland,Grassland
118,NULL,Built-up,Non_Water,Non_Wetland,Wetland
119,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
120,NULL,Built-up,Non_Water,Non_Wetland,Bareland
121,NULL,Built-up,Non_Water,Non_Wetland,Water
122,NULL,Built-up,Non_Water,Non_Wetland,Forest
123,NULL,Built-up,Water,Non_Wetland,Grassland
124,NULL,Built-up,Water,Non_Wetland,Wetland
125,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
126,NULL,Built-up,Water,Non_Wetland,Bareland
127,NULL,Built-up,Water,Non_Wetland,Water
128,NULL,Built-up,Water,Non_Wetland,Forest
129,NULL,Water,NULL,Water,Grassland
130,NULL,Water,NULL,Water,Wetland
131,NULL,Water,NULL,Water,Lichens_and_Mosses
132,NULL,Water,NULL,Water,Bareland
133,NULL,Water,NULL,Water,Water
134,NULL,Water,NULL,Water,Forest
135,NULL,Water,Non_Water,Water,Grassland
136,NULL,Water,Non_Water,Water,Wetland
137,NULL,Water,Non_Water,Water,Lichens_and_Mosses
138,NULL,Water,Non_Water,Water,Bareland
139,NULL,Water,Non_Water,Water,Water
140,NULL,Water,Non_Water,Water,Forest
141,NULL,Water,Water,Water,Grassland
142,NULL,Water,Water,Water,Wetland
143,NULL,Water,Water,Water,Lichens_and_Mosses
144,NULL,Water,Water,Water,Bareland
145,NULL,Water,Water,Water,Water
146,NULL,Water,Water,Water,Forest
147,NULL,Forest,NULL,Non_Wetland,Grassland
148,NULL,Forest,NULL,Non_Wetland,Wetland
149,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
150,NULL,Forest,NULL,Non_Wetland,Bareland
151,NULL,Forest,NULL,Non_Wetland,Built-up
152,NULL,Forest,NULL,Non_Wetland,Water
153,NULL,Forest,NULL,Non_Wetland,Forest
154,NULL,Forest,Non_Water,Non_Wetland,Grassland
155,NULL,Forest,Non_Water,Non_Wetland,Wetland
156,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
157,NULL,Forest,Non_Water,Non_Wetland,Bareland
158,NULL,Forest,Non_Water,Non_Wetland,Water
159,NULL,Forest,Non_Water,Non_Wetland,Forest
160,NULL,Forest,Water,Non_Wetland,Grassland
161,NULL,Forest,Water,Non_Wetland,Wetland
162,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
163,NULL,Forest,Water,Non_Wetland,Bareland
164,NULL,Forest,Water,Non_Wetland,Water
165,NULL,Forest,Water,Non_Wetland,Forest
166,Wetland,NULL,NULL,Non_Wetland,Grassland
167,Wetland,NULL,NULL,Non_Wetland,Wetland
168,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
169,Wetland,NULL,NULL,Non_Wetland,Bareland
