Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VWP_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VWP_M_R,SIBERIA_2024_GSW_Yearly_2021_42VWP_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VWP_M_R,SIBERIA_2024_WorldCover_2021_42VWP_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Non_Water,Non_Wetland,Water
13,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,Water,Non_Wetland,Water
17,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,Shrubland,NULL,Non_Wetland,NULL
19,NULL,Shrubland,NULL,Non_Wetland,Grassland
20,NULL,Shrubland,NULL,Non_Wetland,Cropland
21,NULL,Shrubland,NULL,Non_Wetland,Wetland
22,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,NULL,Non_Wetland,Bareland
24,NULL,Shrubland,NULL,Non_Wetland,Built-up
25,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,Shrubland,NULL,Non_Wetland,Forest
27,NULL,Shrubland,Non_Water,Non_Wetland,NULL
28,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
29,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
30,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
31,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
33,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
34,NULL,Shrubland,Non_Water,Non_Wetland,Water
35,NULL,Shrubland,Non_Water,Non_Wetland,Forest
36,NULL,Shrubland,Water,Non_Wetland,Grassland
37,NULL,Shrubland,Water,Non_Wetland,Wetland
38,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
39,NULL,Shrubland,Water,Non_Wetland,Bareland
40,NULL,Shrubland,Water,Non_Wetland,Water
41,NULL,Shrubland,Water,Non_Wetland,Forest
42,NULL,Grassland,NULL,Non_Wetland,NULL
43,NULL,Grassland,NULL,Non_Wetland,Grassland
44,NULL,Grassland,NULL,Non_Wetland,Cropland
45,NULL,Grassland,NULL,Non_Wetland,Wetland
46,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
47,NULL,Grassland,NULL,Non_Wetland,Bareland
48,NULL,Grassland,NULL,Non_Wetland,Built-up
49,NULL,Grassland,NULL,Non_Wetland,Forest
50,NULL,Grassland,Non_Water,Non_Wetland,Grassland
51,NULL,Grassland,Non_Water,Non_Wetland,Wetland
52,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
53,NULL,Grassland,Non_Water,Non_Wetland,Bareland
54,NULL,Grassland,Non_Water,Non_Wetland,Forest
55,NULL,Grassland,Water,Non_Wetland,Grassland
56,NULL,Grassland,Water,Non_Wetland,Wetland
57,NULL,Grassland,Water,Non_Wetland,Forest
58,NULL,Cropland,NULL,Non_Wetland,NULL
59,NULL,Cropland,NULL,Non_Wetland,Grassland
60,NULL,Cropland,NULL,Non_Wetland,Cropland
61,NULL,Cropland,NULL,Non_Wetland,Wetland
62,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
63,NULL,Cropland,NULL,Non_Wetland,Bareland
64,NULL,Cropland,NULL,Non_Wetland,Built-up
65,NULL,Cropland,NULL,Non_Wetland,Water
66,NULL,Cropland,NULL,Non_Wetland,Forest
67,NULL,Cropland,Non_Water,Non_Wetland,Grassland
68,NULL,Cropland,Non_Water,Non_Wetland,Wetland
69,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
70,NULL,Cropland,Water,Non_Wetland,Grassland
71,NULL,Cropland,Water,Non_Wetland,Wetland
72,NULL,Cropland,Water,Non_Wetland,Bareland
73,NULL,Wetland,NULL,Wetland,NULL
74,NULL,Wetland,NULL,Wetland,Grassland
75,NULL,Wetland,NULL,Wetland,Cropland
76,NULL,Wetland,NULL,Wetland,Wetland
77,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
78,NULL,Wetland,NULL,Wetland,Bareland
79,NULL,Wetland,NULL,Wetland,Built-up
80,NULL,Wetland,NULL,Wetland,Water
81,NULL,Wetland,NULL,Wetland,Forest
82,NULL,Wetland,Non_Water,Wetland,NULL
83,NULL,Wetland,Non_Water,Wetland,Grassland
84,NULL,Wetland,Non_Water,Wetland,Cropland
85,NULL,Wetland,Non_Water,Wetland,Wetland
86,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
87,NULL,Wetland,Non_Water,Wetland,Bareland
88,NULL,Wetland,Non_Water,Wetland,Built-up
89,NULL,Wetland,Non_Water,Wetland,Water
90,NULL,Wetland,Non_Water,Wetland,Forest
91,NULL,Wetland,Water,Wetland,NULL
92,NULL,Wetland,Water,Wetland,Grassland
93,NULL,Wetland,Water,Wetland,Cropland
94,NULL,Wetland,Water,Wetland,Wetland
95,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
96,NULL,Wetland,Water,Wetland,Bareland
97,NULL,Wetland,Water,Wetland,Water
98,NULL,Wetland,Water,Wetland,Forest
99,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
100,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
101,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
102,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
103,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
104,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
105,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
106,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
107,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
108,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
109,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
110,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
111,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
112,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
113,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
114,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
115,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
116,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
117,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
118,NULL,Bareland,NULL,Non_Wetland,NULL
119,NULL,Bareland,NULL,Non_Wetland,Grassland
120,NULL,Bareland,NULL,Non_Wetland,Cropland
121,NULL,Bareland,NULL,Non_Wetland,Wetland
122,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
123,NULL,Bareland,NULL,Non_Wetland,Bareland
124,NULL,Bareland,NULL,Non_Wetland,Built-up
125,NULL,Bareland,NULL,Non_Wetland,Water
126,NULL,Bareland,NULL,Non_Wetland,Forest
127,NULL,Bareland,Non_Water,Non_Wetland,NULL
128,NULL,Bareland,Non_Water,Non_Wetland,Grassland
129,NULL,Bareland,Non_Water,Non_Wetland,Cropland
130,NULL,Bareland,Non_Water,Non_Wetland,Wetland
131,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
132,NULL,Bareland,Non_Water,Non_Wetland,Bareland
133,NULL,Bareland,Non_Water,Non_Wetland,Built-up
134,NULL,Bareland,Non_Water,Non_Wetland,Water
135,NULL,Bareland,Non_Water,Non_Wetland,Forest
136,NULL,Bareland,Water,Non_Wetland,Grassland
137,NULL,Bareland,Water,Non_Wetland,Cropland
138,NULL,Bareland,Water,Non_Wetland,Wetland
139,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
140,NULL,Bareland,Water,Non_Wetland,Bareland
141,NULL,Bareland,Water,Non_Wetland,Built-up
142,NULL,Bareland,Water,Non_Wetland,Water
143,NULL,Bareland,Water,Non_Wetland,Forest
144,NULL,Built-up,NULL,Non_Wetland,NULL
145,NULL,Built-up,NULL,Non_Wetland,Grassland
146,NULL,Built-up,NULL,Non_Wetland,Cropland
147,NULL,Built-up,NULL,Non_Wetland,Wetland
148,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
149,NULL,Built-up,NULL,Non_Wetland,Bareland
150,NULL,Built-up,NULL,Non_Wetland,Built-up
151,NULL,Built-up,NULL,Non_Wetland,Water
152,NULL,Built-up,NULL,Non_Wetland,Forest
153,NULL,Built-up,Non_Water,Non_Wetland,Grassland
154,NULL,Built-up,Non_Water,Non_Wetland,Wetland
155,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
156,NULL,Built-up,Non_Water,Non_Wetland,Bareland
157,NULL,Built-up,Non_Water,Non_Wetland,Built-up
158,NULL,Built-up,Non_Water,Non_Wetland,Water
159,NULL,Built-up,Non_Water,Non_Wetland,Forest
160,NULL,Built-up,Water,Non_Wetland,Grassland
161,NULL,Built-up,Water,Non_Wetland,Wetland
162,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
163,NULL,Built-up,Water,Non_Wetland,Bareland
164,NULL,Built-up,Water,Non_Wetland,Built-up
165,NULL,Built-up,Water,Non_Wetland,Water
166,NULL,Built-up,Water,Non_Wetland,Forest
167,NULL,Water,NULL,Water,NULL
168,NULL,Water,NULL,Water,Grassland
169,NULL,Water,NULL,Water,Wetland
170,NULL,Water,NULL,Water,Lichens_and_Mosses
171,NULL,Water,NULL,Water,Bareland
172,NULL,Water,NULL,Water,Water
173,NULL,Water,NULL,Water,Forest
174,NULL,Water,Non_Water,Water,Grassland
175,NULL,Water,Non_Water,Water,Cropland
176,NULL,Water,Non_Water,Water,Wetland
177,NULL,Water,Non_Water,Water,Lichens_and_Mosses
178,NULL,Water,Non_Water,Water,Bareland
179,NULL,Water,Non_Water,Water,Water
180,NULL,Water,Non_Water,Water,Forest
181,NULL,Water,Water,Water,Grassland
182,NULL,Water,Water,Water,Wetland
183,NULL,Water,Water,Water,Lichens_and_Mosses
184,NULL,Water,Water,Water,Bareland
185,NULL,Water,Water,Water,Water
186,NULL,Water,Water,Water,Forest
187,NULL,Forest,NULL,Non_Wetland,NULL
188,NULL,Forest,NULL,Non_Wetland,Grassland
189,NULL,Forest,NULL,Non_Wetland,Cropland
190,NULL,Forest,NULL,Non_Wetland,Wetland
191,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
192,NULL,Forest,NULL,Non_Wetland,Bareland
193,NULL,Forest,NULL,Non_Wetland,Built-up
194,NULL,Forest,NULL,Non_Wetland,Water
195,NULL,Forest,NULL,Non_Wetland,Forest
196,NULL,Forest,Non_Water,Non_Wetland,NULL
197,NULL,Forest,Non_Water,Non_Wetland,Grassland
198,NULL,Forest,Non_Water,Non_Wetland,Wetland
199,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
200,NULL,Forest,Non_Water,Non_Wetland,Bareland
201,NULL,Forest,Non_Water,Non_Wetland,Built-up
202,NULL,Forest,Non_Water,Non_Wetland,Water
203,NULL,Forest,Non_Water,Non_Wetland,Forest
204,NULL,Forest,Water,Non_Wetland,Grassland
205,NULL,Forest,Water,Non_Wetland,Cropland
206,NULL,Forest,Water,Non_Wetland,Wetland
207,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
208,NULL,Forest,Water,Non_Wetland,Bareland
209,NULL,Forest,Water,Non_Wetland,Water
210,NULL,Forest,Water,Non_Wetland,Forest
211,Cropland,NULL,NULL,Non_Wetland,NULL
212,Cropland,NULL,NULL,Non_Wetland,Grassland
213,Cropland,NULL,NULL,Non_Wetland,Wetland
214,Cropland,NULL,NULL,Non_Wetland,Built-up
215,Cropland,NULL,NULL,Non_Wetland,Forest
216,Cropland,Shrubland,NULL,Non_Wetland,Grassland
217,Cropland,Shrubland,NULL,Non_Wetland,Wetland
218,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
219,Cropland,Shrubland,NULL,Non_Wetland,Bareland
220,Cropland,Shrubland,NULL,Non_Wetland,Forest
221,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
222,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
223,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
224,Cropland,Grassland,NULL,Non_Wetland,NULL
225,Cropland,Grassland,NULL,Non_Wetland,Grassland
226,Cropland,Grassland,NULL,Non_Wetland,Wetland
227,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
228,Cropland,Grassland,NULL,Non_Wetland,Bareland
229,Cropland,Grassland,NULL,Non_Wetland,Forest
230,Cropland,Cropland,NULL,Non_Wetland,Grassland
231,Cropland,Cropland,NULL,Non_Wetland,Wetland
232,Cropland,Cropland,NULL,Non_Wetland,Bareland
233,Cropland,Cropland,NULL,Non_Wetland,Built-up
234,Cropland,Cropland,NULL,Non_Wetland,Forest
235,Cropland,Wetland,NULL,Wetland,NULL
236,Cropland,Wetland,NULL,Wetland,Grassland
237,Cropland,Wetland,NULL,Wetland,Wetland
238,Cropland,Wetland,NULL,Wetland,Built-up
239,Cropland,Wetland,NULL,Wetland,Forest
240,Cropland,Wetland,Non_Water,Wetland,Grassland
241,Cropland,Wetland,Non_Water,Wetland,Cropland
242,Cropland,Wetland,Non_Water,Wetland,Wetland
243,Cropland,Wetland,Water,Wetland,Wetland
244,Cropland,Wetland,Water,Wetland,Lichens_and_Mosses
245,Cropland,Wetland,Water,Wetland,Water
246,Cropland,Wetland,Water,Wetland,Forest
247,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
248,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
249,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
250,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
251,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
252,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
253,Cropland,Bareland,NULL,Non_Wetland,NULL
254,Cropland,Bareland,NULL,Non_Wetland,Grassland
255,Cropland,Bareland,NULL,Non_Wetland,Wetland
256,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
257,Cropland,Bareland,NULL,Non_Wetland,Bareland
258,Cropland,Bareland,NULL,Non_Wetland,Built-up
