Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXV_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXV_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXV_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXV_M_R,SIBERIA_2024_WorldCover_2021_42WXV_M_R
0,NULL,NULL,NULL,Non_Wetland,Wetland
1,NULL,NULL,NULL,Non_Wetland,Forest
2,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,Shrubland,NULL,Non_Wetland,Wetland
4,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,Shrubland,NULL,Non_Wetland,Water
6,NULL,Shrubland,NULL,Non_Wetland,Forest
7,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
8,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
9,NULL,Shrubland,Water,Non_Wetland,Wetland
10,NULL,Grassland,NULL,Non_Wetland,Grassland
11,NULL,Grassland,NULL,Non_Wetland,Wetland
12,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
13,NULL,Grassland,NULL,Non_Wetland,Bareland
14,NULL,Grassland,NULL,Non_Wetland,Water
15,NULL,Grassland,NULL,Non_Wetland,Forest
16,NULL,Grassland,Non_Water,Non_Wetland,Grassland
17,NULL,Grassland,Non_Water,Non_Wetland,Wetland
18,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
19,NULL,Grassland,Non_Water,Non_Wetland,Water
20,NULL,Grassland,Water,Non_Wetland,Grassland
21,NULL,Grassland,Water,Non_Wetland,Wetland
22,NULL,Grassland,Water,Non_Wetland,Water
23,NULL,Wetland,NULL,NULL,Wetland
24,NULL,Wetland,NULL,Wetland,Grassland
25,NULL,Wetland,NULL,Wetland,Wetland
26,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
27,NULL,Wetland,NULL,Wetland,Bareland
28,NULL,Wetland,NULL,Wetland,Water
29,NULL,Wetland,NULL,Wetland,Forest
30,NULL,Wetland,Non_Water,NULL,Wetland
31,NULL,Wetland,Non_Water,Wetland,Grassland
32,NULL,Wetland,Non_Water,Wetland,Wetland
33,NULL,Wetland,Non_Water,Wetland,Water
34,NULL,Wetland,Non_Water,Wetland,Forest
35,NULL,Wetland,Water,NULL,Wetland
36,NULL,Wetland,Water,NULL,Water
37,NULL,Wetland,Water,Wetland,Grassland
38,NULL,Wetland,Water,Wetland,Wetland
39,NULL,Wetland,Water,Wetland,Bareland
40,NULL,Wetland,Water,Wetland,Water
41,NULL,Wetland,Water,Wetland,Forest
42,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
43,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
44,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
45,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
46,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
47,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
48,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
49,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
50,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
51,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
52,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
53,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
54,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
55,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
56,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
57,NULL,Bareland,NULL,Non_Wetland,Grassland
58,NULL,Bareland,NULL,Non_Wetland,Wetland
59,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
60,NULL,Bareland,NULL,Non_Wetland,Bareland
61,NULL,Bareland,NULL,Non_Wetland,Built-up
62,NULL,Bareland,NULL,Non_Wetland,Water
63,NULL,Bareland,NULL,Non_Wetland,Forest
64,NULL,Bareland,Non_Water,Non_Wetland,Grassland
65,NULL,Bareland,Non_Water,Non_Wetland,Wetland
66,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
67,NULL,Bareland,Non_Water,Non_Wetland,Bareland
68,NULL,Bareland,Non_Water,Non_Wetland,Water
69,NULL,Bareland,Non_Water,Non_Wetland,Forest
70,NULL,Bareland,Water,Non_Wetland,Grassland
71,NULL,Bareland,Water,Non_Wetland,Wetland
72,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
73,NULL,Bareland,Water,Non_Wetland,Bareland
74,NULL,Bareland,Water,Non_Wetland,Water
75,NULL,Built-up,NULL,Non_Wetland,Grassland
76,NULL,Built-up,NULL,Non_Wetland,Wetland
77,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,Built-up,NULL,Non_Wetland,Bareland
79,NULL,Built-up,NULL,Non_Wetland,Built-up
80,NULL,Built-up,NULL,Non_Wetland,Forest
81,NULL,Built-up,Non_Water,Non_Wetland,Built-up
82,NULL,Water,NULL,NULL,NULL
83,NULL,Water,NULL,NULL,Wetland
84,NULL,Water,NULL,NULL,Water
85,NULL,Water,NULL,Water,Grassland
86,NULL,Water,NULL,Water,Wetland
87,NULL,Water,NULL,Water,Lichens_and_Mosses
88,NULL,Water,NULL,Water,Water
89,NULL,Water,NULL,Water,Forest
90,NULL,Water,Non_Water,Water,Grassland
91,NULL,Water,Non_Water,Water,Wetland
92,NULL,Water,Non_Water,Water,Water
93,NULL,Water,Water,NULL,Wetland
94,NULL,Water,Water,NULL,Water
95,NULL,Water,Water,Water,Grassland
96,NULL,Water,Water,Water,Wetland
97,NULL,Water,Water,Water,Water
98,NULL,Water,Water,Water,Forest
99,NULL,Forest,NULL,Non_Wetland,Grassland
100,NULL,Forest,NULL,Non_Wetland,Wetland
101,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
102,NULL,Forest,NULL,Non_Wetland,Bareland
103,NULL,Forest,NULL,Non_Wetland,Water
104,NULL,Forest,NULL,Non_Wetland,Forest
105,NULL,Forest,Non_Water,Non_Wetland,Grassland
106,NULL,Forest,Non_Water,Non_Wetland,Wetland
107,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
108,NULL,Forest,Non_Water,Non_Wetland,Water
109,NULL,Forest,Non_Water,Non_Wetland,Forest
110,NULL,Forest,Water,Non_Wetland,Grassland
111,NULL,Forest,Water,Non_Wetland,Wetland
112,NULL,Forest,Water,Non_Wetland,Water
113,NULL,Forest,Water,Non_Wetland,Forest
114,Wetland,NULL,NULL,Non_Wetland,Grassland
115,Wetland,NULL,NULL,Non_Wetland,Wetland
116,Wetland,NULL,NULL,Non_Wetland,Water
117,Wetland,NULL,NULL,Non_Wetland,Forest
118,Wetland,NULL,Non_Water,Non_Wetland,Wetland
119,Wetland,NULL,Non_Water,Non_Wetland,Water
120,Wetland,NULL,Water,Non_Wetland,Wetland
121,Wetland,NULL,Water,Non_Wetland,Water
122,Wetland,NULL,Water,Non_Wetland,Forest
123,Wetland,Shrubland,NULL,Non_Wetland,Grassland
124,Wetland,Shrubland,NULL,Non_Wetland,Wetland
125,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
126,Wetland,Shrubland,NULL,Non_Wetland,Bareland
127,Wetland,Shrubland,NULL,Non_Wetland,Water
128,Wetland,Shrubland,NULL,Non_Wetland,Forest
129,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
130,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
131,Wetland,Shrubland,Non_Water,Non_Wetland,Water
132,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
133,Wetland,Shrubland,Water,Non_Wetland,Grassland
134,Wetland,Shrubland,Water,Non_Wetland,Wetland
135,Wetland,Shrubland,Water,Non_Wetland,Water
136,Wetland,Grassland,NULL,Non_Wetland,Grassland
137,Wetland,Grassland,NULL,Non_Wetland,Wetland
138,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
139,Wetland,Grassland,NULL,Non_Wetland,Bareland
140,Wetland,Grassland,NULL,Non_Wetland,Built-up
141,Wetland,Grassland,NULL,Non_Wetland,Water
142,Wetland,Grassland,NULL,Non_Wetland,Forest
143,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
144,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
145,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
146,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
147,Wetland,Grassland,Non_Water,Non_Wetland,Water
