Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VPN_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VPN_M_R,SIBERIA_2024_GSW_Yearly_2021_44VPN_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,SIBERIA_2024_WorldCover_2021_44VPN_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Water,Non_Wetland,Water
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
19,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
27,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,Cropland,NULL,Non_Wetland,Wetland
30,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
31,NULL,Cropland,NULL,Non_Wetland,Forest
32,NULL,Wetland,NULL,Wetland,NULL
33,NULL,Wetland,NULL,Wetland,Grassland
34,NULL,Wetland,NULL,Wetland,Wetland
35,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
36,NULL,Wetland,NULL,Wetland,Water
37,NULL,Wetland,NULL,Wetland,Forest
38,NULL,Wetland,Non_Water,Wetland,NULL
39,NULL,Wetland,Non_Water,Wetland,Grassland
40,NULL,Wetland,Non_Water,Wetland,Wetland
41,NULL,Wetland,Non_Water,Wetland,Water
42,NULL,Wetland,Non_Water,Wetland,Forest
43,NULL,Wetland,Water,Wetland,NULL
44,NULL,Wetland,Water,Wetland,Grassland
45,NULL,Wetland,Water,Wetland,Wetland
46,NULL,Wetland,Water,Wetland,Forest
47,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
48,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
49,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
50,NULL,Bareland,NULL,Non_Wetland,NULL
51,NULL,Bareland,NULL,Non_Wetland,Grassland
52,NULL,Bareland,NULL,Non_Wetland,Wetland
53,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
54,NULL,Bareland,NULL,Non_Wetland,Bareland
55,NULL,Bareland,NULL,Non_Wetland,Built-up
56,NULL,Bareland,NULL,Non_Wetland,Water
57,NULL,Bareland,NULL,Non_Wetland,Forest
58,NULL,Bareland,Non_Water,Non_Wetland,Grassland
59,NULL,Bareland,Non_Water,Non_Wetland,Wetland
60,NULL,Bareland,Non_Water,Non_Wetland,Forest
61,NULL,Bareland,Water,Non_Wetland,Grassland
62,NULL,Bareland,Water,Non_Wetland,Wetland
63,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
64,NULL,Bareland,Water,Non_Wetland,Water
65,NULL,Bareland,Water,Non_Wetland,Forest
66,NULL,Built-up,NULL,Non_Wetland,Grassland
67,NULL,Built-up,NULL,Non_Wetland,Wetland
68,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,Built-up,NULL,Non_Wetland,Bareland
70,NULL,Built-up,NULL,Non_Wetland,Built-up
71,NULL,Built-up,NULL,Non_Wetland,Forest
72,NULL,Built-up,Non_Water,Non_Wetland,Wetland
73,NULL,Built-up,Non_Water,Non_Wetland,Forest
74,NULL,Built-up,Water,Non_Wetland,Forest
75,NULL,Water,NULL,Water,Grassland
76,NULL,Water,NULL,Water,Wetland
77,NULL,Water,NULL,Water,Water
78,NULL,Water,NULL,Water,Forest
79,NULL,Water,Non_Water,Water,Wetland
80,NULL,Water,Water,Water,NULL
81,NULL,Water,Water,Water,Grassland
82,NULL,Water,Water,Water,Wetland
83,NULL,Water,Water,Water,Water
84,NULL,Water,Water,Water,Forest
85,NULL,Forest,NULL,Non_Wetland,NULL
86,NULL,Forest,NULL,Non_Wetland,Grassland
87,NULL,Forest,NULL,Non_Wetland,Wetland
88,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
89,NULL,Forest,NULL,Non_Wetland,Water
90,NULL,Forest,NULL,Non_Wetland,Forest
91,NULL,Forest,Non_Water,Non_Wetland,NULL
92,NULL,Forest,Non_Water,Non_Wetland,Grassland
93,NULL,Forest,Non_Water,Non_Wetland,Wetland
94,NULL,Forest,Non_Water,Non_Wetland,Water
95,NULL,Forest,Non_Water,Non_Wetland,Forest
96,NULL,Forest,Water,Non_Wetland,NULL
97,NULL,Forest,Water,Non_Wetland,Grassland
98,NULL,Forest,Water,Non_Wetland,Wetland
99,NULL,Forest,Water,Non_Wetland,Forest
100,Cropland,NULL,NULL,Non_Wetland,NULL
101,Cropland,NULL,NULL,Non_Wetland,Grassland
102,Cropland,NULL,NULL,Non_Wetland,Forest
103,Cropland,Shrubland,NULL,Non_Wetland,NULL
104,Cropland,Shrubland,NULL,Non_Wetland,Grassland
105,Cropland,Shrubland,NULL,Non_Wetland,Wetland
106,Cropland,Shrubland,NULL,Non_Wetland,Forest
107,Cropland,Cropland,NULL,Non_Wetland,Forest
108,Cropland,Wetland,NULL,Wetland,NULL
109,Cropland,Wetland,NULL,Wetland,Grassland
110,Cropland,Wetland,NULL,Wetland,Wetland
111,Cropland,Wetland,NULL,Wetland,Forest
112,Cropland,Wetland,Non_Water,Wetland,NULL
113,Cropland,Wetland,Non_Water,Wetland,Wetland
114,Cropland,Bareland,NULL,Non_Wetland,NULL
115,Cropland,Bareland,NULL,Non_Wetland,Grassland
116,Cropland,Bareland,NULL,Non_Wetland,Wetland
117,Cropland,Bareland,NULL,Non_Wetland,Forest
118,Cropland,Built-up,NULL,Non_Wetland,Forest
119,Cropland,Water,Water,Water,Water
120,Cropland,Forest,NULL,Non_Wetland,NULL
121,Cropland,Forest,NULL,Non_Wetland,Grassland
122,Cropland,Forest,NULL,Non_Wetland,Wetland
123,Cropland,Forest,NULL,Non_Wetland,Forest
124,Cropland,Forest,Water,Non_Wetland,Water
125,Wetland,NULL,NULL,Non_Wetland,NULL
126,Wetland,NULL,NULL,Non_Wetland,Grassland
127,Wetland,NULL,NULL,Non_Wetland,Wetland
128,Wetland,NULL,NULL,Non_Wetland,Water
129,Wetland,NULL,NULL,Non_Wetland,Forest
130,Wetland,NULL,Non_Water,Non_Wetland,Wetland
131,Wetland,NULL,Non_Water,Non_Wetland,Water
132,Wetland,NULL,Non_Water,Non_Wetland,Forest
133,Wetland,NULL,Water,Non_Wetland,Grassland
134,Wetland,NULL,Water,Non_Wetland,Wetland
135,Wetland,NULL,Water,Non_Wetland,Water
136,Wetland,NULL,Water,Non_Wetland,Forest
137,Wetland,Shrubland,NULL,Non_Wetland,NULL
138,Wetland,Shrubland,NULL,Non_Wetland,Grassland
139,Wetland,Shrubland,NULL,Non_Wetland,Wetland
140,Wetland,Shrubland,NULL,Non_Wetland,Water
141,Wetland,Shrubland,NULL,Non_Wetland,Forest
142,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
143,Wetland,Shrubland,Non_Water,Non_Wetland,Water
144,Wetland,Shrubland,Water,Non_Wetland,Wetland
145,Wetland,Shrubland,Water,Non_Wetland,Water
146,Wetland,Grassland,NULL,Non_Wetland,Grassland
147,Wetland,Grassland,NULL,Non_Wetland,Wetland
148,Wetland,Grassland,NULL,Non_Wetland,Forest
149,Wetland,Cropland,NULL,Non_Wetland,Grassland
150,Wetland,Cropland,NULL,Non_Wetland,Wetland
151,Wetland,Cropland,NULL,Non_Wetland,Forest
152,Wetland,Cropland,Non_Water,Non_Wetland,Forest
153,Wetland,Wetland,NULL,Wetland,NULL
154,Wetland,Wetland,NULL,Wetland,Grassland
155,Wetland,Wetland,NULL,Wetland,Wetland
156,Wetland,Wetland,NULL,Wetland,Water
157,Wetland,Wetland,NULL,Wetland,Forest
158,Wetland,Wetland,Non_Water,Wetland,NULL
159,Wetland,Wetland,Non_Water,Wetland,Grassland
160,Wetland,Wetland,Non_Water,Wetland,Wetland
161,Wetland,Wetland,Non_Water,Wetland,Water
162,Wetland,Wetland,Non_Water,Wetland,Forest
163,Wetland,Wetland,Water,Wetland,NULL
164,Wetland,Wetland,Water,Wetland,Grassland
165,Wetland,Wetland,Water,Wetland,Wetland
166,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
167,Wetland,Wetland,Water,Wetland,Water
168,Wetland,Wetland,Water,Wetland,Forest
169,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
170,Wetland,Bareland,NULL,Non_Wetland,NULL
171,Wetland,Bareland,NULL,Non_Wetland,Grassland
172,Wetland,Bareland,NULL,Non_Wetland,Wetland
173,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
174,Wetland,Bareland,NULL,Non_Wetland,Bareland
175,Wetland,Bareland,NULL,Non_Wetland,Water
176,Wetland,Bareland,NULL,Non_Wetland,Forest
177,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
178,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
179,Wetland,Bareland,Non_Water,Non_Wetland,Water
180,Wetland,Bareland,Non_Water,Non_Wetland,Forest
181,Wetland,Bareland,Water,Non_Wetland,Grassland
182,Wetland,Bareland,Water,Non_Wetland,Wetland
183,Wetland,Bareland,Water,Non_Wetland,Water
184,Wetland,Bareland,Water,Non_Wetland,Forest
185,Wetland,Built-up,NULL,Non_Wetland,Wetland
186,Wetland,Built-up,NULL,Non_Wetland,Water
187,Wetland,Built-up,NULL,Non_Wetland,Forest
188,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
189,Wetland,Built-up,Non_Water,Non_Wetland,Forest
190,Wetland,Built-up,Water,Non_Wetland,Wetland
191,Wetland,Water,NULL,Water,NULL
192,Wetland,Water,NULL,Water,Grassland
193,Wetland,Water,NULL,Water,Wetland
194,Wetland,Water,NULL,Water,Water
195,Wetland,Water,NULL,Water,Forest
196,Wetland,Water,Non_Water,Water,Wetland
197,Wetland,Water,Non_Water,Water,Water
198,Wetland,Water,Non_Water,Water,Forest
199,Wetland,Water,Water,Water,NULL
200,Wetland,Water,Water,Water,Grassland
201,Wetland,Water,Water,Water,Wetland
202,Wetland,Water,Water,Water,Water
203,Wetland,Water,Water,Water,Forest
204,Wetland,Forest,NULL,Non_Wetland,NULL
205,Wetland,Forest,NULL,Non_Wetland,Grassland
206,Wetland,Forest,NULL,Non_Wetland,Wetland
207,Wetland,Forest,NULL,Non_Wetland,Water
208,Wetland,Forest,NULL,Non_Wetland,Forest
209,Wetland,Forest,Non_Water,Non_Wetland,NULL
210,Wetland,Forest,Non_Water,Non_Wetland,Wetland
211,Wetland,Forest,Non_Water,Non_Wetland,Water
212,Wetland,Forest,Non_Water,Non_Wetland,Forest
213,Wetland,Forest,Water,Non_Wetland,NULL
214,Wetland,Forest,Water,Non_Wetland,Wetland
215,Wetland,Forest,Water,Non_Wetland,Water
216,Wetland,Forest,Water,Non_Wetland,Forest
217,Bareland,NULL,NULL,Non_Wetland,Water
218,Bareland,NULL,NULL,Non_Wetland,Forest
219,Bareland,Shrubland,NULL,Non_Wetland,Water
220,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
221,Bareland,Wetland,NULL,Wetland,Bareland
222,Bareland,Wetland,NULL,Wetland,Water
223,Bareland,Wetland,NULL,Wetland,Forest
224,Bareland,Wetland,Non_Water,Wetland,Water
225,Bareland,Wetland,Water,Wetland,Grassland
226,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
227,Bareland,Wetland,Water,Wetland,Bareland
228,Bareland,Wetland,Water,Wetland,Water
229,Bareland,Bareland,NULL,Non_Wetland,Grassland
230,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
231,Bareland,Bareland,NULL,Non_Wetland,Bareland
232,Bareland,Bareland,NULL,Non_Wetland,Forest
233,Bareland,Bareland,Water,Non_Wetland,Grassland
234,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
235,Bareland,Bareland,Water,Non_Wetland,Bareland
236,Bareland,Bareland,Water,Non_Wetland,Water
237,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
238,Bareland,Built-up,NULL,Non_Wetland,Bareland
239,Bareland,Water,NULL,Water,Water
240,Bareland,Water,NULL,Water,Forest
241,Bareland,Water,Non_Water,Water,Forest
242,Bareland,Water,Water,Water,Bareland
243,Bareland,Water,Water,Water,Water
244,Bareland,Water,Water,Water,Forest
245,Bareland,Forest,NULL,Non_Wetland,Water
246,Bareland,Forest,NULL,Non_Wetland,Forest
247,Bareland,Forest,Non_Water,Non_Wetland,Water
248,Bareland,Forest,Non_Water,Non_Wetland,Forest
249,Built-up,Bareland,NULL,Non_Wetland,Bareland
250,Built-up,Bareland,NULL,Non_Wetland,Forest
251,Built-up,Bareland,Water,Non_Wetland,Forest
252,Water,NULL,NULL,Non_Wetland,Grassland
253,Water,NULL,NULL,Non_Wetland,Wetland
254,Water,NULL,NULL,Non_Wetland,Water
255,Water,NULL,NULL,Non_Wetland,Forest
256,Water,NULL,Non_Water,Non_Wetland,Grassland
257,Water,NULL,Non_Water,Non_Wetland,Wetland
258,Water,NULL,Non_Water,Non_Wetland,Bareland
259,Water,NULL,Non_Water,Non_Wetland,Water
260,Water,NULL,Non_Water,Non_Wetland,Forest
261,Water,NULL,Water,Non_Wetland,Grassland
262,Water,NULL,Water,Non_Wetland,Wetland
263,Water,NULL,Water,Non_Wetland,Water
264,Water,NULL,Water,Non_Wetland,Forest
265,Water,Shrubland,NULL,Non_Wetland,Wetland
266,Water,Shrubland,NULL,Non_Wetland,Water
267,Water,Shrubland,NULL,Non_Wetland,Forest
268,Water,Shrubland,Non_Water,Non_Wetland,Water
269,Water,Shrubland,Non_Water,Non_Wetland,Forest
270,Water,Shrubland,Water,Non_Wetland,Grassland
271,Water,Shrubland,Water,Non_Wetland,Wetland
272,Water,Shrubland,Water,Non_Wetland,Bareland
273,Water,Shrubland,Water,Non_Wetland,Water
274,Water,Shrubland,Water,Non_Wetland,Forest
