Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WVN_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WVN_M_R,SIBERIA_2024_GSW_Yearly_2021_45WVN_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WVN_M_R,SIBERIA_2024_WorldCover_2021_45WVN_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Water
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,Shrubland,Non_Water,Non_Wetland,Water
22,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,Shrubland,Water,Non_Wetland,Water
26,NULL,Shrubland,Water,Non_Wetland,Forest
27,NULL,Grassland,NULL,Non_Wetland,NULL
28,NULL,Grassland,NULL,Non_Wetland,Grassland
29,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
31,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,Grassland,Non_Water,Non_Wetland,Wetland
34,NULL,Grassland,Non_Water,Non_Wetland,Forest
35,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,Grassland,Water,Non_Wetland,Wetland
37,NULL,Grassland,Water,Non_Wetland,Water
38,NULL,Grassland,Water,Non_Wetland,Forest
39,NULL,Cropland,NULL,Non_Wetland,Grassland
40,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,Wetland,NULL,Wetland,NULL
42,NULL,Wetland,NULL,Wetland,Grassland
43,NULL,Wetland,NULL,Wetland,Wetland
44,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
45,NULL,Wetland,NULL,Wetland,Water
46,NULL,Wetland,NULL,Wetland,Forest
47,NULL,Wetland,Non_Water,Wetland,Grassland
48,NULL,Wetland,Non_Water,Wetland,Wetland
49,NULL,Wetland,Non_Water,Wetland,Water
50,NULL,Wetland,Non_Water,Wetland,Forest
51,NULL,Wetland,Water,Wetland,Grassland
52,NULL,Wetland,Water,Wetland,Wetland
53,NULL,Wetland,Water,Wetland,Water
54,NULL,Wetland,Water,Wetland,Forest
55,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
56,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
57,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
58,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
59,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
60,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
61,NULL,Bareland,NULL,Non_Wetland,NULL
62,NULL,Bareland,NULL,Non_Wetland,Grassland
63,NULL,Bareland,NULL,Non_Wetland,Wetland
64,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
65,NULL,Bareland,NULL,Non_Wetland,Water
66,NULL,Bareland,NULL,Non_Wetland,Forest
67,NULL,Bareland,Non_Water,Non_Wetland,Grassland
68,NULL,Bareland,Non_Water,Non_Wetland,Wetland
69,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
70,NULL,Bareland,Non_Water,Non_Wetland,Forest
71,NULL,Bareland,Water,Non_Wetland,Grassland
72,NULL,Bareland,Water,Non_Wetland,Wetland
73,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
74,NULL,Bareland,Water,Non_Wetland,Water
75,NULL,Bareland,Water,Non_Wetland,Forest
76,NULL,Built-up,NULL,Non_Wetland,Grassland
77,NULL,Built-up,NULL,Non_Wetland,Wetland
78,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
79,NULL,Built-up,NULL,Non_Wetland,Water
80,NULL,Built-up,NULL,Non_Wetland,Forest
81,NULL,Built-up,Non_Water,Non_Wetland,Grassland
82,NULL,Built-up,Non_Water,Non_Wetland,Wetland
83,NULL,Built-up,Non_Water,Non_Wetland,Forest
84,NULL,Built-up,Water,Non_Wetland,Wetland
85,NULL,Built-up,Water,Non_Wetland,Water
86,NULL,Built-up,Water,Non_Wetland,Forest
87,NULL,Water,NULL,Water,Grassland
88,NULL,Water,NULL,Water,Wetland
89,NULL,Water,NULL,Water,Lichens_and_Mosses
90,NULL,Water,NULL,Water,Water
91,NULL,Water,NULL,Water,Forest
92,NULL,Water,Non_Water,Water,Wetland
93,NULL,Water,Non_Water,Water,Water
94,NULL,Water,Water,Water,Grassland
95,NULL,Water,Water,Water,Wetland
96,NULL,Water,Water,Water,Water
97,NULL,Water,Water,Water,Forest
98,NULL,Forest,NULL,Non_Wetland,NULL
99,NULL,Forest,NULL,Non_Wetland,Grassland
100,NULL,Forest,NULL,Non_Wetland,Wetland
101,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
102,NULL,Forest,NULL,Non_Wetland,Water
103,NULL,Forest,NULL,Non_Wetland,Forest
104,NULL,Forest,Non_Water,Non_Wetland,Grassland
105,NULL,Forest,Non_Water,Non_Wetland,Wetland
106,NULL,Forest,Non_Water,Non_Wetland,Forest
107,NULL,Forest,Water,Non_Wetland,Grassland
108,NULL,Forest,Water,Non_Wetland,Wetland
109,NULL,Forest,Water,Non_Wetland,Water
110,NULL,Forest,Water,Non_Wetland,Forest
111,Cropland,NULL,NULL,Non_Wetland,Grassland
112,Cropland,NULL,NULL,Non_Wetland,Wetland
113,Cropland,NULL,NULL,Non_Wetland,Forest
114,Cropland,Shrubland,NULL,Non_Wetland,Grassland
115,Cropland,Shrubland,NULL,Non_Wetland,Wetland
116,Cropland,Shrubland,NULL,Non_Wetland,Forest
117,Cropland,Grassland,NULL,Non_Wetland,Grassland
118,Cropland,Grassland,NULL,Non_Wetland,Wetland
119,Cropland,Grassland,NULL,Non_Wetland,Forest
120,Cropland,Wetland,NULL,Wetland,NULL
121,Cropland,Wetland,NULL,Wetland,Grassland
122,Cropland,Wetland,NULL,Wetland,Wetland
123,Cropland,Wetland,NULL,Wetland,Forest
124,Cropland,Wetland,Non_Water,Wetland,Wetland
125,Cropland,Bareland,NULL,Non_Wetland,Grassland
126,Cropland,Bareland,NULL,Non_Wetland,Wetland
127,Cropland,Bareland,NULL,Non_Wetland,Forest
128,Cropland,Built-up,NULL,Non_Wetland,Forest
129,Cropland,Forest,NULL,Non_Wetland,NULL
130,Cropland,Forest,NULL,Non_Wetland,Grassland
131,Cropland,Forest,NULL,Non_Wetland,Wetland
132,Cropland,Forest,NULL,Non_Wetland,Forest
133,Wetland,NULL,NULL,Non_Wetland,NULL
134,Wetland,NULL,NULL,Non_Wetland,Grassland
135,Wetland,NULL,NULL,Non_Wetland,Wetland
136,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
137,Wetland,NULL,NULL,Non_Wetland,Water
138,Wetland,NULL,NULL,Non_Wetland,Forest
139,Wetland,NULL,Non_Water,Non_Wetland,Grassland
140,Wetland,NULL,Non_Water,Non_Wetland,Wetland
141,Wetland,NULL,Non_Water,Non_Wetland,Water
142,Wetland,NULL,Non_Water,Non_Wetland,Forest
143,Wetland,NULL,Water,Non_Wetland,Grassland
144,Wetland,NULL,Water,Non_Wetland,Wetland
145,Wetland,NULL,Water,Non_Wetland,Water
146,Wetland,NULL,Water,Non_Wetland,Forest
147,Wetland,Shrubland,NULL,Non_Wetland,NULL
148,Wetland,Shrubland,NULL,Non_Wetland,Grassland
149,Wetland,Shrubland,NULL,Non_Wetland,Wetland
150,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
151,Wetland,Shrubland,NULL,Non_Wetland,Water
152,Wetland,Shrubland,NULL,Non_Wetland,Forest
153,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
154,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
155,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
156,Wetland,Shrubland,Non_Water,Non_Wetland,Water
157,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
158,Wetland,Shrubland,Water,Non_Wetland,Grassland
159,Wetland,Shrubland,Water,Non_Wetland,Wetland
160,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
161,Wetland,Shrubland,Water,Non_Wetland,Water
162,Wetland,Shrubland,Water,Non_Wetland,Forest
163,Wetland,Grassland,NULL,Non_Wetland,NULL
164,Wetland,Grassland,NULL,Non_Wetland,Grassland
165,Wetland,Grassland,NULL,Non_Wetland,Wetland
166,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
167,Wetland,Grassland,NULL,Non_Wetland,Water
168,Wetland,Grassland,NULL,Non_Wetland,Forest
169,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
170,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
171,Wetland,Grassland,Non_Water,Non_Wetland,Forest
172,Wetland,Grassland,Water,Non_Wetland,Grassland
173,Wetland,Grassland,Water,Non_Wetland,Wetland
174,Wetland,Grassland,Water,Non_Wetland,Water
175,Wetland,Grassland,Water,Non_Wetland,Forest
176,Wetland,Wetland,NULL,Wetland,NULL
177,Wetland,Wetland,NULL,Wetland,Grassland
178,Wetland,Wetland,NULL,Wetland,Wetland
179,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
180,Wetland,Wetland,NULL,Wetland,Water
181,Wetland,Wetland,NULL,Wetland,Forest
182,Wetland,Wetland,Non_Water,Wetland,Grassland
183,Wetland,Wetland,Non_Water,Wetland,Wetland
184,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
185,Wetland,Wetland,Non_Water,Wetland,Water
186,Wetland,Wetland,Non_Water,Wetland,Forest
187,Wetland,Wetland,Water,Wetland,Grassland
188,Wetland,Wetland,Water,Wetland,Wetland
189,Wetland,Wetland,Water,Wetland,Water
190,Wetland,Wetland,Water,Wetland,Forest
191,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
192,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
193,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
194,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
195,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
196,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
197,Wetland,Bareland,NULL,Non_Wetland,NULL
198,Wetland,Bareland,NULL,Non_Wetland,Grassland
199,Wetland,Bareland,NULL,Non_Wetland,Wetland
200,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
201,Wetland,Bareland,NULL,Non_Wetland,Water
202,Wetland,Bareland,NULL,Non_Wetland,Forest
203,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
204,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
205,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
206,Wetland,Bareland,Non_Water,Non_Wetland,Water
207,Wetland,Bareland,Non_Water,Non_Wetland,Forest
208,Wetland,Bareland,Water,Non_Wetland,Grassland
209,Wetland,Bareland,Water,Non_Wetland,Wetland
210,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
211,Wetland,Bareland,Water,Non_Wetland,Water
212,Wetland,Bareland,Water,Non_Wetland,Forest
213,Wetland,Built-up,NULL,Non_Wetland,Grassland
214,Wetland,Built-up,NULL,Non_Wetland,Wetland
215,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
216,Wetland,Built-up,NULL,Non_Wetland,Water
217,Wetland,Built-up,NULL,Non_Wetland,Forest
218,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
219,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
220,Wetland,Built-up,Non_Water,Non_Wetland,Water
221,Wetland,Built-up,Non_Water,Non_Wetland,Forest
222,Wetland,Built-up,Water,Non_Wetland,Grassland
223,Wetland,Built-up,Water,Non_Wetland,Wetland
224,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
225,Wetland,Built-up,Water,Non_Wetland,Water
226,Wetland,Built-up,Water,Non_Wetland,Forest
227,Wetland,Water,NULL,Water,Grassland
228,Wetland,Water,NULL,Water,Wetland
229,Wetland,Water,NULL,Water,Lichens_and_Mosses
230,Wetland,Water,NULL,Water,Water
231,Wetland,Water,NULL,Water,Forest
232,Wetland,Water,Non_Water,Water,Grassland
233,Wetland,Water,Non_Water,Water,Wetland
234,Wetland,Water,Non_Water,Water,Water
235,Wetland,Water,Non_Water,Water,Forest
236,Wetland,Water,Water,Water,Grassland
237,Wetland,Water,Water,Water,Wetland
238,Wetland,Water,Water,Water,Lichens_and_Mosses
239,Wetland,Water,Water,Water,Water
240,Wetland,Water,Water,Water,Forest
241,Wetland,Forest,NULL,Non_Wetland,NULL
242,Wetland,Forest,NULL,Non_Wetland,Grassland
243,Wetland,Forest,NULL,Non_Wetland,Wetland
244,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
245,Wetland,Forest,NULL,Non_Wetland,Water
246,Wetland,Forest,NULL,Non_Wetland,Forest
247,Wetland,Forest,Non_Water,Non_Wetland,Grassland
248,Wetland,Forest,Non_Water,Non_Wetland,Wetland
249,Wetland,Forest,Non_Water,Non_Wetland,Water
250,Wetland,Forest,Non_Water,Non_Wetland,Forest
251,Wetland,Forest,Water,Non_Wetland,Grassland
252,Wetland,Forest,Water,Non_Wetland,Wetland
253,Wetland,Forest,Water,Non_Wetland,Water
254,Wetland,Forest,Water,Non_Wetland,Forest
255,Bareland,NULL,NULL,Non_Wetland,Grassland
256,Bareland,NULL,NULL,Non_Wetland,Water
257,Bareland,NULL,NULL,Non_Wetland,Forest
258,Bareland,NULL,Non_Water,Non_Wetland,Wetland
259,Bareland,Shrubland,NULL,Non_Wetland,Wetland
260,Bareland,Shrubland,NULL,Non_Wetland,Forest
261,Bareland,Shrubland,Non_Water,Non_Wetland,Water
262,Bareland,Wetland,NULL,Wetland,Grassland
263,Bareland,Wetland,NULL,Wetland,Wetland
