Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPN_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPN_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPN_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPN_M_R,SIBERIA_2024_WorldCover_2021_41WPN_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
32,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,Grassland,Non_Water,Non_Wetland,Wetland
35,NULL,Grassland,Non_Water,Non_Wetland,Forest
36,NULL,Cropland,NULL,Non_Wetland,Grassland
37,NULL,Cropland,NULL,Non_Wetland,Wetland
38,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,Cropland,Non_Water,Non_Wetland,Forest
41,NULL,Wetland,NULL,Wetland,NULL
42,NULL,Wetland,NULL,Wetland,Grassland
43,NULL,Wetland,NULL,Wetland,Cropland
44,NULL,Wetland,NULL,Wetland,Wetland
45,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
46,NULL,Wetland,NULL,Wetland,Water
47,NULL,Wetland,NULL,Wetland,Forest
48,NULL,Wetland,Non_Water,Wetland,NULL
49,NULL,Wetland,Non_Water,Wetland,Grassland
50,NULL,Wetland,Non_Water,Wetland,Wetland
51,NULL,Wetland,Non_Water,Wetland,Water
52,NULL,Wetland,Non_Water,Wetland,Forest
53,NULL,Wetland,Water,Wetland,NULL
54,NULL,Wetland,Water,Wetland,Grassland
55,NULL,Wetland,Water,Wetland,Wetland
56,NULL,Wetland,Water,Wetland,Bareland
57,NULL,Wetland,Water,Wetland,Water
58,NULL,Wetland,Water,Wetland,Forest
59,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
60,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
61,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
65,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
66,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
67,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
68,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
69,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
70,NULL,Bareland,NULL,Non_Wetland,NULL
71,NULL,Bareland,NULL,Non_Wetland,Grassland
72,NULL,Bareland,NULL,Non_Wetland,Cropland
73,NULL,Bareland,NULL,Non_Wetland,Wetland
74,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
75,NULL,Bareland,NULL,Non_Wetland,Bareland
76,NULL,Bareland,NULL,Non_Wetland,Water
77,NULL,Bareland,NULL,Non_Wetland,Forest
78,NULL,Bareland,Non_Water,Non_Wetland,NULL
79,NULL,Bareland,Non_Water,Non_Wetland,Grassland
80,NULL,Bareland,Non_Water,Non_Wetland,Wetland
81,NULL,Bareland,Non_Water,Non_Wetland,Water
82,NULL,Bareland,Non_Water,Non_Wetland,Forest
83,NULL,Bareland,Water,Non_Wetland,Grassland
84,NULL,Bareland,Water,Non_Wetland,Wetland
85,NULL,Bareland,Water,Non_Wetland,Water
86,NULL,Bareland,Water,Non_Wetland,Forest
87,NULL,Built-up,NULL,Non_Wetland,Grassland
88,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
89,NULL,Built-up,NULL,Non_Wetland,Forest
90,NULL,Water,NULL,Water,NULL
91,NULL,Water,NULL,Water,Grassland
92,NULL,Water,NULL,Water,Wetland
93,NULL,Water,NULL,Water,Lichens_and_Mosses
94,NULL,Water,NULL,Water,Water
95,NULL,Water,NULL,Water,Forest
96,NULL,Water,Non_Water,Water,NULL
97,NULL,Water,Non_Water,Water,Grassland
98,NULL,Water,Non_Water,Water,Wetland
99,NULL,Water,Non_Water,Water,Forest
100,NULL,Water,Water,Water,NULL
101,NULL,Water,Water,Water,Grassland
102,NULL,Water,Water,Water,Wetland
103,NULL,Water,Water,Water,Water
104,NULL,Water,Water,Water,Forest
105,NULL,Forest,NULL,Non_Wetland,NULL
106,NULL,Forest,NULL,Non_Wetland,Grassland
107,NULL,Forest,NULL,Non_Wetland,Wetland
108,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
109,NULL,Forest,NULL,Non_Wetland,Water
110,NULL,Forest,NULL,Non_Wetland,Forest
111,NULL,Forest,Non_Water,Non_Wetland,NULL
112,NULL,Forest,Non_Water,Non_Wetland,Grassland
113,NULL,Forest,Non_Water,Non_Wetland,Wetland
114,NULL,Forest,Non_Water,Non_Wetland,Water
115,NULL,Forest,Non_Water,Non_Wetland,Forest
116,NULL,Forest,Water,Non_Wetland,NULL
117,NULL,Forest,Water,Non_Wetland,Grassland
118,NULL,Forest,Water,Non_Wetland,Wetland
119,NULL,Forest,Water,Non_Wetland,Water
120,NULL,Forest,Water,Non_Wetland,Forest
121,Cropland,NULL,NULL,Non_Wetland,Grassland
122,Cropland,NULL,NULL,Non_Wetland,Wetland
123,Cropland,NULL,NULL,Non_Wetland,Forest
124,Cropland,Shrubland,NULL,Non_Wetland,Grassland
125,Cropland,Shrubland,NULL,Non_Wetland,Wetland
126,Cropland,Shrubland,NULL,Non_Wetland,Forest
127,Cropland,Grassland,NULL,Non_Wetland,Grassland
128,Cropland,Grassland,NULL,Non_Wetland,Forest
129,Cropland,Cropland,NULL,Non_Wetland,Grassland
130,Cropland,Wetland,NULL,Wetland,NULL
131,Cropland,Wetland,NULL,Wetland,Grassland
132,Cropland,Wetland,NULL,Wetland,Wetland
133,Cropland,Wetland,NULL,Wetland,Water
134,Cropland,Wetland,NULL,Wetland,Forest
135,Cropland,Wetland,Non_Water,Wetland,Grassland
136,Cropland,Wetland,Water,Wetland,Grassland
137,Cropland,Wetland,Water,Wetland,Wetland
138,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
139,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
140,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
141,Cropland,Bareland,NULL,Non_Wetland,Grassland
142,Cropland,Bareland,NULL,Non_Wetland,Wetland
143,Cropland,Bareland,NULL,Non_Wetland,Forest
144,Cropland,Forest,NULL,Non_Wetland,NULL
145,Cropland,Forest,NULL,Non_Wetland,Grassland
146,Cropland,Forest,NULL,Non_Wetland,Wetland
147,Cropland,Forest,NULL,Non_Wetland,Water
148,Cropland,Forest,NULL,Non_Wetland,Forest
149,Wetland,NULL,NULL,Non_Wetland,NULL
150,Wetland,NULL,NULL,Non_Wetland,Grassland
151,Wetland,NULL,NULL,Non_Wetland,Wetland
152,Wetland,NULL,NULL,Non_Wetland,Water
153,Wetland,NULL,NULL,Non_Wetland,Forest
154,Wetland,NULL,Non_Water,Non_Wetland,Grassland
155,Wetland,NULL,Non_Water,Non_Wetland,Wetland
156,Wetland,NULL,Non_Water,Non_Wetland,Water
157,Wetland,NULL,Non_Water,Non_Wetland,Forest
158,Wetland,NULL,Water,Non_Wetland,Grassland
159,Wetland,NULL,Water,Non_Wetland,Wetland
160,Wetland,NULL,Water,Non_Wetland,Water
161,Wetland,NULL,Water,Non_Wetland,Forest
162,Wetland,Shrubland,NULL,Non_Wetland,NULL
163,Wetland,Shrubland,NULL,Non_Wetland,Grassland
164,Wetland,Shrubland,NULL,Non_Wetland,Wetland
165,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
166,Wetland,Shrubland,NULL,Non_Wetland,Water
167,Wetland,Shrubland,NULL,Non_Wetland,Forest
168,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
169,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
170,Wetland,Shrubland,Non_Water,Non_Wetland,Water
171,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
172,Wetland,Shrubland,Water,Non_Wetland,Grassland
173,Wetland,Shrubland,Water,Non_Wetland,Wetland
174,Wetland,Shrubland,Water,Non_Wetland,Water
175,Wetland,Shrubland,Water,Non_Wetland,Forest
176,Wetland,Grassland,NULL,Non_Wetland,Grassland
177,Wetland,Grassland,NULL,Non_Wetland,Wetland
178,Wetland,Grassland,NULL,Non_Wetland,Water
179,Wetland,Grassland,NULL,Non_Wetland,Forest
180,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
181,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
182,Wetland,Grassland,Non_Water,Non_Wetland,Water
183,Wetland,Grassland,Non_Water,Non_Wetland,Forest
184,Wetland,Grassland,Water,Non_Wetland,Grassland
185,Wetland,Grassland,Water,Non_Wetland,Wetland
186,Wetland,Grassland,Water,Non_Wetland,Forest
187,Wetland,Cropland,NULL,Non_Wetland,Grassland
188,Wetland,Cropland,NULL,Non_Wetland,Wetland
189,Wetland,Cropland,NULL,Non_Wetland,Water
190,Wetland,Cropland,NULL,Non_Wetland,Forest
191,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
192,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
193,Wetland,Cropland,Non_Water,Non_Wetland,Water
194,Wetland,Cropland,Non_Water,Non_Wetland,Forest
195,Wetland,Cropland,Water,Non_Wetland,Grassland
196,Wetland,Cropland,Water,Non_Wetland,Wetland
197,Wetland,Cropland,Water,Non_Wetland,Water
198,Wetland,Wetland,NULL,Wetland,NULL
199,Wetland,Wetland,NULL,Wetland,Grassland
200,Wetland,Wetland,NULL,Wetland,Wetland
201,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
202,Wetland,Wetland,NULL,Wetland,Water
203,Wetland,Wetland,NULL,Wetland,Forest
204,Wetland,Wetland,Non_Water,Wetland,NULL
205,Wetland,Wetland,Non_Water,Wetland,Grassland
206,Wetland,Wetland,Non_Water,Wetland,Cropland
207,Wetland,Wetland,Non_Water,Wetland,Wetland
208,Wetland,Wetland,Non_Water,Wetland,Bareland
209,Wetland,Wetland,Non_Water,Wetland,Water
210,Wetland,Wetland,Non_Water,Wetland,Forest
211,Wetland,Wetland,Water,Wetland,NULL
212,Wetland,Wetland,Water,Wetland,Grassland
213,Wetland,Wetland,Water,Wetland,Cropland
214,Wetland,Wetland,Water,Wetland,Wetland
215,Wetland,Wetland,Water,Wetland,Water
216,Wetland,Wetland,Water,Wetland,Forest
217,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
218,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
219,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
220,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
221,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
222,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
223,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
224,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
225,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
226,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
227,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
228,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
229,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
230,Wetland,Bareland,NULL,Non_Wetland,NULL
231,Wetland,Bareland,NULL,Non_Wetland,Grassland
232,Wetland,Bareland,NULL,Non_Wetland,Wetland
233,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
234,Wetland,Bareland,NULL,Non_Wetland,Bareland
235,Wetland,Bareland,NULL,Non_Wetland,Water
236,Wetland,Bareland,NULL,Non_Wetland,Forest
237,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
238,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
239,Wetland,Bareland,Non_Water,Non_Wetland,Water
240,Wetland,Bareland,Non_Water,Non_Wetland,Forest
241,Wetland,Bareland,Water,Non_Wetland,Grassland
242,Wetland,Bareland,Water,Non_Wetland,Wetland
243,Wetland,Bareland,Water,Non_Wetland,Water
244,Wetland,Bareland,Water,Non_Wetland,Forest
245,Wetland,Built-up,Water,Non_Wetland,Forest
246,Wetland,Water,NULL,Water,NULL
247,Wetland,Water,NULL,Water,Grassland
248,Wetland,Water,NULL,Water,Wetland
249,Wetland,Water,NULL,Water,Lichens_and_Mosses
250,Wetland,Water,NULL,Water,Water
251,Wetland,Water,NULL,Water,Forest
252,Wetland,Water,Non_Water,Water,Grassland
253,Wetland,Water,Non_Water,Water,Wetland
254,Wetland,Water,Non_Water,Water,Water
255,Wetland,Water,Non_Water,Water,Forest
256,Wetland,Water,Water,Water,NULL
257,Wetland,Water,Water,Water,Grassland
258,Wetland,Water,Water,Water,Wetland
259,Wetland,Water,Water,Water,Water
260,Wetland,Water,Water,Water,Forest
261,Wetland,Forest,NULL,Non_Wetland,NULL
262,Wetland,Forest,NULL,Non_Wetland,Grassland
263,Wetland,Forest,NULL,Non_Wetland,Wetland
264,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
