Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVM_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVM_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVM_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVM_M_R,SIBERIA_2024_WorldCover_2021_42VVM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,NULL,Non_Wetland,Bareland
6,NULL,NULL,NULL,Non_Wetland,Built-up
7,NULL,NULL,NULL,Non_Wetland,Water
8,NULL,NULL,NULL,Non_Wetland,Forest
9,NULL,NULL,Non_Water,Non_Wetland,NULL
10,NULL,NULL,Non_Water,Non_Wetland,Grassland
11,NULL,NULL,Non_Water,Non_Wetland,Cropland
12,NULL,NULL,Non_Water,Non_Wetland,Wetland
13,NULL,NULL,Non_Water,Non_Wetland,Bareland
14,NULL,NULL,Non_Water,Non_Wetland,Water
15,NULL,NULL,Non_Water,Non_Wetland,Forest
16,NULL,NULL,Water,Non_Wetland,Grassland
17,NULL,NULL,Water,Non_Wetland,Wetland
18,NULL,NULL,Water,Non_Wetland,Water
19,NULL,NULL,Water,Non_Wetland,Forest
20,NULL,Shrubland,NULL,Non_Wetland,NULL
21,NULL,Shrubland,NULL,Non_Wetland,Grassland
22,NULL,Shrubland,NULL,Non_Wetland,Cropland
23,NULL,Shrubland,NULL,Non_Wetland,Wetland
24,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
25,NULL,Shrubland,NULL,Non_Wetland,Bareland
26,NULL,Shrubland,NULL,Non_Wetland,Built-up
27,NULL,Shrubland,NULL,Non_Wetland,Water
28,NULL,Shrubland,NULL,Non_Wetland,Forest
29,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
30,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
31,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
32,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
33,NULL,Shrubland,Non_Water,Non_Wetland,Forest
34,NULL,Shrubland,Water,Non_Wetland,Grassland
35,NULL,Shrubland,Water,Non_Wetland,Wetland
36,NULL,Shrubland,Water,Non_Wetland,Water
37,NULL,Shrubland,Water,Non_Wetland,Forest
38,NULL,Grassland,NULL,Non_Wetland,NULL
39,NULL,Grassland,NULL,Non_Wetland,Grassland
40,NULL,Grassland,NULL,Non_Wetland,Cropland
41,NULL,Grassland,NULL,Non_Wetland,Wetland
42,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
43,NULL,Grassland,NULL,Non_Wetland,Bareland
44,NULL,Grassland,NULL,Non_Wetland,Built-up
45,NULL,Grassland,NULL,Non_Wetland,Forest
46,NULL,Grassland,Non_Water,Non_Wetland,Grassland
47,NULL,Grassland,Non_Water,Non_Wetland,Cropland
48,NULL,Grassland,Non_Water,Non_Wetland,Wetland
49,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
50,NULL,Grassland,Non_Water,Non_Wetland,Forest
51,NULL,Grassland,Water,Non_Wetland,Water
52,NULL,Cropland,NULL,Non_Wetland,NULL
53,NULL,Cropland,NULL,Non_Wetland,Grassland
54,NULL,Cropland,NULL,Non_Wetland,Cropland
55,NULL,Cropland,NULL,Non_Wetland,Wetland
56,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
57,NULL,Cropland,NULL,Non_Wetland,Bareland
58,NULL,Cropland,NULL,Non_Wetland,Built-up
59,NULL,Cropland,NULL,Non_Wetland,Water
60,NULL,Cropland,NULL,Non_Wetland,Forest
61,NULL,Cropland,Non_Water,Non_Wetland,NULL
62,NULL,Cropland,Non_Water,Non_Wetland,Grassland
63,NULL,Cropland,Non_Water,Non_Wetland,Cropland
64,NULL,Cropland,Non_Water,Non_Wetland,Wetland
65,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
66,NULL,Cropland,Non_Water,Non_Wetland,Bareland
67,NULL,Cropland,Non_Water,Non_Wetland,Water
68,NULL,Cropland,Non_Water,Non_Wetland,Forest
69,NULL,Cropland,Water,Non_Wetland,Grassland
70,NULL,Cropland,Water,Non_Wetland,Cropland
71,NULL,Cropland,Water,Non_Wetland,Wetland
72,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
73,NULL,Cropland,Water,Non_Wetland,Bareland
74,NULL,Cropland,Water,Non_Wetland,Water
75,NULL,Cropland,Water,Non_Wetland,Forest
76,NULL,Wetland,NULL,Wetland,NULL
77,NULL,Wetland,NULL,Wetland,Grassland
78,NULL,Wetland,NULL,Wetland,Cropland
79,NULL,Wetland,NULL,Wetland,Wetland
80,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
81,NULL,Wetland,NULL,Wetland,Bareland
82,NULL,Wetland,NULL,Wetland,Built-up
83,NULL,Wetland,NULL,Wetland,Water
84,NULL,Wetland,NULL,Wetland,Forest
85,NULL,Wetland,Non_Water,Wetland,NULL
86,NULL,Wetland,Non_Water,Wetland,Grassland
87,NULL,Wetland,Non_Water,Wetland,Cropland
88,NULL,Wetland,Non_Water,Wetland,Wetland
89,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
90,NULL,Wetland,Non_Water,Wetland,Water
91,NULL,Wetland,Non_Water,Wetland,Forest
92,NULL,Wetland,Water,Wetland,NULL
93,NULL,Wetland,Water,Wetland,Grassland
94,NULL,Wetland,Water,Wetland,Cropland
95,NULL,Wetland,Water,Wetland,Wetland
96,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
97,NULL,Wetland,Water,Wetland,Bareland
98,NULL,Wetland,Water,Wetland,Water
99,NULL,Wetland,Water,Wetland,Forest
100,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
101,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
102,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
103,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
104,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
105,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
106,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
107,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
108,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
109,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
110,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
111,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
112,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
113,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
114,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
115,NULL,Bareland,NULL,Non_Wetland,NULL
116,NULL,Bareland,NULL,Non_Wetland,Grassland
117,NULL,Bareland,NULL,Non_Wetland,Cropland
118,NULL,Bareland,NULL,Non_Wetland,Wetland
119,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
120,NULL,Bareland,NULL,Non_Wetland,Bareland
121,NULL,Bareland,NULL,Non_Wetland,Built-up
122,NULL,Bareland,NULL,Non_Wetland,Water
123,NULL,Bareland,NULL,Non_Wetland,Forest
124,NULL,Bareland,Non_Water,Non_Wetland,NULL
125,NULL,Bareland,Non_Water,Non_Wetland,Grassland
126,NULL,Bareland,Non_Water,Non_Wetland,Cropland
127,NULL,Bareland,Non_Water,Non_Wetland,Wetland
128,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
129,NULL,Bareland,Non_Water,Non_Wetland,Bareland
130,NULL,Bareland,Non_Water,Non_Wetland,Water
131,NULL,Bareland,Non_Water,Non_Wetland,Forest
132,NULL,Bareland,Water,Non_Wetland,Grassland
133,NULL,Bareland,Water,Non_Wetland,Wetland
134,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
135,NULL,Bareland,Water,Non_Wetland,Bareland
136,NULL,Bareland,Water,Non_Wetland,Water
137,NULL,Bareland,Water,Non_Wetland,Forest
138,NULL,Built-up,NULL,Non_Wetland,NULL
139,NULL,Built-up,NULL,Non_Wetland,Grassland
140,NULL,Built-up,NULL,Non_Wetland,Cropland
141,NULL,Built-up,NULL,Non_Wetland,Wetland
142,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
143,NULL,Built-up,NULL,Non_Wetland,Bareland
144,NULL,Built-up,NULL,Non_Wetland,Built-up
145,NULL,Built-up,NULL,Non_Wetland,Water
146,NULL,Built-up,NULL,Non_Wetland,Forest
147,NULL,Built-up,Non_Water,Non_Wetland,Grassland
148,NULL,Built-up,Non_Water,Non_Wetland,Cropland
149,NULL,Built-up,Non_Water,Non_Wetland,Wetland
150,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
151,NULL,Built-up,Non_Water,Non_Wetland,Bareland
152,NULL,Built-up,Non_Water,Non_Wetland,Water
153,NULL,Built-up,Non_Water,Non_Wetland,Forest
154,NULL,Built-up,Water,Non_Wetland,Grassland
155,NULL,Built-up,Water,Non_Wetland,Wetland
156,NULL,Built-up,Water,Non_Wetland,Bareland
157,NULL,Built-up,Water,Non_Wetland,Water
158,NULL,Water,NULL,Water,NULL
159,NULL,Water,NULL,Water,Grassland
160,NULL,Water,NULL,Water,Cropland
161,NULL,Water,NULL,Water,Wetland
162,NULL,Water,NULL,Water,Lichens_and_Mosses
163,NULL,Water,NULL,Water,Bareland
164,NULL,Water,NULL,Water,Water
165,NULL,Water,NULL,Water,Forest
166,NULL,Water,Non_Water,Water,Grassland
167,NULL,Water,Non_Water,Water,Cropland
168,NULL,Water,Non_Water,Water,Wetland
169,NULL,Water,Non_Water,Water,Lichens_and_Mosses
170,NULL,Water,Non_Water,Water,Water
171,NULL,Water,Non_Water,Water,Forest
172,NULL,Water,Water,Water,NULL
173,NULL,Water,Water,Water,Grassland
174,NULL,Water,Water,Water,Wetland
175,NULL,Water,Water,Water,Lichens_and_Mosses
176,NULL,Water,Water,Water,Bareland
177,NULL,Water,Water,Water,Water
178,NULL,Water,Water,Water,Forest
179,NULL,Forest,NULL,Non_Wetland,NULL
180,NULL,Forest,NULL,Non_Wetland,Grassland
181,NULL,Forest,NULL,Non_Wetland,Cropland
182,NULL,Forest,NULL,Non_Wetland,Wetland
183,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
184,NULL,Forest,NULL,Non_Wetland,Bareland
185,NULL,Forest,NULL,Non_Wetland,Built-up
186,NULL,Forest,NULL,Non_Wetland,Water
187,NULL,Forest,NULL,Non_Wetland,Forest
188,NULL,Forest,Non_Water,Non_Wetland,NULL
189,NULL,Forest,Non_Water,Non_Wetland,Grassland
190,NULL,Forest,Non_Water,Non_Wetland,Cropland
191,NULL,Forest,Non_Water,Non_Wetland,Wetland
192,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
193,NULL,Forest,Non_Water,Non_Wetland,Bareland
194,NULL,Forest,Non_Water,Non_Wetland,Built-up
195,NULL,Forest,Non_Water,Non_Wetland,Water
196,NULL,Forest,Non_Water,Non_Wetland,Forest
197,NULL,Forest,Water,Non_Wetland,NULL
198,NULL,Forest,Water,Non_Wetland,Grassland
199,NULL,Forest,Water,Non_Wetland,Cropland
200,NULL,Forest,Water,Non_Wetland,Wetland
201,NULL,Forest,Water,Non_Wetland,Bareland
202,NULL,Forest,Water,Non_Wetland,Water
203,NULL,Forest,Water,Non_Wetland,Forest
204,Cropland,NULL,NULL,Non_Wetland,NULL
205,Cropland,NULL,NULL,Non_Wetland,Grassland
206,Cropland,NULL,NULL,Non_Wetland,Cropland
207,Cropland,NULL,NULL,Non_Wetland,Wetland
208,Cropland,NULL,NULL,Non_Wetland,Forest
209,Cropland,Shrubland,NULL,Non_Wetland,Grassland
210,Cropland,Shrubland,NULL,Non_Wetland,Cropland
211,Cropland,Shrubland,NULL,Non_Wetland,Wetland
212,Cropland,Shrubland,NULL,Non_Wetland,Forest
213,Cropland,Grassland,NULL,Non_Wetland,Grassland
214,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
215,Cropland,Grassland,NULL,Non_Wetland,Built-up
216,Cropland,Cropland,NULL,Non_Wetland,Grassland
217,Cropland,Cropland,NULL,Non_Wetland,Cropland
218,Cropland,Cropland,NULL,Non_Wetland,Wetland
219,Cropland,Cropland,NULL,Non_Wetland,Built-up
220,Cropland,Cropland,NULL,Non_Wetland,Forest
221,Cropland,Wetland,NULL,Wetland,NULL
222,Cropland,Wetland,NULL,Wetland,Grassland
223,Cropland,Wetland,NULL,Wetland,Wetland
224,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
225,Cropland,Wetland,NULL,Wetland,Forest
226,Cropland,Wetland,Non_Water,Wetland,Wetland
227,Cropland,Bareland,NULL,Non_Wetland,NULL
228,Cropland,Bareland,NULL,Non_Wetland,Grassland
229,Cropland,Bareland,NULL,Non_Wetland,Cropland
230,Cropland,Bareland,NULL,Non_Wetland,Wetland
231,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
232,Cropland,Bareland,NULL,Non_Wetland,Bareland
233,Cropland,Bareland,NULL,Non_Wetland,Forest
234,Cropland,Built-up,NULL,Non_Wetland,Grassland
235,Cropland,Built-up,NULL,Non_Wetland,Cropland
236,Cropland,Built-up,NULL,Non_Wetland,Wetland
237,Cropland,Built-up,NULL,Non_Wetland,Bareland
238,Cropland,Built-up,NULL,Non_Wetland,Built-up
239,Cropland,Built-up,NULL,Non_Wetland,Forest
240,Cropland,Forest,NULL,Non_Wetland,NULL
241,Cropland,Forest,NULL,Non_Wetland,Grassland
242,Cropland,Forest,NULL,Non_Wetland,Cropland
243,Cropland,Forest,NULL,Non_Wetland,Wetland
244,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
245,Cropland,Forest,NULL,Non_Wetland,Forest
246,Cropland,Forest,Non_Water,Non_Wetland,Wetland
247,Wetland,NULL,NULL,Non_Wetland,NULL
248,Wetland,NULL,NULL,Non_Wetland,Grassland
249,Wetland,NULL,NULL,Non_Wetland,Cropland
250,Wetland,NULL,NULL,Non_Wetland,Wetland
251,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
252,Wetland,NULL,NULL,Non_Wetland,Bareland
253,Wetland,NULL,NULL,Non_Wetland,Water
254,Wetland,NULL,NULL,Non_Wetland,Forest
255,Wetland,NULL,Non_Water,Non_Wetland,Grassland
256,Wetland,NULL,Non_Water,Non_Wetland,Cropland
257,Wetland,NULL,Non_Water,Non_Wetland,Wetland
258,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
259,Wetland,NULL,Non_Water,Non_Wetland,Water
260,Wetland,NULL,Non_Water,Non_Wetland,Forest
261,Wetland,NULL,Water,Non_Wetland,Grassland
262,Wetland,NULL,Water,Non_Wetland,Cropland
