Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VUK_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VUK_M_R,SIBERIA_2024_GSW_Yearly_2021_45VUK_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VUK_M_R,SIBERIA_2024_WorldCover_2021_45VUK_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Water
20,NULL,Shrubland,NULL,Non_Wetland,Forest
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,Non_Water,Non_Wetland,Water
25,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,Shrubland,Water,Non_Wetland,Water
29,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,Grassland,NULL,Non_Wetland,Wetland
33,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
34,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,Grassland,NULL,Non_Wetland,Forest
36,NULL,Grassland,Non_Water,Non_Wetland,Forest
37,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
39,NULL,Grassland,Water,Non_Wetland,Forest
40,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,Cropland,NULL,Non_Wetland,Wetland
42,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
43,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,Cropland,Non_Water,Non_Wetland,Forest
45,NULL,Cropland,Water,Non_Wetland,Forest
46,NULL,Wetland,NULL,Wetland,NULL
47,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,Wetland,NULL,Wetland,Wetland
49,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
50,NULL,Wetland,NULL,Wetland,Water
51,NULL,Wetland,NULL,Wetland,Forest
52,NULL,Wetland,Non_Water,Wetland,NULL
53,NULL,Wetland,Non_Water,Wetland,Grassland
54,NULL,Wetland,Non_Water,Wetland,Wetland
55,NULL,Wetland,Non_Water,Wetland,Bareland
56,NULL,Wetland,Non_Water,Wetland,Water
57,NULL,Wetland,Non_Water,Wetland,Forest
58,NULL,Wetland,Water,Wetland,NULL
59,NULL,Wetland,Water,Wetland,Grassland
60,NULL,Wetland,Water,Wetland,Wetland
61,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
62,NULL,Wetland,Water,Wetland,Water
63,NULL,Wetland,Water,Wetland,Forest
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
70,NULL,Bareland,NULL,Non_Wetland,NULL
71,NULL,Bareland,NULL,Non_Wetland,Grassland
72,NULL,Bareland,NULL,Non_Wetland,Wetland
73,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
74,NULL,Bareland,NULL,Non_Wetland,Bareland
75,NULL,Bareland,NULL,Non_Wetland,Built-up
76,NULL,Bareland,NULL,Non_Wetland,Water
77,NULL,Bareland,NULL,Non_Wetland,Forest
78,NULL,Bareland,Non_Water,Non_Wetland,NULL
79,NULL,Bareland,Non_Water,Non_Wetland,Grassland
80,NULL,Bareland,Non_Water,Non_Wetland,Wetland
81,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
82,NULL,Bareland,Non_Water,Non_Wetland,Bareland
83,NULL,Bareland,Non_Water,Non_Wetland,Water
84,NULL,Bareland,Non_Water,Non_Wetland,Forest
85,NULL,Bareland,Water,Non_Wetland,Grassland
86,NULL,Bareland,Water,Non_Wetland,Wetland
87,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
88,NULL,Bareland,Water,Non_Wetland,Bareland
89,NULL,Bareland,Water,Non_Wetland,Water
90,NULL,Bareland,Water,Non_Wetland,Forest
91,NULL,Built-up,NULL,Non_Wetland,NULL
92,NULL,Built-up,NULL,Non_Wetland,Grassland
93,NULL,Built-up,NULL,Non_Wetland,Wetland
94,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
95,NULL,Built-up,NULL,Non_Wetland,Bareland
96,NULL,Built-up,NULL,Non_Wetland,Built-up
97,NULL,Built-up,NULL,Non_Wetland,Water
98,NULL,Built-up,NULL,Non_Wetland,Forest
99,NULL,Built-up,Non_Water,Non_Wetland,Grassland
100,NULL,Built-up,Non_Water,Non_Wetland,Wetland
101,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
102,NULL,Built-up,Non_Water,Non_Wetland,Forest
103,NULL,Built-up,Water,Non_Wetland,Wetland
104,NULL,Built-up,Water,Non_Wetland,Forest
105,NULL,Water,NULL,Water,Grassland
106,NULL,Water,NULL,Water,Wetland
107,NULL,Water,NULL,Water,Lichens_and_Mosses
108,NULL,Water,NULL,Water,Water
109,NULL,Water,NULL,Water,Forest
110,NULL,Water,Non_Water,Water,Grassland
111,NULL,Water,Non_Water,Water,Wetland
112,NULL,Water,Non_Water,Water,Water
113,NULL,Water,Non_Water,Water,Forest
114,NULL,Water,Water,Water,Grassland
115,NULL,Water,Water,Water,Wetland
116,NULL,Water,Water,Water,Lichens_and_Mosses
117,NULL,Water,Water,Water,Water
118,NULL,Water,Water,Water,Forest
119,NULL,Forest,NULL,Non_Wetland,NULL
120,NULL,Forest,NULL,Non_Wetland,Grassland
121,NULL,Forest,NULL,Non_Wetland,Wetland
122,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
123,NULL,Forest,NULL,Non_Wetland,Water
124,NULL,Forest,NULL,Non_Wetland,Forest
125,NULL,Forest,Non_Water,Non_Wetland,NULL
126,NULL,Forest,Non_Water,Non_Wetland,Grassland
127,NULL,Forest,Non_Water,Non_Wetland,Wetland
128,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
129,NULL,Forest,Non_Water,Non_Wetland,Water
130,NULL,Forest,Non_Water,Non_Wetland,Forest
131,NULL,Forest,Water,Non_Wetland,NULL
132,NULL,Forest,Water,Non_Wetland,Grassland
133,NULL,Forest,Water,Non_Wetland,Wetland
134,NULL,Forest,Water,Non_Wetland,Water
135,NULL,Forest,Water,Non_Wetland,Forest
136,Cropland,NULL,NULL,Non_Wetland,NULL
137,Cropland,NULL,NULL,Non_Wetland,Grassland
138,Cropland,NULL,NULL,Non_Wetland,Wetland
139,Cropland,NULL,NULL,Non_Wetland,Forest
140,Cropland,Shrubland,NULL,Non_Wetland,NULL
141,Cropland,Shrubland,NULL,Non_Wetland,Grassland
142,Cropland,Shrubland,NULL,Non_Wetland,Wetland
143,Cropland,Shrubland,NULL,Non_Wetland,Forest
144,Cropland,Wetland,NULL,Wetland,NULL
145,Cropland,Wetland,NULL,Wetland,Grassland
146,Cropland,Wetland,NULL,Wetland,Wetland
147,Cropland,Wetland,NULL,Wetland,Forest
148,Cropland,Wetland,Non_Water,Wetland,Grassland
149,Cropland,Wetland,Non_Water,Wetland,Wetland
150,Cropland,Wetland,Non_Water,Wetland,Forest
151,Cropland,Wetland,Water,Wetland,Forest
152,Cropland,Bareland,NULL,Non_Wetland,NULL
153,Cropland,Bareland,NULL,Non_Wetland,Grassland
154,Cropland,Bareland,NULL,Non_Wetland,Wetland
155,Cropland,Bareland,NULL,Non_Wetland,Forest
156,Cropland,Bareland,Non_Water,Non_Wetland,Forest
157,Cropland,Built-up,NULL,Non_Wetland,Forest
158,Cropland,Forest,NULL,Non_Wetland,NULL
159,Cropland,Forest,NULL,Non_Wetland,Grassland
160,Cropland,Forest,NULL,Non_Wetland,Wetland
161,Cropland,Forest,NULL,Non_Wetland,Forest
162,Cropland,Forest,Non_Water,Non_Wetland,Forest
163,Wetland,NULL,NULL,Non_Wetland,NULL
164,Wetland,NULL,NULL,Non_Wetland,Grassland
165,Wetland,NULL,NULL,Non_Wetland,Wetland
166,Wetland,NULL,NULL,Non_Wetland,Water
167,Wetland,NULL,NULL,Non_Wetland,Forest
168,Wetland,NULL,Non_Water,Non_Wetland,Grassland
169,Wetland,NULL,Non_Water,Non_Wetland,Wetland
170,Wetland,NULL,Non_Water,Non_Wetland,Water
171,Wetland,NULL,Non_Water,Non_Wetland,Forest
172,Wetland,NULL,Water,Non_Wetland,Grassland
173,Wetland,NULL,Water,Non_Wetland,Wetland
174,Wetland,NULL,Water,Non_Wetland,Water
175,Wetland,NULL,Water,Non_Wetland,Forest
176,Wetland,Shrubland,NULL,Non_Wetland,NULL
177,Wetland,Shrubland,NULL,Non_Wetland,Grassland
178,Wetland,Shrubland,NULL,Non_Wetland,Wetland
179,Wetland,Shrubland,NULL,Non_Wetland,Water
180,Wetland,Shrubland,NULL,Non_Wetland,Forest
181,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
182,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
183,Wetland,Shrubland,Non_Water,Non_Wetland,Water
184,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
185,Wetland,Shrubland,Water,Non_Wetland,Grassland
186,Wetland,Shrubland,Water,Non_Wetland,Wetland
187,Wetland,Shrubland,Water,Non_Wetland,Water
188,Wetland,Shrubland,Water,Non_Wetland,Forest
189,Wetland,Grassland,NULL,Non_Wetland,Grassland
190,Wetland,Grassland,NULL,Non_Wetland,Wetland
191,Wetland,Grassland,NULL,Non_Wetland,Forest
192,Wetland,Grassland,Water,Non_Wetland,Grassland
193,Wetland,Grassland,Water,Non_Wetland,Forest
194,Wetland,Cropland,NULL,Non_Wetland,Grassland
195,Wetland,Cropland,NULL,Non_Wetland,Forest
196,Wetland,Wetland,NULL,Wetland,NULL
197,Wetland,Wetland,NULL,Wetland,Grassland
198,Wetland,Wetland,NULL,Wetland,Wetland
199,Wetland,Wetland,NULL,Wetland,Bareland
200,Wetland,Wetland,NULL,Wetland,Water
201,Wetland,Wetland,NULL,Wetland,Forest
202,Wetland,Wetland,Non_Water,Wetland,NULL
203,Wetland,Wetland,Non_Water,Wetland,Grassland
204,Wetland,Wetland,Non_Water,Wetland,Wetland
205,Wetland,Wetland,Non_Water,Wetland,Water
206,Wetland,Wetland,Non_Water,Wetland,Forest
207,Wetland,Wetland,Water,Wetland,NULL
208,Wetland,Wetland,Water,Wetland,Grassland
209,Wetland,Wetland,Water,Wetland,Wetland
210,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
211,Wetland,Wetland,Water,Wetland,Water
212,Wetland,Wetland,Water,Wetland,Forest
213,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
214,Wetland,Bareland,NULL,Non_Wetland,NULL
215,Wetland,Bareland,NULL,Non_Wetland,Grassland
216,Wetland,Bareland,NULL,Non_Wetland,Wetland
217,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
218,Wetland,Bareland,NULL,Non_Wetland,Bareland
219,Wetland,Bareland,NULL,Non_Wetland,Water
220,Wetland,Bareland,NULL,Non_Wetland,Forest
221,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
222,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
223,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
224,Wetland,Bareland,Non_Water,Non_Wetland,Water
225,Wetland,Bareland,Non_Water,Non_Wetland,Forest
226,Wetland,Bareland,Water,Non_Wetland,Grassland
227,Wetland,Bareland,Water,Non_Wetland,Wetland
228,Wetland,Bareland,Water,Non_Wetland,Bareland
229,Wetland,Bareland,Water,Non_Wetland,Water
230,Wetland,Bareland,Water,Non_Wetland,Forest
231,Wetland,Built-up,NULL,Non_Wetland,Grassland
232,Wetland,Built-up,NULL,Non_Wetland,Wetland
233,Wetland,Built-up,NULL,Non_Wetland,Water
234,Wetland,Built-up,NULL,Non_Wetland,Forest
235,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
236,Wetland,Built-up,Water,Non_Wetland,Wetland
237,Wetland,Water,NULL,Water,NULL
238,Wetland,Water,NULL,Water,Grassland
239,Wetland,Water,NULL,Water,Wetland
240,Wetland,Water,NULL,Water,Water
241,Wetland,Water,NULL,Water,Forest
242,Wetland,Water,Non_Water,Water,Grassland
243,Wetland,Water,Non_Water,Water,Wetland
244,Wetland,Water,Non_Water,Water,Water
245,Wetland,Water,Non_Water,Water,Forest
246,Wetland,Water,Water,Water,NULL
247,Wetland,Water,Water,Water,Grassland
248,Wetland,Water,Water,Water,Wetland
249,Wetland,Water,Water,Water,Water
250,Wetland,Water,Water,Water,Forest
251,Wetland,Forest,NULL,Non_Wetland,NULL
252,Wetland,Forest,NULL,Non_Wetland,Grassland
253,Wetland,Forest,NULL,Non_Wetland,Wetland
254,Wetland,Forest,NULL,Non_Wetland,Water
255,Wetland,Forest,NULL,Non_Wetland,Forest
256,Wetland,Forest,Non_Water,Non_Wetland,Grassland
257,Wetland,Forest,Non_Water,Non_Wetland,Wetland
258,Wetland,Forest,Non_Water,Non_Wetland,Water
259,Wetland,Forest,Non_Water,Non_Wetland,Forest
260,Wetland,Forest,Water,Non_Wetland,Grassland
261,Wetland,Forest,Water,Non_Wetland,Wetland
262,Wetland,Forest,Water,Non_Wetland,Water
263,Wetland,Forest,Water,Non_Wetland,Forest
264,Bareland,NULL,NULL,Non_Wetland,Grassland
265,Bareland,NULL,NULL,Non_Wetland,Wetland
266,Bareland,NULL,NULL,Non_Wetland,Bareland
267,Bareland,NULL,NULL,Non_Wetland,Water
268,Bareland,NULL,NULL,Non_Wetland,Forest
