Value,SIBERIA_2024_ESA_CALU_2024_41WNS_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WNS_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WNS_M_R,SIBERIA_2024_GSW_Yearly_2021_41WNS_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WNS_M_R,SIBERIA_2024_WorldCover_2021_41WNS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
13,NULL,NULL,NULL,Water,Non_Wetland,NULL
14,NULL,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,NULL,Water,Non_Wetland,Bareland
18,NULL,NULL,NULL,Water,Non_Wetland,Water
19,NULL,NULL,NULL,Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
36,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
37,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
39,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
40,NULL,NULL,Shrubland,Water,Non_Wetland,Water
41,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
46,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Water
48,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
54,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
55,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
56,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
57,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
58,NULL,NULL,Grassland,Water,Non_Wetland,Water
59,NULL,NULL,Grassland,Water,Non_Wetland,Forest
60,NULL,NULL,Wetland,NULL,Wetland,NULL
61,NULL,NULL,Wetland,NULL,Wetland,Grassland
62,NULL,NULL,Wetland,NULL,Wetland,Wetland
63,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
64,NULL,NULL,Wetland,NULL,Wetland,Bareland
65,NULL,NULL,Wetland,NULL,Wetland,Water
66,NULL,NULL,Wetland,NULL,Wetland,Forest
67,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
68,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
69,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
70,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
71,NULL,NULL,Wetland,Non_Water,Wetland,Water
72,NULL,NULL,Wetland,Non_Water,Wetland,Forest
73,NULL,NULL,Wetland,Water,NULL,Water
74,NULL,NULL,Wetland,Water,Wetland,Grassland
75,NULL,NULL,Wetland,Water,Wetland,Wetland
76,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
77,NULL,NULL,Wetland,Water,Wetland,Bareland
78,NULL,NULL,Wetland,Water,Wetland,Water
79,NULL,NULL,Wetland,Water,Wetland,Forest
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
87,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
88,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
89,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
90,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
91,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
92,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
93,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
94,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
95,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
96,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
97,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
98,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
100,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
101,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
102,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
104,NULL,NULL,Bareland,NULL,Non_Wetland,Water
105,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
106,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
113,NULL,NULL,Bareland,Water,Non_Wetland,NULL
