Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVS_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVS_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVS_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVS_M_R,SIBERIA_2024_WorldCover_2021_42WVS_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,Cropland,NULL,Non_Wetland,Wetland
36,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
37,NULL,Cropland,NULL,Non_Wetland,Bareland
38,NULL,Cropland,NULL,Non_Wetland,Built-up
39,NULL,Cropland,NULL,Non_Wetland,Water
40,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,Cropland,Non_Water,Non_Wetland,Wetland
43,NULL,Cropland,Non_Water,Non_Wetland,Forest
44,NULL,Cropland,Water,Non_Wetland,Grassland
45,NULL,Cropland,Water,Non_Wetland,Forest
46,NULL,Wetland,NULL,Wetland,NULL
47,NULL,Wetland,NULL,Wetland,Grassland
48,NULL,Wetland,NULL,Wetland,Wetland
49,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
50,NULL,Wetland,NULL,Wetland,Bareland
51,NULL,Wetland,NULL,Wetland,Built-up
52,NULL,Wetland,NULL,Wetland,Water
53,NULL,Wetland,NULL,Wetland,Forest
54,NULL,Wetland,Non_Water,Wetland,NULL
55,NULL,Wetland,Non_Water,Wetland,Grassland
56,NULL,Wetland,Non_Water,Wetland,Wetland
57,NULL,Wetland,Non_Water,Wetland,Water
58,NULL,Wetland,Non_Water,Wetland,Forest
59,NULL,Wetland,Water,Wetland,NULL
60,NULL,Wetland,Water,Wetland,Grassland
61,NULL,Wetland,Water,Wetland,Wetland
62,NULL,Wetland,Water,Wetland,Bareland
63,NULL,Wetland,Water,Wetland,Water
64,NULL,Wetland,Water,Wetland,Forest
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
73,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
78,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
80,NULL,Bareland,NULL,Non_Wetland,NULL
81,NULL,Bareland,NULL,Non_Wetland,Grassland
82,NULL,Bareland,NULL,Non_Wetland,Wetland
83,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
84,NULL,Bareland,NULL,Non_Wetland,Bareland
85,NULL,Bareland,NULL,Non_Wetland,Built-up
86,NULL,Bareland,NULL,Non_Wetland,Water
87,NULL,Bareland,NULL,Non_Wetland,Forest
88,NULL,Bareland,Non_Water,Non_Wetland,NULL
89,NULL,Bareland,Non_Water,Non_Wetland,Grassland
90,NULL,Bareland,Non_Water,Non_Wetland,Wetland
91,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
92,NULL,Bareland,Non_Water,Non_Wetland,Built-up
93,NULL,Bareland,Non_Water,Non_Wetland,Water
94,NULL,Bareland,Non_Water,Non_Wetland,Forest
95,NULL,Bareland,Water,Non_Wetland,Grassland
96,NULL,Bareland,Water,Non_Wetland,Wetland
97,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,Water,Non_Wetland,Bareland
99,NULL,Bareland,Water,Non_Wetland,Water
100,NULL,Bareland,Water,Non_Wetland,Forest
101,NULL,Built-up,NULL,Non_Wetland,NULL
102,NULL,Built-up,NULL,Non_Wetland,Grassland
103,NULL,Built-up,NULL,Non_Wetland,Wetland
104,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
105,NULL,Built-up,NULL,Non_Wetland,Bareland
106,NULL,Built-up,NULL,Non_Wetland,Built-up
107,NULL,Built-up,NULL,Non_Wetland,Forest
108,NULL,Built-up,Non_Water,Non_Wetland,Bareland
109,NULL,Built-up,Water,Non_Wetland,Grassland
110,NULL,Water,NULL,Water,Grassland
111,NULL,Water,NULL,Water,Wetland
112,NULL,Water,NULL,Water,Lichens_and_Mosses
113,NULL,Water,NULL,Water,Water
114,NULL,Water,NULL,Water,Forest
115,NULL,Water,Non_Water,Water,Grassland
116,NULL,Water,Non_Water,Water,Wetland
117,NULL,Water,Non_Water,Water,Water
118,NULL,Water,Water,Water,NULL
119,NULL,Water,Water,Water,Grassland
120,NULL,Water,Water,Water,Wetland
121,NULL,Water,Water,Water,Water
122,NULL,Water,Water,Water,Forest
123,NULL,Forest,NULL,Non_Wetland,NULL
124,NULL,Forest,NULL,Non_Wetland,Grassland
125,NULL,Forest,NULL,Non_Wetland,Wetland
126,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
127,NULL,Forest,NULL,Non_Wetland,Bareland
128,NULL,Forest,NULL,Non_Wetland,Built-up
129,NULL,Forest,NULL,Non_Wetland,Water
130,NULL,Forest,NULL,Non_Wetland,Forest
131,NULL,Forest,Non_Water,Non_Wetland,NULL
132,NULL,Forest,Non_Water,Non_Wetland,Grassland
133,NULL,Forest,Non_Water,Non_Wetland,Wetland
134,NULL,Forest,Non_Water,Non_Wetland,Water
135,NULL,Forest,Non_Water,Non_Wetland,Forest
136,NULL,Forest,Water,Non_Wetland,NULL
137,NULL,Forest,Water,Non_Wetland,Grassland
138,NULL,Forest,Water,Non_Wetland,Wetland
139,NULL,Forest,Water,Non_Wetland,Water
140,NULL,Forest,Water,Non_Wetland,Forest
141,Cropland,NULL,NULL,Non_Wetland,Grassland
142,Cropland,NULL,NULL,Non_Wetland,Forest
143,Cropland,Shrubland,NULL,Non_Wetland,Grassland
144,Cropland,Shrubland,NULL,Non_Wetland,Wetland
145,Cropland,Shrubland,NULL,Non_Wetland,Forest
146,Cropland,Wetland,NULL,Wetland,NULL
147,Cropland,Wetland,NULL,Wetland,Grassland
148,Cropland,Wetland,NULL,Wetland,Wetland
149,Cropland,Wetland,NULL,Wetland,Forest
150,Cropland,Bareland,NULL,Non_Wetland,Grassland
151,Cropland,Bareland,NULL,Non_Wetland,Wetland
152,Cropland,Bareland,NULL,Non_Wetland,Bareland
153,Cropland,Bareland,NULL,Non_Wetland,Forest
154,Cropland,Forest,NULL,Non_Wetland,NULL
155,Cropland,Forest,NULL,Non_Wetland,Grassland
156,Cropland,Forest,NULL,Non_Wetland,Wetland
157,Cropland,Forest,NULL,Non_Wetland,Forest
158,Wetland,NULL,NULL,Non_Wetland,NULL
159,Wetland,NULL,NULL,Non_Wetland,Grassland
160,Wetland,NULL,NULL,Non_Wetland,Wetland
161,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
162,Wetland,NULL,NULL,Non_Wetland,Water
163,Wetland,NULL,NULL,Non_Wetland,Forest
164,Wetland,NULL,Non_Water,Non_Wetland,Grassland
165,Wetland,NULL,Non_Water,Non_Wetland,Wetland
166,Wetland,NULL,Non_Water,Non_Wetland,Water
167,Wetland,NULL,Non_Water,Non_Wetland,Forest
168,Wetland,NULL,Water,Non_Wetland,Grassland
169,Wetland,NULL,Water,Non_Wetland,Wetland
170,Wetland,NULL,Water,Non_Wetland,Water
171,Wetland,NULL,Water,Non_Wetland,Forest
172,Wetland,Shrubland,NULL,Non_Wetland,NULL
173,Wetland,Shrubland,NULL,Non_Wetland,Grassland
174,Wetland,Shrubland,NULL,Non_Wetland,Wetland
175,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
176,Wetland,Shrubland,NULL,Non_Wetland,Water
177,Wetland,Shrubland,NULL,Non_Wetland,Forest
178,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
179,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
180,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
181,Wetland,Shrubland,Water,Non_Wetland,Grassland
182,Wetland,Shrubland,Water,Non_Wetland,Wetland
183,Wetland,Shrubland,Water,Non_Wetland,Water
184,Wetland,Shrubland,Water,Non_Wetland,Forest
185,Wetland,Grassland,NULL,Non_Wetland,Grassland
186,Wetland,Grassland,NULL,Non_Wetland,Wetland
187,Wetland,Grassland,NULL,Non_Wetland,Forest
188,Wetland,Grassland,Water,Non_Wetland,Forest
189,Wetland,Cropland,NULL,Non_Wetland,Grassland
190,Wetland,Cropland,NULL,Non_Wetland,Wetland
191,Wetland,Cropland,NULL,Non_Wetland,Forest
192,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
193,Wetland,Cropland,Non_Water,Non_Wetland,Water
194,Wetland,Cropland,Water,Non_Wetland,Wetland
195,Wetland,Cropland,Water,Non_Wetland,Water
196,Wetland,Cropland,Water,Non_Wetland,Forest
197,Wetland,Wetland,NULL,Wetland,NULL
198,Wetland,Wetland,NULL,Wetland,Grassland
199,Wetland,Wetland,NULL,Wetland,Wetland
200,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
201,Wetland,Wetland,NULL,Wetland,Water
202,Wetland,Wetland,NULL,Wetland,Forest
203,Wetland,Wetland,Non_Water,Wetland,NULL
204,Wetland,Wetland,Non_Water,Wetland,Grassland
205,Wetland,Wetland,Non_Water,Wetland,Wetland
206,Wetland,Wetland,Non_Water,Wetland,Water
207,Wetland,Wetland,Non_Water,Wetland,Forest
208,Wetland,Wetland,Water,Wetland,NULL
209,Wetland,Wetland,Water,Wetland,Grassland
210,Wetland,Wetland,Water,Wetland,Wetland
211,Wetland,Wetland,Water,Wetland,Water
212,Wetland,Wetland,Water,Wetland,Forest
213,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
214,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
215,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
216,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
217,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
218,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
219,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
220,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
221,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
222,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
223,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
224,Wetland,Bareland,NULL,Non_Wetland,NULL
225,Wetland,Bareland,NULL,Non_Wetland,Grassland
226,Wetland,Bareland,NULL,Non_Wetland,Wetland
227,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
228,Wetland,Bareland,NULL,Non_Wetland,Bareland
229,Wetland,Bareland,NULL,Non_Wetland,Water
230,Wetland,Bareland,NULL,Non_Wetland,Forest
231,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
232,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
233,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
234,Wetland,Bareland,Non_Water,Non_Wetland,Water
235,Wetland,Bareland,Non_Water,Non_Wetland,Forest
236,Wetland,Bareland,Water,Non_Wetland,Grassland
237,Wetland,Bareland,Water,Non_Wetland,Wetland
238,Wetland,Bareland,Water,Non_Wetland,Bareland
239,Wetland,Bareland,Water,Non_Wetland,Water
240,Wetland,Bareland,Water,Non_Wetland,Forest
241,Wetland,Built-up,NULL,Non_Wetland,NULL
242,Wetland,Built-up,NULL,Non_Wetland,Forest
243,Wetland,Water,NULL,Water,NULL
244,Wetland,Water,NULL,Water,Grassland
245,Wetland,Water,NULL,Water,Wetland
246,Wetland,Water,NULL,Water,Lichens_and_Mosses
247,Wetland,Water,NULL,Water,Water
248,Wetland,Water,NULL,Water,Forest
249,Wetland,Water,Non_Water,Water,Grassland
250,Wetland,Water,Non_Water,Water,Wetland
251,Wetland,Water,Non_Water,Water,Water
252,Wetland,Water,Non_Water,Water,Forest
253,Wetland,Water,Water,Water,NULL
254,Wetland,Water,Water,Water,Grassland
255,Wetland,Water,Water,Water,Wetland
256,Wetland,Water,Water,Water,Water
257,Wetland,Water,Water,Water,Forest
258,Wetland,Forest,NULL,Non_Wetland,NULL
259,Wetland,Forest,NULL,Non_Wetland,Grassland
260,Wetland,Forest,NULL,Non_Wetland,Wetland
261,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
262,Wetland,Forest,NULL,Non_Wetland,Water
263,Wetland,Forest,NULL,Non_Wetland,Forest
