Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VWQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VWQ_M_R,SIBERIA_2024_GSW_Yearly_2021_42VWQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VWQ_M_R,SIBERIA_2024_WorldCover_2021_42VWQ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Built-up
22,NULL,Shrubland,NULL,Non_Wetland,Water
23,NULL,Shrubland,NULL,Non_Wetland,Forest
24,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
27,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
28,NULL,Shrubland,Non_Water,Non_Wetland,Water
29,NULL,Shrubland,Non_Water,Non_Wetland,Forest
30,NULL,Shrubland,Water,Non_Wetland,Grassland
31,NULL,Shrubland,Water,Non_Wetland,Wetland
32,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
33,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,Grassland,NULL,Non_Wetland,Wetland
38,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
39,NULL,Grassland,NULL,Non_Wetland,Forest
40,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,Grassland,Water,Non_Wetland,Wetland
45,NULL,Grassland,Water,Non_Wetland,Forest
46,NULL,Cropland,NULL,Non_Wetland,NULL
47,NULL,Cropland,NULL,Non_Wetland,Grassland
48,NULL,Cropland,NULL,Non_Wetland,Wetland
49,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
50,NULL,Cropland,NULL,Non_Wetland,Bareland
51,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,Cropland,Non_Water,Non_Wetland,Wetland
53,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
54,NULL,Cropland,Non_Water,Non_Wetland,Forest
55,NULL,Cropland,Water,Non_Wetland,Wetland
56,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
57,NULL,Wetland,NULL,Wetland,NULL
58,NULL,Wetland,NULL,Wetland,Grassland
59,NULL,Wetland,NULL,Wetland,Wetland
60,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
61,NULL,Wetland,NULL,Wetland,Bareland
62,NULL,Wetland,NULL,Wetland,Water
63,NULL,Wetland,NULL,Wetland,Forest
64,NULL,Wetland,Non_Water,Wetland,NULL
65,NULL,Wetland,Non_Water,Wetland,Grassland
66,NULL,Wetland,Non_Water,Wetland,Wetland
67,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
68,NULL,Wetland,Non_Water,Wetland,Bareland
69,NULL,Wetland,Non_Water,Wetland,Water
70,NULL,Wetland,Non_Water,Wetland,Forest
71,NULL,Wetland,Water,Wetland,NULL
72,NULL,Wetland,Water,Wetland,Grassland
73,NULL,Wetland,Water,Wetland,Wetland
74,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
75,NULL,Wetland,Water,Wetland,Bareland
76,NULL,Wetland,Water,Wetland,Water
77,NULL,Wetland,Water,Wetland,Forest
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
80,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
86,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
87,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
88,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
89,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
90,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
91,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
92,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
93,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
94,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
95,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
96,NULL,Bareland,NULL,Non_Wetland,NULL
97,NULL,Bareland,NULL,Non_Wetland,Grassland
98,NULL,Bareland,NULL,Non_Wetland,Wetland
99,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
100,NULL,Bareland,NULL,Non_Wetland,Bareland
101,NULL,Bareland,NULL,Non_Wetland,Built-up
102,NULL,Bareland,NULL,Non_Wetland,Water
103,NULL,Bareland,NULL,Non_Wetland,Forest
104,NULL,Bareland,Non_Water,Non_Wetland,NULL
105,NULL,Bareland,Non_Water,Non_Wetland,Grassland
106,NULL,Bareland,Non_Water,Non_Wetland,Wetland
107,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
108,NULL,Bareland,Non_Water,Non_Wetland,Bareland
109,NULL,Bareland,Non_Water,Non_Wetland,Built-up
110,NULL,Bareland,Non_Water,Non_Wetland,Water
111,NULL,Bareland,Non_Water,Non_Wetland,Forest
112,NULL,Bareland,Water,Non_Wetland,Grassland
113,NULL,Bareland,Water,Non_Wetland,Wetland
114,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
115,NULL,Bareland,Water,Non_Wetland,Bareland
116,NULL,Bareland,Water,Non_Wetland,Water
117,NULL,Bareland,Water,Non_Wetland,Forest
118,NULL,Built-up,NULL,Non_Wetland,NULL
119,NULL,Built-up,NULL,Non_Wetland,Grassland
120,NULL,Built-up,NULL,Non_Wetland,Wetland
121,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
122,NULL,Built-up,NULL,Non_Wetland,Bareland
123,NULL,Built-up,NULL,Non_Wetland,Built-up
124,NULL,Built-up,NULL,Non_Wetland,Water
125,NULL,Built-up,NULL,Non_Wetland,Forest
126,NULL,Built-up,Non_Water,Non_Wetland,Grassland
127,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
128,NULL,Built-up,Non_Water,Non_Wetland,Bareland
129,NULL,Built-up,Non_Water,Non_Wetland,Built-up
130,NULL,Built-up,Non_Water,Non_Wetland,Water
131,NULL,Built-up,Non_Water,Non_Wetland,Forest
132,NULL,Built-up,Water,Non_Wetland,Grassland
133,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
134,NULL,Built-up,Water,Non_Wetland,Bareland
135,NULL,Built-up,Water,Non_Wetland,Forest
136,NULL,Water,NULL,Water,NULL
137,NULL,Water,NULL,Water,Grassland
138,NULL,Water,NULL,Water,Wetland
139,NULL,Water,NULL,Water,Lichens_and_Mosses
140,NULL,Water,NULL,Water,Bareland
141,NULL,Water,NULL,Water,Water
142,NULL,Water,NULL,Water,Forest
143,NULL,Water,Non_Water,Water,Grassland
144,NULL,Water,Non_Water,Water,Wetland
145,NULL,Water,Non_Water,Water,Lichens_and_Mosses
146,NULL,Water,Non_Water,Water,Bareland
147,NULL,Water,Non_Water,Water,Water
148,NULL,Water,Non_Water,Water,Forest
149,NULL,Water,Water,Water,NULL
150,NULL,Water,Water,Water,Grassland
151,NULL,Water,Water,Water,Wetland
152,NULL,Water,Water,Water,Lichens_and_Mosses
153,NULL,Water,Water,Water,Water
154,NULL,Water,Water,Water,Forest
155,NULL,Forest,NULL,Non_Wetland,NULL
156,NULL,Forest,NULL,Non_Wetland,Grassland
157,NULL,Forest,NULL,Non_Wetland,Wetland
158,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
159,NULL,Forest,NULL,Non_Wetland,Bareland
160,NULL,Forest,NULL,Non_Wetland,Water
161,NULL,Forest,NULL,Non_Wetland,Forest
162,NULL,Forest,Non_Water,Non_Wetland,NULL
163,NULL,Forest,Non_Water,Non_Wetland,Grassland
164,NULL,Forest,Non_Water,Non_Wetland,Wetland
165,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
166,NULL,Forest,Non_Water,Non_Wetland,Water
167,NULL,Forest,Non_Water,Non_Wetland,Forest
168,NULL,Forest,Water,Non_Wetland,NULL
169,NULL,Forest,Water,Non_Wetland,Grassland
170,NULL,Forest,Water,Non_Wetland,Wetland
171,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
172,NULL,Forest,Water,Non_Wetland,Water
173,NULL,Forest,Water,Non_Wetland,Forest
174,Cropland,Wetland,NULL,Wetland,NULL
175,Cropland,Wetland,NULL,Wetland,Grassland
176,Cropland,Wetland,NULL,Wetland,Wetland
177,Cropland,Wetland,NULL,Wetland,Forest
178,Cropland,Wetland,Water,Wetland,Wetland
179,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
180,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
181,Cropland,Bareland,NULL,Non_Wetland,Grassland
182,Cropland,Bareland,NULL,Non_Wetland,Wetland
183,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
184,Cropland,Bareland,NULL,Non_Wetland,Forest
185,Cropland,Bareland,Non_Water,Non_Wetland,Forest
186,Cropland,Forest,NULL,Non_Wetland,Wetland
187,Cropland,Forest,NULL,Non_Wetland,Forest
188,Wetland,NULL,NULL,Non_Wetland,NULL
189,Wetland,NULL,NULL,Non_Wetland,Grassland
190,Wetland,NULL,NULL,Non_Wetland,Wetland
191,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
192,Wetland,NULL,NULL,Non_Wetland,Bareland
193,Wetland,NULL,NULL,Non_Wetland,Built-up
194,Wetland,NULL,NULL,Non_Wetland,Water
195,Wetland,NULL,NULL,Non_Wetland,Forest
196,Wetland,NULL,Non_Water,Non_Wetland,NULL
197,Wetland,NULL,Non_Water,Non_Wetland,Grassland
198,Wetland,NULL,Non_Water,Non_Wetland,Wetland
199,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
200,Wetland,NULL,Non_Water,Non_Wetland,Water
201,Wetland,NULL,Non_Water,Non_Wetland,Forest
202,Wetland,NULL,Water,Non_Wetland,NULL
203,Wetland,NULL,Water,Non_Wetland,Grassland
204,Wetland,NULL,Water,Non_Wetland,Wetland
205,Wetland,NULL,Water,Non_Wetland,Bareland
206,Wetland,NULL,Water,Non_Wetland,Water
207,Wetland,NULL,Water,Non_Wetland,Forest
208,Wetland,Shrubland,NULL,Non_Wetland,NULL
209,Wetland,Shrubland,NULL,Non_Wetland,Grassland
210,Wetland,Shrubland,NULL,Non_Wetland,Wetland
211,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
212,Wetland,Shrubland,NULL,Non_Wetland,Bareland
213,Wetland,Shrubland,NULL,Non_Wetland,Built-up
214,Wetland,Shrubland,NULL,Non_Wetland,Water
215,Wetland,Shrubland,NULL,Non_Wetland,Forest
216,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
217,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
218,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
219,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
220,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
221,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
222,Wetland,Shrubland,Non_Water,Non_Wetland,Water
223,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
224,Wetland,Shrubland,Water,Non_Wetland,NULL
225,Wetland,Shrubland,Water,Non_Wetland,Grassland
226,Wetland,Shrubland,Water,Non_Wetland,Wetland
227,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
228,Wetland,Shrubland,Water,Non_Wetland,Bareland
229,Wetland,Shrubland,Water,Non_Wetland,Built-up
230,Wetland,Shrubland,Water,Non_Wetland,Water
231,Wetland,Shrubland,Water,Non_Wetland,Forest
232,Wetland,Grassland,NULL,Non_Wetland,NULL
233,Wetland,Grassland,NULL,Non_Wetland,Grassland
234,Wetland,Grassland,NULL,Non_Wetland,Wetland
235,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
236,Wetland,Grassland,NULL,Non_Wetland,Bareland
237,Wetland,Grassland,NULL,Non_Wetland,Built-up
238,Wetland,Grassland,NULL,Non_Wetland,Water
239,Wetland,Grassland,NULL,Non_Wetland,Forest
240,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
241,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
242,Wetland,Grassland,Non_Water,Non_Wetland,Water
243,Wetland,Grassland,Non_Water,Non_Wetland,Forest
244,Wetland,Grassland,Water,Non_Wetland,Grassland
245,Wetland,Grassland,Water,Non_Wetland,Wetland
246,Wetland,Grassland,Water,Non_Wetland,Forest
247,Wetland,Cropland,NULL,Non_Wetland,NULL
248,Wetland,Cropland,NULL,Non_Wetland,Grassland
249,Wetland,Cropland,NULL,Non_Wetland,Wetland
250,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
251,Wetland,Cropland,NULL,Non_Wetland,Bareland
252,Wetland,Cropland,NULL,Non_Wetland,Forest
253,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
254,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
255,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
256,Wetland,Cropland,Non_Water,Non_Wetland,Forest
