Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VMN_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VMN_M_R,SIBERIA_2024_GSW_Yearly_2021_44VMN_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VMN_M_R,SIBERIA_2024_WorldCover_2021_44VMN_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Non_Water,Non_Wetland,NULL
5,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Water,Non_Wetland,NULL
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,Shrubland,Water,Non_Wetland,Water
27,NULL,Shrubland,Water,Non_Wetland,Forest
28,NULL,Grassland,NULL,Non_Wetland,NULL
29,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
32,NULL,Grassland,NULL,Non_Wetland,Bareland
33,NULL,Grassland,NULL,Non_Wetland,Built-up
34,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,Grassland,Non_Water,Non_Wetland,Grassland
36,NULL,Grassland,Non_Water,Non_Wetland,Wetland
37,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,Grassland,Water,Non_Wetland,Wetland
39,NULL,Grassland,Water,Non_Wetland,Forest
40,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,Cropland,NULL,Non_Wetland,Wetland
42,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
43,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,Cropland,Non_Water,Non_Wetland,Forest
45,NULL,Cropland,Water,Non_Wetland,Grassland
46,NULL,Cropland,Water,Non_Wetland,Wetland
47,NULL,Wetland,NULL,Wetland,NULL
48,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
51,NULL,Wetland,NULL,Wetland,Bareland
52,NULL,Wetland,NULL,Wetland,Built-up
53,NULL,Wetland,NULL,Wetland,Water
54,NULL,Wetland,NULL,Wetland,Forest
55,NULL,Wetland,Non_Water,Wetland,NULL
56,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
59,NULL,Wetland,Non_Water,Wetland,Water
60,NULL,Wetland,Non_Water,Wetland,Forest
61,NULL,Wetland,Water,Wetland,NULL
62,NULL,Wetland,Water,Wetland,Grassland
63,NULL,Wetland,Water,Wetland,Cropland
64,NULL,Wetland,Water,Wetland,Wetland
65,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
66,NULL,Wetland,Water,Wetland,Bareland
67,NULL,Wetland,Water,Wetland,Water
68,NULL,Wetland,Water,Wetland,Forest
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
74,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
75,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
77,NULL,Bareland,NULL,Non_Wetland,NULL
78,NULL,Bareland,NULL,Non_Wetland,Grassland
79,NULL,Bareland,NULL,Non_Wetland,Wetland
80,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
81,NULL,Bareland,NULL,Non_Wetland,Bareland
82,NULL,Bareland,NULL,Non_Wetland,Built-up
83,NULL,Bareland,NULL,Non_Wetland,Water
84,NULL,Bareland,NULL,Non_Wetland,Forest
85,NULL,Bareland,Non_Water,Non_Wetland,NULL
86,NULL,Bareland,Non_Water,Non_Wetland,Grassland
87,NULL,Bareland,Non_Water,Non_Wetland,Wetland
88,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
89,NULL,Bareland,Non_Water,Non_Wetland,Built-up
90,NULL,Bareland,Non_Water,Non_Wetland,Forest
91,NULL,Bareland,Water,Non_Wetland,Grassland
92,NULL,Bareland,Water,Non_Wetland,Wetland
93,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
94,NULL,Bareland,Water,Non_Wetland,Bareland
95,NULL,Bareland,Water,Non_Wetland,Forest
96,NULL,Built-up,NULL,Non_Wetland,NULL
97,NULL,Built-up,NULL,Non_Wetland,Grassland
98,NULL,Built-up,NULL,Non_Wetland,Wetland
99,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
100,NULL,Built-up,NULL,Non_Wetland,Bareland
101,NULL,Built-up,NULL,Non_Wetland,Built-up
102,NULL,Built-up,NULL,Non_Wetland,Forest
103,NULL,Built-up,Non_Water,Non_Wetland,Grassland
104,NULL,Built-up,Non_Water,Non_Wetland,Wetland
105,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
106,NULL,Built-up,Non_Water,Non_Wetland,Forest
107,NULL,Built-up,Water,Non_Wetland,Grassland
108,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
109,NULL,Built-up,Water,Non_Wetland,Bareland
110,NULL,Water,NULL,Water,NULL
111,NULL,Water,NULL,Water,Grassland
112,NULL,Water,NULL,Water,Wetland
113,NULL,Water,NULL,Water,Water
114,NULL,Water,NULL,Water,Forest
115,NULL,Water,Non_Water,Water,Grassland
116,NULL,Water,Non_Water,Water,Wetland
117,NULL,Water,Non_Water,Water,Forest
118,NULL,Water,Water,Water,NULL
119,NULL,Water,Water,Water,Grassland
120,NULL,Water,Water,Water,Wetland
121,NULL,Water,Water,Water,Water
122,NULL,Water,Water,Water,Forest
123,NULL,Forest,NULL,Non_Wetland,NULL
124,NULL,Forest,NULL,Non_Wetland,Grassland
125,NULL,Forest,NULL,Non_Wetland,Wetland
126,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
127,NULL,Forest,NULL,Non_Wetland,Bareland
128,NULL,Forest,NULL,Non_Wetland,Built-up
129,NULL,Forest,NULL,Non_Wetland,Water
130,NULL,Forest,NULL,Non_Wetland,Forest
131,NULL,Forest,Non_Water,Non_Wetland,NULL
132,NULL,Forest,Non_Water,Non_Wetland,Grassland
133,NULL,Forest,Non_Water,Non_Wetland,Wetland
134,NULL,Forest,Non_Water,Non_Wetland,Forest
135,NULL,Forest,Water,Non_Wetland,NULL
136,NULL,Forest,Water,Non_Wetland,Grassland
137,NULL,Forest,Water,Non_Wetland,Cropland
138,NULL,Forest,Water,Non_Wetland,Wetland
139,NULL,Forest,Water,Non_Wetland,Water
140,NULL,Forest,Water,Non_Wetland,Forest
141,Cropland,NULL,NULL,Non_Wetland,NULL
142,Cropland,NULL,NULL,Non_Wetland,Grassland
143,Cropland,NULL,NULL,Non_Wetland,Wetland
144,Cropland,NULL,NULL,Non_Wetland,Forest
145,Cropland,Shrubland,NULL,Non_Wetland,NULL
146,Cropland,Shrubland,NULL,Non_Wetland,Grassland
147,Cropland,Shrubland,NULL,Non_Wetland,Wetland
148,Cropland,Shrubland,NULL,Non_Wetland,Forest
149,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
150,Cropland,Shrubland,Water,Non_Wetland,Wetland
151,Cropland,Grassland,NULL,Non_Wetland,NULL
152,Cropland,Grassland,NULL,Non_Wetland,Grassland
153,Cropland,Grassland,NULL,Non_Wetland,Wetland
154,Cropland,Grassland,NULL,Non_Wetland,Forest
155,Cropland,Grassland,Water,Non_Wetland,Wetland
156,Cropland,Wetland,NULL,Wetland,NULL
157,Cropland,Wetland,NULL,Wetland,Grassland
158,Cropland,Wetland,NULL,Wetland,Wetland
159,Cropland,Wetland,NULL,Wetland,Forest
160,Cropland,Wetland,Non_Water,Wetland,Wetland
161,Cropland,Wetland,Non_Water,Wetland,Forest
162,Cropland,Wetland,Water,Wetland,Wetland
163,Cropland,Bareland,NULL,Non_Wetland,NULL
164,Cropland,Bareland,NULL,Non_Wetland,Grassland
165,Cropland,Bareland,NULL,Non_Wetland,Wetland
166,Cropland,Bareland,NULL,Non_Wetland,Built-up
167,Cropland,Bareland,NULL,Non_Wetland,Forest
168,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
169,Cropland,Bareland,Water,Non_Wetland,Wetland
170,Cropland,Built-up,NULL,Non_Wetland,Built-up
171,Cropland,Forest,NULL,Non_Wetland,NULL
172,Cropland,Forest,NULL,Non_Wetland,Grassland
173,Cropland,Forest,NULL,Non_Wetland,Wetland
174,Cropland,Forest,NULL,Non_Wetland,Forest
175,Cropland,Forest,Non_Water,Non_Wetland,Wetland
176,Cropland,Forest,Water,Non_Wetland,Wetland
177,Wetland,NULL,NULL,Non_Wetland,NULL
178,Wetland,NULL,NULL,Non_Wetland,Grassland
179,Wetland,NULL,NULL,Non_Wetland,Wetland
180,Wetland,NULL,NULL,Non_Wetland,Bareland
181,Wetland,NULL,NULL,Non_Wetland,Water
182,Wetland,NULL,NULL,Non_Wetland,Forest
183,Wetland,NULL,Non_Water,Non_Wetland,NULL
184,Wetland,NULL,Non_Water,Non_Wetland,Grassland
185,Wetland,NULL,Non_Water,Non_Wetland,Wetland
186,Wetland,NULL,Non_Water,Non_Wetland,Water
187,Wetland,NULL,Non_Water,Non_Wetland,Forest
188,Wetland,NULL,Water,Non_Wetland,Grassland
189,Wetland,NULL,Water,Non_Wetland,Wetland
190,Wetland,NULL,Water,Non_Wetland,Water
191,Wetland,NULL,Water,Non_Wetland,Forest
192,Wetland,Shrubland,NULL,Non_Wetland,NULL
193,Wetland,Shrubland,NULL,Non_Wetland,Grassland
194,Wetland,Shrubland,NULL,Non_Wetland,Cropland
195,Wetland,Shrubland,NULL,Non_Wetland,Wetland
196,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
197,Wetland,Shrubland,NULL,Non_Wetland,Bareland
198,Wetland,Shrubland,NULL,Non_Wetland,Built-up
199,Wetland,Shrubland,NULL,Non_Wetland,Water
200,Wetland,Shrubland,NULL,Non_Wetland,Forest
201,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
202,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
203,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
204,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
205,Wetland,Shrubland,Non_Water,Non_Wetland,Water
206,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
207,Wetland,Shrubland,Water,Non_Wetland,NULL
208,Wetland,Shrubland,Water,Non_Wetland,Grassland
209,Wetland,Shrubland,Water,Non_Wetland,Wetland
210,Wetland,Shrubland,Water,Non_Wetland,Bareland
211,Wetland,Shrubland,Water,Non_Wetland,Water
212,Wetland,Shrubland,Water,Non_Wetland,Forest
213,Wetland,Grassland,NULL,Non_Wetland,NULL
214,Wetland,Grassland,NULL,Non_Wetland,Grassland
215,Wetland,Grassland,NULL,Non_Wetland,Wetland
216,Wetland,Grassland,NULL,Non_Wetland,Bareland
217,Wetland,Grassland,NULL,Non_Wetland,Built-up
218,Wetland,Grassland,NULL,Non_Wetland,Water
219,Wetland,Grassland,NULL,Non_Wetland,Forest
220,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
221,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
222,Wetland,Grassland,Non_Water,Non_Wetland,Forest
223,Wetland,Grassland,Water,Non_Wetland,Grassland
224,Wetland,Grassland,Water,Non_Wetland,Wetland
225,Wetland,Grassland,Water,Non_Wetland,Water
226,Wetland,Grassland,Water,Non_Wetland,Forest
227,Wetland,Cropland,NULL,Non_Wetland,NULL
228,Wetland,Cropland,NULL,Non_Wetland,Grassland
229,Wetland,Cropland,NULL,Non_Wetland,Wetland
230,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
231,Wetland,Cropland,NULL,Non_Wetland,Forest
232,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
233,Wetland,Cropland,Non_Water,Non_Wetland,Forest
234,Wetland,Cropland,Water,Non_Wetland,Grassland
235,Wetland,Cropland,Water,Non_Wetland,Wetland
236,Wetland,Cropland,Water,Non_Wetland,Bareland
237,Wetland,Cropland,Water,Non_Wetland,Forest
238,Wetland,Wetland,NULL,Wetland,NULL
239,Wetland,Wetland,NULL,Wetland,Grassland
240,Wetland,Wetland,NULL,Wetland,Cropland
241,Wetland,Wetland,NULL,Wetland,Wetland
242,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
243,Wetland,Wetland,NULL,Wetland,Bareland
244,Wetland,Wetland,NULL,Wetland,Built-up
245,Wetland,Wetland,NULL,Wetland,Water
246,Wetland,Wetland,NULL,Wetland,Forest
247,Wetland,Wetland,Non_Water,Wetland,NULL
248,Wetland,Wetland,Non_Water,Wetland,Grassland
249,Wetland,Wetland,Non_Water,Wetland,Cropland
250,Wetland,Wetland,Non_Water,Wetland,Wetland
251,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
252,Wetland,Wetland,Non_Water,Wetland,Bareland
253,Wetland,Wetland,Non_Water,Wetland,Built-up
254,Wetland,Wetland,Non_Water,Wetland,Water
255,Wetland,Wetland,Non_Water,Wetland,Forest
256,Wetland,Wetland,Water,Wetland,NULL
257,Wetland,Wetland,Water,Wetland,Grassland
258,Wetland,Wetland,Water,Wetland,Cropland
259,Wetland,Wetland,Water,Wetland,Wetland
260,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
261,Wetland,Wetland,Water,Wetland,Bareland
262,Wetland,Wetland,Water,Wetland,Water
263,Wetland,Wetland,Water,Wetland,Forest
264,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
