Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WEM_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WEM_M_R,SIBERIA_2024_GSW_Yearly_2021_43WEM_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WEM_M_R,SIBERIA_2024_WorldCover_2021_43WEM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
15,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,Non_Water,Non_Wetland,Water
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,Shrubland,Water,Non_Wetland,Wetland
26,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
27,NULL,Shrubland,Water,Non_Wetland,Bareland
28,NULL,Shrubland,Water,Non_Wetland,Water
29,NULL,Shrubland,Water,Non_Wetland,Forest
30,NULL,Grassland,NULL,Non_Wetland,NULL
31,NULL,Grassland,NULL,Non_Wetland,Grassland
32,NULL,Grassland,NULL,Non_Wetland,Wetland
33,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
34,NULL,Grassland,NULL,Non_Wetland,Bareland
35,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,Grassland,Non_Water,Non_Wetland,Wetland
39,NULL,Grassland,Non_Water,Non_Wetland,Water
40,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,Grassland,Water,Non_Wetland,Grassland
42,NULL,Grassland,Water,Non_Wetland,Wetland
43,NULL,Grassland,Water,Non_Wetland,Water
44,NULL,Grassland,Water,Non_Wetland,Forest
45,NULL,Cropland,NULL,Non_Wetland,Wetland
46,NULL,Cropland,NULL,Non_Wetland,Forest
47,NULL,Wetland,NULL,Wetland,NULL
48,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
51,NULL,Wetland,NULL,Wetland,Bareland
52,NULL,Wetland,NULL,Wetland,Built-up
53,NULL,Wetland,NULL,Wetland,Water
54,NULL,Wetland,NULL,Wetland,Forest
55,NULL,Wetland,Non_Water,Wetland,NULL
56,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
59,NULL,Wetland,Non_Water,Wetland,Bareland
60,NULL,Wetland,Non_Water,Wetland,Water
61,NULL,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
62,NULL,Wetland,Non_Water,Wetland,Forest
63,NULL,Wetland,Water,Wetland,Grassland
64,NULL,Wetland,Water,Wetland,Wetland
65,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
66,NULL,Wetland,Water,Wetland,Bareland
67,NULL,Wetland,Water,Wetland,Water
68,NULL,Wetland,Water,Wetland,Forest
69,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
70,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
71,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
75,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
76,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
77,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
78,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
79,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
80,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
81,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
85,NULL,Bareland,NULL,Non_Wetland,NULL
86,NULL,Bareland,NULL,Non_Wetland,Grassland
87,NULL,Bareland,NULL,Non_Wetland,Cropland
88,NULL,Bareland,NULL,Non_Wetland,Wetland
89,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
90,NULL,Bareland,NULL,Non_Wetland,Bareland
91,NULL,Bareland,NULL,Non_Wetland,Built-up
92,NULL,Bareland,NULL,Non_Wetland,Water
93,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
94,NULL,Bareland,NULL,Non_Wetland,Forest
95,NULL,Bareland,Non_Water,Non_Wetland,Grassland
96,NULL,Bareland,Non_Water,Non_Wetland,Wetland
97,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
98,NULL,Bareland,Non_Water,Non_Wetland,Bareland
99,NULL,Bareland,Non_Water,Non_Wetland,Built-up
100,NULL,Bareland,Non_Water,Non_Wetland,Water
101,NULL,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
102,NULL,Bareland,Non_Water,Non_Wetland,Forest
103,NULL,Bareland,Water,Non_Wetland,Grassland
104,NULL,Bareland,Water,Non_Wetland,Wetland
105,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
106,NULL,Bareland,Water,Non_Wetland,Bareland
107,NULL,Bareland,Water,Non_Wetland,Built-up
108,NULL,Bareland,Water,Non_Wetland,Water
109,NULL,Bareland,Water,Non_Wetland,Forest
110,NULL,Built-up,NULL,Non_Wetland,Grassland
111,NULL,Built-up,NULL,Non_Wetland,Cropland
112,NULL,Built-up,NULL,Non_Wetland,Wetland
113,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
114,NULL,Built-up,NULL,Non_Wetland,Bareland
115,NULL,Built-up,NULL,Non_Wetland,Built-up
116,NULL,Built-up,NULL,Non_Wetland,Water
117,NULL,Built-up,NULL,Non_Wetland,Forest
118,NULL,Built-up,Non_Water,Non_Wetland,Grassland
119,NULL,Built-up,Non_Water,Non_Wetland,Wetland
120,NULL,Built-up,Non_Water,Non_Wetland,Bareland
121,NULL,Built-up,Non_Water,Non_Wetland,Built-up
122,NULL,Built-up,Non_Water,Non_Wetland,Water
123,NULL,Built-up,Non_Water,Non_Wetland,Forest
124,NULL,Built-up,Water,Non_Wetland,Grassland
125,NULL,Built-up,Water,Non_Wetland,Wetland
126,NULL,Built-up,Water,Non_Wetland,Bareland
127,NULL,Built-up,Water,Non_Wetland,Built-up
128,NULL,Built-up,Water,Non_Wetland,Water
129,NULL,Built-up,Water,Non_Wetland,Forest
130,NULL,Water,NULL,Water,Grassland
131,NULL,Water,NULL,Water,Wetland
132,NULL,Water,NULL,Water,Lichens_and_Mosses
133,NULL,Water,NULL,Water,Bareland
134,NULL,Water,NULL,Water,Water
135,NULL,Water,NULL,Water,Forest
136,NULL,Water,Non_Water,Water,Grassland
137,NULL,Water,Non_Water,Water,Wetland
138,NULL,Water,Non_Water,Water,Lichens_and_Mosses
139,NULL,Water,Non_Water,Water,Bareland
140,NULL,Water,Non_Water,Water,Water
141,NULL,Water,Non_Water,Water,Forest
142,NULL,Water,Water,Water,Grassland
143,NULL,Water,Water,Water,Wetland
144,NULL,Water,Water,Water,Lichens_and_Mosses
145,NULL,Water,Water,Water,Bareland
146,NULL,Water,Water,Water,Water
147,NULL,Water,Water,Water,Forest
148,NULL,Forest,NULL,Non_Wetland,NULL
149,NULL,Forest,NULL,Non_Wetland,Grassland
150,NULL,Forest,NULL,Non_Wetland,Wetland
151,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
152,NULL,Forest,NULL,Non_Wetland,Bareland
153,NULL,Forest,NULL,Non_Wetland,Built-up
154,NULL,Forest,NULL,Non_Wetland,Water
155,NULL,Forest,NULL,Non_Wetland,Forest
156,NULL,Forest,Non_Water,Non_Wetland,NULL
157,NULL,Forest,Non_Water,Non_Wetland,Grassland
158,NULL,Forest,Non_Water,Non_Wetland,Wetland
159,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
160,NULL,Forest,Non_Water,Non_Wetland,Bareland
161,NULL,Forest,Non_Water,Non_Wetland,Water
162,NULL,Forest,Non_Water,Non_Wetland,Forest
163,NULL,Forest,Water,Non_Wetland,Grassland
164,NULL,Forest,Water,Non_Wetland,Wetland
165,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
166,NULL,Forest,Water,Non_Wetland,Bareland
167,NULL,Forest,Water,Non_Wetland,Water
168,NULL,Forest,Water,Non_Wetland,Forest
169,Cropland,NULL,NULL,Non_Wetland,Wetland
170,Cropland,NULL,NULL,Non_Wetland,Forest
171,Cropland,Shrubland,NULL,Non_Wetland,Grassland
172,Cropland,Shrubland,NULL,Non_Wetland,Wetland
173,Cropland,Shrubland,NULL,Non_Wetland,Forest
174,Cropland,Grassland,NULL,Non_Wetland,Grassland
175,Cropland,Grassland,NULL,Non_Wetland,Forest
176,Cropland,Wetland,NULL,Wetland,NULL
177,Cropland,Wetland,NULL,Wetland,Grassland
178,Cropland,Wetland,NULL,Wetland,Wetland
179,Cropland,Wetland,NULL,Wetland,Forest
180,Cropland,Wetland,Non_Water,Wetland,Grassland
181,Cropland,Wetland,Non_Water,Wetland,Wetland
182,Cropland,Wetland,Non_Water,Wetland,Forest
183,Cropland,Bareland,NULL,Non_Wetland,Grassland
184,Cropland,Bareland,NULL,Non_Wetland,Wetland
185,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
186,Cropland,Bareland,NULL,Non_Wetland,Bareland
187,Cropland,Bareland,NULL,Non_Wetland,Built-up
188,Cropland,Bareland,NULL,Non_Wetland,Forest
189,Cropland,Bareland,Water,Non_Wetland,Wetland
190,Cropland,Built-up,NULL,Non_Wetland,Wetland
191,Cropland,Built-up,NULL,Non_Wetland,Forest
192,Cropland,Water,NULL,Water,Water
193,Cropland,Water,Non_Water,Water,Wetland
194,Cropland,Water,Water,Water,Water
195,Cropland,Forest,NULL,Non_Wetland,NULL
196,Cropland,Forest,NULL,Non_Wetland,Grassland
197,Cropland,Forest,NULL,Non_Wetland,Wetland
198,Cropland,Forest,NULL,Non_Wetland,Forest
199,Cropland,Forest,Non_Water,Non_Wetland,Grassland
200,Cropland,Forest,Non_Water,Non_Wetland,Wetland
201,Wetland,NULL,NULL,Non_Wetland,NULL
202,Wetland,NULL,NULL,Non_Wetland,Grassland
203,Wetland,NULL,NULL,Non_Wetland,Wetland
204,Wetland,NULL,NULL,Non_Wetland,Bareland
205,Wetland,NULL,NULL,Non_Wetland,Water
206,Wetland,NULL,NULL,Non_Wetland,Forest
207,Wetland,NULL,Non_Water,Non_Wetland,Grassland
208,Wetland,NULL,Non_Water,Non_Wetland,Wetland
209,Wetland,NULL,Non_Water,Non_Wetland,Water
210,Wetland,NULL,Non_Water,Non_Wetland,Forest
211,Wetland,NULL,Water,Non_Wetland,Grassland
212,Wetland,NULL,Water,Non_Wetland,Wetland
213,Wetland,NULL,Water,Non_Wetland,Water
214,Wetland,NULL,Water,Non_Wetland,Forest
215,Wetland,Shrubland,NULL,Non_Wetland,NULL
216,Wetland,Shrubland,NULL,Non_Wetland,Grassland
217,Wetland,Shrubland,NULL,Non_Wetland,Wetland
218,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
219,Wetland,Shrubland,NULL,Non_Wetland,Bareland
220,Wetland,Shrubland,NULL,Non_Wetland,Built-up
221,Wetland,Shrubland,NULL,Non_Wetland,Water
222,Wetland,Shrubland,NULL,Non_Wetland,Forest
223,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
224,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
225,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
226,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
227,Wetland,Shrubland,Non_Water,Non_Wetland,Water
228,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
229,Wetland,Shrubland,Water,Non_Wetland,Grassland
230,Wetland,Shrubland,Water,Non_Wetland,Wetland
231,Wetland,Shrubland,Water,Non_Wetland,Water
232,Wetland,Shrubland,Water,Non_Wetland,Forest
233,Wetland,Grassland,NULL,Non_Wetland,NULL
234,Wetland,Grassland,NULL,Non_Wetland,Grassland
235,Wetland,Grassland,NULL,Non_Wetland,Wetland
236,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
237,Wetland,Grassland,NULL,Non_Wetland,Bareland
238,Wetland,Grassland,NULL,Non_Wetland,Built-up
239,Wetland,Grassland,NULL,Non_Wetland,Water
240,Wetland,Grassland,NULL,Non_Wetland,Forest
241,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
242,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
243,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
244,Wetland,Grassland,Non_Water,Non_Wetland,Forest
245,Wetland,Grassland,Water,Non_Wetland,Grassland
246,Wetland,Grassland,Water,Non_Wetland,Wetland
247,Wetland,Grassland,Water,Non_Wetland,Bareland
248,Wetland,Grassland,Water,Non_Wetland,Water
249,Wetland,Grassland,Water,Non_Wetland,Forest
250,Wetland,Cropland,NULL,Non_Wetland,Grassland
251,Wetland,Cropland,NULL,Non_Wetland,Forest
252,Wetland,Wetland,NULL,Wetland,NULL
253,Wetland,Wetland,NULL,Wetland,Grassland
254,Wetland,Wetland,NULL,Wetland,Wetland
255,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
256,Wetland,Wetland,NULL,Wetland,Bareland
257,Wetland,Wetland,NULL,Wetland,Built-up
258,Wetland,Wetland,NULL,Wetland,Water
259,Wetland,Wetland,NULL,Wetland,Forest
260,Wetland,Wetland,Non_Water,Wetland,Grassland
