Value,SIBERIA_2024_ESA_CALU_2024_44XPF_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44XPF_M_R,SIBERIA_2024_GLC_FCS30D_2022_44XPF_M_R,SIBERIA_2024_GSW_Yearly_2021_44XPF_M_R,SIBERIA_2024_GWL_FCS30D_2022_44XPF_M_R,SIBERIA_2024_WorldCover_2021_44XPF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
6,NULL,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
40,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
41,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
42,NULL,NULL,Grassland,Water,Non_Wetland,Water
43,NULL,NULL,Grassland,Water,Non_Wetland,Forest
44,NULL,NULL,Wetland,NULL,Wetland,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,Wetland
46,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
47,NULL,NULL,Wetland,NULL,Wetland,Bareland
48,NULL,NULL,Wetland,NULL,Wetland,Water
49,NULL,NULL,Wetland,NULL,Wetland,Forest
50,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
51,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
52,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
53,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
54,NULL,NULL,Wetland,Non_Water,Wetland,Water
55,NULL,NULL,Wetland,Water,Wetland,Grassland
56,NULL,NULL,Wetland,Water,Wetland,Wetland
57,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
58,NULL,NULL,Wetland,Water,Wetland,Bareland
59,NULL,NULL,Wetland,Water,Wetland,Water
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
65,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
66,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
67,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
68,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
69,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
70,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
71,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
72,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
73,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
74,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
75,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
76,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
79,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Water
81,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
85,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
87,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
88,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
89,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
90,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
91,NULL,NULL,Bareland,Water,Non_Wetland,Water
92,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
93,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
95,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
96,NULL,NULL,Built-up,NULL,Non_Wetland,Water
97,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
99,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
100,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
101,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
102,NULL,NULL,Built-up,Water,Non_Wetland,Water
103,NULL,NULL,Water,NULL,Water,Grassland
104,NULL,NULL,Water,NULL,Water,Wetland
105,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
106,NULL,NULL,Water,NULL,Water,Bareland
107,NULL,NULL,Water,NULL,Water,Water
