Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VXR_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VXR_M_R,SIBERIA_2024_GSW_Yearly_2021_42VXR_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VXR_M_R,SIBERIA_2024_WorldCover_2021_42VXR_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Water
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Water
13,NULL,NULL,Water,Non_Wetland,Forest
14,NULL,Shrubland,NULL,Non_Wetland,NULL
15,NULL,Shrubland,NULL,Non_Wetland,Grassland
16,NULL,Shrubland,NULL,Non_Wetland,Wetland
17,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
18,NULL,Shrubland,NULL,Non_Wetland,Bareland
19,NULL,Shrubland,NULL,Non_Wetland,Built-up
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
25,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
26,NULL,Shrubland,Non_Water,Non_Wetland,Water
27,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,Shrubland,Water,Non_Wetland,Wetland
30,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
31,NULL,Shrubland,Water,Non_Wetland,Bareland
32,NULL,Shrubland,Water,Non_Wetland,Water
33,NULL,Shrubland,Water,Non_Wetland,Forest
34,NULL,Grassland,NULL,Non_Wetland,NULL
35,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,Grassland,NULL,Non_Wetland,Wetland
37,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Grassland,NULL,Non_Wetland,Bareland
39,NULL,Grassland,NULL,Non_Wetland,Built-up
40,NULL,Grassland,NULL,Non_Wetland,Forest
41,NULL,Grassland,Non_Water,Non_Wetland,Grassland
42,NULL,Grassland,Non_Water,Non_Wetland,Wetland
43,NULL,Grassland,Non_Water,Non_Wetland,Forest
44,NULL,Grassland,Water,Non_Wetland,Grassland
45,NULL,Cropland,NULL,Non_Wetland,NULL
46,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,Cropland,NULL,Non_Wetland,Bareland
49,NULL,Cropland,NULL,Non_Wetland,Built-up
50,NULL,Cropland,NULL,Non_Wetland,Water
51,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,Wetland,NULL,Wetland,NULL
53,NULL,Wetland,NULL,Wetland,Grassland
54,NULL,Wetland,NULL,Wetland,Wetland
55,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
56,NULL,Wetland,NULL,Wetland,Bareland
57,NULL,Wetland,NULL,Wetland,Water
58,NULL,Wetland,NULL,Wetland,Forest
59,NULL,Wetland,Non_Water,Wetland,NULL
60,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
63,NULL,Wetland,Non_Water,Wetland,Bareland
64,NULL,Wetland,Non_Water,Wetland,Water
65,NULL,Wetland,Non_Water,Wetland,Forest
66,NULL,Wetland,Water,Wetland,NULL
67,NULL,Wetland,Water,Wetland,Grassland
68,NULL,Wetland,Water,Wetland,Wetland
69,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
70,NULL,Wetland,Water,Wetland,Water
71,NULL,Wetland,Water,Wetland,Forest
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
88,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
89,NULL,Bareland,NULL,Non_Wetland,NULL
90,NULL,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Bareland,NULL,Non_Wetland,Wetland
92,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,NULL,Non_Wetland,Bareland
94,NULL,Bareland,NULL,Non_Wetland,Built-up
95,NULL,Bareland,NULL,Non_Wetland,Water
96,NULL,Bareland,NULL,Non_Wetland,Forest
97,NULL,Bareland,Non_Water,Non_Wetland,Grassland
98,NULL,Bareland,Non_Water,Non_Wetland,Wetland
99,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
100,NULL,Bareland,Non_Water,Non_Wetland,Bareland
101,NULL,Bareland,Non_Water,Non_Wetland,Water
102,NULL,Bareland,Non_Water,Non_Wetland,Forest
103,NULL,Bareland,Water,Non_Wetland,Grassland
104,NULL,Bareland,Water,Non_Wetland,Wetland
105,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
106,NULL,Bareland,Water,Non_Wetland,Bareland
107,NULL,Bareland,Water,Non_Wetland,Water
108,NULL,Bareland,Water,Non_Wetland,Forest
109,NULL,Built-up,NULL,Non_Wetland,Grassland
110,NULL,Built-up,NULL,Non_Wetland,Wetland
111,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
112,NULL,Built-up,NULL,Non_Wetland,Bareland
113,NULL,Built-up,NULL,Non_Wetland,Built-up
114,NULL,Built-up,NULL,Non_Wetland,Water
115,NULL,Built-up,NULL,Non_Wetland,Forest
116,NULL,Built-up,Non_Water,Non_Wetland,Grassland
117,NULL,Built-up,Non_Water,Non_Wetland,Wetland
118,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
119,NULL,Built-up,Non_Water,Non_Wetland,Bareland
120,NULL,Built-up,Non_Water,Non_Wetland,Forest
121,NULL,Built-up,Water,Non_Wetland,Grassland
122,NULL,Built-up,Water,Non_Wetland,Bareland
123,NULL,Built-up,Water,Non_Wetland,Forest
124,NULL,Water,NULL,Water,NULL
125,NULL,Water,NULL,Water,Grassland
126,NULL,Water,NULL,Water,Wetland
127,NULL,Water,NULL,Water,Lichens_and_Mosses
128,NULL,Water,NULL,Water,Water
129,NULL,Water,NULL,Water,Forest
130,NULL,Water,Non_Water,Water,Grassland
131,NULL,Water,Non_Water,Water,Wetland
132,NULL,Water,Non_Water,Water,Lichens_and_Mosses
133,NULL,Water,Non_Water,Water,Water
134,NULL,Water,Non_Water,Water,Forest
135,NULL,Water,Water,Water,Grassland
136,NULL,Water,Water,Water,Wetland
137,NULL,Water,Water,Water,Lichens_and_Mosses
138,NULL,Water,Water,Water,Water
139,NULL,Water,Water,Water,Forest
140,NULL,Forest,NULL,Non_Wetland,NULL
141,NULL,Forest,NULL,Non_Wetland,Grassland
142,NULL,Forest,NULL,Non_Wetland,Wetland
143,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
144,NULL,Forest,NULL,Non_Wetland,Bareland
145,NULL,Forest,NULL,Non_Wetland,Built-up
146,NULL,Forest,NULL,Non_Wetland,Water
147,NULL,Forest,NULL,Non_Wetland,Forest
148,NULL,Forest,Non_Water,Non_Wetland,NULL
149,NULL,Forest,Non_Water,Non_Wetland,Grassland
150,NULL,Forest,Non_Water,Non_Wetland,Wetland
151,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
152,NULL,Forest,Non_Water,Non_Wetland,Water
153,NULL,Forest,Non_Water,Non_Wetland,Forest
154,NULL,Forest,Water,Non_Wetland,NULL
155,NULL,Forest,Water,Non_Wetland,Grassland
156,NULL,Forest,Water,Non_Wetland,Wetland
157,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
158,NULL,Forest,Water,Non_Wetland,Water
159,NULL,Forest,Water,Non_Wetland,Forest
160,Cropland,NULL,NULL,Non_Wetland,Grassland
161,Cropland,NULL,NULL,Non_Wetland,Wetland
162,Cropland,Shrubland,NULL,Non_Wetland,Grassland
163,Cropland,Shrubland,NULL,Non_Wetland,Wetland
164,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
165,Cropland,Shrubland,NULL,Non_Wetland,Forest
166,Cropland,Grassland,NULL,Non_Wetland,NULL
167,Cropland,Grassland,NULL,Non_Wetland,Grassland
168,Cropland,Grassland,NULL,Non_Wetland,Wetland
169,Cropland,Grassland,NULL,Non_Wetland,Forest
170,Cropland,Cropland,NULL,Non_Wetland,Forest
171,Cropland,Wetland,NULL,Wetland,NULL
172,Cropland,Wetland,NULL,Wetland,Grassland
173,Cropland,Wetland,NULL,Wetland,Wetland
174,Cropland,Wetland,NULL,Wetland,Bareland
175,Cropland,Wetland,NULL,Wetland,Forest
176,Cropland,Wetland,Non_Water,Wetland,Grassland
177,Cropland,Wetland,Water,Wetland,Wetland
178,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
179,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
180,Cropland,Bareland,NULL,Non_Wetland,NULL
181,Cropland,Bareland,NULL,Non_Wetland,Grassland
182,Cropland,Bareland,NULL,Non_Wetland,Wetland
183,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
184,Cropland,Bareland,NULL,Non_Wetland,Bareland
185,Cropland,Bareland,NULL,Non_Wetland,Built-up
186,Cropland,Bareland,NULL,Non_Wetland,Forest
187,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
188,Cropland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
189,Cropland,Bareland,Non_Water,Non_Wetland,Forest
190,Cropland,Built-up,NULL,Non_Wetland,Grassland
191,Cropland,Built-up,NULL,Non_Wetland,Wetland
192,Cropland,Built-up,NULL,Non_Wetland,Forest
193,Cropland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
194,Cropland,Forest,NULL,Non_Wetland,NULL
195,Cropland,Forest,NULL,Non_Wetland,Grassland
196,Cropland,Forest,NULL,Non_Wetland,Wetland
197,Cropland,Forest,NULL,Non_Wetland,Bareland
198,Cropland,Forest,NULL,Non_Wetland,Forest
199,Cropland,Forest,Water,Non_Wetland,Forest
200,Wetland,NULL,NULL,Non_Wetland,NULL
201,Wetland,NULL,NULL,Non_Wetland,Grassland
202,Wetland,NULL,NULL,Non_Wetland,Wetland
203,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
204,Wetland,NULL,NULL,Non_Wetland,Water
205,Wetland,NULL,NULL,Non_Wetland,Forest
206,Wetland,NULL,Non_Water,Non_Wetland,Grassland
207,Wetland,NULL,Non_Water,Non_Wetland,Wetland
208,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
209,Wetland,NULL,Non_Water,Non_Wetland,Water
210,Wetland,NULL,Non_Water,Non_Wetland,Forest
211,Wetland,NULL,Water,Non_Wetland,NULL
212,Wetland,NULL,Water,Non_Wetland,Grassland
213,Wetland,NULL,Water,Non_Wetland,Wetland
214,Wetland,NULL,Water,Non_Wetland,Water
215,Wetland,NULL,Water,Non_Wetland,Forest
216,Wetland,Shrubland,NULL,Non_Wetland,NULL
217,Wetland,Shrubland,NULL,Non_Wetland,Grassland
218,Wetland,Shrubland,NULL,Non_Wetland,Wetland
219,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
220,Wetland,Shrubland,NULL,Non_Wetland,Bareland
221,Wetland,Shrubland,NULL,Non_Wetland,Built-up
222,Wetland,Shrubland,NULL,Non_Wetland,Water
223,Wetland,Shrubland,NULL,Non_Wetland,Forest
224,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
225,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
226,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
227,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
228,Wetland,Shrubland,Non_Water,Non_Wetland,Water
229,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
230,Wetland,Shrubland,Water,Non_Wetland,Grassland
231,Wetland,Shrubland,Water,Non_Wetland,Wetland
232,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
233,Wetland,Shrubland,Water,Non_Wetland,Bareland
234,Wetland,Shrubland,Water,Non_Wetland,Water
235,Wetland,Shrubland,Water,Non_Wetland,Forest
236,Wetland,Grassland,NULL,Non_Wetland,NULL
237,Wetland,Grassland,NULL,Non_Wetland,Grassland
238,Wetland,Grassland,NULL,Non_Wetland,Wetland
239,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
240,Wetland,Grassland,NULL,Non_Wetland,Bareland
241,Wetland,Grassland,NULL,Non_Wetland,Water
242,Wetland,Grassland,NULL,Non_Wetland,Forest
243,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
244,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
245,Wetland,Grassland,Non_Water,Non_Wetland,Water
246,Wetland,Grassland,Non_Water,Non_Wetland,Forest
247,Wetland,Grassland,Water,Non_Wetland,Grassland
248,Wetland,Grassland,Water,Non_Wetland,Wetland
249,Wetland,Grassland,Water,Non_Wetland,Water
250,Wetland,Grassland,Water,Non_Wetland,Forest
251,Wetland,Cropland,NULL,Non_Wetland,Grassland
252,Wetland,Cropland,NULL,Non_Wetland,Wetland
253,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
254,Wetland,Cropland,NULL,Non_Wetland,Bareland
255,Wetland,Cropland,NULL,Non_Wetland,Built-up
256,Wetland,Cropland,NULL,Non_Wetland,Forest
257,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
