Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VNR_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VNR_M_R,SIBERIA_2024_GSW_Yearly_2021_44VNR_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VNR_M_R,SIBERIA_2024_WorldCover_2021_44VNR_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Bareland
18,NULL,Shrubland,NULL,Non_Wetland,Water
19,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
23,NULL,Shrubland,Non_Water,Non_Wetland,Water
24,NULL,Shrubland,Non_Water,Non_Wetland,Forest
25,NULL,Shrubland,Water,Non_Wetland,NULL
26,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,Shrubland,Water,Non_Wetland,Bareland
29,NULL,Shrubland,Water,Non_Wetland,Water
30,NULL,Shrubland,Water,Non_Wetland,Forest
31,NULL,Grassland,NULL,Non_Wetland,NULL
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Built-up
36,NULL,Grassland,NULL,Non_Wetland,Forest
37,NULL,Grassland,Non_Water,Non_Wetland,Grassland
38,NULL,Grassland,Non_Water,Non_Wetland,Wetland
39,NULL,Grassland,Non_Water,Non_Wetland,Forest
40,NULL,Grassland,Water,Non_Wetland,Grassland
41,NULL,Grassland,Water,Non_Wetland,Wetland
42,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
43,NULL,Grassland,Water,Non_Wetland,Forest
44,NULL,Cropland,NULL,Non_Wetland,NULL
45,NULL,Cropland,NULL,Non_Wetland,Grassland
46,NULL,Cropland,NULL,Non_Wetland,Wetland
47,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
48,NULL,Cropland,NULL,Non_Wetland,Built-up
49,NULL,Cropland,NULL,Non_Wetland,Forest
50,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
51,NULL,Cropland,Water,Non_Wetland,Grassland
52,NULL,Cropland,Water,Non_Wetland,Wetland
53,NULL,Cropland,Water,Non_Wetland,Forest
54,NULL,Wetland,NULL,Wetland,NULL
55,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,Wetland,NULL,Wetland,Wetland
57,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
58,NULL,Wetland,NULL,Wetland,Bareland
59,NULL,Wetland,NULL,Wetland,Water
60,NULL,Wetland,NULL,Wetland,Forest
61,NULL,Wetland,Non_Water,Wetland,NULL
62,NULL,Wetland,Non_Water,Wetland,Grassland
63,NULL,Wetland,Non_Water,Wetland,Wetland
64,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
65,NULL,Wetland,Non_Water,Wetland,Water
66,NULL,Wetland,Non_Water,Wetland,Forest
67,NULL,Wetland,Water,Wetland,NULL
68,NULL,Wetland,Water,Wetland,Grassland
69,NULL,Wetland,Water,Wetland,Wetland
70,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
71,NULL,Wetland,Water,Wetland,Bareland
72,NULL,Wetland,Water,Wetland,Built-up
73,NULL,Wetland,Water,Wetland,Water
74,NULL,Wetland,Water,Wetland,Forest
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
79,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
82,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
83,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
85,NULL,Bareland,NULL,Non_Wetland,NULL
86,NULL,Bareland,NULL,Non_Wetland,Grassland
87,NULL,Bareland,NULL,Non_Wetland,Wetland
88,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
89,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,Bareland,NULL,Non_Wetland,Built-up
91,NULL,Bareland,NULL,Non_Wetland,Water
92,NULL,Bareland,NULL,Non_Wetland,Forest
93,NULL,Bareland,Non_Water,Non_Wetland,NULL
94,NULL,Bareland,Non_Water,Non_Wetland,Grassland
95,NULL,Bareland,Non_Water,Non_Wetland,Wetland
96,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Bareland,Non_Water,Non_Wetland,Bareland
98,NULL,Bareland,Non_Water,Non_Wetland,Water
99,NULL,Bareland,Non_Water,Non_Wetland,Forest
100,NULL,Bareland,Water,Non_Wetland,Grassland
101,NULL,Bareland,Water,Non_Wetland,Wetland
102,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
103,NULL,Bareland,Water,Non_Wetland,Bareland
104,NULL,Bareland,Water,Non_Wetland,Water
105,NULL,Bareland,Water,Non_Wetland,Forest
106,NULL,Built-up,NULL,Non_Wetland,NULL
107,NULL,Built-up,NULL,Non_Wetland,Grassland
108,NULL,Built-up,NULL,Non_Wetland,Wetland
109,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,Built-up,NULL,Non_Wetland,Bareland
111,NULL,Built-up,NULL,Non_Wetland,Built-up
112,NULL,Built-up,NULL,Non_Wetland,Forest
113,NULL,Built-up,Non_Water,Non_Wetland,Grassland
114,NULL,Built-up,Non_Water,Non_Wetland,Forest
115,NULL,Built-up,Water,Non_Wetland,Grassland
116,NULL,Built-up,Water,Non_Wetland,Wetland
117,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
118,NULL,Built-up,Water,Non_Wetland,Water
119,NULL,Built-up,Water,Non_Wetland,Forest
120,NULL,Water,NULL,Water,Grassland
121,NULL,Water,NULL,Water,Wetland
122,NULL,Water,NULL,Water,Lichens_and_Mosses
123,NULL,Water,NULL,Water,Bareland
124,NULL,Water,NULL,Water,Water
125,NULL,Water,NULL,Water,Forest
126,NULL,Water,Non_Water,Water,Grassland
127,NULL,Water,Non_Water,Water,Wetland
128,NULL,Water,Non_Water,Water,Water
129,NULL,Water,Non_Water,Water,Forest
130,NULL,Water,Water,Water,Grassland
131,NULL,Water,Water,Water,Wetland
132,NULL,Water,Water,Water,Lichens_and_Mosses
133,NULL,Water,Water,Water,Bareland
134,NULL,Water,Water,Water,Water
135,NULL,Water,Water,Water,Forest
136,NULL,Forest,NULL,Non_Wetland,NULL
137,NULL,Forest,NULL,Non_Wetland,Grassland
138,NULL,Forest,NULL,Non_Wetland,Wetland
139,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
140,NULL,Forest,NULL,Non_Wetland,Water
141,NULL,Forest,NULL,Non_Wetland,Forest
142,NULL,Forest,Non_Water,Non_Wetland,NULL
143,NULL,Forest,Non_Water,Non_Wetland,Grassland
144,NULL,Forest,Non_Water,Non_Wetland,Wetland
145,NULL,Forest,Non_Water,Non_Wetland,Water
146,NULL,Forest,Non_Water,Non_Wetland,Forest
147,NULL,Forest,Water,Non_Wetland,NULL
148,NULL,Forest,Water,Non_Wetland,Grassland
149,NULL,Forest,Water,Non_Wetland,Wetland
150,NULL,Forest,Water,Non_Wetland,Water
151,NULL,Forest,Water,Non_Wetland,Forest
152,Cropland,NULL,NULL,Non_Wetland,NULL
153,Cropland,NULL,NULL,Non_Wetland,Grassland
154,Cropland,NULL,NULL,Non_Wetland,Wetland
155,Cropland,NULL,NULL,Non_Wetland,Forest
156,Cropland,Shrubland,NULL,Non_Wetland,NULL
157,Cropland,Shrubland,NULL,Non_Wetland,Grassland
158,Cropland,Shrubland,NULL,Non_Wetland,Wetland
159,Cropland,Shrubland,NULL,Non_Wetland,Forest
160,Cropland,Wetland,NULL,Wetland,NULL
161,Cropland,Wetland,NULL,Wetland,Grassland
162,Cropland,Wetland,NULL,Wetland,Wetland
163,Cropland,Wetland,NULL,Wetland,Forest
164,Cropland,Wetland,Non_Water,Wetland,Forest
165,Cropland,Wetland,Water,Wetland,Wetland
166,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
167,Cropland,Bareland,NULL,Non_Wetland,NULL
168,Cropland,Bareland,NULL,Non_Wetland,Grassland
169,Cropland,Bareland,NULL,Non_Wetland,Wetland
170,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
171,Cropland,Bareland,NULL,Non_Wetland,Forest
172,Cropland,Water,Water,Water,Wetland
173,Cropland,Forest,NULL,Non_Wetland,NULL
174,Cropland,Forest,NULL,Non_Wetland,Grassland
175,Cropland,Forest,NULL,Non_Wetland,Wetland
176,Cropland,Forest,NULL,Non_Wetland,Forest
177,Cropland,Forest,Water,Non_Wetland,Forest
178,Wetland,NULL,NULL,Non_Wetland,NULL
179,Wetland,NULL,NULL,Non_Wetland,Grassland
180,Wetland,NULL,NULL,Non_Wetland,Wetland
181,Wetland,NULL,NULL,Non_Wetland,Water
182,Wetland,NULL,NULL,Non_Wetland,Forest
183,Wetland,NULL,Non_Water,Non_Wetland,Grassland
184,Wetland,NULL,Non_Water,Non_Wetland,Wetland
185,Wetland,NULL,Non_Water,Non_Wetland,Water
186,Wetland,NULL,Non_Water,Non_Wetland,Forest
187,Wetland,NULL,Water,Non_Wetland,Grassland
188,Wetland,NULL,Water,Non_Wetland,Wetland
189,Wetland,NULL,Water,Non_Wetland,Water
190,Wetland,NULL,Water,Non_Wetland,Forest
191,Wetland,Shrubland,NULL,Non_Wetland,NULL
192,Wetland,Shrubland,NULL,Non_Wetland,Grassland
193,Wetland,Shrubland,NULL,Non_Wetland,Wetland
194,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
195,Wetland,Shrubland,NULL,Non_Wetland,Bareland
196,Wetland,Shrubland,NULL,Non_Wetland,Built-up
197,Wetland,Shrubland,NULL,Non_Wetland,Water
198,Wetland,Shrubland,NULL,Non_Wetland,Forest
199,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
200,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
201,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
202,Wetland,Shrubland,Non_Water,Non_Wetland,Water
203,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
204,Wetland,Shrubland,Water,Non_Wetland,Grassland
205,Wetland,Shrubland,Water,Non_Wetland,Wetland
206,Wetland,Shrubland,Water,Non_Wetland,Water
207,Wetland,Shrubland,Water,Non_Wetland,Forest
208,Wetland,Grassland,NULL,Non_Wetland,NULL
209,Wetland,Grassland,NULL,Non_Wetland,Grassland
210,Wetland,Grassland,NULL,Non_Wetland,Wetland
211,Wetland,Grassland,NULL,Non_Wetland,Forest
212,Wetland,Grassland,Non_Water,Non_Wetland,Forest
213,Wetland,Grassland,Water,Non_Wetland,Grassland
214,Wetland,Grassland,Water,Non_Wetland,Wetland
215,Wetland,Grassland,Water,Non_Wetland,Forest
216,Wetland,Cropland,NULL,Non_Wetland,Grassland
217,Wetland,Cropland,NULL,Non_Wetland,Wetland
218,Wetland,Cropland,NULL,Non_Wetland,Forest
219,Wetland,Wetland,NULL,Wetland,NULL
220,Wetland,Wetland,NULL,Wetland,Grassland
221,Wetland,Wetland,NULL,Wetland,Wetland
222,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
223,Wetland,Wetland,NULL,Wetland,Water
224,Wetland,Wetland,NULL,Wetland,Forest
225,Wetland,Wetland,Non_Water,Wetland,NULL
226,Wetland,Wetland,Non_Water,Wetland,Grassland
227,Wetland,Wetland,Non_Water,Wetland,Wetland
228,Wetland,Wetland,Non_Water,Wetland,Bareland
229,Wetland,Wetland,Non_Water,Wetland,Water
230,Wetland,Wetland,Non_Water,Wetland,Forest
231,Wetland,Wetland,Water,Wetland,NULL
232,Wetland,Wetland,Water,Wetland,Grassland
233,Wetland,Wetland,Water,Wetland,Wetland
234,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
235,Wetland,Wetland,Water,Wetland,Bareland
236,Wetland,Wetland,Water,Wetland,Water
237,Wetland,Wetland,Water,Wetland,Forest
238,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
239,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
240,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
241,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
242,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
243,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
244,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
245,Wetland,Bareland,NULL,Non_Wetland,NULL
246,Wetland,Bareland,NULL,Non_Wetland,Grassland
247,Wetland,Bareland,NULL,Non_Wetland,Wetland
248,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
249,Wetland,Bareland,NULL,Non_Wetland,Bareland
250,Wetland,Bareland,NULL,Non_Wetland,Built-up
251,Wetland,Bareland,NULL,Non_Wetland,Water
252,Wetland,Bareland,NULL,Non_Wetland,Forest
253,Wetland,Bareland,Non_Water,Non_Wetland,NULL
254,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
255,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
256,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
257,Wetland,Bareland,Non_Water,Non_Wetland,Water
258,Wetland,Bareland,Non_Water,Non_Wetland,Forest
259,Wetland,Bareland,Water,Non_Wetland,Grassland
260,Wetland,Bareland,Water,Non_Wetland,Wetland
261,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
262,Wetland,Bareland,Water,Non_Wetland,Bareland
