Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLQ_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLQ_M_R,SIBERIA_2024_WorldCover_2021_44VLQ_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Water,Non_Wetland,Wetland
9,NULL,NULL,Water,Non_Wetland,Forest
10,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
15,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,Shrubland,Non_Water,Non_Wetland,NULL
20,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
21,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
22,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
23,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,Shrubland,Water,Non_Wetland,Wetland
25,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
30,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,Grassland,Non_Water,Non_Wetland,Wetland
35,NULL,Grassland,Non_Water,Non_Wetland,Forest
36,NULL,Grassland,Water,Non_Wetland,Wetland
37,NULL,Grassland,Water,Non_Wetland,Forest
38,NULL,Cropland,NULL,Non_Wetland,Wetland
39,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
40,NULL,Cropland,NULL,Non_Wetland,Forest
41,NULL,Cropland,Non_Water,Non_Wetland,Forest
42,NULL,Wetland,NULL,Wetland,NULL
43,NULL,Wetland,NULL,Wetland,Grassland
44,NULL,Wetland,NULL,Wetland,Cropland
45,NULL,Wetland,NULL,Wetland,Wetland
46,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
47,NULL,Wetland,NULL,Wetland,Bareland
48,NULL,Wetland,NULL,Wetland,Built-up
49,NULL,Wetland,NULL,Wetland,Water
50,NULL,Wetland,NULL,Wetland,Forest
51,NULL,Wetland,Non_Water,Wetland,NULL
52,NULL,Wetland,Non_Water,Wetland,Grassland
53,NULL,Wetland,Non_Water,Wetland,Wetland
54,NULL,Wetland,Non_Water,Wetland,Water
55,NULL,Wetland,Non_Water,Wetland,Forest
56,NULL,Wetland,Water,Wetland,NULL
57,NULL,Wetland,Water,Wetland,Grassland
58,NULL,Wetland,Water,Wetland,Wetland
59,NULL,Wetland,Water,Wetland,Bareland
60,NULL,Wetland,Water,Wetland,Water
61,NULL,Wetland,Water,Wetland,Forest
62,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
68,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
69,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
70,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
71,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
72,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
73,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
74,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
75,NULL,Bareland,NULL,Non_Wetland,NULL
76,NULL,Bareland,NULL,Non_Wetland,Grassland
77,NULL,Bareland,NULL,Non_Wetland,Wetland
78,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
79,NULL,Bareland,NULL,Non_Wetland,Bareland
80,NULL,Bareland,NULL,Non_Wetland,Built-up
81,NULL,Bareland,NULL,Non_Wetland,Water
82,NULL,Bareland,NULL,Non_Wetland,Forest
83,NULL,Bareland,Non_Water,Non_Wetland,NULL
84,NULL,Bareland,Non_Water,Non_Wetland,Grassland
85,NULL,Bareland,Non_Water,Non_Wetland,Wetland
86,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
87,NULL,Bareland,Non_Water,Non_Wetland,Bareland
88,NULL,Bareland,Non_Water,Non_Wetland,Built-up
89,NULL,Bareland,Non_Water,Non_Wetland,Water
90,NULL,Bareland,Non_Water,Non_Wetland,Forest
91,NULL,Bareland,Water,Non_Wetland,Grassland
92,NULL,Bareland,Water,Non_Wetland,Wetland
93,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
94,NULL,Bareland,Water,Non_Wetland,Bareland
95,NULL,Bareland,Water,Non_Wetland,Built-up
96,NULL,Bareland,Water,Non_Wetland,Water
97,NULL,Bareland,Water,Non_Wetland,Forest
98,NULL,Built-up,NULL,Non_Wetland,NULL
99,NULL,Built-up,NULL,Non_Wetland,Grassland
100,NULL,Built-up,NULL,Non_Wetland,Wetland
101,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
102,NULL,Built-up,NULL,Non_Wetland,Bareland
103,NULL,Built-up,NULL,Non_Wetland,Built-up
104,NULL,Built-up,NULL,Non_Wetland,Water
105,NULL,Built-up,NULL,Non_Wetland,Forest
106,NULL,Built-up,Non_Water,Non_Wetland,Grassland
107,NULL,Built-up,Non_Water,Non_Wetland,Wetland
108,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
109,NULL,Built-up,Non_Water,Non_Wetland,Bareland
110,NULL,Built-up,Non_Water,Non_Wetland,Built-up
111,NULL,Built-up,Non_Water,Non_Wetland,Forest
112,NULL,Built-up,Water,Non_Wetland,Grassland
113,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
114,NULL,Built-up,Water,Non_Wetland,Bareland
115,NULL,Built-up,Water,Non_Wetland,Built-up
116,NULL,Built-up,Water,Non_Wetland,Water
117,NULL,Built-up,Water,Non_Wetland,Forest
118,NULL,Water,NULL,Water,NULL
119,NULL,Water,NULL,Water,Grassland
120,NULL,Water,NULL,Water,Wetland
121,NULL,Water,NULL,Water,Lichens_and_Mosses
122,NULL,Water,NULL,Water,Bareland
123,NULL,Water,NULL,Water,Water
124,NULL,Water,NULL,Water,Forest
125,NULL,Water,Non_Water,Water,Wetland
126,NULL,Water,Non_Water,Water,Lichens_and_Mosses
127,NULL,Water,Non_Water,Water,Water
128,NULL,Water,Non_Water,Water,Forest
129,NULL,Water,Water,Water,Grassland
130,NULL,Water,Water,Water,Wetland
131,NULL,Water,Water,Water,Lichens_and_Mosses
132,NULL,Water,Water,Water,Bareland
133,NULL,Water,Water,Water,Water
134,NULL,Water,Water,Water,Forest
135,NULL,Forest,NULL,Non_Wetland,NULL
136,NULL,Forest,NULL,Non_Wetland,Grassland
137,NULL,Forest,NULL,Non_Wetland,Wetland
138,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
139,NULL,Forest,NULL,Non_Wetland,Bareland
140,NULL,Forest,NULL,Non_Wetland,Built-up
141,NULL,Forest,NULL,Non_Wetland,Water
142,NULL,Forest,NULL,Non_Wetland,Forest
143,NULL,Forest,Non_Water,Non_Wetland,NULL
144,NULL,Forest,Non_Water,Non_Wetland,Grassland
145,NULL,Forest,Non_Water,Non_Wetland,Wetland
146,NULL,Forest,Non_Water,Non_Wetland,Forest
147,NULL,Forest,Water,Non_Wetland,NULL
148,NULL,Forest,Water,Non_Wetland,Grassland
149,NULL,Forest,Water,Non_Wetland,Wetland
150,NULL,Forest,Water,Non_Wetland,Water
151,NULL,Forest,Water,Non_Wetland,Forest
152,Cropland,NULL,NULL,Non_Wetland,Forest
153,Cropland,Shrubland,NULL,Non_Wetland,NULL
154,Cropland,Shrubland,NULL,Non_Wetland,Grassland
155,Cropland,Shrubland,NULL,Non_Wetland,Wetland
156,Cropland,Shrubland,NULL,Non_Wetland,Built-up
157,Cropland,Shrubland,NULL,Non_Wetland,Forest
158,Cropland,Grassland,NULL,Non_Wetland,Grassland
159,Cropland,Grassland,NULL,Non_Wetland,Wetland
160,Cropland,Grassland,NULL,Non_Wetland,Forest
161,Cropland,Wetland,NULL,Wetland,NULL
162,Cropland,Wetland,NULL,Wetland,Grassland
163,Cropland,Wetland,NULL,Wetland,Wetland
164,Cropland,Wetland,NULL,Wetland,Built-up
165,Cropland,Wetland,NULL,Wetland,Forest
166,Cropland,Wetland,Non_Water,Wetland,Grassland
167,Cropland,Wetland,Non_Water,Wetland,Wetland
168,Cropland,Wetland,Non_Water,Wetland,Forest
169,Cropland,Wetland,Water,Wetland,Wetland
170,Cropland,Wetland,Water,Wetland,Forest
171,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
172,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
173,Cropland,Bareland,NULL,Non_Wetland,NULL
174,Cropland,Bareland,NULL,Non_Wetland,Grassland
175,Cropland,Bareland,NULL,Non_Wetland,Wetland
176,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
177,Cropland,Bareland,NULL,Non_Wetland,Bareland
178,Cropland,Bareland,NULL,Non_Wetland,Built-up
179,Cropland,Bareland,NULL,Non_Wetland,Water
180,Cropland,Bareland,NULL,Non_Wetland,Forest
181,Cropland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
182,Cropland,Bareland,Non_Water,Non_Wetland,Forest
183,Cropland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
184,Cropland,Bareland,Water,Non_Wetland,Forest
185,Cropland,Built-up,NULL,Non_Wetland,Wetland
186,Cropland,Built-up,NULL,Non_Wetland,Bareland
187,Cropland,Built-up,NULL,Non_Wetland,Water
188,Cropland,Built-up,NULL,Non_Wetland,Forest
189,Cropland,Water,NULL,Water,Wetland
190,Cropland,Water,NULL,Water,Water
191,Cropland,Water,NULL,Water,Forest
192,Cropland,Water,Water,Water,Wetland
193,Cropland,Water,Water,Water,Forest
194,Cropland,Forest,NULL,Non_Wetland,NULL
195,Cropland,Forest,NULL,Non_Wetland,Grassland
196,Cropland,Forest,NULL,Non_Wetland,Wetland
197,Cropland,Forest,NULL,Non_Wetland,Built-up
198,Cropland,Forest,NULL,Non_Wetland,Water
199,Cropland,Forest,NULL,Non_Wetland,Forest
200,Cropland,Forest,Non_Water,Non_Wetland,Forest
201,Wetland,NULL,NULL,Non_Wetland,NULL
202,Wetland,NULL,NULL,Non_Wetland,Grassland
203,Wetland,NULL,NULL,Non_Wetland,Wetland
204,Wetland,NULL,NULL,Non_Wetland,Water
205,Wetland,NULL,NULL,Non_Wetland,Forest
206,Wetland,NULL,Non_Water,Non_Wetland,Grassland
207,Wetland,NULL,Non_Water,Non_Wetland,Wetland
208,Wetland,NULL,Non_Water,Non_Wetland,Water
209,Wetland,NULL,Non_Water,Non_Wetland,Forest
210,Wetland,NULL,Water,Non_Wetland,NULL
211,Wetland,NULL,Water,Non_Wetland,Grassland
212,Wetland,NULL,Water,Non_Wetland,Wetland
213,Wetland,NULL,Water,Non_Wetland,Water
214,Wetland,NULL,Water,Non_Wetland,Forest
215,Wetland,Shrubland,NULL,Non_Wetland,NULL
216,Wetland,Shrubland,NULL,Non_Wetland,Grassland
217,Wetland,Shrubland,NULL,Non_Wetland,Wetland
218,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
219,Wetland,Shrubland,NULL,Non_Wetland,Bareland
220,Wetland,Shrubland,NULL,Non_Wetland,Built-up
221,Wetland,Shrubland,NULL,Non_Wetland,Water
222,Wetland,Shrubland,NULL,Non_Wetland,Forest
223,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
224,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
225,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
226,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
227,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
228,Wetland,Shrubland,Non_Water,Non_Wetland,Water
229,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
230,Wetland,Shrubland,Water,Non_Wetland,NULL
231,Wetland,Shrubland,Water,Non_Wetland,Grassland
232,Wetland,Shrubland,Water,Non_Wetland,Wetland
233,Wetland,Shrubland,Water,Non_Wetland,Water
234,Wetland,Shrubland,Water,Non_Wetland,Forest
235,Wetland,Grassland,NULL,Non_Wetland,NULL
236,Wetland,Grassland,NULL,Non_Wetland,Grassland
237,Wetland,Grassland,NULL,Non_Wetland,Wetland
238,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
239,Wetland,Grassland,NULL,Non_Wetland,Bareland
240,Wetland,Grassland,NULL,Non_Wetland,Built-up
241,Wetland,Grassland,NULL,Non_Wetland,Water
242,Wetland,Grassland,NULL,Non_Wetland,Forest
243,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
244,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
245,Wetland,Grassland,Non_Water,Non_Wetland,Forest
246,Wetland,Grassland,Water,Non_Wetland,Grassland
247,Wetland,Grassland,Water,Non_Wetland,Wetland
248,Wetland,Grassland,Water,Non_Wetland,Forest
249,Wetland,Cropland,NULL,Non_Wetland,Forest
250,Wetland,Wetland,NULL,Wetland,NULL
251,Wetland,Wetland,NULL,Wetland,Grassland
252,Wetland,Wetland,NULL,Wetland,Wetland
253,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
254,Wetland,Wetland,NULL,Wetland,Bareland
255,Wetland,Wetland,NULL,Wetland,Built-up
256,Wetland,Wetland,NULL,Wetland,Water
257,Wetland,Wetland,NULL,Wetland,Forest
258,Wetland,Wetland,Non_Water,Wetland,NULL
259,Wetland,Wetland,Non_Water,Wetland,Grassland
260,Wetland,Wetland,Non_Water,Wetland,Wetland
261,Wetland,Wetland,Non_Water,Wetland,Bareland
262,Wetland,Wetland,Non_Water,Wetland,Water
263,Wetland,Wetland,Non_Water,Wetland,Forest
