Value,SIBERIA_2024_ESA_CALU_2024_43XDA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43XDA_M_R,SIBERIA_2024_GLC_FCS30D_2022_43XDA_M_R,SIBERIA_2024_GSW_Yearly_2021_43XDA_M_R,SIBERIA_2024_GWL_FCS30D_2022_43XDA_M_R,SIBERIA_2024_WorldCover_2021_43XDA_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
7,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
9,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Water
14,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
18,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
20,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
21,NULL,NULL,Wetland,NULL,NULL,Grassland
22,NULL,NULL,Wetland,NULL,NULL,Water
23,NULL,NULL,Wetland,NULL,Wetland,Grassland
24,NULL,NULL,Wetland,NULL,Wetland,Wetland
25,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
26,NULL,NULL,Wetland,NULL,Wetland,Bareland
27,NULL,NULL,Wetland,NULL,Wetland,Water
28,NULL,NULL,Wetland,Non_Water,NULL,Grassland
29,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
30,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
31,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
32,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
33,NULL,NULL,Wetland,Non_Water,Wetland,Water
34,NULL,NULL,Wetland,Water,NULL,Water
35,NULL,NULL,Wetland,Water,Wetland,Grassland
36,NULL,NULL,Wetland,Water,Wetland,Wetland
37,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
38,NULL,NULL,Wetland,Water,Wetland,Bareland
39,NULL,NULL,Wetland,Water,Wetland,Water
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
45,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
47,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
48,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
49,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
50,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
51,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
52,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
53,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
57,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Water
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
64,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
65,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
66,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
67,NULL,NULL,Bareland,Water,Non_Wetland,Water
68,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Water
73,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
74,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
75,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
76,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
77,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
78,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
79,NULL,NULL,Built-up,Water,Non_Wetland,Water
80,NULL,NULL,Water,NULL,NULL,NULL
81,NULL,NULL,Water,NULL,NULL,Water
82,NULL,NULL,Water,NULL,Water,Grassland
83,NULL,NULL,Water,NULL,Water,Wetland
84,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
85,NULL,NULL,Water,NULL,Water,Bareland
86,NULL,NULL,Water,NULL,Water,Water
87,NULL,NULL,Water,Non_Water,Water,Grassland
88,NULL,NULL,Water,Non_Water,Water,Wetland
89,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
90,NULL,NULL,Water,Non_Water,Water,Bareland
91,NULL,NULL,Water,Water,NULL,Water
92,NULL,NULL,Water,Water,Water,Grassland
93,NULL,NULL,Water,Water,Water,Wetland
94,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
95,NULL,NULL,Water,Water,Water,Bareland
96,NULL,NULL,Water,Water,Water,Water
97,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
98,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
99,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
100,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
101,NULL,NULL,Forest,Water,Non_Wetland,Grassland
102,NULL,NULL,Forest,Water,Non_Wetland,Wetland
103,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
104,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
105,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
106,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
107,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
108,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
109,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
111,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
112,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
113,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
114,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
115,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
116,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
117,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
118,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
119,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
120,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
121,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
122,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
123,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
124,NULL,Wetland,Wetland,NULL,NULL,Wetland
125,NULL,Wetland,Wetland,NULL,NULL,Water
126,NULL,Wetland,Wetland,NULL,Wetland,Grassland
127,NULL,Wetland,Wetland,NULL,Wetland,Wetland
128,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
129,NULL,Wetland,Wetland,NULL,Wetland,Bareland
130,NULL,Wetland,Wetland,NULL,Wetland,Water
131,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
132,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
133,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
134,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
135,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
136,NULL,Wetland,Wetland,Non_Water,Wetland,Water
137,NULL,Wetland,Wetland,Water,NULL,Wetland
138,NULL,Wetland,Wetland,Water,NULL,Water
139,NULL,Wetland,Wetland,Water,Wetland,Grassland
140,NULL,Wetland,Wetland,Water,Wetland,Wetland
141,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
142,NULL,Wetland,Wetland,Water,Wetland,Bareland
143,NULL,Wetland,Wetland,Water,Wetland,Water
144,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
145,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
146,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
147,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
148,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
149,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
150,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
151,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
152,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
153,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
154,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
155,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
156,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
157,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
158,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
159,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
160,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
161,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
162,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
163,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
164,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
165,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
166,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
167,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
168,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
169,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
170,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
171,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
172,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
173,NULL,Wetland,Bareland,Water,Non_Wetland,Water
174,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
175,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
176,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
177,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
178,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
179,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
180,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
181,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
182,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
183,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
184,NULL,Wetland,Water,NULL,NULL,Bareland
185,NULL,Wetland,Water,NULL,Water,Grassland
