Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VUL_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VUL_M_R,SIBERIA_2024_GSW_Yearly_2021_42VUL_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VUL_M_R,SIBERIA_2024_WorldCover_2021_42VUL_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Cropland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Forest
26,NULL,Shrubland,Water,Non_Wetland,Grassland
27,NULL,Shrubland,Water,Non_Wetland,Wetland
28,NULL,Shrubland,Water,Non_Wetland,Forest
29,NULL,Grassland,NULL,Non_Wetland,Grassland
30,NULL,Grassland,NULL,Non_Wetland,Wetland
31,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,Cropland,NULL,Non_Wetland,Cropland
36,NULL,Cropland,NULL,Non_Wetland,Wetland
37,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Cropland,NULL,Non_Wetland,Bareland
39,NULL,Cropland,NULL,Non_Wetland,Built-up
40,NULL,Cropland,NULL,Non_Wetland,Water
41,NULL,Cropland,NULL,Non_Wetland,Forest
42,NULL,Cropland,Non_Water,Non_Wetland,NULL
43,NULL,Cropland,Non_Water,Non_Wetland,Grassland
44,NULL,Cropland,Non_Water,Non_Wetland,Cropland
45,NULL,Cropland,Non_Water,Non_Wetland,Wetland
46,NULL,Cropland,Non_Water,Non_Wetland,Bareland
47,NULL,Cropland,Non_Water,Non_Wetland,Water
48,NULL,Cropland,Non_Water,Non_Wetland,Forest
49,NULL,Cropland,Water,Non_Wetland,Grassland
50,NULL,Cropland,Water,Non_Wetland,Cropland
51,NULL,Cropland,Water,Non_Wetland,Wetland
52,NULL,Cropland,Water,Non_Wetland,Water
53,NULL,Cropland,Water,Non_Wetland,Forest
54,NULL,Wetland,NULL,Wetland,NULL
55,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,Wetland,NULL,Wetland,Cropland
57,NULL,Wetland,NULL,Wetland,Wetland
58,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
59,NULL,Wetland,NULL,Wetland,Built-up
60,NULL,Wetland,NULL,Wetland,Water
61,NULL,Wetland,NULL,Wetland,Forest
62,NULL,Wetland,Non_Water,Wetland,NULL
63,NULL,Wetland,Non_Water,Wetland,Grassland
64,NULL,Wetland,Non_Water,Wetland,Cropland
65,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,Wetland,Non_Water,Wetland,Bareland
67,NULL,Wetland,Non_Water,Wetland,Water
68,NULL,Wetland,Non_Water,Wetland,Forest
69,NULL,Wetland,Water,Wetland,NULL
70,NULL,Wetland,Water,Wetland,Grassland
71,NULL,Wetland,Water,Wetland,Cropland
72,NULL,Wetland,Water,Wetland,Wetland
73,NULL,Wetland,Water,Wetland,Bareland
74,NULL,Wetland,Water,Wetland,Water
75,NULL,Wetland,Water,Wetland,Forest
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
77,NULL,Bareland,NULL,Non_Wetland,NULL
78,NULL,Bareland,NULL,Non_Wetland,Grassland
79,NULL,Bareland,NULL,Non_Wetland,Cropland
80,NULL,Bareland,NULL,Non_Wetland,Wetland
81,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
82,NULL,Bareland,NULL,Non_Wetland,Bareland
83,NULL,Bareland,NULL,Non_Wetland,Built-up
84,NULL,Bareland,NULL,Non_Wetland,Water
85,NULL,Bareland,NULL,Non_Wetland,Forest
86,NULL,Bareland,Non_Water,Non_Wetland,Grassland
87,NULL,Bareland,Non_Water,Non_Wetland,Cropland
88,NULL,Bareland,Non_Water,Non_Wetland,Wetland
89,NULL,Bareland,Non_Water,Non_Wetland,Bareland
90,NULL,Bareland,Non_Water,Non_Wetland,Water
91,NULL,Bareland,Non_Water,Non_Wetland,Forest
92,NULL,Bareland,Water,Non_Wetland,Grassland
93,NULL,Bareland,Water,Non_Wetland,Wetland
94,NULL,Bareland,Water,Non_Wetland,Water
95,NULL,Bareland,Water,Non_Wetland,Forest
96,NULL,Built-up,NULL,Non_Wetland,Grassland
97,NULL,Built-up,NULL,Non_Wetland,Cropland
98,NULL,Built-up,NULL,Non_Wetland,Wetland
99,NULL,Built-up,NULL,Non_Wetland,Bareland
100,NULL,Built-up,NULL,Non_Wetland,Built-up
101,NULL,Built-up,NULL,Non_Wetland,Water
102,NULL,Built-up,NULL,Non_Wetland,Forest
103,NULL,Built-up,Non_Water,Non_Wetland,Grassland
104,NULL,Built-up,Non_Water,Non_Wetland,Cropland
105,NULL,Built-up,Non_Water,Non_Wetland,Wetland
106,NULL,Built-up,Non_Water,Non_Wetland,Built-up
107,NULL,Built-up,Non_Water,Non_Wetland,Forest
108,NULL,Built-up,Water,Non_Wetland,Grassland
109,NULL,Built-up,Water,Non_Wetland,Wetland
110,NULL,Built-up,Water,Non_Wetland,Bareland
111,NULL,Built-up,Water,Non_Wetland,Built-up
112,NULL,Built-up,Water,Non_Wetland,Water
113,NULL,Built-up,Water,Non_Wetland,Forest
114,NULL,Water,NULL,Water,NULL
115,NULL,Water,NULL,Water,Grassland
116,NULL,Water,NULL,Water,Wetland
117,NULL,Water,NULL,Water,Lichens_and_Mosses
118,NULL,Water,NULL,Water,Bareland
119,NULL,Water,NULL,Water,Water
120,NULL,Water,NULL,Water,Forest
121,NULL,Water,Non_Water,Water,Grassland
122,NULL,Water,Non_Water,Water,Cropland
123,NULL,Water,Non_Water,Water,Wetland
124,NULL,Water,Non_Water,Water,Water
125,NULL,Water,Non_Water,Water,Forest
126,NULL,Water,Water,Water,Grassland
127,NULL,Water,Water,Water,Wetland
128,NULL,Water,Water,Water,Bareland
129,NULL,Water,Water,Water,Water
130,NULL,Water,Water,Water,Forest
131,NULL,Forest,NULL,Non_Wetland,NULL
132,NULL,Forest,NULL,Non_Wetland,Grassland
133,NULL,Forest,NULL,Non_Wetland,Cropland
134,NULL,Forest,NULL,Non_Wetland,Wetland
135,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
136,NULL,Forest,NULL,Non_Wetland,Bareland
137,NULL,Forest,NULL,Non_Wetland,Built-up
138,NULL,Forest,NULL,Non_Wetland,Water
139,NULL,Forest,NULL,Non_Wetland,Forest
140,NULL,Forest,Non_Water,Non_Wetland,Grassland
141,NULL,Forest,Non_Water,Non_Wetland,Cropland
142,NULL,Forest,Non_Water,Non_Wetland,Wetland
143,NULL,Forest,Non_Water,Non_Wetland,Water
144,NULL,Forest,Non_Water,Non_Wetland,Forest
145,NULL,Forest,Water,Non_Wetland,Grassland
146,NULL,Forest,Water,Non_Wetland,Cropland
147,NULL,Forest,Water,Non_Wetland,Wetland
148,NULL,Forest,Water,Non_Wetland,Water
149,NULL,Forest,Water,Non_Wetland,Forest
150,Cropland,NULL,NULL,Non_Wetland,NULL
151,Cropland,NULL,NULL,Non_Wetland,Grassland
152,Cropland,NULL,NULL,Non_Wetland,Wetland
153,Cropland,NULL,NULL,Non_Wetland,Forest
154,Cropland,Cropland,NULL,Non_Wetland,Grassland
155,Cropland,Cropland,NULL,Non_Wetland,Wetland
156,Cropland,Cropland,NULL,Non_Wetland,Forest
157,Cropland,Wetland,NULL,Wetland,NULL
158,Cropland,Wetland,NULL,Wetland,Grassland
159,Cropland,Wetland,NULL,Wetland,Wetland
160,Cropland,Wetland,NULL,Wetland,Forest
161,Cropland,Bareland,NULL,Non_Wetland,Grassland
162,Cropland,Bareland,NULL,Non_Wetland,Wetland
163,Cropland,Bareland,NULL,Non_Wetland,Forest
164,Cropland,Built-up,NULL,Non_Wetland,Grassland
165,Cropland,Built-up,NULL,Non_Wetland,Forest
166,Cropland,Water,Water,Water,Water
167,Cropland,Forest,NULL,Non_Wetland,NULL
168,Cropland,Forest,NULL,Non_Wetland,Grassland
169,Cropland,Forest,NULL,Non_Wetland,Cropland
170,Cropland,Forest,NULL,Non_Wetland,Wetland
171,Cropland,Forest,NULL,Non_Wetland,Forest
172,Wetland,NULL,NULL,Non_Wetland,NULL
173,Wetland,NULL,NULL,Non_Wetland,Grassland
174,Wetland,NULL,NULL,Non_Wetland,Cropland
175,Wetland,NULL,NULL,Non_Wetland,Wetland
176,Wetland,NULL,NULL,Non_Wetland,Water
177,Wetland,NULL,NULL,Non_Wetland,Forest
178,Wetland,NULL,Non_Water,Non_Wetland,Grassland
179,Wetland,NULL,Non_Water,Non_Wetland,Cropland
180,Wetland,NULL,Non_Water,Non_Wetland,Wetland
181,Wetland,NULL,Non_Water,Non_Wetland,Water
182,Wetland,NULL,Non_Water,Non_Wetland,Forest
183,Wetland,NULL,Water,Non_Wetland,Grassland
184,Wetland,NULL,Water,Non_Wetland,Cropland
185,Wetland,NULL,Water,Non_Wetland,Wetland
186,Wetland,NULL,Water,Non_Wetland,Water
187,Wetland,NULL,Water,Non_Wetland,Forest
188,Wetland,Shrubland,NULL,Non_Wetland,NULL
189,Wetland,Shrubland,NULL,Non_Wetland,Grassland
190,Wetland,Shrubland,NULL,Non_Wetland,Wetland
191,Wetland,Shrubland,NULL,Non_Wetland,Water
192,Wetland,Shrubland,NULL,Non_Wetland,Forest
193,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
194,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
195,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
196,Wetland,Shrubland,Water,Non_Wetland,Grassland
197,Wetland,Shrubland,Water,Non_Wetland,Wetland
198,Wetland,Shrubland,Water,Non_Wetland,Forest
199,Wetland,Cropland,NULL,Non_Wetland,NULL
200,Wetland,Cropland,NULL,Non_Wetland,Grassland
201,Wetland,Cropland,NULL,Non_Wetland,Cropland
202,Wetland,Cropland,NULL,Non_Wetland,Wetland
203,Wetland,Cropland,NULL,Non_Wetland,Forest
204,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
205,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
206,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
207,Wetland,Cropland,Non_Water,Non_Wetland,Forest
208,Wetland,Cropland,Water,Non_Wetland,Grassland
209,Wetland,Cropland,Water,Non_Wetland,Wetland
210,Wetland,Cropland,Water,Non_Wetland,Water
211,Wetland,Cropland,Water,Non_Wetland,Forest
212,Wetland,Wetland,NULL,Wetland,NULL
213,Wetland,Wetland,NULL,Wetland,Grassland
214,Wetland,Wetland,NULL,Wetland,Cropland
215,Wetland,Wetland,NULL,Wetland,Wetland
216,Wetland,Wetland,NULL,Wetland,Water
217,Wetland,Wetland,NULL,Wetland,Forest
218,Wetland,Wetland,Non_Water,Wetland,NULL
219,Wetland,Wetland,Non_Water,Wetland,Grassland
220,Wetland,Wetland,Non_Water,Wetland,Cropland
221,Wetland,Wetland,Non_Water,Wetland,Wetland
222,Wetland,Wetland,Non_Water,Wetland,Water
223,Wetland,Wetland,Non_Water,Wetland,Forest
224,Wetland,Wetland,Water,Wetland,NULL
225,Wetland,Wetland,Water,Wetland,Grassland
226,Wetland,Wetland,Water,Wetland,Cropland
227,Wetland,Wetland,Water,Wetland,Wetland
228,Wetland,Wetland,Water,Wetland,Water
229,Wetland,Wetland,Water,Wetland,Forest
230,Wetland,Bareland,NULL,Non_Wetland,NULL
231,Wetland,Bareland,NULL,Non_Wetland,Grassland
232,Wetland,Bareland,NULL,Non_Wetland,Wetland
233,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
234,Wetland,Bareland,NULL,Non_Wetland,Water
235,Wetland,Bareland,NULL,Non_Wetland,Forest
236,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
237,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
238,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
239,Wetland,Bareland,Non_Water,Non_Wetland,Water
240,Wetland,Bareland,Non_Water,Non_Wetland,Forest
241,Wetland,Bareland,Water,Non_Wetland,Grassland
242,Wetland,Bareland,Water,Non_Wetland,Wetland
243,Wetland,Bareland,Water,Non_Wetland,Water
244,Wetland,Bareland,Water,Non_Wetland,Forest
245,Wetland,Built-up,NULL,Non_Wetland,Grassland
246,Wetland,Built-up,NULL,Non_Wetland,Forest
247,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
248,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
249,Wetland,Built-up,Non_Water,Non_Wetland,Water
250,Wetland,Built-up,Water,Non_Wetland,Wetland
251,Wetland,Water,NULL,Water,NULL
252,Wetland,Water,NULL,Water,Grassland
253,Wetland,Water,NULL,Water,Cropland
254,Wetland,Water,NULL,Water,Wetland
255,Wetland,Water,NULL,Water,Water
256,Wetland,Water,NULL,Water,Forest
257,Wetland,Water,Non_Water,Water,Grassland
258,Wetland,Water,Non_Water,Water,Cropland
259,Wetland,Water,Non_Water,Water,Wetland
260,Wetland,Water,Non_Water,Water,Water
261,Wetland,Water,Non_Water,Water,Forest
262,Wetland,Water,Water,Water,NULL
263,Wetland,Water,Water,Water,Grassland
264,Wetland,Water,Water,Water,Wetland
265,Wetland,Water,Water,Water,Water
266,Wetland,Water,Water,Water,Forest
267,Wetland,Forest,NULL,Non_Wetland,NULL
268,Wetland,Forest,NULL,Non_Wetland,Grassland
269,Wetland,Forest,NULL,Non_Wetland,Cropland
270,Wetland,Forest,NULL,Non_Wetland,Wetland
271,Wetland,Forest,NULL,Non_Wetland,Water
272,Wetland,Forest,NULL,Non_Wetland,Forest
273,Wetland,Forest,Non_Water,Non_Wetland,Grassland
274,Wetland,Forest,Non_Water,Non_Wetland,Cropland
