Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WDM_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WDM_M_R,SIBERIA_2024_GSW_Yearly_2021_43WDM_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WDM_M_R,SIBERIA_2024_WorldCover_2021_43WDM_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
14,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,NULL,Non_Wetland,Bareland
21,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,Shrubland,Non_Water,Non_Wetland,Water
28,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Water,Non_Wetland,Bareland
33,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,Grassland,NULL,Non_Wetland,Wetland
37,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Grassland,NULL,Non_Wetland,Bareland
39,NULL,Grassland,NULL,Non_Wetland,Forest
40,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,Grassland,Non_Water,Non_Wetland,Wetland
42,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
43,NULL,Grassland,Non_Water,Non_Wetland,Forest
44,NULL,Grassland,Water,Non_Wetland,Grassland
45,NULL,Grassland,Water,Non_Wetland,Wetland
46,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,Cropland,NULL,Non_Wetland,Wetland
48,NULL,Cropland,NULL,Non_Wetland,Bareland
49,NULL,Cropland,NULL,Non_Wetland,Forest
50,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,Cropland,Non_Water,Non_Wetland,Wetland
52,NULL,Wetland,NULL,Wetland,NULL
53,NULL,Wetland,NULL,Wetland,Grassland
54,NULL,Wetland,NULL,Wetland,Wetland
55,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
56,NULL,Wetland,NULL,Wetland,Bareland
57,NULL,Wetland,NULL,Wetland,Built-up
58,NULL,Wetland,NULL,Wetland,Water
59,NULL,Wetland,NULL,Wetland,Forest
60,NULL,Wetland,Non_Water,Wetland,Grassland
61,NULL,Wetland,Non_Water,Wetland,Wetland
62,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
63,NULL,Wetland,Non_Water,Wetland,Bareland
64,NULL,Wetland,Non_Water,Wetland,Water
65,NULL,Wetland,Non_Water,Wetland,Forest
66,NULL,Wetland,Water,Wetland,Grassland
67,NULL,Wetland,Water,Wetland,Wetland
68,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
69,NULL,Wetland,Water,Wetland,Bareland
70,NULL,Wetland,Water,Wetland,Water
71,NULL,Wetland,Water,Wetland,Forest
72,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
73,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
74,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
75,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
76,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
77,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
78,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
79,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
80,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
81,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
82,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
83,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
84,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
85,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
87,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
88,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
89,NULL,Bareland,NULL,Non_Wetland,NULL
90,NULL,Bareland,NULL,Non_Wetland,Grassland
91,NULL,Bareland,NULL,Non_Wetland,Wetland
92,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
93,NULL,Bareland,NULL,Non_Wetland,Bareland
94,NULL,Bareland,NULL,Non_Wetland,Built-up
95,NULL,Bareland,NULL,Non_Wetland,Water
96,NULL,Bareland,NULL,Non_Wetland,Forest
97,NULL,Bareland,Non_Water,Non_Wetland,Grassland
98,NULL,Bareland,Non_Water,Non_Wetland,Wetland
99,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
100,NULL,Bareland,Non_Water,Non_Wetland,Bareland
101,NULL,Bareland,Non_Water,Non_Wetland,Water
102,NULL,Bareland,Non_Water,Non_Wetland,Forest
103,NULL,Bareland,Water,Non_Wetland,Grassland
104,NULL,Bareland,Water,Non_Wetland,Wetland
105,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
106,NULL,Bareland,Water,Non_Wetland,Bareland
107,NULL,Bareland,Water,Non_Wetland,Water
108,NULL,Bareland,Water,Non_Wetland,Forest
109,NULL,Built-up,NULL,Non_Wetland,Grassland
110,NULL,Built-up,NULL,Non_Wetland,Wetland
111,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
112,NULL,Built-up,NULL,Non_Wetland,Bareland
113,NULL,Built-up,NULL,Non_Wetland,Built-up
114,NULL,Built-up,NULL,Non_Wetland,Water
115,NULL,Built-up,NULL,Non_Wetland,Forest
116,NULL,Built-up,Non_Water,Non_Wetland,Grassland
117,NULL,Built-up,Non_Water,Non_Wetland,Wetland
118,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
119,NULL,Built-up,Non_Water,Non_Wetland,Bareland
120,NULL,Built-up,Non_Water,Non_Wetland,Built-up
121,NULL,Built-up,Non_Water,Non_Wetland,Water
122,NULL,Built-up,Non_Water,Non_Wetland,Forest
123,NULL,Built-up,Water,Non_Wetland,Grassland
124,NULL,Built-up,Water,Non_Wetland,Wetland
125,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
126,NULL,Built-up,Water,Non_Wetland,Bareland
127,NULL,Built-up,Water,Non_Wetland,Water
128,NULL,Built-up,Water,Non_Wetland,Forest
129,NULL,Water,NULL,Water,Grassland
130,NULL,Water,NULL,Water,Wetland
131,NULL,Water,NULL,Water,Lichens_and_Mosses
132,NULL,Water,NULL,Water,Bareland
133,NULL,Water,NULL,Water,Built-up
134,NULL,Water,NULL,Water,Water
135,NULL,Water,NULL,Water,Forest
136,NULL,Water,Non_Water,Water,Grassland
137,NULL,Water,Non_Water,Water,Wetland
138,NULL,Water,Non_Water,Water,Lichens_and_Mosses
139,NULL,Water,Non_Water,Water,Bareland
140,NULL,Water,Non_Water,Water,Water
141,NULL,Water,Non_Water,Water,Forest
142,NULL,Water,Water,Water,Grassland
143,NULL,Water,Water,Water,Wetland
144,NULL,Water,Water,Water,Lichens_and_Mosses
145,NULL,Water,Water,Water,Bareland
146,NULL,Water,Water,Water,Water
147,NULL,Water,Water,Water,Forest
148,NULL,Forest,NULL,Non_Wetland,NULL
149,NULL,Forest,NULL,Non_Wetland,Grassland
150,NULL,Forest,NULL,Non_Wetland,Wetland
151,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
152,NULL,Forest,NULL,Non_Wetland,Bareland
153,NULL,Forest,NULL,Non_Wetland,Built-up
154,NULL,Forest,NULL,Non_Wetland,Water
155,NULL,Forest,NULL,Non_Wetland,Forest
156,NULL,Forest,Non_Water,Non_Wetland,Grassland
157,NULL,Forest,Non_Water,Non_Wetland,Wetland
158,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
159,NULL,Forest,Non_Water,Non_Wetland,Bareland
160,NULL,Forest,Non_Water,Non_Wetland,Water
161,NULL,Forest,Non_Water,Non_Wetland,Forest
162,NULL,Forest,Water,Non_Wetland,Grassland
163,NULL,Forest,Water,Non_Wetland,Wetland
164,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
165,NULL,Forest,Water,Non_Wetland,Water
166,NULL,Forest,Water,Non_Wetland,Forest
167,Cropland,NULL,NULL,Non_Wetland,Grassland
168,Cropland,NULL,NULL,Non_Wetland,Wetland
169,Cropland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
170,Cropland,Grassland,NULL,Non_Wetland,Wetland
171,Cropland,Wetland,NULL,Wetland,Grassland
172,Cropland,Wetland,NULL,Wetland,Wetland
173,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
174,Cropland,Wetland,NULL,Wetland,Forest
175,Cropland,Wetland,Non_Water,Wetland,Wetland
176,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
177,Cropland,Bareland,NULL,Non_Wetland,Grassland
178,Cropland,Bareland,NULL,Non_Wetland,Wetland
179,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
180,Cropland,Bareland,NULL,Non_Wetland,Bareland
181,Cropland,Bareland,NULL,Non_Wetland,Forest
182,Cropland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
183,Cropland,Built-up,NULL,Non_Wetland,Wetland
184,Cropland,Built-up,NULL,Non_Wetland,Forest
185,Cropland,Water,NULL,Water,Water
186,Cropland,Water,Water,Water,Water
187,Cropland,Forest,NULL,Non_Wetland,Grassland
188,Cropland,Forest,NULL,Non_Wetland,Wetland
189,Cropland,Forest,NULL,Non_Wetland,Forest
190,Wetland,NULL,NULL,Non_Wetland,NULL
191,Wetland,NULL,NULL,Non_Wetland,Grassland
192,Wetland,NULL,NULL,Non_Wetland,Wetland
193,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
194,Wetland,NULL,NULL,Non_Wetland,Water
195,Wetland,NULL,NULL,Non_Wetland,Forest
196,Wetland,NULL,Non_Water,Non_Wetland,Grassland
197,Wetland,NULL,Non_Water,Non_Wetland,Wetland
198,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
199,Wetland,NULL,Non_Water,Non_Wetland,Bareland
200,Wetland,NULL,Non_Water,Non_Wetland,Water
201,Wetland,NULL,Non_Water,Non_Wetland,Forest
202,Wetland,NULL,Water,Non_Wetland,Grassland
203,Wetland,NULL,Water,Non_Wetland,Wetland
204,Wetland,NULL,Water,Non_Wetland,Water
205,Wetland,NULL,Water,Non_Wetland,Forest
206,Wetland,Shrubland,NULL,Non_Wetland,NULL
207,Wetland,Shrubland,NULL,Non_Wetland,Grassland
208,Wetland,Shrubland,NULL,Non_Wetland,Wetland
209,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
210,Wetland,Shrubland,NULL,Non_Wetland,Bareland
211,Wetland,Shrubland,NULL,Non_Wetland,Built-up
212,Wetland,Shrubland,NULL,Non_Wetland,Water
213,Wetland,Shrubland,NULL,Non_Wetland,Forest
214,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
215,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
216,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
217,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
218,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
219,Wetland,Shrubland,Non_Water,Non_Wetland,Water
220,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
221,Wetland,Shrubland,Water,Non_Wetland,Grassland
222,Wetland,Shrubland,Water,Non_Wetland,Wetland
223,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
224,Wetland,Shrubland,Water,Non_Wetland,Bareland
225,Wetland,Shrubland,Water,Non_Wetland,Water
226,Wetland,Shrubland,Water,Non_Wetland,Forest
227,Wetland,Grassland,NULL,Non_Wetland,Grassland
228,Wetland,Grassland,NULL,Non_Wetland,Wetland
229,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
230,Wetland,Grassland,NULL,Non_Wetland,Built-up
231,Wetland,Grassland,NULL,Non_Wetland,Water
232,Wetland,Grassland,NULL,Non_Wetland,Forest
233,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
234,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
235,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
236,Wetland,Grassland,Non_Water,Non_Wetland,Forest
237,Wetland,Grassland,Water,Non_Wetland,Grassland
238,Wetland,Grassland,Water,Non_Wetland,Wetland
239,Wetland,Grassland,Water,Non_Wetland,Forest
240,Wetland,Cropland,NULL,Non_Wetland,Grassland
241,Wetland,Cropland,NULL,Non_Wetland,Wetland
242,Wetland,Cropland,NULL,Non_Wetland,Bareland
243,Wetland,Cropland,NULL,Non_Wetland,Forest
244,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
245,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
246,Wetland,Wetland,NULL,Wetland,NULL
247,Wetland,Wetland,NULL,Wetland,Grassland
248,Wetland,Wetland,NULL,Wetland,Wetland
249,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
250,Wetland,Wetland,NULL,Wetland,Bareland
251,Wetland,Wetland,NULL,Wetland,Water
252,Wetland,Wetland,NULL,Wetland,Forest
253,Wetland,Wetland,Non_Water,Wetland,Grassland
254,Wetland,Wetland,Non_Water,Wetland,Wetland
255,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
256,Wetland,Wetland,Non_Water,Wetland,Bareland
257,Wetland,Wetland,Non_Water,Wetland,Water
