Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPV_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPV_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPV_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPV_M_R,SIBERIA_2024_WorldCover_2021_44WPV_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Water
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
14,NULL,NULL,Water,Non_Wetland,Water
15,NULL,NULL,Water,Non_Wetland,Forest
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,Shrubland,NULL,Non_Wetland,Water
21,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
23,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
25,NULL,Shrubland,Non_Water,Non_Wetland,Water
26,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,Shrubland,Water,Non_Wetland,Grassland
28,NULL,Shrubland,Water,Non_Wetland,Wetland
29,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
30,NULL,Shrubland,Water,Non_Wetland,Water
31,NULL,Shrubland,Water,Non_Wetland,Forest
32,NULL,Grassland,NULL,Non_Wetland,Grassland
33,NULL,Grassland,NULL,Non_Wetland,Wetland
34,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Grassland,NULL,Non_Wetland,Bareland
36,NULL,Grassland,NULL,Non_Wetland,Water
37,NULL,Grassland,NULL,Non_Wetland,Forest
38,NULL,Grassland,Non_Water,Non_Wetland,Grassland
39,NULL,Grassland,Non_Water,Non_Wetland,Wetland
40,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
41,NULL,Grassland,Non_Water,Non_Wetland,Water
42,NULL,Grassland,Non_Water,Non_Wetland,Forest
43,NULL,Grassland,Water,Non_Wetland,Grassland
44,NULL,Grassland,Water,Non_Wetland,Wetland
45,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
46,NULL,Grassland,Water,Non_Wetland,Water
47,NULL,Grassland,Water,Non_Wetland,Forest
48,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,Wetland,NULL,Wetland,Wetland
50,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
51,NULL,Wetland,NULL,Wetland,Water
52,NULL,Wetland,NULL,Wetland,Forest
53,NULL,Wetland,Non_Water,Wetland,Grassland
54,NULL,Wetland,Non_Water,Wetland,Wetland
55,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
56,NULL,Wetland,Non_Water,Wetland,Water
57,NULL,Wetland,Non_Water,Wetland,Forest
58,NULL,Wetland,Water,Wetland,Grassland
59,NULL,Wetland,Water,Wetland,Wetland
60,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
61,NULL,Wetland,Water,Wetland,Water
62,NULL,Wetland,Water,Wetland,Forest
63,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
64,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
65,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
66,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
67,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
68,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
69,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
70,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
71,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
72,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
73,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
74,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
75,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
76,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
77,NULL,Bareland,NULL,Non_Wetland,Grassland
78,NULL,Bareland,NULL,Non_Wetland,Wetland
79,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
80,NULL,Bareland,NULL,Non_Wetland,Bareland
81,NULL,Bareland,NULL,Non_Wetland,Water
82,NULL,Bareland,NULL,Non_Wetland,Forest
83,NULL,Bareland,Non_Water,Non_Wetland,Grassland
84,NULL,Bareland,Non_Water,Non_Wetland,Wetland
85,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
86,NULL,Bareland,Non_Water,Non_Wetland,Bareland
87,NULL,Bareland,Non_Water,Non_Wetland,Water
88,NULL,Bareland,Non_Water,Non_Wetland,Forest
89,NULL,Bareland,Water,Non_Wetland,Grassland
90,NULL,Bareland,Water,Non_Wetland,Wetland
91,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
92,NULL,Bareland,Water,Non_Wetland,Bareland
93,NULL,Bareland,Water,Non_Wetland,Water
94,NULL,Bareland,Water,Non_Wetland,Forest
95,NULL,Built-up,NULL,Non_Wetland,Grassland
96,NULL,Built-up,NULL,Non_Wetland,Wetland
97,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
98,NULL,Built-up,NULL,Non_Wetland,Bareland
99,NULL,Built-up,NULL,Non_Wetland,Water
100,NULL,Built-up,NULL,Non_Wetland,Forest
101,NULL,Built-up,Non_Water,Non_Wetland,Grassland
102,NULL,Built-up,Non_Water,Non_Wetland,Wetland
103,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
104,NULL,Built-up,Non_Water,Non_Wetland,Bareland
105,NULL,Built-up,Non_Water,Non_Wetland,Water
106,NULL,Built-up,Non_Water,Non_Wetland,Forest
107,NULL,Built-up,Water,Non_Wetland,Grassland
108,NULL,Built-up,Water,Non_Wetland,Wetland
109,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Built-up,Water,Non_Wetland,Bareland
111,NULL,Built-up,Water,Non_Wetland,Water
112,NULL,Water,NULL,Water,Grassland
113,NULL,Water,NULL,Water,Wetland
114,NULL,Water,NULL,Water,Lichens_and_Mosses
115,NULL,Water,NULL,Water,Water
116,NULL,Water,NULL,Water,Forest
117,NULL,Water,Non_Water,Water,Grassland
118,NULL,Water,Non_Water,Water,Wetland
119,NULL,Water,Non_Water,Water,Lichens_and_Mosses
120,NULL,Water,Non_Water,Water,Water
121,NULL,Water,Non_Water,Water,Forest
122,NULL,Water,Water,Water,Grassland
123,NULL,Water,Water,Water,Wetland
124,NULL,Water,Water,Water,Lichens_and_Mosses
125,NULL,Water,Water,Water,Water
126,NULL,Water,Water,Water,Forest
127,NULL,Forest,NULL,Non_Wetland,Grassland
128,NULL,Forest,NULL,Non_Wetland,Wetland
129,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
130,NULL,Forest,NULL,Non_Wetland,Bareland
131,NULL,Forest,NULL,Non_Wetland,Water
132,NULL,Forest,NULL,Non_Wetland,Forest
133,NULL,Forest,Non_Water,Non_Wetland,Grassland
134,NULL,Forest,Non_Water,Non_Wetland,Wetland
135,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
136,NULL,Forest,Non_Water,Non_Wetland,Bareland
137,NULL,Forest,Non_Water,Non_Wetland,Water
138,NULL,Forest,Non_Water,Non_Wetland,Forest
139,NULL,Forest,Water,Non_Wetland,Grassland
140,NULL,Forest,Water,Non_Wetland,Wetland
141,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
142,NULL,Forest,Water,Non_Wetland,Water
143,NULL,Forest,Water,Non_Wetland,Forest
144,Wetland,NULL,NULL,Non_Wetland,Grassland
145,Wetland,NULL,NULL,Non_Wetland,Wetland
146,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
147,Wetland,NULL,NULL,Non_Wetland,Water
148,Wetland,NULL,NULL,Non_Wetland,Forest
149,Wetland,NULL,Non_Water,Non_Wetland,Grassland
150,Wetland,NULL,Non_Water,Non_Wetland,Wetland
151,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
152,Wetland,NULL,Non_Water,Non_Wetland,Water
153,Wetland,NULL,Non_Water,Non_Wetland,Forest
154,Wetland,NULL,Water,Non_Wetland,Grassland
155,Wetland,NULL,Water,Non_Wetland,Wetland
156,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
157,Wetland,NULL,Water,Non_Wetland,Bareland
158,Wetland,NULL,Water,Non_Wetland,Water
159,Wetland,NULL,Water,Non_Wetland,Forest
160,Wetland,Shrubland,NULL,Non_Wetland,Grassland
161,Wetland,Shrubland,NULL,Non_Wetland,Wetland
162,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
163,Wetland,Shrubland,NULL,Non_Wetland,Bareland
164,Wetland,Shrubland,NULL,Non_Wetland,Water
165,Wetland,Shrubland,NULL,Non_Wetland,Forest
166,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
167,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
