Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VWK_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VWK_M_R,SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,SIBERIA_2024_WorldCover_2021_45VWK_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Non_Water,Non_Wetland,Forest
7,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Water,Non_Wetland,Wetland
9,NULL,NULL,Water,Non_Wetland,Water
10,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,Shrubland,Non_Water,Non_Wetland,Forest
17,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,Shrubland,Water,Non_Wetland,Wetland
19,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
20,NULL,Shrubland,Water,Non_Wetland,Bareland
21,NULL,Shrubland,Water,Non_Wetland,Water
22,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
28,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,Grassland,Non_Water,Non_Wetland,Wetland
32,NULL,Grassland,Non_Water,Non_Wetland,Forest
33,NULL,Grassland,Water,Non_Wetland,Grassland
34,NULL,Grassland,Water,Non_Wetland,Wetland
35,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
36,NULL,Grassland,Water,Non_Wetland,Water
37,NULL,Grassland,Water,Non_Wetland,Forest
38,NULL,Cropland,NULL,Non_Wetland,Forest
39,NULL,Wetland,NULL,Wetland,NULL
40,NULL,Wetland,NULL,Wetland,Grassland
41,NULL,Wetland,NULL,Wetland,Wetland
42,NULL,Wetland,NULL,Wetland,Water
43,NULL,Wetland,NULL,Wetland,Forest
44,NULL,Wetland,Non_Water,Wetland,NULL
45,NULL,Wetland,Non_Water,Wetland,Grassland
46,NULL,Wetland,Non_Water,Wetland,Wetland
47,NULL,Wetland,Non_Water,Wetland,Water
48,NULL,Wetland,Non_Water,Wetland,Forest
49,NULL,Wetland,Water,Wetland,NULL
50,NULL,Wetland,Water,Wetland,Grassland
51,NULL,Wetland,Water,Wetland,Wetland
52,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
53,NULL,Wetland,Water,Wetland,Bareland
54,NULL,Wetland,Water,Wetland,Water
55,NULL,Wetland,Water,Wetland,Forest
56,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
57,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
58,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
59,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
60,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
61,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
62,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
63,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
64,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
65,NULL,Bareland,NULL,Non_Wetland,NULL
66,NULL,Bareland,NULL,Non_Wetland,Grassland
67,NULL,Bareland,NULL,Non_Wetland,Wetland
68,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
69,NULL,Bareland,NULL,Non_Wetland,Bareland
70,NULL,Bareland,NULL,Non_Wetland,Water
71,NULL,Bareland,NULL,Non_Wetland,Forest
72,NULL,Bareland,Non_Water,Non_Wetland,Wetland
73,NULL,Bareland,Non_Water,Non_Wetland,Forest
74,NULL,Bareland,Water,Non_Wetland,Grassland
75,NULL,Bareland,Water,Non_Wetland,Wetland
76,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
77,NULL,Bareland,Water,Non_Wetland,Bareland
78,NULL,Bareland,Water,Non_Wetland,Water
79,NULL,Bareland,Water,Non_Wetland,Forest
80,NULL,Built-up,NULL,Non_Wetland,NULL
81,NULL,Built-up,NULL,Non_Wetland,Grassland
82,NULL,Built-up,NULL,Non_Wetland,Wetland
83,NULL,Built-up,NULL,Non_Wetland,Forest
84,NULL,Built-up,Non_Water,Non_Wetland,Grassland
85,NULL,Built-up,Non_Water,Non_Wetland,Forest
86,NULL,Built-up,Water,Non_Wetland,Grassland
87,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
88,NULL,Built-up,Water,Non_Wetland,Water
89,NULL,Water,NULL,Water,Grassland
90,NULL,Water,NULL,Water,Wetland
91,NULL,Water,NULL,Water,Water
92,NULL,Water,NULL,Water,Forest
93,NULL,Water,Non_Water,Water,Wetland
94,NULL,Water,Non_Water,Water,Water
95,NULL,Water,Water,Water,NULL
96,NULL,Water,Water,Water,Grassland
97,NULL,Water,Water,Water,Wetland
98,NULL,Water,Water,Water,Lichens_and_Mosses
99,NULL,Water,Water,Water,Bareland
100,NULL,Water,Water,Water,Water
101,NULL,Water,Water,Water,Forest
102,NULL,Forest,NULL,Non_Wetland,NULL
103,NULL,Forest,NULL,Non_Wetland,Grassland
104,NULL,Forest,NULL,Non_Wetland,Cropland
105,NULL,Forest,NULL,Non_Wetland,Wetland
106,NULL,Forest,NULL,Non_Wetland,Water
107,NULL,Forest,NULL,Non_Wetland,Forest
108,NULL,Forest,Non_Water,Non_Wetland,Grassland
109,NULL,Forest,Non_Water,Non_Wetland,Wetland
110,NULL,Forest,Non_Water,Non_Wetland,Forest
111,NULL,Forest,Water,Non_Wetland,Grassland
112,NULL,Forest,Water,Non_Wetland,Wetland
113,NULL,Forest,Water,Non_Wetland,Water
114,NULL,Forest,Water,Non_Wetland,Forest
115,Cropland,NULL,NULL,Non_Wetland,Wetland
116,Cropland,NULL,NULL,Non_Wetland,Forest
117,Cropland,Shrubland,NULL,Non_Wetland,NULL
118,Cropland,Shrubland,NULL,Non_Wetland,Grassland
119,Cropland,Shrubland,NULL,Non_Wetland,Wetland
120,Cropland,Shrubland,NULL,Non_Wetland,Forest
121,Cropland,Grassland,NULL,Non_Wetland,Grassland
122,Cropland,Grassland,NULL,Non_Wetland,Forest
123,Cropland,Grassland,Water,Non_Wetland,Grassland
124,Cropland,Grassland,Water,Non_Wetland,Wetland
125,Cropland,Wetland,NULL,Wetland,NULL
126,Cropland,Wetland,NULL,Wetland,Grassland
127,Cropland,Wetland,NULL,Wetland,Wetland
128,Cropland,Wetland,NULL,Wetland,Forest
129,Cropland,Wetland,Non_Water,Wetland,Wetland
130,Cropland,Bareland,NULL,Non_Wetland,NULL
131,Cropland,Bareland,NULL,Non_Wetland,Grassland
132,Cropland,Bareland,NULL,Non_Wetland,Wetland
133,Cropland,Bareland,NULL,Non_Wetland,Forest
134,Cropland,Built-up,NULL,Non_Wetland,Grassland
135,Cropland,Built-up,NULL,Non_Wetland,Forest
136,Cropland,Forest,NULL,Non_Wetland,NULL
137,Cropland,Forest,NULL,Non_Wetland,Grassland
138,Cropland,Forest,NULL,Non_Wetland,Wetland
139,Cropland,Forest,NULL,Non_Wetland,Forest
140,Wetland,NULL,NULL,Non_Wetland,Grassland
141,Wetland,NULL,NULL,Non_Wetland,Wetland
142,Wetland,NULL,NULL,Non_Wetland,Water
143,Wetland,NULL,NULL,Non_Wetland,Forest
144,Wetland,NULL,Non_Water,Non_Wetland,Grassland
145,Wetland,NULL,Non_Water,Non_Wetland,Water
146,Wetland,NULL,Non_Water,Non_Wetland,Forest
147,Wetland,NULL,Water,Non_Wetland,Grassland
148,Wetland,NULL,Water,Non_Wetland,Wetland
149,Wetland,NULL,Water,Non_Wetland,Water
150,Wetland,NULL,Water,Non_Wetland,Forest
151,Wetland,Shrubland,NULL,Non_Wetland,NULL
152,Wetland,Shrubland,NULL,Non_Wetland,Grassland
153,Wetland,Shrubland,NULL,Non_Wetland,Wetland
154,Wetland,Shrubland,NULL,Non_Wetland,Forest
155,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
156,Wetland,Shrubland,Water,Non_Wetland,Grassland
157,Wetland,Shrubland,Water,Non_Wetland,Wetland
158,Wetland,Shrubland,Water,Non_Wetland,Water
159,Wetland,Shrubland,Water,Non_Wetland,Forest
160,Wetland,Grassland,NULL,Non_Wetland,Grassland
161,Wetland,Grassland,NULL,Non_Wetland,Wetland
162,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
163,Wetland,Grassland,NULL,Non_Wetland,Forest
164,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
165,Wetland,Grassland,Non_Water,Non_Wetland,Forest
166,Wetland,Grassland,Water,Non_Wetland,Grassland
167,Wetland,Grassland,Water,Non_Wetland,Wetland
168,Wetland,Grassland,Water,Non_Wetland,Forest
169,Wetland,Wetland,NULL,Wetland,NULL
170,Wetland,Wetland,NULL,Wetland,Grassland
171,Wetland,Wetland,NULL,Wetland,Wetland
172,Wetland,Wetland,NULL,Wetland,Water
173,Wetland,Wetland,NULL,Wetland,Forest
174,Wetland,Wetland,Non_Water,Wetland,Wetland
175,Wetland,Wetland,Non_Water,Wetland,Water
176,Wetland,Wetland,Non_Water,Wetland,Forest
177,Wetland,Wetland,Water,Wetland,Grassland
178,Wetland,Wetland,Water,Wetland,Wetland
179,Wetland,Wetland,Water,Wetland,Bareland
180,Wetland,Wetland,Water,Wetland,Water
181,Wetland,Wetland,Water,Wetland,Forest
182,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
183,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
184,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
185,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
186,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
187,Wetland,Bareland,NULL,Non_Wetland,NULL
188,Wetland,Bareland,NULL,Non_Wetland,Grassland
189,Wetland,Bareland,NULL,Non_Wetland,Wetland
190,Wetland,Bareland,NULL,Non_Wetland,Water
191,Wetland,Bareland,NULL,Non_Wetland,Forest
192,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
193,Wetland,Bareland,Water,Non_Wetland,Grassland
194,Wetland,Bareland,Water,Non_Wetland,Wetland
195,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
196,Wetland,Bareland,Water,Non_Wetland,Bareland
197,Wetland,Bareland,Water,Non_Wetland,Water
198,Wetland,Bareland,Water,Non_Wetland,Forest
199,Wetland,Built-up,NULL,Non_Wetland,Wetland
200,Wetland,Built-up,NULL,Non_Wetland,Forest
201,Wetland,Built-up,Water,Non_Wetland,Grassland
202,Wetland,Built-up,Water,Non_Wetland,Wetland
203,Wetland,Water,NULL,Water,Grassland
204,Wetland,Water,NULL,Water,Wetland
205,Wetland,Water,NULL,Water,Water
206,Wetland,Water,NULL,Water,Forest
207,Wetland,Water,Non_Water,Water,Wetland
208,Wetland,Water,Non_Water,Water,Water
209,Wetland,Water,Non_Water,Water,Forest
210,Wetland,Water,Water,Water,Grassland
211,Wetland,Water,Water,Water,Wetland
212,Wetland,Water,Water,Water,Lichens_and_Mosses
213,Wetland,Water,Water,Water,Bareland
214,Wetland,Water,Water,Water,Water
215,Wetland,Water,Water,Water,Forest
216,Wetland,Forest,NULL,Non_Wetland,NULL
217,Wetland,Forest,NULL,Non_Wetland,Grassland
218,Wetland,Forest,NULL,Non_Wetland,Wetland
219,Wetland,Forest,NULL,Non_Wetland,Water
220,Wetland,Forest,NULL,Non_Wetland,Forest
221,Wetland,Forest,Non_Water,Non_Wetland,Grassland
222,Wetland,Forest,Non_Water,Non_Wetland,Wetland
223,Wetland,Forest,Non_Water,Non_Wetland,Water
224,Wetland,Forest,Non_Water,Non_Wetland,Forest
225,Wetland,Forest,Water,Non_Wetland,Grassland
226,Wetland,Forest,Water,Non_Wetland,Wetland
227,Wetland,Forest,Water,Non_Wetland,Water
228,Wetland,Forest,Water,Non_Wetland,Forest
229,Bareland,NULL,NULL,Non_Wetland,Grassland
230,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
231,Bareland,NULL,NULL,Non_Wetland,Water
232,Bareland,NULL,NULL,Non_Wetland,Forest
233,Bareland,NULL,Water,Non_Wetland,Grassland
234,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
235,Bareland,NULL,Water,Non_Wetland,Bareland
236,Bareland,NULL,Water,Non_Wetland,Water
237,Bareland,Shrubland,NULL,Non_Wetland,Grassland
238,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
239,Bareland,Shrubland,NULL,Non_Wetland,Bareland
240,Bareland,Shrubland,NULL,Non_Wetland,Forest
241,Bareland,Shrubland,Water,Non_Wetland,Grassland
242,Bareland,Shrubland,Water,Non_Wetland,Wetland
243,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
244,Bareland,Shrubland,Water,Non_Wetland,Bareland
245,Bareland,Shrubland,Water,Non_Wetland,Water
246,Bareland,Grassland,NULL,Non_Wetland,Grassland
247,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
248,Bareland,Grassland,NULL,Non_Wetland,Bareland
249,Bareland,Grassland,NULL,Non_Wetland,Forest
250,Bareland,Grassland,Water,Non_Wetland,Grassland
251,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
252,Bareland,Grassland,Water,Non_Wetland,Bareland
253,Bareland,Grassland,Water,Non_Wetland,Water
254,Bareland,Grassland,Water,Non_Wetland,Forest
255,Bareland,Wetland,NULL,Wetland,Grassland
256,Bareland,Wetland,NULL,Wetland,Wetland
257,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
258,Bareland,Wetland,NULL,Wetland,Bareland
259,Bareland,Wetland,NULL,Wetland,Water
260,Bareland,Wetland,NULL,Wetland,Forest
261,Bareland,Wetland,Water,Wetland,Grassland
262,Bareland,Wetland,Water,Wetland,Wetland
263,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
264,Bareland,Wetland,Water,Wetland,Bareland
265,Bareland,Wetland,Water,Wetland,Water
266,Bareland,Wetland,Water,Wetland,Forest
267,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
268,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
