Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VVH_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VVH_M_R,SIBERIA_2024_GSW_Yearly_2021_45VVH_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VVH_M_R,SIBERIA_2024_WorldCover_2021_45VVH_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Water
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Forest
13,NULL,Shrubland,NULL,Non_Wetland,NULL
14,NULL,Shrubland,NULL,Non_Wetland,Grassland
15,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
17,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
20,NULL,Shrubland,Non_Water,Non_Wetland,Forest
21,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,Shrubland,Water,Non_Wetland,Forest
23,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,Grassland,NULL,Non_Wetland,Wetland
26,NULL,Grassland,NULL,Non_Wetland,Forest
27,NULL,Grassland,Non_Water,Non_Wetland,Forest
28,NULL,Grassland,Water,Non_Wetland,Grassland
29,NULL,Grassland,Water,Non_Wetland,Forest
30,NULL,Cropland,NULL,Non_Wetland,Grassland
31,NULL,Cropland,NULL,Non_Wetland,Forest
32,NULL,Wetland,NULL,Wetland,NULL
33,NULL,Wetland,NULL,Wetland,Grassland
34,NULL,Wetland,NULL,Wetland,Wetland
35,NULL,Wetland,NULL,Wetland,Water
36,NULL,Wetland,NULL,Wetland,Forest
37,NULL,Wetland,Non_Water,Wetland,NULL
38,NULL,Wetland,Non_Water,Wetland,Grassland
39,NULL,Wetland,Non_Water,Wetland,Wetland
40,NULL,Wetland,Non_Water,Wetland,Water
41,NULL,Wetland,Non_Water,Wetland,Forest
42,NULL,Wetland,Water,Wetland,NULL
43,NULL,Wetland,Water,Wetland,Grassland
44,NULL,Wetland,Water,Wetland,Wetland
45,NULL,Wetland,Water,Wetland,Water
46,NULL,Wetland,Water,Wetland,Forest
47,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
48,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
49,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
50,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
51,NULL,Bareland,NULL,Non_Wetland,NULL
52,NULL,Bareland,NULL,Non_Wetland,Grassland
53,NULL,Bareland,NULL,Non_Wetland,Wetland
54,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
55,NULL,Bareland,NULL,Non_Wetland,Bareland
56,NULL,Bareland,NULL,Non_Wetland,Built-up
57,NULL,Bareland,NULL,Non_Wetland,Water
58,NULL,Bareland,NULL,Non_Wetland,Forest
59,NULL,Bareland,Non_Water,Non_Wetland,NULL
60,NULL,Bareland,Non_Water,Non_Wetland,Grassland
61,NULL,Bareland,Non_Water,Non_Wetland,Wetland
62,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
63,NULL,Bareland,Non_Water,Non_Wetland,Forest
64,NULL,Bareland,Water,Non_Wetland,Grassland
65,NULL,Bareland,Water,Non_Wetland,Wetland
66,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
67,NULL,Bareland,Water,Non_Wetland,Bareland
68,NULL,Bareland,Water,Non_Wetland,Water
69,NULL,Bareland,Water,Non_Wetland,Forest
70,NULL,Built-up,NULL,Non_Wetland,NULL
71,NULL,Built-up,NULL,Non_Wetland,Grassland
72,NULL,Built-up,NULL,Non_Wetland,Wetland
73,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
74,NULL,Built-up,NULL,Non_Wetland,Built-up
75,NULL,Built-up,NULL,Non_Wetland,Forest
76,NULL,Built-up,Non_Water,Non_Wetland,Forest
77,NULL,Built-up,Water,Non_Wetland,Forest
78,NULL,Water,NULL,Water,NULL
79,NULL,Water,NULL,Water,Grassland
80,NULL,Water,NULL,Water,Wetland
81,NULL,Water,NULL,Water,Water
82,NULL,Water,NULL,Water,Forest
83,NULL,Water,Non_Water,Water,Wetland
84,NULL,Water,Non_Water,Water,Forest
85,NULL,Water,Water,Water,Grassland
86,NULL,Water,Water,Water,Wetland
87,NULL,Water,Water,Water,Water
88,NULL,Water,Water,Water,Forest
89,NULL,Forest,NULL,Non_Wetland,NULL
90,NULL,Forest,NULL,Non_Wetland,Grassland
91,NULL,Forest,NULL,Non_Wetland,Wetland
92,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
93,NULL,Forest,NULL,Non_Wetland,Bareland
94,NULL,Forest,NULL,Non_Wetland,Water
95,NULL,Forest,NULL,Non_Wetland,Forest
96,NULL,Forest,Non_Water,Non_Wetland,Grassland
97,NULL,Forest,Non_Water,Non_Wetland,Wetland
98,NULL,Forest,Non_Water,Non_Wetland,Forest
99,NULL,Forest,Water,Non_Wetland,Grassland
100,NULL,Forest,Water,Non_Wetland,Wetland
101,NULL,Forest,Water,Non_Wetland,Forest
102,Cropland,NULL,NULL,Non_Wetland,NULL
103,Cropland,NULL,NULL,Non_Wetland,Forest
104,Cropland,Shrubland,NULL,Non_Wetland,NULL
105,Cropland,Shrubland,NULL,Non_Wetland,Grassland
106,Cropland,Shrubland,NULL,Non_Wetland,Wetland
107,Cropland,Shrubland,NULL,Non_Wetland,Forest
108,Cropland,Cropland,NULL,Non_Wetland,Forest
109,Cropland,Wetland,NULL,Wetland,NULL
110,Cropland,Wetland,NULL,Wetland,Grassland
111,Cropland,Wetland,NULL,Wetland,Wetland
112,Cropland,Wetland,NULL,Wetland,Forest
113,Cropland,Wetland,Non_Water,Wetland,Wetland
114,Cropland,Wetland,Water,Wetland,Wetland
115,Cropland,Bareland,NULL,Non_Wetland,NULL
116,Cropland,Bareland,NULL,Non_Wetland,Grassland
117,Cropland,Bareland,NULL,Non_Wetland,Wetland
118,Cropland,Bareland,NULL,Non_Wetland,Forest
119,Cropland,Built-up,NULL,Non_Wetland,Forest
120,Cropland,Water,Water,Water,Wetland
121,Cropland,Forest,NULL,Non_Wetland,NULL
122,Cropland,Forest,NULL,Non_Wetland,Grassland
123,Cropland,Forest,NULL,Non_Wetland,Wetland
124,Cropland,Forest,NULL,Non_Wetland,Forest
125,Cropland,Forest,Water,Non_Wetland,Forest
126,Wetland,NULL,NULL,Non_Wetland,NULL
127,Wetland,NULL,NULL,Non_Wetland,Grassland
128,Wetland,NULL,NULL,Non_Wetland,Wetland
129,Wetland,NULL,NULL,Non_Wetland,Water
130,Wetland,NULL,NULL,Non_Wetland,Forest
131,Wetland,NULL,Non_Water,Non_Wetland,Wetland
132,Wetland,NULL,Non_Water,Non_Wetland,Water
133,Wetland,NULL,Non_Water,Non_Wetland,Forest
134,Wetland,NULL,Water,Non_Wetland,Grassland
135,Wetland,NULL,Water,Non_Wetland,Wetland
136,Wetland,NULL,Water,Non_Wetland,Water
137,Wetland,NULL,Water,Non_Wetland,Forest
138,Wetland,Shrubland,NULL,Non_Wetland,NULL
139,Wetland,Shrubland,NULL,Non_Wetland,Grassland
140,Wetland,Shrubland,NULL,Non_Wetland,Wetland
141,Wetland,Shrubland,NULL,Non_Wetland,Water
142,Wetland,Shrubland,NULL,Non_Wetland,Forest
143,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
144,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
145,Wetland,Shrubland,Water,Non_Wetland,Grassland
146,Wetland,Shrubland,Water,Non_Wetland,Wetland
147,Wetland,Shrubland,Water,Non_Wetland,Water
148,Wetland,Shrubland,Water,Non_Wetland,Forest
149,Wetland,Grassland,NULL,Non_Wetland,Grassland
150,Wetland,Grassland,NULL,Non_Wetland,Wetland
151,Wetland,Grassland,NULL,Non_Wetland,Bareland
152,Wetland,Grassland,NULL,Non_Wetland,Water
153,Wetland,Grassland,NULL,Non_Wetland,Forest
154,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
155,Wetland,Grassland,Non_Water,Non_Wetland,Forest
156,Wetland,Grassland,Water,Non_Wetland,Grassland
157,Wetland,Grassland,Water,Non_Wetland,Forest
158,Wetland,Cropland,NULL,Non_Wetland,Forest
159,Wetland,Wetland,NULL,Wetland,NULL
160,Wetland,Wetland,NULL,Wetland,Grassland
161,Wetland,Wetland,NULL,Wetland,Wetland
162,Wetland,Wetland,NULL,Wetland,Water
163,Wetland,Wetland,NULL,Wetland,Forest
164,Wetland,Wetland,Non_Water,Wetland,NULL
165,Wetland,Wetland,Non_Water,Wetland,Grassland
166,Wetland,Wetland,Non_Water,Wetland,Wetland
167,Wetland,Wetland,Non_Water,Wetland,Water
168,Wetland,Wetland,Non_Water,Wetland,Forest
169,Wetland,Wetland,Water,Wetland,NULL
170,Wetland,Wetland,Water,Wetland,Grassland
171,Wetland,Wetland,Water,Wetland,Wetland
172,Wetland,Wetland,Water,Wetland,Water
173,Wetland,Wetland,Water,Wetland,Forest
174,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
175,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
176,Wetland,Bareland,NULL,Non_Wetland,NULL
177,Wetland,Bareland,NULL,Non_Wetland,Grassland
178,Wetland,Bareland,NULL,Non_Wetland,Wetland
179,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
180,Wetland,Bareland,NULL,Non_Wetland,Water
181,Wetland,Bareland,NULL,Non_Wetland,Forest
182,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
183,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
184,Wetland,Bareland,Non_Water,Non_Wetland,Water
185,Wetland,Bareland,Non_Water,Non_Wetland,Forest
186,Wetland,Bareland,Water,Non_Wetland,Grassland
187,Wetland,Bareland,Water,Non_Wetland,Wetland
188,Wetland,Bareland,Water,Non_Wetland,Water
189,Wetland,Bareland,Water,Non_Wetland,Forest
190,Wetland,Built-up,NULL,Non_Wetland,NULL
191,Wetland,Built-up,NULL,Non_Wetland,Grassland
192,Wetland,Built-up,NULL,Non_Wetland,Wetland
193,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
194,Wetland,Built-up,NULL,Non_Wetland,Water
195,Wetland,Built-up,NULL,Non_Wetland,Forest
196,Wetland,Built-up,Non_Water,Non_Wetland,Forest
197,Wetland,Built-up,Water,Non_Wetland,Wetland
198,Wetland,Built-up,Water,Non_Wetland,Water
199,Wetland,Built-up,Water,Non_Wetland,Forest
200,Wetland,Water,NULL,Water,NULL
201,Wetland,Water,NULL,Water,Grassland
202,Wetland,Water,NULL,Water,Wetland
203,Wetland,Water,NULL,Water,Water
204,Wetland,Water,NULL,Water,Forest
205,Wetland,Water,Non_Water,Water,Grassland
206,Wetland,Water,Non_Water,Water,Wetland
207,Wetland,Water,Non_Water,Water,Water
208,Wetland,Water,Non_Water,Water,Forest
209,Wetland,Water,Water,Water,NULL
210,Wetland,Water,Water,Water,Grassland
211,Wetland,Water,Water,Water,Wetland
212,Wetland,Water,Water,Water,Lichens_and_Mosses
213,Wetland,Water,Water,Water,Water
214,Wetland,Water,Water,Water,Forest
215,Wetland,Forest,NULL,Non_Wetland,NULL
216,Wetland,Forest,NULL,Non_Wetland,Grassland
217,Wetland,Forest,NULL,Non_Wetland,Wetland
218,Wetland,Forest,NULL,Non_Wetland,Water
219,Wetland,Forest,NULL,Non_Wetland,Forest
220,Wetland,Forest,Non_Water,Non_Wetland,Grassland
221,Wetland,Forest,Non_Water,Non_Wetland,Wetland
222,Wetland,Forest,Non_Water,Non_Wetland,Water
223,Wetland,Forest,Non_Water,Non_Wetland,Forest
224,Wetland,Forest,Water,Non_Wetland,NULL
225,Wetland,Forest,Water,Non_Wetland,Grassland
226,Wetland,Forest,Water,Non_Wetland,Wetland
227,Wetland,Forest,Water,Non_Wetland,Water
228,Wetland,Forest,Water,Non_Wetland,Forest
229,Bareland,NULL,NULL,Non_Wetland,Grassland
230,Bareland,NULL,NULL,Non_Wetland,Water
231,Bareland,NULL,NULL,Non_Wetland,Forest
232,Bareland,Shrubland,Water,Non_Wetland,Grassland
233,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
234,Bareland,Grassland,NULL,Non_Wetland,Grassland
235,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
236,Bareland,Grassland,NULL,Non_Wetland,Bareland
237,Bareland,Grassland,NULL,Non_Wetland,Forest
238,Bareland,Grassland,Water,Non_Wetland,Grassland
239,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
240,Bareland,Grassland,Water,Non_Wetland,Bareland
241,Bareland,Wetland,NULL,Wetland,Grassland
242,Bareland,Wetland,NULL,Wetland,Wetland
243,Bareland,Wetland,NULL,Wetland,Bareland
244,Bareland,Wetland,NULL,Wetland,Water
245,Bareland,Wetland,NULL,Wetland,Forest
246,Bareland,Wetland,Water,Wetland,Grassland
247,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
248,Bareland,Wetland,Water,Wetland,Bareland
249,Bareland,Wetland,Water,Wetland,Water
250,Bareland,Wetland,Water,Wetland,Forest
251,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
252,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
253,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
254,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
255,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
256,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
257,Bareland,Bareland,NULL,Non_Wetland,Grassland
258,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
259,Bareland,Bareland,NULL,Non_Wetland,Bareland
260,Bareland,Bareland,NULL,Non_Wetland,Forest
261,Bareland,Bareland,Water,Non_Wetland,Grassland
262,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
263,Bareland,Bareland,Water,Non_Wetland,Bareland
264,Bareland,Bareland,Water,Non_Wetland,Water
265,Bareland,Water,NULL,Water,Lichens_and_Mosses
266,Bareland,Water,NULL,Water,Bareland
267,Bareland,Water,NULL,Water,Forest
268,Bareland,Water,Water,Water,Grassland
269,Bareland,Water,Water,Water,Wetland
