Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VDH_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VDH_M_R,SIBERIA_2024_GSW_Yearly_2021_43VDH_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VDH_M_R,SIBERIA_2024_WorldCover_2021_43VDH_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,Non_Water,Non_Wetland,Wetland
9,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,Water,Non_Wetland,Grassland
11,NULL,NULL,Water,Non_Wetland,Wetland
12,NULL,NULL,Water,Non_Wetland,Bareland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
28,NULL,Shrubland,Non_Water,Non_Wetland,Water
29,NULL,Shrubland,Non_Water,Non_Wetland,Forest
30,NULL,Shrubland,Water,Non_Wetland,Grassland
31,NULL,Shrubland,Water,Non_Wetland,Wetland
32,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
33,NULL,Shrubland,Water,Non_Wetland,Bareland
34,NULL,Shrubland,Water,Non_Wetland,Built-up
35,NULL,Shrubland,Water,Non_Wetland,Water
36,NULL,Shrubland,Water,Non_Wetland,Forest
37,NULL,Grassland,NULL,Non_Wetland,NULL
38,NULL,Grassland,NULL,Non_Wetland,Grassland
39,NULL,Grassland,NULL,Non_Wetland,Wetland
40,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
41,NULL,Grassland,NULL,Non_Wetland,Bareland
42,NULL,Grassland,NULL,Non_Wetland,Built-up
43,NULL,Grassland,NULL,Non_Wetland,Forest
44,NULL,Grassland,Non_Water,Non_Wetland,Grassland
45,NULL,Grassland,Non_Water,Non_Wetland,Wetland
46,NULL,Grassland,Non_Water,Non_Wetland,Forest
47,NULL,Grassland,Water,Non_Wetland,Grassland
48,NULL,Grassland,Water,Non_Wetland,Wetland
49,NULL,Grassland,Water,Non_Wetland,Forest
50,NULL,Cropland,NULL,Non_Wetland,NULL
51,NULL,Cropland,NULL,Non_Wetland,Grassland
52,NULL,Cropland,NULL,Non_Wetland,Wetland
53,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
54,NULL,Cropland,NULL,Non_Wetland,Bareland
55,NULL,Cropland,NULL,Non_Wetland,Built-up
56,NULL,Cropland,NULL,Non_Wetland,Water
57,NULL,Cropland,NULL,Non_Wetland,Forest
58,NULL,Cropland,Non_Water,Non_Wetland,Grassland
59,NULL,Cropland,Water,Non_Wetland,Water
60,NULL,Wetland,NULL,Wetland,NULL
61,NULL,Wetland,NULL,Wetland,Grassland
62,NULL,Wetland,NULL,Wetland,Wetland
63,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
64,NULL,Wetland,NULL,Wetland,Bareland
65,NULL,Wetland,NULL,Wetland,Built-up
66,NULL,Wetland,NULL,Wetland,Water
67,NULL,Wetland,NULL,Wetland,Forest
68,NULL,Wetland,Non_Water,Wetland,NULL
69,NULL,Wetland,Non_Water,Wetland,Grassland
70,NULL,Wetland,Non_Water,Wetland,Wetland
71,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
72,NULL,Wetland,Non_Water,Wetland,Bareland
73,NULL,Wetland,Non_Water,Wetland,Built-up
74,NULL,Wetland,Non_Water,Wetland,Water
75,NULL,Wetland,Non_Water,Wetland,Forest
76,NULL,Wetland,Water,Wetland,NULL
77,NULL,Wetland,Water,Wetland,Grassland
78,NULL,Wetland,Water,Wetland,Wetland
79,NULL,Wetland,Water,Wetland,Built-up
80,NULL,Wetland,Water,Wetland,Water
81,NULL,Wetland,Water,Wetland,Forest
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
88,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
89,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
90,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
91,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
92,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
93,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
94,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
95,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
96,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
97,NULL,Bareland,NULL,Non_Wetland,NULL
98,NULL,Bareland,NULL,Non_Wetland,Grassland
99,NULL,Bareland,NULL,Non_Wetland,Wetland
100,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
101,NULL,Bareland,NULL,Non_Wetland,Bareland
102,NULL,Bareland,NULL,Non_Wetland,Built-up
103,NULL,Bareland,NULL,Non_Wetland,Water
104,NULL,Bareland,NULL,Non_Wetland,Forest
105,NULL,Bareland,Non_Water,Non_Wetland,NULL
106,NULL,Bareland,Non_Water,Non_Wetland,Grassland
107,NULL,Bareland,Non_Water,Non_Wetland,Wetland
108,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
109,NULL,Bareland,Non_Water,Non_Wetland,Bareland
110,NULL,Bareland,Non_Water,Non_Wetland,Built-up
111,NULL,Bareland,Non_Water,Non_Wetland,Water
112,NULL,Bareland,Non_Water,Non_Wetland,Forest
113,NULL,Bareland,Water,Non_Wetland,Grassland
114,NULL,Bareland,Water,Non_Wetland,Wetland
115,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
116,NULL,Bareland,Water,Non_Wetland,Bareland
117,NULL,Bareland,Water,Non_Wetland,Built-up
118,NULL,Bareland,Water,Non_Wetland,Water
119,NULL,Bareland,Water,Non_Wetland,Forest
120,NULL,Built-up,NULL,Non_Wetland,NULL
121,NULL,Built-up,NULL,Non_Wetland,Grassland
122,NULL,Built-up,NULL,Non_Wetland,Wetland
123,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
124,NULL,Built-up,NULL,Non_Wetland,Bareland
125,NULL,Built-up,NULL,Non_Wetland,Built-up
126,NULL,Built-up,NULL,Non_Wetland,Water
127,NULL,Built-up,NULL,Non_Wetland,Forest
128,NULL,Built-up,Non_Water,Non_Wetland,Grassland
129,NULL,Built-up,Non_Water,Non_Wetland,Wetland
130,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
131,NULL,Built-up,Non_Water,Non_Wetland,Bareland
132,NULL,Built-up,Non_Water,Non_Wetland,Built-up
133,NULL,Built-up,Non_Water,Non_Wetland,Water
134,NULL,Built-up,Non_Water,Non_Wetland,Forest
135,NULL,Built-up,Water,Non_Wetland,Grassland
136,NULL,Built-up,Water,Non_Wetland,Wetland
137,NULL,Built-up,Water,Non_Wetland,Bareland
138,NULL,Built-up,Water,Non_Wetland,Built-up
139,NULL,Built-up,Water,Non_Wetland,Water
140,NULL,Built-up,Water,Non_Wetland,Forest
141,NULL,Water,NULL,Water,NULL
142,NULL,Water,NULL,Water,Grassland
143,NULL,Water,NULL,Water,Wetland
144,NULL,Water,NULL,Water,Bareland
145,NULL,Water,NULL,Water,Built-up
146,NULL,Water,NULL,Water,Water
147,NULL,Water,NULL,Water,Forest
148,NULL,Water,Non_Water,Water,Wetland
149,NULL,Water,Non_Water,Water,Bareland
150,NULL,Water,Non_Water,Water,Built-up
151,NULL,Water,Non_Water,Water,Forest
152,NULL,Water,Water,Water,NULL
153,NULL,Water,Water,Water,Grassland
154,NULL,Water,Water,Water,Wetland
155,NULL,Water,Water,Water,Bareland
156,NULL,Water,Water,Water,Water
157,NULL,Water,Water,Water,Forest
158,NULL,Forest,NULL,Non_Wetland,NULL
159,NULL,Forest,NULL,Non_Wetland,Grassland
160,NULL,Forest,NULL,Non_Wetland,Wetland
161,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
162,NULL,Forest,NULL,Non_Wetland,Bareland
163,NULL,Forest,NULL,Non_Wetland,Built-up
164,NULL,Forest,NULL,Non_Wetland,Water
165,NULL,Forest,NULL,Non_Wetland,Forest
166,NULL,Forest,Non_Water,Non_Wetland,NULL
167,NULL,Forest,Non_Water,Non_Wetland,Grassland
168,NULL,Forest,Non_Water,Non_Wetland,Wetland
169,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
170,NULL,Forest,Non_Water,Non_Wetland,Bareland
171,NULL,Forest,Non_Water,Non_Wetland,Built-up
172,NULL,Forest,Non_Water,Non_Wetland,Water
173,NULL,Forest,Non_Water,Non_Wetland,Forest
174,NULL,Forest,Water,Non_Wetland,NULL
175,NULL,Forest,Water,Non_Wetland,Grassland
176,NULL,Forest,Water,Non_Wetland,Wetland
177,NULL,Forest,Water,Non_Wetland,Bareland
178,NULL,Forest,Water,Non_Wetland,Built-up
179,NULL,Forest,Water,Non_Wetland,Water
180,NULL,Forest,Water,Non_Wetland,Forest
181,Cropland,NULL,NULL,Non_Wetland,NULL
182,Cropland,NULL,NULL,Non_Wetland,Grassland
183,Cropland,NULL,NULL,Non_Wetland,Wetland
184,Cropland,NULL,NULL,Non_Wetland,Built-up
185,Cropland,NULL,NULL,Non_Wetland,Forest
186,Cropland,Shrubland,NULL,Non_Wetland,NULL
187,Cropland,Shrubland,NULL,Non_Wetland,Grassland
188,Cropland,Shrubland,NULL,Non_Wetland,Wetland
189,Cropland,Shrubland,NULL,Non_Wetland,Bareland
190,Cropland,Shrubland,NULL,Non_Wetland,Built-up
191,Cropland,Shrubland,NULL,Non_Wetland,Forest
192,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
193,Cropland,Shrubland,Water,Non_Wetland,Wetland
194,Cropland,Grassland,NULL,Non_Wetland,NULL
195,Cropland,Grassland,NULL,Non_Wetland,Grassland
196,Cropland,Grassland,NULL,Non_Wetland,Wetland
197,Cropland,Grassland,NULL,Non_Wetland,Bareland
198,Cropland,Grassland,NULL,Non_Wetland,Forest
199,Cropland,Cropland,NULL,Non_Wetland,Grassland
200,Cropland,Cropland,NULL,Non_Wetland,Wetland
201,Cropland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
202,Cropland,Cropland,NULL,Non_Wetland,Bareland
203,Cropland,Cropland,NULL,Non_Wetland,Forest
204,Cropland,Wetland,NULL,Wetland,NULL
205,Cropland,Wetland,NULL,Wetland,Grassland
206,Cropland,Wetland,NULL,Wetland,Wetland
207,Cropland,Wetland,NULL,Wetland,Bareland
208,Cropland,Wetland,NULL,Wetland,Built-up
209,Cropland,Wetland,NULL,Wetland,Forest
210,Cropland,Wetland,Non_Water,Wetland,NULL
211,Cropland,Wetland,Non_Water,Wetland,Grassland
212,Cropland,Wetland,Non_Water,Wetland,Wetland
213,Cropland,Wetland,Non_Water,Wetland,Forest
214,Cropland,Wetland,Water,Wetland,Wetland
215,Cropland,Wetland,Water,Wetland,Water
216,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
217,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
218,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
219,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
220,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
221,Cropland,Bareland,NULL,Non_Wetland,NULL
222,Cropland,Bareland,NULL,Non_Wetland,Grassland
223,Cropland,Bareland,NULL,Non_Wetland,Wetland
224,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
225,Cropland,Bareland,NULL,Non_Wetland,Bareland
226,Cropland,Bareland,NULL,Non_Wetland,Built-up
227,Cropland,Bareland,NULL,Non_Wetland,Water
228,Cropland,Bareland,NULL,Non_Wetland,Forest
229,Cropland,Bareland,Non_Water,Non_Wetland,NULL
230,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
231,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
232,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
233,Cropland,Bareland,Non_Water,Non_Wetland,Built-up
234,Cropland,Bareland,Non_Water,Non_Wetland,Water
235,Cropland,Bareland,Non_Water,Non_Wetland,Forest
236,Cropland,Bareland,Water,Non_Wetland,Grassland
237,Cropland,Bareland,Water,Non_Wetland,Wetland
238,Cropland,Bareland,Water,Non_Wetland,Bareland
239,Cropland,Bareland,Water,Non_Wetland,Built-up
240,Cropland,Bareland,Water,Non_Wetland,Forest
241,Cropland,Built-up,NULL,Non_Wetland,Grassland
242,Cropland,Built-up,NULL,Non_Wetland,Wetland
243,Cropland,Built-up,NULL,Non_Wetland,Bareland
244,Cropland,Built-up,NULL,Non_Wetland,Built-up
245,Cropland,Built-up,NULL,Non_Wetland,Water
246,Cropland,Built-up,NULL,Non_Wetland,Forest
247,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
248,Cropland,Built-up,Water,Non_Wetland,Grassland
249,Cropland,Built-up,Water,Non_Wetland,Wetland
250,Cropland,Built-up,Water,Non_Wetland,Built-up
251,Cropland,Built-up,Water,Non_Wetland,Water
252,Cropland,Built-up,Water,Non_Wetland,Forest
253,Cropland,Water,NULL,Water,Wetland
254,Cropland,Water,Water,Water,Wetland
255,Cropland,Forest,NULL,Non_Wetland,NULL
256,Cropland,Forest,NULL,Non_Wetland,Grassland
257,Cropland,Forest,NULL,Non_Wetland,Wetland
258,Cropland,Forest,NULL,Non_Wetland,Bareland
259,Cropland,Forest,NULL,Non_Wetland,Built-up
260,Cropland,Forest,NULL,Non_Wetland,Forest
261,Cropland,Forest,Non_Water,Non_Wetland,Grassland
262,Cropland,Forest,Non_Water,Non_Wetland,Wetland
