Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VXP_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VXP_M_R,SIBERIA_2024_GSW_Yearly_2021_42VXP_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VXP_M_R,SIBERIA_2024_WorldCover_2021_42VXP_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Water,Non_Wetland,Grassland
12,NULL,NULL,Water,Non_Wetland,Wetland
13,NULL,NULL,Water,Non_Wetland,Water
14,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,Shrubland,NULL,Non_Wetland,Wetland
18,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
19,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
25,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
26,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
27,NULL,Shrubland,Non_Water,Non_Wetland,Water
28,NULL,Shrubland,Non_Water,Non_Wetland,Forest
29,NULL,Shrubland,Water,Non_Wetland,Grassland
30,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Water,Non_Wetland,Bareland
33,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,Grassland,NULL,Non_Wetland,Cropland
38,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
40,NULL,Grassland,NULL,Non_Wetland,Built-up
41,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,Grassland,Non_Water,Non_Wetland,Wetland
44,NULL,Grassland,Non_Water,Non_Wetland,Forest
45,NULL,Grassland,Water,Non_Wetland,Grassland
46,NULL,Grassland,Water,Non_Wetland,Wetland
47,NULL,Grassland,Water,Non_Wetland,Forest
48,NULL,Cropland,NULL,Non_Wetland,NULL
49,NULL,Cropland,NULL,Non_Wetland,Grassland
50,NULL,Cropland,NULL,Non_Wetland,Wetland
51,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
52,NULL,Cropland,NULL,Non_Wetland,Bareland
53,NULL,Cropland,NULL,Non_Wetland,Built-up
54,NULL,Cropland,NULL,Non_Wetland,Forest
55,NULL,Cropland,Water,Non_Wetland,Grassland
56,NULL,Wetland,NULL,Wetland,NULL
57,NULL,Wetland,NULL,Wetland,Grassland
58,NULL,Wetland,NULL,Wetland,Cropland
59,NULL,Wetland,NULL,Wetland,Wetland
60,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
61,NULL,Wetland,NULL,Wetland,Bareland
62,NULL,Wetland,NULL,Wetland,Built-up
63,NULL,Wetland,NULL,Wetland,Water
64,NULL,Wetland,NULL,Wetland,Forest
65,NULL,Wetland,Non_Water,Wetland,NULL
66,NULL,Wetland,Non_Water,Wetland,Grassland
67,NULL,Wetland,Non_Water,Wetland,Cropland
68,NULL,Wetland,Non_Water,Wetland,Wetland
69,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
70,NULL,Wetland,Non_Water,Wetland,Bareland
71,NULL,Wetland,Non_Water,Wetland,Water
72,NULL,Wetland,Non_Water,Wetland,Forest
73,NULL,Wetland,Water,Wetland,NULL
74,NULL,Wetland,Water,Wetland,Grassland
75,NULL,Wetland,Water,Wetland,Cropland
76,NULL,Wetland,Water,Wetland,Wetland
77,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
78,NULL,Wetland,Water,Wetland,Bareland
79,NULL,Wetland,Water,Wetland,Water
80,NULL,Wetland,Water,Wetland,Forest
81,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
88,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
89,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
90,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
91,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
92,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
93,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
94,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
95,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
96,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
97,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
98,NULL,Bareland,NULL,Non_Wetland,NULL
99,NULL,Bareland,NULL,Non_Wetland,Grassland
100,NULL,Bareland,NULL,Non_Wetland,Cropland
101,NULL,Bareland,NULL,Non_Wetland,Wetland
102,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
103,NULL,Bareland,NULL,Non_Wetland,Bareland
104,NULL,Bareland,NULL,Non_Wetland,Built-up
105,NULL,Bareland,NULL,Non_Wetland,Water
106,NULL,Bareland,NULL,Non_Wetland,Forest
107,NULL,Bareland,Non_Water,Non_Wetland,Grassland
108,NULL,Bareland,Non_Water,Non_Wetland,Wetland
109,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Bareland,Non_Water,Non_Wetland,Bareland
111,NULL,Bareland,Non_Water,Non_Wetland,Built-up
112,NULL,Bareland,Non_Water,Non_Wetland,Water
113,NULL,Bareland,Non_Water,Non_Wetland,Forest
114,NULL,Bareland,Water,Non_Wetland,Grassland
115,NULL,Bareland,Water,Non_Wetland,Wetland
116,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
117,NULL,Bareland,Water,Non_Wetland,Bareland
118,NULL,Bareland,Water,Non_Wetland,Built-up
119,NULL,Bareland,Water,Non_Wetland,Water
120,NULL,Bareland,Water,Non_Wetland,Forest
121,NULL,Built-up,NULL,Non_Wetland,NULL
122,NULL,Built-up,NULL,Non_Wetland,Grassland
123,NULL,Built-up,NULL,Non_Wetland,Wetland
124,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
125,NULL,Built-up,NULL,Non_Wetland,Bareland
126,NULL,Built-up,NULL,Non_Wetland,Built-up
127,NULL,Built-up,NULL,Non_Wetland,Water
128,NULL,Built-up,NULL,Non_Wetland,Forest
129,NULL,Built-up,Non_Water,Non_Wetland,Grassland
130,NULL,Built-up,Non_Water,Non_Wetland,Wetland
131,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
132,NULL,Built-up,Non_Water,Non_Wetland,Bareland
133,NULL,Built-up,Non_Water,Non_Wetland,Built-up
134,NULL,Built-up,Non_Water,Non_Wetland,Water
135,NULL,Built-up,Non_Water,Non_Wetland,Forest
136,NULL,Built-up,Water,Non_Wetland,Grassland
137,NULL,Built-up,Water,Non_Wetland,Wetland
138,NULL,Built-up,Water,Non_Wetland,Bareland
139,NULL,Built-up,Water,Non_Wetland,Built-up
140,NULL,Built-up,Water,Non_Wetland,Water
141,NULL,Built-up,Water,Non_Wetland,Forest
142,NULL,Water,NULL,Water,NULL
143,NULL,Water,NULL,Water,Grassland
144,NULL,Water,NULL,Water,Wetland
145,NULL,Water,NULL,Water,Lichens_and_Mosses
146,NULL,Water,NULL,Water,Bareland
147,NULL,Water,NULL,Water,Water
148,NULL,Water,NULL,Water,Forest
149,NULL,Water,Non_Water,Water,Grassland
150,NULL,Water,Non_Water,Water,Wetland
151,NULL,Water,Non_Water,Water,Lichens_and_Mosses
152,NULL,Water,Non_Water,Water,Bareland
153,NULL,Water,Non_Water,Water,Water
154,NULL,Water,Non_Water,Water,Forest
155,NULL,Water,Water,Water,NULL
156,NULL,Water,Water,Water,Grassland
157,NULL,Water,Water,Water,Wetland
158,NULL,Water,Water,Water,Lichens_and_Mosses
159,NULL,Water,Water,Water,Bareland
160,NULL,Water,Water,Water,Water
161,NULL,Water,Water,Water,Forest
162,NULL,Forest,NULL,Non_Wetland,NULL
163,NULL,Forest,NULL,Non_Wetland,Grassland
164,NULL,Forest,NULL,Non_Wetland,Cropland
165,NULL,Forest,NULL,Non_Wetland,Wetland
166,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
167,NULL,Forest,NULL,Non_Wetland,Bareland
168,NULL,Forest,NULL,Non_Wetland,Built-up
169,NULL,Forest,NULL,Non_Wetland,Water
170,NULL,Forest,NULL,Non_Wetland,Forest
171,NULL,Forest,Non_Water,Non_Wetland,NULL
172,NULL,Forest,Non_Water,Non_Wetland,Grassland
173,NULL,Forest,Non_Water,Non_Wetland,Cropland
174,NULL,Forest,Non_Water,Non_Wetland,Wetland
175,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
176,NULL,Forest,Non_Water,Non_Wetland,Bareland
177,NULL,Forest,Non_Water,Non_Wetland,Forest
178,NULL,Forest,Water,Non_Wetland,NULL
179,NULL,Forest,Water,Non_Wetland,Grassland
180,NULL,Forest,Water,Non_Wetland,Cropland
181,NULL,Forest,Water,Non_Wetland,Wetland
182,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
183,NULL,Forest,Water,Non_Wetland,Bareland
184,NULL,Forest,Water,Non_Wetland,Water
185,NULL,Forest,Water,Non_Wetland,Forest
186,Cropland,NULL,NULL,Non_Wetland,NULL
187,Cropland,NULL,NULL,Non_Wetland,Grassland
188,Cropland,NULL,NULL,Non_Wetland,Wetland
189,Cropland,NULL,NULL,Non_Wetland,Forest
190,Cropland,Shrubland,NULL,Non_Wetland,Grassland
191,Cropland,Shrubland,NULL,Non_Wetland,Cropland
192,Cropland,Shrubland,NULL,Non_Wetland,Wetland
193,Cropland,Shrubland,NULL,Non_Wetland,Forest
194,Cropland,Shrubland,Water,Non_Wetland,Wetland
195,Cropland,Grassland,NULL,Non_Wetland,Grassland
196,Cropland,Grassland,NULL,Non_Wetland,Cropland
197,Cropland,Grassland,NULL,Non_Wetland,Wetland
198,Cropland,Grassland,NULL,Non_Wetland,Forest
199,Cropland,Cropland,NULL,Non_Wetland,NULL
200,Cropland,Cropland,NULL,Non_Wetland,Cropland
201,Cropland,Cropland,NULL,Non_Wetland,Forest
202,Cropland,Wetland,NULL,Wetland,NULL
203,Cropland,Wetland,NULL,Wetland,Grassland
204,Cropland,Wetland,NULL,Wetland,Wetland
205,Cropland,Wetland,NULL,Wetland,Bareland
206,Cropland,Wetland,NULL,Wetland,Built-up
207,Cropland,Wetland,NULL,Wetland,Water
208,Cropland,Wetland,NULL,Wetland,Forest
209,Cropland,Wetland,Non_Water,Wetland,Grassland
210,Cropland,Wetland,Non_Water,Wetland,Wetland
211,Cropland,Wetland,Non_Water,Wetland,Forest
212,Cropland,Wetland,Water,Wetland,Wetland
213,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
214,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
215,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
216,Cropland,Bareland,NULL,Non_Wetland,NULL
217,Cropland,Bareland,NULL,Non_Wetland,Grassland
218,Cropland,Bareland,NULL,Non_Wetland,Cropland
219,Cropland,Bareland,NULL,Non_Wetland,Wetland
220,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
221,Cropland,Bareland,NULL,Non_Wetland,Bareland
222,Cropland,Bareland,NULL,Non_Wetland,Built-up
223,Cropland,Bareland,NULL,Non_Wetland,Forest
224,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
225,Cropland,Bareland,Non_Water,Non_Wetland,Water
226,Cropland,Bareland,Water,Non_Wetland,Wetland
227,Cropland,Built-up,NULL,Non_Wetland,NULL
228,Cropland,Built-up,NULL,Non_Wetland,Grassland
229,Cropland,Built-up,NULL,Non_Wetland,Wetland
230,Cropland,Built-up,NULL,Non_Wetland,Built-up
231,Cropland,Built-up,NULL,Non_Wetland,Forest
232,Cropland,Water,NULL,Water,Wetland
233,Cropland,Water,Water,Water,Wetland
234,Cropland,Water,Water,Water,Water
235,Cropland,Forest,NULL,Non_Wetland,NULL
236,Cropland,Forest,NULL,Non_Wetland,Grassland
237,Cropland,Forest,NULL,Non_Wetland,Cropland
238,Cropland,Forest,NULL,Non_Wetland,Wetland
239,Cropland,Forest,NULL,Non_Wetland,Built-up
240,Cropland,Forest,NULL,Non_Wetland,Water
241,Cropland,Forest,NULL,Non_Wetland,Forest
242,Cropland,Forest,Water,Non_Wetland,Wetland
243,Wetland,NULL,NULL,Non_Wetland,NULL
244,Wetland,NULL,NULL,Non_Wetland,Grassland
245,Wetland,NULL,NULL,Non_Wetland,Wetland
246,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
247,Wetland,NULL,NULL,Non_Wetland,Bareland
248,Wetland,NULL,NULL,Non_Wetland,Built-up
249,Wetland,NULL,NULL,Non_Wetland,Water
250,Wetland,NULL,NULL,Non_Wetland,Forest
251,Wetland,NULL,Non_Water,Non_Wetland,Grassland
252,Wetland,NULL,Non_Water,Non_Wetland,Cropland
253,Wetland,NULL,Non_Water,Non_Wetland,Wetland
254,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
255,Wetland,NULL,Non_Water,Non_Wetland,Water
256,Wetland,NULL,Non_Water,Non_Wetland,Forest
257,Wetland,NULL,Water,Non_Wetland,Grassland
258,Wetland,NULL,Water,Non_Wetland,Wetland
259,Wetland,NULL,Water,Non_Wetland,Water
260,Wetland,NULL,Water,Non_Wetland,Forest
261,Wetland,Shrubland,NULL,Non_Wetland,NULL
262,Wetland,Shrubland,NULL,Non_Wetland,Grassland
