Value,SIBERIA_2024_ESA_CALU_2024_42WWA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWA_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWA_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWA_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWA_M_R,SIBERIA_2024_WorldCover_2021_42WWA_M_R
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
108,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
109,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
110,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
111,NULL,NULL,Built-up,Water,Non_Wetland,Water
112,NULL,NULL,Water,NULL,Water,Grassland
113,NULL,NULL,Water,NULL,Water,Wetland
114,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
115,NULL,NULL,Water,NULL,Water,Water
116,NULL,NULL,Water,NULL,Water,Forest
117,NULL,NULL,Water,Non_Water,Water,Grassland
118,NULL,NULL,Water,Non_Water,Water,Wetland
119,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
120,NULL,NULL,Water,Non_Water,Water,Bareland
121,NULL,NULL,Water,Non_Water,Water,Water
122,NULL,NULL,Water,Water,Water,Grassland
123,NULL,NULL,Water,Water,Water,Wetland
124,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
125,NULL,NULL,Water,Water,Water,Bareland
126,NULL,NULL,Water,Water,Water,Water
127,NULL,NULL,Water,Water,Water,Forest
128,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
129,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
130,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
131,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
132,NULL,NULL,Forest,NULL,Non_Wetland,Water
133,NULL,NULL,Forest,NULL,Non_Wetland,Forest
134,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
135,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
136,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
137,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
138,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
139,NULL,NULL,Forest,Water,Non_Wetland,Grassland
140,NULL,NULL,Forest,Water,Non_Wetland,Wetland
141,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
142,NULL,NULL,Forest,Water,Non_Wetland,Bareland
143,NULL,NULL,Forest,Water,Non_Wetland,Water
144,NULL,NULL,Forest,Water,Non_Wetland,Forest
145,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
146,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
147,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland
149,NULL,Wetland,NULL,NULL,Non_Wetland,Water
150,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
151,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
152,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
153,NULL,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
154,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland
155,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
156,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
157,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
158,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
159,NULL,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
160,NULL,Wetland,NULL,Water,Non_Wetland,Bareland
161,NULL,Wetland,NULL,Water,Non_Wetland,Water
162,NULL,Wetland,NULL,Water,Non_Wetland,Forest
163,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
164,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
165,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
166,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
167,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
168,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
170,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
171,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
172,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
173,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
174,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
175,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
176,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
177,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
178,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
179,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
180,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
181,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
182,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
183,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
184,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
185,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
186,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
187,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
188,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
189,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
190,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
191,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
192,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
193,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
194,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
195,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
196,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
197,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
198,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
199,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
200,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
201,NULL,Wetland,Grassland,Water,Non_Wetland,Water
202,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
203,NULL,Wetland,Wetland,NULL,Wetland,Grassland
204,NULL,Wetland,Wetland,NULL,Wetland,Wetland
205,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
206,NULL,Wetland,Wetland,NULL,Wetland,Bareland
207,NULL,Wetland,Wetland,NULL,Wetland,Water
208,NULL,Wetland,Wetland,NULL,Wetland,Forest
209,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
210,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
211,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
212,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
213,NULL,Wetland,Wetland,Non_Water,Wetland,Built-up
214,NULL,Wetland,Wetland,Non_Water,Wetland,Water
215,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
216,NULL,Wetland,Wetland,Water,Wetland,Grassland
217,NULL,Wetland,Wetland,Water,Wetland,Wetland
218,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
219,NULL,Wetland,Wetland,Water,Wetland,Bareland
220,NULL,Wetland,Wetland,Water,Wetland,Water
221,NULL,Wetland,Wetland,Water,Wetland,Forest
222,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
223,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
224,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
225,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
226,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
227,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
228,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
229,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
230,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
231,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
232,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
233,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
234,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
235,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
236,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
237,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
238,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
239,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
240,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Built-up
241,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
242,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
243,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
244,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
245,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
246,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
247,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
248,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
249,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
250,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
251,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
252,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
253,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
254,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
255,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
256,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
257,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
258,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
259,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
260,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
261,NULL,Wetland,Bareland,Water,Non_Wetland,Built-up
262,NULL,Wetland,Bareland,Water,Non_Wetland,Water
263,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
264,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
265,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
266,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
267,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
268,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
269,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
270,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
271,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
272,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
273,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
274,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
275,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
276,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Forest
277,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
278,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
279,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
280,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
281,NULL,Wetland,Built-up,Water,Non_Wetland,Water
282,NULL,Wetland,Built-up,Water,Non_Wetland,Forest
283,NULL,Wetland,Water,NULL,Water,Grassland
284,NULL,Wetland,Water,NULL,Water,Wetland
285,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
286,NULL,Wetland,Water,NULL,Water,Bareland
287,NULL,Wetland,Water,NULL,Water,Built-up
288,NULL,Wetland,Water,NULL,Water,Water
289,NULL,Wetland,Water,NULL,Water,Forest
290,NULL,Wetland,Water,Non_Water,Water,Grassland
291,NULL,Wetland,Water,Non_Water,Water,Wetland
292,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
293,NULL,Wetland,Water,Non_Water,Water,Bareland
294,NULL,Wetland,Water,Non_Water,Water,Water
295,NULL,Wetland,Water,Non_Water,Water,Forest
296,NULL,Wetland,Water,Water,Water,Grassland
297,NULL,Wetland,Water,Water,Water,Wetland
298,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
299,NULL,Wetland,Water,Water,Water,Bareland
300,NULL,Wetland,Water,Water,Water,Water
301,NULL,Wetland,Water,Water,Water,Forest
302,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
303,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
304,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
305,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
306,NULL,Wetland,Forest,NULL,Non_Wetland,Built-up
307,NULL,Wetland,Forest,NULL,Non_Wetland,Water
308,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
309,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
310,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
311,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
312,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
313,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
314,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
315,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
316,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
317,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
318,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
319,NULL,Wetland,Forest,Water,Non_Wetland,Water
320,NULL,Wetland,Forest,Water,Non_Wetland,Forest
321,NULL,Bareland,NULL,NULL,Non_Wetland,Water
322,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
323,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
324,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
325,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
326,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
327,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
328,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
329,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
330,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
331,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
332,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
333,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
334,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
335,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
336,NULL,Bareland,Grassland,Water,Non_Wetland,Water
337,NULL,Bareland,Wetland,NULL,Wetland,Grassland
338,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
339,NULL,Bareland,Wetland,NULL,Wetland,Bareland
340,NULL,Bareland,Wetland,NULL,Wetland,Water
341,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
342,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
343,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
344,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
345,NULL,Bareland,Wetland,Non_Water,Wetland,Water
346,NULL,Bareland,Wetland,Water,Wetland,Grassland
347,NULL,Bareland,Wetland,Water,Wetland,Wetland
348,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
349,NULL,Bareland,Wetland,Water,Wetland,Bareland
350,NULL,Bareland,Wetland,Water,Wetland,Water
351,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
352,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
353,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
354,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
355,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
356,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
357,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
358,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
359,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
360,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
361,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
362,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
363,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
364,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
365,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
366,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
367,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
368,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
369,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
370,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
371,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
372,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
373,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
374,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
375,NULL,Bareland,Bareland,Water,Non_Wetland,Water
376,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
377,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
378,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
379,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
380,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
381,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
382,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
383,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
384,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
385,NULL,Bareland,Built-up,Water,Non_Wetland,Water
386,NULL,Bareland,Water,NULL,Water,Grassland
387,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
388,NULL,Bareland,Water,NULL,Water,Bareland
389,NULL,Bareland,Water,NULL,Water,Water
390,NULL,Bareland,Water,Non_Water,Water,Grassland
391,NULL,Bareland,Water,Non_Water,Water,Wetland
392,NULL,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
393,NULL,Bareland,Water,Non_Water,Water,Bareland
394,NULL,Bareland,Water,Non_Water,Water,Water
395,NULL,Bareland,Water,Water,Water,Grassland
396,NULL,Bareland,Water,Water,Water,Wetland
397,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
398,NULL,Bareland,Water,Water,Water,Bareland
399,NULL,Bareland,Water,Water,Water,Water
400,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
401,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland
402,NULL,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
403,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
404,NULL,Bareland,Forest,NULL,Non_Wetland,Water
405,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
406,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
407,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
408,NULL,Bareland,Forest,Water,Non_Wetland,Water
