Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VNN_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VNN_M_R,SIBERIA_2024_GSW_Yearly_2021_44VNN_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,SIBERIA_2024_WorldCover_2021_44VNN_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Water,Non_Wetland,Wetland
11,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
16,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,Grassland,Water,Non_Wetland,Forest
32,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,Cropland,NULL,Non_Wetland,Wetland
34,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
35,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,Cropland,Non_Water,Non_Wetland,Forest
37,NULL,Wetland,NULL,Wetland,NULL
38,NULL,Wetland,NULL,Wetland,Grassland
39,NULL,Wetland,NULL,Wetland,Cropland
40,NULL,Wetland,NULL,Wetland,Wetland
41,NULL,Wetland,NULL,Wetland,Water
42,NULL,Wetland,NULL,Wetland,Forest
43,NULL,Wetland,Non_Water,Wetland,NULL
44,NULL,Wetland,Non_Water,Wetland,Grassland
45,NULL,Wetland,Non_Water,Wetland,Wetland
46,NULL,Wetland,Non_Water,Wetland,Water
47,NULL,Wetland,Non_Water,Wetland,Forest
48,NULL,Wetland,Water,Wetland,NULL
49,NULL,Wetland,Water,Wetland,Grassland
50,NULL,Wetland,Water,Wetland,Wetland
51,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
52,NULL,Wetland,Water,Wetland,Water
53,NULL,Wetland,Water,Wetland,Forest
54,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
55,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
56,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
57,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
58,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
59,NULL,Bareland,NULL,Non_Wetland,NULL
60,NULL,Bareland,NULL,Non_Wetland,Grassland
61,NULL,Bareland,NULL,Non_Wetland,Wetland
62,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
63,NULL,Bareland,NULL,Non_Wetland,Bareland
64,NULL,Bareland,NULL,Non_Wetland,Water
65,NULL,Bareland,NULL,Non_Wetland,Forest
66,NULL,Bareland,Non_Water,Non_Wetland,NULL
67,NULL,Bareland,Non_Water,Non_Wetland,Grassland
68,NULL,Bareland,Non_Water,Non_Wetland,Wetland
69,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
70,NULL,Bareland,Non_Water,Non_Wetland,Forest
71,NULL,Bareland,Water,Non_Wetland,Grassland
72,NULL,Bareland,Water,Non_Wetland,Wetland
73,NULL,Bareland,Water,Non_Wetland,Forest
74,NULL,Built-up,NULL,Non_Wetland,NULL
75,NULL,Built-up,NULL,Non_Wetland,Grassland
76,NULL,Built-up,NULL,Non_Wetland,Wetland
77,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
78,NULL,Built-up,NULL,Non_Wetland,Built-up
79,NULL,Built-up,NULL,Non_Wetland,Forest
80,NULL,Built-up,Non_Water,Non_Wetland,Wetland
81,NULL,Built-up,Non_Water,Non_Wetland,Forest
82,NULL,Water,NULL,Water,NULL
83,NULL,Water,NULL,Water,Grassland
84,NULL,Water,NULL,Water,Wetland
85,NULL,Water,NULL,Water,Water
86,NULL,Water,NULL,Water,Forest
87,NULL,Water,Non_Water,Water,Wetland
88,NULL,Water,Water,Water,NULL
89,NULL,Water,Water,Water,Grassland
90,NULL,Water,Water,Water,Wetland
91,NULL,Water,Water,Water,Water
92,NULL,Water,Water,Water,Forest
93,NULL,Forest,NULL,Non_Wetland,NULL
94,NULL,Forest,NULL,Non_Wetland,Grassland
95,NULL,Forest,NULL,Non_Wetland,Wetland
96,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
97,NULL,Forest,NULL,Non_Wetland,Bareland
98,NULL,Forest,NULL,Non_Wetland,Water
99,NULL,Forest,NULL,Non_Wetland,Forest
100,NULL,Forest,Non_Water,Non_Wetland,NULL
101,NULL,Forest,Non_Water,Non_Wetland,Grassland
102,NULL,Forest,Non_Water,Non_Wetland,Wetland
103,NULL,Forest,Non_Water,Non_Wetland,Water
104,NULL,Forest,Non_Water,Non_Wetland,Forest
105,NULL,Forest,Water,Non_Wetland,NULL
106,NULL,Forest,Water,Non_Wetland,Grassland
107,NULL,Forest,Water,Non_Wetland,Wetland
108,NULL,Forest,Water,Non_Wetland,Water
109,NULL,Forest,Water,Non_Wetland,Forest
110,Cropland,NULL,NULL,Non_Wetland,Grassland
111,Cropland,NULL,NULL,Non_Wetland,Wetland
112,Cropland,NULL,NULL,Non_Wetland,Water
113,Cropland,NULL,NULL,Non_Wetland,Forest
114,Cropland,NULL,Non_Water,Non_Wetland,Forest
115,Cropland,Shrubland,NULL,Non_Wetland,NULL
116,Cropland,Shrubland,NULL,Non_Wetland,Grassland
117,Cropland,Shrubland,NULL,Non_Wetland,Wetland
118,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
119,Cropland,Wetland,NULL,Wetland,NULL
120,Cropland,Wetland,NULL,Wetland,Grassland
121,Cropland,Wetland,NULL,Wetland,Wetland
122,Cropland,Wetland,NULL,Wetland,Forest
123,Cropland,Wetland,Non_Water,Wetland,Wetland
124,Cropland,Wetland,Non_Water,Wetland,Forest
125,Cropland,Wetland,Water,Wetland,Wetland
126,Cropland,Bareland,NULL,Non_Wetland,Wetland
127,Cropland,Bareland,NULL,Non_Wetland,Forest
128,Cropland,Water,NULL,Water,Wetland
129,Cropland,Water,NULL,Water,Water
130,Cropland,Water,NULL,Water,Forest
131,Cropland,Water,Water,Water,Wetland
132,Cropland,Water,Water,Water,Water
133,Cropland,Water,Water,Water,Forest
134,Cropland,Forest,NULL,Non_Wetland,NULL
135,Cropland,Forest,NULL,Non_Wetland,Grassland
136,Cropland,Forest,NULL,Non_Wetland,Wetland
137,Cropland,Forest,NULL,Non_Wetland,Water
138,Cropland,Forest,NULL,Non_Wetland,Forest
139,Cropland,Forest,Non_Water,Non_Wetland,Water
140,Cropland,Forest,Non_Water,Non_Wetland,Forest
141,Cropland,Forest,Water,Non_Wetland,Forest
142,Wetland,NULL,NULL,Non_Wetland,NULL
143,Wetland,NULL,NULL,Non_Wetland,Grassland
144,Wetland,NULL,NULL,Non_Wetland,Wetland
145,Wetland,NULL,NULL,Non_Wetland,Bareland
146,Wetland,NULL,NULL,Non_Wetland,Water
147,Wetland,NULL,NULL,Non_Wetland,Forest
148,Wetland,NULL,Non_Water,Non_Wetland,Grassland
149,Wetland,NULL,Non_Water,Non_Wetland,Wetland
150,Wetland,NULL,Non_Water,Non_Wetland,Water
151,Wetland,NULL,Non_Water,Non_Wetland,Forest
152,Wetland,NULL,Water,Non_Wetland,Grassland
153,Wetland,NULL,Water,Non_Wetland,Wetland
154,Wetland,NULL,Water,Non_Wetland,Water
155,Wetland,NULL,Water,Non_Wetland,Forest
156,Wetland,Shrubland,NULL,Non_Wetland,NULL
157,Wetland,Shrubland,NULL,Non_Wetland,Grassland
158,Wetland,Shrubland,NULL,Non_Wetland,Wetland
159,Wetland,Shrubland,NULL,Non_Wetland,Water
160,Wetland,Shrubland,NULL,Non_Wetland,Forest
161,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
162,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
163,Wetland,Shrubland,Non_Water,Non_Wetland,Water
164,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
165,Wetland,Shrubland,Water,Non_Wetland,Grassland
166,Wetland,Shrubland,Water,Non_Wetland,Wetland
167,Wetland,Shrubland,Water,Non_Wetland,Water
168,Wetland,Shrubland,Water,Non_Wetland,Forest
169,Wetland,Grassland,NULL,Non_Wetland,Grassland
170,Wetland,Grassland,NULL,Non_Wetland,Wetland
171,Wetland,Grassland,NULL,Non_Wetland,Forest
172,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
173,Wetland,Grassland,Non_Water,Non_Wetland,Forest
174,Wetland,Grassland,Water,Non_Wetland,Grassland
175,Wetland,Grassland,Water,Non_Wetland,Wetland
176,Wetland,Grassland,Water,Non_Wetland,Forest
177,Wetland,Cropland,NULL,Non_Wetland,NULL
178,Wetland,Cropland,NULL,Non_Wetland,Grassland
179,Wetland,Cropland,NULL,Non_Wetland,Wetland
180,Wetland,Cropland,NULL,Non_Wetland,Forest
181,Wetland,Cropland,Non_Water,Non_Wetland,Forest
182,Wetland,Cropland,Water,Non_Wetland,Grassland
183,Wetland,Cropland,Water,Non_Wetland,Bareland
184,Wetland,Cropland,Water,Non_Wetland,Forest
185,Wetland,Wetland,NULL,Wetland,NULL
186,Wetland,Wetland,NULL,Wetland,Grassland
187,Wetland,Wetland,NULL,Wetland,Wetland
188,Wetland,Wetland,NULL,Wetland,Water
189,Wetland,Wetland,NULL,Wetland,Forest
190,Wetland,Wetland,Non_Water,Wetland,NULL
191,Wetland,Wetland,Non_Water,Wetland,Grassland
192,Wetland,Wetland,Non_Water,Wetland,Wetland
193,Wetland,Wetland,Non_Water,Wetland,Bareland
194,Wetland,Wetland,Non_Water,Wetland,Water
195,Wetland,Wetland,Non_Water,Wetland,Forest
196,Wetland,Wetland,Water,Wetland,NULL
197,Wetland,Wetland,Water,Wetland,Grassland
198,Wetland,Wetland,Water,Wetland,Wetland
199,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
200,Wetland,Wetland,Water,Wetland,Bareland
201,Wetland,Wetland,Water,Wetland,Water
202,Wetland,Wetland,Water,Wetland,Forest
203,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
204,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
205,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
206,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
207,Wetland,Bareland,NULL,Non_Wetland,NULL
208,Wetland,Bareland,NULL,Non_Wetland,Grassland
209,Wetland,Bareland,NULL,Non_Wetland,Wetland
210,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
211,Wetland,Bareland,NULL,Non_Wetland,Bareland
212,Wetland,Bareland,NULL,Non_Wetland,Water
213,Wetland,Bareland,NULL,Non_Wetland,Forest
214,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
215,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
216,Wetland,Bareland,Non_Water,Non_Wetland,Water
217,Wetland,Bareland,Non_Water,Non_Wetland,Forest
218,Wetland,Bareland,Water,Non_Wetland,NULL
219,Wetland,Bareland,Water,Non_Wetland,Grassland
220,Wetland,Bareland,Water,Non_Wetland,Wetland
221,Wetland,Bareland,Water,Non_Wetland,Bareland
222,Wetland,Bareland,Water,Non_Wetland,Water
223,Wetland,Bareland,Water,Non_Wetland,Forest
224,Wetland,Built-up,NULL,Non_Wetland,Grassland
225,Wetland,Built-up,NULL,Non_Wetland,Wetland
226,Wetland,Built-up,NULL,Non_Wetland,Water
227,Wetland,Built-up,NULL,Non_Wetland,Forest
228,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
229,Wetland,Built-up,Non_Water,Non_Wetland,Forest
230,Wetland,Built-up,Water,Non_Wetland,Grassland
231,Wetland,Built-up,Water,Non_Wetland,Wetland
232,Wetland,Built-up,Water,Non_Wetland,Bareland
233,Wetland,Built-up,Water,Non_Wetland,Water
234,Wetland,Built-up,Water,Non_Wetland,Forest
235,Wetland,Water,NULL,Water,NULL
236,Wetland,Water,NULL,Water,Grassland
237,Wetland,Water,NULL,Water,Wetland
238,Wetland,Water,NULL,Water,Water
239,Wetland,Water,NULL,Water,Forest
240,Wetland,Water,Non_Water,Water,Grassland
241,Wetland,Water,Non_Water,Water,Wetland
242,Wetland,Water,Non_Water,Water,Water
243,Wetland,Water,Non_Water,Water,Forest
244,Wetland,Water,Water,Water,NULL
245,Wetland,Water,Water,Water,Grassland
246,Wetland,Water,Water,Water,Wetland
247,Wetland,Water,Water,Water,Water
248,Wetland,Water,Water,Water,Forest
249,Wetland,Forest,NULL,Non_Wetland,NULL
250,Wetland,Forest,NULL,Non_Wetland,Grassland
251,Wetland,Forest,NULL,Non_Wetland,Wetland
252,Wetland,Forest,NULL,Non_Wetland,Water
253,Wetland,Forest,NULL,Non_Wetland,Forest
254,Wetland,Forest,Non_Water,Non_Wetland,NULL
255,Wetland,Forest,Non_Water,Non_Wetland,Grassland
256,Wetland,Forest,Non_Water,Non_Wetland,Wetland
257,Wetland,Forest,Non_Water,Non_Wetland,Water
258,Wetland,Forest,Non_Water,Non_Wetland,Forest
259,Wetland,Forest,Water,Non_Wetland,Grassland
260,Wetland,Forest,Water,Non_Wetland,Wetland
261,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
262,Wetland,Forest,Water,Non_Wetland,Bareland
263,Wetland,Forest,Water,Non_Wetland,Water
264,Wetland,Forest,Water,Non_Wetland,Forest
265,Bareland,NULL,NULL,Non_Wetland,Water
266,Bareland,NULL,NULL,Non_Wetland,Forest
267,Bareland,NULL,Non_Water,Non_Wetland,Forest
268,Bareland,NULL,Water,Non_Wetland,Water
269,Bareland,Wetland,NULL,Wetland,Water
270,Bareland,Wetland,NULL,Wetland,Forest
271,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
