Value,SIBERIA_2024_ESA_CALU_2024_44XMF_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44XMF_M_R,SIBERIA_2024_GLC_FCS30D_2022_44XMF_M_R,SIBERIA_2024_GSW_Yearly_2021_44XMF_M_R,SIBERIA_2024_GWL_FCS30D_2022_44XMF_M_R,SIBERIA_2024_WorldCover_2021_44XMF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
7,NULL,NULL,NULL,Water,Non_Wetland,Water
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
38,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
39,NULL,NULL,Grassland,Water,Non_Wetland,Water
40,NULL,NULL,Wetland,NULL,NULL,Grassland
41,NULL,NULL,Wetland,NULL,NULL,Wetland
42,NULL,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
43,NULL,NULL,Wetland,NULL,NULL,Bareland
44,NULL,NULL,Wetland,NULL,NULL,Water
45,NULL,NULL,Wetland,NULL,Wetland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,Wetland
47,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
48,NULL,NULL,Wetland,NULL,Wetland,Bareland
49,NULL,NULL,Wetland,NULL,Wetland,Water
50,NULL,NULL,Wetland,NULL,Wetland,Forest
51,NULL,NULL,Wetland,Non_Water,NULL,Grassland
52,NULL,NULL,Wetland,Non_Water,NULL,Wetland
53,NULL,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
54,NULL,NULL,Wetland,Non_Water,NULL,Bareland
55,NULL,NULL,Wetland,Non_Water,NULL,Water
56,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
57,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
58,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
59,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
60,NULL,NULL,Wetland,Non_Water,Wetland,Water
61,NULL,NULL,Wetland,Water,NULL,Grassland
62,NULL,NULL,Wetland,Water,NULL,Wetland
63,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
64,NULL,NULL,Wetland,Water,NULL,Bareland
65,NULL,NULL,Wetland,Water,NULL,Water
66,NULL,NULL,Wetland,Water,Wetland,Grassland
67,NULL,NULL,Wetland,Water,Wetland,Wetland
68,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
69,NULL,NULL,Wetland,Water,Wetland,Bareland
70,NULL,NULL,Wetland,Water,Wetland,Water
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
76,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
77,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
78,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
79,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
80,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
81,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
82,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
83,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
84,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
85,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
86,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
89,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Water
91,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
97,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
98,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
99,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
100,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
101,NULL,NULL,Bareland,Water,Non_Wetland,Water
102,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
103,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
104,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
105,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Water
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
112,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
113,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
114,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
