Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VWN_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VWN_M_R,SIBERIA_2024_GSW_Yearly_2021_42VWN_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VWN_M_R,SIBERIA_2024_WorldCover_2021_42VWN_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,NULL,Non_Wetland,Bareland
6,NULL,NULL,NULL,Non_Wetland,Built-up
7,NULL,NULL,NULL,Non_Wetland,Water
8,NULL,NULL,NULL,Non_Wetland,Forest
9,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
12,NULL,NULL,Non_Water,Non_Wetland,Bareland
13,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,Water,Non_Wetland,Wetland
16,NULL,NULL,Water,Non_Wetland,Bareland
17,NULL,NULL,Water,Non_Wetland,Water
18,NULL,NULL,Water,Non_Wetland,Forest
19,NULL,Shrubland,NULL,Non_Wetland,NULL
20,NULL,Shrubland,NULL,Non_Wetland,Grassland
21,NULL,Shrubland,NULL,Non_Wetland,Cropland
22,NULL,Shrubland,NULL,Non_Wetland,Wetland
23,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
24,NULL,Shrubland,NULL,Non_Wetland,Bareland
25,NULL,Shrubland,NULL,Non_Wetland,Built-up
26,NULL,Shrubland,NULL,Non_Wetland,Water
27,NULL,Shrubland,NULL,Non_Wetland,Forest
28,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
29,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
30,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
31,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
32,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
33,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
34,NULL,Shrubland,Non_Water,Non_Wetland,Water
35,NULL,Shrubland,Non_Water,Non_Wetland,Forest
36,NULL,Shrubland,Water,Non_Wetland,Grassland
37,NULL,Shrubland,Water,Non_Wetland,Wetland
38,NULL,Shrubland,Water,Non_Wetland,Bareland
39,NULL,Shrubland,Water,Non_Wetland,Built-up
40,NULL,Shrubland,Water,Non_Wetland,Water
41,NULL,Shrubland,Water,Non_Wetland,Forest
42,NULL,Grassland,NULL,Non_Wetland,NULL
43,NULL,Grassland,NULL,Non_Wetland,Grassland
44,NULL,Grassland,NULL,Non_Wetland,Cropland
45,NULL,Grassland,NULL,Non_Wetland,Wetland
46,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
47,NULL,Grassland,NULL,Non_Wetland,Bareland
48,NULL,Grassland,NULL,Non_Wetland,Built-up
49,NULL,Grassland,NULL,Non_Wetland,Water
50,NULL,Grassland,NULL,Non_Wetland,Forest
51,NULL,Grassland,Non_Water,Non_Wetland,Grassland
52,NULL,Grassland,Non_Water,Non_Wetland,Wetland
53,NULL,Grassland,Non_Water,Non_Wetland,Bareland
54,NULL,Grassland,Non_Water,Non_Wetland,Built-up
55,NULL,Grassland,Non_Water,Non_Wetland,Forest
56,NULL,Grassland,Water,Non_Wetland,Grassland
57,NULL,Grassland,Water,Non_Wetland,Wetland
58,NULL,Grassland,Water,Non_Wetland,Bareland
59,NULL,Grassland,Water,Non_Wetland,Forest
60,NULL,Cropland,NULL,Non_Wetland,NULL
61,NULL,Cropland,NULL,Non_Wetland,Grassland
62,NULL,Cropland,NULL,Non_Wetland,Cropland
63,NULL,Cropland,NULL,Non_Wetland,Wetland
64,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
65,NULL,Cropland,NULL,Non_Wetland,Bareland
66,NULL,Cropland,NULL,Non_Wetland,Built-up
67,NULL,Cropland,NULL,Non_Wetland,Water
68,NULL,Cropland,NULL,Non_Wetland,Forest
69,NULL,Cropland,Non_Water,Non_Wetland,Grassland
70,NULL,Cropland,Non_Water,Non_Wetland,Cropland
71,NULL,Cropland,Non_Water,Non_Wetland,Wetland
72,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
73,NULL,Cropland,Non_Water,Non_Wetland,Bareland
74,NULL,Cropland,Non_Water,Non_Wetland,Built-up
75,NULL,Cropland,Non_Water,Non_Wetland,Forest
76,NULL,Cropland,Water,Non_Wetland,Grassland
77,NULL,Cropland,Water,Non_Wetland,Wetland
78,NULL,Cropland,Water,Non_Wetland,Lichens_and_Mosses
79,NULL,Cropland,Water,Non_Wetland,Bareland
80,NULL,Cropland,Water,Non_Wetland,Water
81,NULL,Wetland,NULL,Wetland,NULL
82,NULL,Wetland,NULL,Wetland,Grassland
83,NULL,Wetland,NULL,Wetland,Cropland
84,NULL,Wetland,NULL,Wetland,Wetland
85,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
86,NULL,Wetland,NULL,Wetland,Bareland
87,NULL,Wetland,NULL,Wetland,Built-up
88,NULL,Wetland,NULL,Wetland,Water
89,NULL,Wetland,NULL,Wetland,Forest
90,NULL,Wetland,Non_Water,Wetland,NULL
91,NULL,Wetland,Non_Water,Wetland,Grassland
92,NULL,Wetland,Non_Water,Wetland,Cropland
93,NULL,Wetland,Non_Water,Wetland,Wetland
94,NULL,Wetland,Non_Water,Wetland,Bareland
95,NULL,Wetland,Non_Water,Wetland,Built-up
96,NULL,Wetland,Non_Water,Wetland,Water
97,NULL,Wetland,Non_Water,Wetland,Forest
98,NULL,Wetland,Water,Wetland,NULL
99,NULL,Wetland,Water,Wetland,Grassland
100,NULL,Wetland,Water,Wetland,Cropland
101,NULL,Wetland,Water,Wetland,Wetland
102,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
103,NULL,Wetland,Water,Wetland,Bareland
104,NULL,Wetland,Water,Wetland,Water
105,NULL,Wetland,Water,Wetland,Forest
106,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
107,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
108,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
109,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
110,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
111,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
112,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
113,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
114,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
115,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
116,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
117,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
118,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
119,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
120,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
121,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
122,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
123,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
124,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
125,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
126,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
127,NULL,Bareland,NULL,Non_Wetland,NULL
128,NULL,Bareland,NULL,Non_Wetland,Grassland
129,NULL,Bareland,NULL,Non_Wetland,Cropland
130,NULL,Bareland,NULL,Non_Wetland,Wetland
131,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
132,NULL,Bareland,NULL,Non_Wetland,Bareland
133,NULL,Bareland,NULL,Non_Wetland,Built-up
134,NULL,Bareland,NULL,Non_Wetland,Water
135,NULL,Bareland,NULL,Non_Wetland,Forest
136,NULL,Bareland,Non_Water,Non_Wetland,NULL
137,NULL,Bareland,Non_Water,Non_Wetland,Grassland
138,NULL,Bareland,Non_Water,Non_Wetland,Cropland
139,NULL,Bareland,Non_Water,Non_Wetland,Wetland
140,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
141,NULL,Bareland,Non_Water,Non_Wetland,Bareland
142,NULL,Bareland,Non_Water,Non_Wetland,Built-up
143,NULL,Bareland,Non_Water,Non_Wetland,Water
144,NULL,Bareland,Non_Water,Non_Wetland,Forest
145,NULL,Bareland,Water,Non_Wetland,NULL
146,NULL,Bareland,Water,Non_Wetland,Grassland
147,NULL,Bareland,Water,Non_Wetland,Cropland
148,NULL,Bareland,Water,Non_Wetland,Wetland
149,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
150,NULL,Bareland,Water,Non_Wetland,Bareland
151,NULL,Bareland,Water,Non_Wetland,Built-up
152,NULL,Bareland,Water,Non_Wetland,Water
153,NULL,Bareland,Water,Non_Wetland,Forest
154,NULL,Built-up,NULL,Non_Wetland,NULL
155,NULL,Built-up,NULL,Non_Wetland,Grassland
156,NULL,Built-up,NULL,Non_Wetland,Cropland
157,NULL,Built-up,NULL,Non_Wetland,Wetland
158,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
159,NULL,Built-up,NULL,Non_Wetland,Bareland
160,NULL,Built-up,NULL,Non_Wetland,Built-up
161,NULL,Built-up,NULL,Non_Wetland,Water
162,NULL,Built-up,NULL,Non_Wetland,Forest
163,NULL,Built-up,Non_Water,Non_Wetland,Grassland
164,NULL,Built-up,Non_Water,Non_Wetland,Cropland
165,NULL,Built-up,Non_Water,Non_Wetland,Wetland
166,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
167,NULL,Built-up,Non_Water,Non_Wetland,Bareland
168,NULL,Built-up,Non_Water,Non_Wetland,Built-up
169,NULL,Built-up,Non_Water,Non_Wetland,Water
170,NULL,Built-up,Non_Water,Non_Wetland,Forest
171,NULL,Built-up,Water,Non_Wetland,Grassland
172,NULL,Built-up,Water,Non_Wetland,Wetland
173,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
174,NULL,Built-up,Water,Non_Wetland,Bareland
175,NULL,Built-up,Water,Non_Wetland,Built-up
176,NULL,Built-up,Water,Non_Wetland,Water
177,NULL,Built-up,Water,Non_Wetland,Forest
178,NULL,Water,NULL,Water,NULL
179,NULL,Water,NULL,Water,Grassland
180,NULL,Water,NULL,Water,Wetland
181,NULL,Water,NULL,Water,Bareland
182,NULL,Water,NULL,Water,Built-up
183,NULL,Water,NULL,Water,Water
184,NULL,Water,NULL,Water,Forest
185,NULL,Water,Non_Water,Water,Grassland
186,NULL,Water,Non_Water,Water,Cropland
187,NULL,Water,Non_Water,Water,Wetland
188,NULL,Water,Non_Water,Water,Bareland
189,NULL,Water,Non_Water,Water,Built-up
190,NULL,Water,Non_Water,Water,Water
191,NULL,Water,Water,Water,NULL
192,NULL,Water,Water,Water,Grassland
193,NULL,Water,Water,Water,Wetland
194,NULL,Water,Water,Water,Lichens_and_Mosses
195,NULL,Water,Water,Water,Bareland
196,NULL,Water,Water,Water,Water
197,NULL,Water,Water,Water,Forest
198,NULL,Forest,NULL,Non_Wetland,NULL
199,NULL,Forest,NULL,Non_Wetland,Grassland
200,NULL,Forest,NULL,Non_Wetland,Cropland
201,NULL,Forest,NULL,Non_Wetland,Wetland
202,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
203,NULL,Forest,NULL,Non_Wetland,Bareland
204,NULL,Forest,NULL,Non_Wetland,Built-up
205,NULL,Forest,NULL,Non_Wetland,Water
206,NULL,Forest,NULL,Non_Wetland,Forest
207,NULL,Forest,Non_Water,Non_Wetland,NULL
208,NULL,Forest,Non_Water,Non_Wetland,Grassland
209,NULL,Forest,Non_Water,Non_Wetland,Cropland
210,NULL,Forest,Non_Water,Non_Wetland,Wetland
211,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
212,NULL,Forest,Non_Water,Non_Wetland,Bareland
213,NULL,Forest,Non_Water,Non_Wetland,Built-up
214,NULL,Forest,Non_Water,Non_Wetland,Water
215,NULL,Forest,Non_Water,Non_Wetland,Forest
216,NULL,Forest,Water,Non_Wetland,NULL
217,NULL,Forest,Water,Non_Wetland,Grassland
218,NULL,Forest,Water,Non_Wetland,Cropland
219,NULL,Forest,Water,Non_Wetland,Wetland
220,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
221,NULL,Forest,Water,Non_Wetland,Bareland
222,NULL,Forest,Water,Non_Wetland,Water
223,NULL,Forest,Water,Non_Wetland,Forest
224,Cropland,NULL,NULL,Non_Wetland,NULL
225,Cropland,NULL,NULL,Non_Wetland,Grassland
226,Cropland,NULL,NULL,Non_Wetland,Wetland
227,Cropland,NULL,NULL,Non_Wetland,Forest
228,Cropland,Shrubland,NULL,Non_Wetland,NULL
229,Cropland,Shrubland,NULL,Non_Wetland,Grassland
230,Cropland,Shrubland,NULL,Non_Wetland,Wetland
231,Cropland,Shrubland,NULL,Non_Wetland,Bareland
232,Cropland,Shrubland,NULL,Non_Wetland,Built-up
233,Cropland,Shrubland,NULL,Non_Wetland,Forest
234,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
235,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
236,Cropland,Grassland,NULL,Non_Wetland,NULL
237,Cropland,Grassland,NULL,Non_Wetland,Grassland
238,Cropland,Grassland,NULL,Non_Wetland,Wetland
239,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
240,Cropland,Grassland,NULL,Non_Wetland,Bareland
241,Cropland,Grassland,NULL,Non_Wetland,Built-up
242,Cropland,Grassland,NULL,Non_Wetland,Forest
243,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
244,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
245,Cropland,Cropland,NULL,Non_Wetland,Grassland
246,Cropland,Cropland,NULL,Non_Wetland,Cropland
247,Cropland,Cropland,NULL,Non_Wetland,Wetland
248,Cropland,Cropland,NULL,Non_Wetland,Bareland
249,Cropland,Cropland,NULL,Non_Wetland,Forest
250,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
251,Cropland,Wetland,NULL,Wetland,NULL
252,Cropland,Wetland,NULL,Wetland,Grassland
253,Cropland,Wetland,NULL,Wetland,Wetland
254,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
255,Cropland,Wetland,NULL,Wetland,Bareland
256,Cropland,Wetland,NULL,Wetland,Built-up
257,Cropland,Wetland,NULL,Wetland,Forest
258,Cropland,Wetland,Non_Water,Wetland,NULL
259,Cropland,Wetland,Non_Water,Wetland,Grassland
260,Cropland,Wetland,Non_Water,Wetland,Cropland
261,Cropland,Wetland,Non_Water,Wetland,Wetland
