Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VCG_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VCG_M_R,SIBERIA_2024_GSW_Yearly_2021_43VCG_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R,SIBERIA_2024_WorldCover_2021_43VCG_M_R
0,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
4,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,Non_Wetland,Water
7,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,Non_Water,Non_Wetland,NULL
9,NULL,NULL,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,NULL
13,NULL,NULL,Water,Non_Wetland,Grassland
14,NULL,NULL,Water,Non_Wetland,Wetland
15,NULL,NULL,Water,Non_Wetland,Bareland
16,NULL,NULL,Water,Non_Wetland,Water
17,NULL,NULL,Water,Non_Wetland,Forest
18,NULL,Shrubland,NULL,Non_Wetland,NULL
19,NULL,Shrubland,NULL,Non_Wetland,Grassland
20,NULL,Shrubland,NULL,Non_Wetland,Wetland
21,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
22,NULL,Shrubland,NULL,Non_Wetland,Bareland
23,NULL,Shrubland,NULL,Non_Wetland,Built-up
24,NULL,Shrubland,NULL,Non_Wetland,Water
25,NULL,Shrubland,NULL,Non_Wetland,Forest
26,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
27,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
28,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
29,NULL,Shrubland,Non_Water,Non_Wetland,Forest
30,NULL,Shrubland,Water,Non_Wetland,Grassland
31,NULL,Shrubland,Water,Non_Wetland,Wetland
32,NULL,Shrubland,Water,Non_Wetland,Water
33,NULL,Shrubland,Water,Non_Wetland,Forest
34,NULL,Grassland,NULL,Non_Wetland,NULL
35,NULL,Grassland,NULL,Non_Wetland,Grassland
36,NULL,Grassland,NULL,Non_Wetland,Wetland
37,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
38,NULL,Grassland,NULL,Non_Wetland,Bareland
39,NULL,Grassland,NULL,Non_Wetland,Built-up
40,NULL,Grassland,NULL,Non_Wetland,Water
41,NULL,Grassland,NULL,Non_Wetland,Forest
42,NULL,Grassland,Non_Water,Non_Wetland,Grassland
43,NULL,Grassland,Non_Water,Non_Wetland,Wetland
44,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
45,NULL,Grassland,Non_Water,Non_Wetland,Bareland
46,NULL,Grassland,Non_Water,Non_Wetland,Water
47,NULL,Grassland,Non_Water,Non_Wetland,Forest
48,NULL,Grassland,Water,Non_Wetland,Grassland
49,NULL,Grassland,Water,Non_Wetland,Wetland
50,NULL,Grassland,Water,Non_Wetland,Bareland
51,NULL,Grassland,Water,Non_Wetland,Water
52,NULL,Cropland,NULL,Non_Wetland,NULL
53,NULL,Cropland,NULL,Non_Wetland,Grassland
54,NULL,Cropland,NULL,Non_Wetland,Cropland
55,NULL,Cropland,NULL,Non_Wetland,Wetland
56,NULL,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
57,NULL,Cropland,NULL,Non_Wetland,Bareland
58,NULL,Cropland,NULL,Non_Wetland,Built-up
59,NULL,Cropland,NULL,Non_Wetland,Water
60,NULL,Cropland,NULL,Non_Wetland,Forest
61,NULL,Cropland,Non_Water,Non_Wetland,Grassland
62,NULL,Cropland,Non_Water,Non_Wetland,Wetland
63,NULL,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
64,NULL,Cropland,Non_Water,Non_Wetland,Bareland
65,NULL,Cropland,Non_Water,Non_Wetland,Forest
66,NULL,Cropland,Water,Non_Wetland,Bareland
67,NULL,Cropland,Water,Non_Wetland,Water
68,NULL,Cropland,Water,Non_Wetland,Forest
69,NULL,Wetland,NULL,Wetland,NULL
70,NULL,Wetland,NULL,Wetland,Grassland
71,NULL,Wetland,NULL,Wetland,Cropland
72,NULL,Wetland,NULL,Wetland,Wetland
73,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
74,NULL,Wetland,NULL,Wetland,Bareland
75,NULL,Wetland,NULL,Wetland,Built-up
76,NULL,Wetland,NULL,Wetland,Water
77,NULL,Wetland,NULL,Wetland,Forest
78,NULL,Wetland,Non_Water,Wetland,NULL
79,NULL,Wetland,Non_Water,Wetland,Grassland
80,NULL,Wetland,Non_Water,Wetland,Wetland
81,NULL,Wetland,Non_Water,Wetland,Water
82,NULL,Wetland,Non_Water,Wetland,Forest
83,NULL,Wetland,Water,Wetland,NULL
84,NULL,Wetland,Water,Wetland,Grassland
85,NULL,Wetland,Water,Wetland,Wetland
86,NULL,Wetland,Water,Wetland,Bareland
87,NULL,Wetland,Water,Wetland,Built-up
88,NULL,Wetland,Water,Wetland,Water
89,NULL,Wetland,Water,Wetland,Forest
90,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
91,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
92,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
93,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
94,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
95,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
96,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
97,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
98,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
99,NULL,Bareland,NULL,Non_Wetland,NULL
100,NULL,Bareland,NULL,Non_Wetland,Grassland
101,NULL,Bareland,NULL,Non_Wetland,Cropland
102,NULL,Bareland,NULL,Non_Wetland,Wetland
103,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
104,NULL,Bareland,NULL,Non_Wetland,Bareland
105,NULL,Bareland,NULL,Non_Wetland,Built-up
106,NULL,Bareland,NULL,Non_Wetland,Water
107,NULL,Bareland,NULL,Non_Wetland,Forest
108,NULL,Bareland,Non_Water,Non_Wetland,NULL
109,NULL,Bareland,Non_Water,Non_Wetland,Grassland
110,NULL,Bareland,Non_Water,Non_Wetland,Wetland
111,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
112,NULL,Bareland,Non_Water,Non_Wetland,Bareland
113,NULL,Bareland,Non_Water,Non_Wetland,Built-up
114,NULL,Bareland,Non_Water,Non_Wetland,Water
115,NULL,Bareland,Non_Water,Non_Wetland,Forest
116,NULL,Bareland,Water,Non_Wetland,Grassland
117,NULL,Bareland,Water,Non_Wetland,Wetland
118,NULL,Bareland,Water,Non_Wetland,Bareland
119,NULL,Bareland,Water,Non_Wetland,Built-up
120,NULL,Bareland,Water,Non_Wetland,Water
121,NULL,Bareland,Water,Non_Wetland,Forest
122,NULL,Built-up,NULL,Non_Wetland,NULL
123,NULL,Built-up,NULL,Non_Wetland,Grassland
124,NULL,Built-up,NULL,Non_Wetland,Wetland
125,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
126,NULL,Built-up,NULL,Non_Wetland,Bareland
127,NULL,Built-up,NULL,Non_Wetland,Built-up
128,NULL,Built-up,NULL,Non_Wetland,Water
129,NULL,Built-up,NULL,Non_Wetland,Forest
130,NULL,Built-up,Non_Water,Non_Wetland,Grassland
131,NULL,Built-up,Non_Water,Non_Wetland,Wetland
132,NULL,Built-up,Non_Water,Non_Wetland,Built-up
133,NULL,Built-up,Non_Water,Non_Wetland,Water
134,NULL,Built-up,Non_Water,Non_Wetland,Forest
135,NULL,Built-up,Water,Non_Wetland,Grassland
136,NULL,Built-up,Water,Non_Wetland,Bareland
137,NULL,Built-up,Water,Non_Wetland,Built-up
138,NULL,Water,NULL,Water,NULL
139,NULL,Water,NULL,Water,Grassland
140,NULL,Water,NULL,Water,Wetland
141,NULL,Water,NULL,Water,Bareland
142,NULL,Water,NULL,Water,Built-up
143,NULL,Water,NULL,Water,Water
144,NULL,Water,NULL,Water,Forest
145,NULL,Water,Non_Water,Water,Grassland
146,NULL,Water,Non_Water,Water,Wetland
147,NULL,Water,Non_Water,Water,Lichens_and_Mosses
148,NULL,Water,Non_Water,Water,Forest
149,NULL,Water,Water,Water,NULL
150,NULL,Water,Water,Water,Grassland
151,NULL,Water,Water,Water,Wetland
152,NULL,Water,Water,Water,Bareland
153,NULL,Water,Water,Water,Water
154,NULL,Water,Water,Water,Forest
155,NULL,Forest,NULL,Non_Wetland,NULL
156,NULL,Forest,NULL,Non_Wetland,Grassland
157,NULL,Forest,NULL,Non_Wetland,Cropland
158,NULL,Forest,NULL,Non_Wetland,Wetland
159,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
160,NULL,Forest,NULL,Non_Wetland,Bareland
161,NULL,Forest,NULL,Non_Wetland,Built-up
162,NULL,Forest,NULL,Non_Wetland,Water
163,NULL,Forest,NULL,Non_Wetland,Forest
164,NULL,Forest,Non_Water,Non_Wetland,NULL
165,NULL,Forest,Non_Water,Non_Wetland,Grassland
166,NULL,Forest,Non_Water,Non_Wetland,Wetland
167,NULL,Forest,Non_Water,Non_Wetland,Forest
168,NULL,Forest,Water,Non_Wetland,NULL
169,NULL,Forest,Water,Non_Wetland,Grassland
170,NULL,Forest,Water,Non_Wetland,Wetland
171,NULL,Forest,Water,Non_Wetland,Water
172,NULL,Forest,Water,Non_Wetland,Forest
173,Cropland,NULL,NULL,Non_Wetland,NULL
174,Cropland,NULL,NULL,Non_Wetland,Grassland
175,Cropland,NULL,NULL,Non_Wetland,Forest
176,Cropland,Shrubland,NULL,Non_Wetland,NULL
177,Cropland,Shrubland,NULL,Non_Wetland,Grassland
178,Cropland,Shrubland,NULL,Non_Wetland,Wetland
179,Cropland,Shrubland,NULL,Non_Wetland,Bareland
180,Cropland,Shrubland,NULL,Non_Wetland,Forest
181,Cropland,Grassland,NULL,Non_Wetland,Grassland
182,Cropland,Grassland,NULL,Non_Wetland,Wetland
183,Cropland,Grassland,NULL,Non_Wetland,Forest
184,Cropland,Cropland,NULL,Non_Wetland,Grassland
185,Cropland,Cropland,NULL,Non_Wetland,Wetland
186,Cropland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
187,Cropland,Cropland,NULL,Non_Wetland,Bareland
188,Cropland,Cropland,NULL,Non_Wetland,Forest
189,Cropland,Wetland,NULL,Wetland,NULL
190,Cropland,Wetland,NULL,Wetland,Grassland
191,Cropland,Wetland,NULL,Wetland,Wetland
192,Cropland,Wetland,NULL,Wetland,Bareland
193,Cropland,Wetland,NULL,Wetland,Built-up
194,Cropland,Wetland,NULL,Wetland,Water
195,Cropland,Wetland,NULL,Wetland,Forest
196,Cropland,Wetland,Non_Water,Wetland,Built-up
197,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
198,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
199,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
200,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
201,Cropland,Bareland,NULL,Non_Wetland,NULL
202,Cropland,Bareland,NULL,Non_Wetland,Grassland
203,Cropland,Bareland,NULL,Non_Wetland,Wetland
204,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
205,Cropland,Bareland,NULL,Non_Wetland,Bareland
206,Cropland,Bareland,NULL,Non_Wetland,Built-up
207,Cropland,Bareland,NULL,Non_Wetland,Water
208,Cropland,Bareland,NULL,Non_Wetland,Forest
209,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
210,Cropland,Built-up,NULL,Non_Wetland,Grassland
211,Cropland,Built-up,NULL,Non_Wetland,Wetland
212,Cropland,Built-up,NULL,Non_Wetland,Bareland
213,Cropland,Built-up,NULL,Non_Wetland,Built-up
214,Cropland,Built-up,NULL,Non_Wetland,Forest
215,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
216,Cropland,Forest,NULL,Non_Wetland,NULL
217,Cropland,Forest,NULL,Non_Wetland,Grassland
218,Cropland,Forest,NULL,Non_Wetland,Wetland
219,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
220,Cropland,Forest,NULL,Non_Wetland,Bareland
221,Cropland,Forest,NULL,Non_Wetland,Forest
222,Wetland,NULL,NULL,Non_Wetland,NULL
223,Wetland,NULL,NULL,Non_Wetland,Grassland
224,Wetland,NULL,NULL,Non_Wetland,Wetland
225,Wetland,NULL,NULL,Non_Wetland,Bareland
226,Wetland,NULL,NULL,Non_Wetland,Water
227,Wetland,NULL,NULL,Non_Wetland,Forest
228,Wetland,NULL,Non_Water,Non_Wetland,NULL
229,Wetland,NULL,Non_Water,Non_Wetland,Grassland
230,Wetland,NULL,Non_Water,Non_Wetland,Wetland
231,Wetland,NULL,Non_Water,Non_Wetland,Water
232,Wetland,NULL,Non_Water,Non_Wetland,Forest
233,Wetland,NULL,Water,Non_Wetland,Grassland
234,Wetland,NULL,Water,Non_Wetland,Wetland
235,Wetland,NULL,Water,Non_Wetland,Water
236,Wetland,NULL,Water,Non_Wetland,Forest
237,Wetland,Shrubland,NULL,Non_Wetland,NULL
238,Wetland,Shrubland,NULL,Non_Wetland,Grassland
239,Wetland,Shrubland,NULL,Non_Wetland,Wetland
240,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
241,Wetland,Shrubland,NULL,Non_Wetland,Bareland
242,Wetland,Shrubland,NULL,Non_Wetland,Built-up
243,Wetland,Shrubland,NULL,Non_Wetland,Water
244,Wetland,Shrubland,NULL,Non_Wetland,Forest
245,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
246,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
247,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
248,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
249,Wetland,Shrubland,Non_Water,Non_Wetland,Water
250,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
251,Wetland,Shrubland,Water,Non_Wetland,Grassland
252,Wetland,Shrubland,Water,Non_Wetland,Wetland
253,Wetland,Shrubland,Water,Non_Wetland,Water
254,Wetland,Shrubland,Water,Non_Wetland,Forest
255,Wetland,Grassland,NULL,Non_Wetland,NULL
256,Wetland,Grassland,NULL,Non_Wetland,Grassland
257,Wetland,Grassland,NULL,Non_Wetland,Wetland
258,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
259,Wetland,Grassland,NULL,Non_Wetland,Bareland
260,Wetland,Grassland,NULL,Non_Wetland,Built-up
261,Wetland,Grassland,NULL,Non_Wetland,Water
262,Wetland,Grassland,NULL,Non_Wetland,Forest
263,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
