Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVV_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVV_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVV_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVV_M_R,SIBERIA_2024_WorldCover_2021_42WVV_M_R
0,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,Non_Wetland,Wetland
2,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Non_Water,Non_Wetland,Bareland
10,NULL,NULL,Non_Water,Non_Wetland,Water
11,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,Water,Non_Wetland,Wetland
14,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
15,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Water,Non_Wetland,Forest
17,NULL,Shrubland,NULL,Non_Wetland,NULL
18,NULL,Shrubland,NULL,Non_Wetland,Grassland
19,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
26,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
27,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
28,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
29,NULL,Shrubland,Non_Water,Non_Wetland,Water
30,NULL,Shrubland,Non_Water,Non_Wetland,Forest
31,NULL,Shrubland,Water,Non_Wetland,Grassland
32,NULL,Shrubland,Water,Non_Wetland,Wetland
33,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
34,NULL,Shrubland,Water,Non_Wetland,Bareland
35,NULL,Shrubland,Water,Non_Wetland,Water
36,NULL,Shrubland,Water,Non_Wetland,Forest
37,NULL,Grassland,NULL,Non_Wetland,NULL
38,NULL,Grassland,NULL,Non_Wetland,Grassland
39,NULL,Grassland,NULL,Non_Wetland,Wetland
40,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
41,NULL,Grassland,NULL,Non_Wetland,Bareland
42,NULL,Grassland,NULL,Non_Wetland,Built-up
43,NULL,Grassland,NULL,Non_Wetland,Water
44,NULL,Grassland,NULL,Non_Wetland,Forest
45,NULL,Grassland,Non_Water,Non_Wetland,Grassland
46,NULL,Grassland,Non_Water,Non_Wetland,Wetland
47,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
48,NULL,Grassland,Non_Water,Non_Wetland,Water
49,NULL,Grassland,Non_Water,Non_Wetland,Forest
50,NULL,Grassland,Water,Non_Wetland,Grassland
51,NULL,Grassland,Water,Non_Wetland,Wetland
52,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
53,NULL,Grassland,Water,Non_Wetland,Bareland
54,NULL,Grassland,Water,Non_Wetland,Water
55,NULL,Grassland,Water,Non_Wetland,Forest
56,NULL,Wetland,NULL,NULL,Grassland
57,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
58,NULL,Wetland,NULL,NULL,Forest
59,NULL,Wetland,NULL,Wetland,Grassland
60,NULL,Wetland,NULL,Wetland,Wetland
61,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
62,NULL,Wetland,NULL,Wetland,Bareland
63,NULL,Wetland,NULL,Wetland,Built-up
64,NULL,Wetland,NULL,Wetland,Water
65,NULL,Wetland,NULL,Wetland,Forest
66,NULL,Wetland,Non_Water,NULL,Grassland
67,NULL,Wetland,Non_Water,Wetland,Grassland
68,NULL,Wetland,Non_Water,Wetland,Wetland
69,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
70,NULL,Wetland,Non_Water,Wetland,Bareland
71,NULL,Wetland,Non_Water,Wetland,Water
72,NULL,Wetland,Non_Water,Wetland,Forest
73,NULL,Wetland,Water,NULL,Grassland
74,NULL,Wetland,Water,NULL,Wetland
75,NULL,Wetland,Water,NULL,Forest
76,NULL,Wetland,Water,Wetland,Grassland
77,NULL,Wetland,Water,Wetland,Wetland
78,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
79,NULL,Wetland,Water,Wetland,Bareland
80,NULL,Wetland,Water,Wetland,Water
81,NULL,Wetland,Water,Wetland,Forest
82,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
83,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
84,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
85,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
86,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
87,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
88,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
89,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
90,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
91,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
92,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
93,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
94,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
95,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
96,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
97,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
98,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
99,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
100,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
101,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
102,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
103,NULL,Bareland,NULL,Non_Wetland,NULL
104,NULL,Bareland,NULL,Non_Wetland,Grassland
105,NULL,Bareland,NULL,Non_Wetland,Wetland
106,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
107,NULL,Bareland,NULL,Non_Wetland,Bareland
108,NULL,Bareland,NULL,Non_Wetland,Built-up
109,NULL,Bareland,NULL,Non_Wetland,Water
110,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
111,NULL,Bareland,NULL,Non_Wetland,Forest
112,NULL,Bareland,Non_Water,Non_Wetland,Grassland
113,NULL,Bareland,Non_Water,Non_Wetland,Wetland
114,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
115,NULL,Bareland,Non_Water,Non_Wetland,Bareland
116,NULL,Bareland,Non_Water,Non_Wetland,Water
117,NULL,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
118,NULL,Bareland,Non_Water,Non_Wetland,Forest
119,NULL,Bareland,Water,Non_Wetland,Grassland
120,NULL,Bareland,Water,Non_Wetland,Wetland
121,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
122,NULL,Bareland,Water,Non_Wetland,Bareland
123,NULL,Bareland,Water,Non_Wetland,Water
124,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
125,NULL,Bareland,Water,Non_Wetland,Forest
126,NULL,Built-up,NULL,Non_Wetland,Grassland
127,NULL,Built-up,NULL,Non_Wetland,Wetland
128,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
129,NULL,Built-up,NULL,Non_Wetland,Bareland
130,NULL,Built-up,NULL,Non_Wetland,Built-up
131,NULL,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
132,NULL,Built-up,NULL,Non_Wetland,Forest
133,NULL,Built-up,Non_Water,Non_Wetland,Grassland
134,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
135,NULL,Built-up,Non_Water,Non_Wetland,Built-up
136,NULL,Built-up,Water,Non_Wetland,Grassland
137,NULL,Built-up,Water,Non_Wetland,Wetland
138,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
139,NULL,Built-up,Water,Non_Wetland,Bareland
140,NULL,Built-up,Water,Non_Wetland,Built-up
141,NULL,Built-up,Water,Non_Wetland,Water
142,NULL,Built-up,Water,Non_Wetland,Forest
143,NULL,Water,NULL,Water,Grassland
144,NULL,Water,NULL,Water,Wetland
145,NULL,Water,NULL,Water,Lichens_and_Mosses
146,NULL,Water,NULL,Water,Bareland
147,NULL,Water,NULL,Water,Water
148,NULL,Water,NULL,Water,Permanent_ice_and_snow
149,NULL,Water,NULL,Water,Forest
150,NULL,Water,Non_Water,Water,Grassland
151,NULL,Water,Non_Water,Water,Wetland
152,NULL,Water,Non_Water,Water,Lichens_and_Mosses
153,NULL,Water,Non_Water,Water,Bareland
154,NULL,Water,Non_Water,Water,Water
155,NULL,Water,Non_Water,Water,Forest
156,NULL,Water,Water,NULL,Bareland
157,NULL,Water,Water,NULL,Permanent_ice_and_snow
158,NULL,Water,Water,Water,Grassland
159,NULL,Water,Water,Water,Wetland
160,NULL,Water,Water,Water,Lichens_and_Mosses
161,NULL,Water,Water,Water,Bareland
162,NULL,Water,Water,Water,Water
163,NULL,Water,Water,Water,Forest
164,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
165,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
166,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
