Value,SIBERIA_2024_ESA_CALU_2024_42XXF_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42XXF_M_R,SIBERIA_2024_GLC_FCS30D_2022_42XXF_M_R,SIBERIA_2024_GSW_Yearly_2021_42XXF_M_R,SIBERIA_2024_GWL_FCS30D_2022_42XXF_M_R,SIBERIA_2024_WorldCover_2021_42XXF_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
8,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Water
13,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
16,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
17,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
18,NULL,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
19,NULL,NULL,Wetland,NULL,NULL,NULL
20,NULL,NULL,Wetland,NULL,NULL,Grassland
21,NULL,NULL,Wetland,NULL,NULL,Wetland
22,NULL,NULL,Wetland,NULL,Wetland,Grassland
23,NULL,NULL,Wetland,NULL,Wetland,Wetland
24,NULL,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
25,NULL,NULL,Wetland,NULL,Wetland,Bareland
26,NULL,NULL,Wetland,NULL,Wetland,Water
27,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
28,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
29,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
30,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
31,NULL,NULL,Wetland,Non_Water,Wetland,Water
32,NULL,NULL,Wetland,Water,NULL,Water
33,NULL,NULL,Wetland,Water,Wetland,Grassland
34,NULL,NULL,Wetland,Water,Wetland,Wetland
35,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
36,NULL,NULL,Wetland,Water,Wetland,Bareland
37,NULL,NULL,Wetland,Water,Wetland,Water
38,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
39,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
40,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
43,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
44,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
45,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
46,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
47,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
48,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
49,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
50,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
51,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
52,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
53,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
56,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Water
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
63,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
64,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
65,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
66,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
67,NULL,NULL,Bareland,Water,Non_Wetland,Water
68,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
71,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Water
73,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
74,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
75,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
76,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
78,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
79,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
80,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
81,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
82,NULL,NULL,Built-up,Water,Non_Wetland,Water
83,NULL,NULL,Water,NULL,NULL,NULL
84,NULL,NULL,Water,NULL,NULL,Water
85,NULL,NULL,Water,NULL,Water,Grassland
86,NULL,NULL,Water,NULL,Water,Wetland
87,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
88,NULL,NULL,Water,NULL,Water,Bareland
89,NULL,NULL,Water,NULL,Water,Water
90,NULL,NULL,Water,Non_Water,Water,Grassland
91,NULL,NULL,Water,Non_Water,Water,Wetland
92,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
93,NULL,NULL,Water,Non_Water,Water,Bareland
94,NULL,NULL,Water,Water,NULL,Water
95,NULL,NULL,Water,Water,Water,Grassland
96,NULL,NULL,Water,Water,Water,Wetland
97,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
98,NULL,NULL,Water,Water,Water,Bareland
99,NULL,NULL,Water,Water,Water,Water
100,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
101,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
102,NULL,NULL,Forest,Water,Non_Wetland,Wetland
103,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
104,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
105,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
106,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
107,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
108,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
109,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
110,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
111,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
112,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
113,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
114,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
115,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
116,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
117,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
118,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
119,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
120,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
121,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
122,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
123,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
124,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
125,NULL,Wetland,Wetland,NULL,NULL,Wetland
126,NULL,Wetland,Wetland,NULL,Wetland,Grassland
127,NULL,Wetland,Wetland,NULL,Wetland,Wetland
128,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
129,NULL,Wetland,Wetland,NULL,Wetland,Bareland
130,NULL,Wetland,Wetland,NULL,Wetland,Water
131,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
132,NULL,Wetland,Wetland,Non_Water,NULL,Water
133,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
134,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
135,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
136,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
137,NULL,Wetland,Wetland,Non_Water,Wetland,Water
138,NULL,Wetland,Wetland,Water,NULL,Wetland
139,NULL,Wetland,Wetland,Water,NULL,Water
140,NULL,Wetland,Wetland,Water,Wetland,Grassland
141,NULL,Wetland,Wetland,Water,Wetland,Wetland
142,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
143,NULL,Wetland,Wetland,Water,Wetland,Bareland
144,NULL,Wetland,Wetland,Water,Wetland,Water
145,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
146,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
147,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
149,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
150,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
151,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
152,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
153,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
154,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
155,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
156,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
157,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
158,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
159,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
160,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
161,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
162,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
163,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
164,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
165,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
166,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
167,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
168,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
169,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
170,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
171,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
172,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
173,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
174,NULL,Wetland,Bareland,Water,Non_Wetland,Water
175,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
176,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
177,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
178,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
179,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
180,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
181,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
182,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
183,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
184,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
