Value,SIBERIA_2024_ESA_CALU_2024_42XWG_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42XWG_M_R,SIBERIA_2024_GLC_FCS30D_2022_42XWG_M_R,SIBERIA_2024_GSW_Yearly_2021_42XWG_M_R,SIBERIA_2024_GWL_FCS30D_2022_42XWG_M_R,SIBERIA_2024_WorldCover_2021_42XWG_M_R
41,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
42,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
43,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
44,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
45,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
47,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
48,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
49,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
50,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
51,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
52,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
53,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
54,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
59,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Water
61,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
67,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
68,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
69,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
70,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
71,NULL,NULL,Bareland,Water,Non_Wetland,Water
72,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
75,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Water
77,NULL,NULL,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
78,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
79,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
80,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
81,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
82,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
83,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
84,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
85,NULL,NULL,Built-up,Water,Non_Wetland,Water
86,NULL,NULL,Water,NULL,NULL,NULL
87,NULL,NULL,Water,NULL,NULL,Water
88,NULL,NULL,Water,NULL,Water,Grassland
89,NULL,NULL,Water,NULL,Water,Wetland
90,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
91,NULL,NULL,Water,NULL,Water,Bareland
92,NULL,NULL,Water,NULL,Water,Water
93,NULL,NULL,Water,Non_Water,Water,Grassland
94,NULL,NULL,Water,Non_Water,Water,Wetland
95,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
96,NULL,NULL,Water,Non_Water,Water,Bareland
97,NULL,NULL,Water,Non_Water,Water,Water
98,NULL,NULL,Water,Water,NULL,NULL
99,NULL,NULL,Water,Water,NULL,Wetland
100,NULL,NULL,Water,Water,NULL,Water
101,NULL,NULL,Water,Water,Water,Grassland
102,NULL,NULL,Water,Water,Water,Wetland
103,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
104,NULL,NULL,Water,Water,Water,Bareland
105,NULL,NULL,Water,Water,Water,Water
106,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
107,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
108,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
109,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
110,NULL,NULL,Forest,Water,Non_Wetland,Wetland
111,NULL,NULL,Forest,Water,Non_Wetland,Water
112,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
113,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
114,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
115,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
116,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
117,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
118,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
119,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
120,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
121,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
122,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
123,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
124,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
125,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
126,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
127,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
128,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
129,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
130,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
131,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
132,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
133,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
134,NULL,Wetland,Grassland,Water,Non_Wetland,Water
135,NULL,Wetland,Wetland,NULL,NULL,Grassland
136,NULL,Wetland,Wetland,NULL,NULL,Wetland
137,NULL,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
138,NULL,Wetland,Wetland,NULL,NULL,Bareland
139,NULL,Wetland,Wetland,NULL,NULL,Water
140,NULL,Wetland,Wetland,NULL,Wetland,Grassland
141,NULL,Wetland,Wetland,NULL,Wetland,Wetland
142,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
143,NULL,Wetland,Wetland,NULL,Wetland,Bareland
144,NULL,Wetland,Wetland,NULL,Wetland,Water
145,NULL,Wetland,Wetland,Non_Water,NULL,Grassland
146,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
147,NULL,Wetland,Wetland,Non_Water,NULL,Lichens_and_Mosses
148,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
149,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
150,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
151,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
152,NULL,Wetland,Wetland,Non_Water,Wetland,Water
153,NULL,Wetland,Wetland,Water,NULL,Grassland
154,NULL,Wetland,Wetland,Water,NULL,Wetland
155,NULL,Wetland,Wetland,Water,NULL,Lichens_and_Mosses
156,NULL,Wetland,Wetland,Water,NULL,Bareland
157,NULL,Wetland,Wetland,Water,NULL,Water
158,NULL,Wetland,Wetland,Water,Wetland,Grassland
159,NULL,Wetland,Wetland,Water,Wetland,Wetland
160,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
161,NULL,Wetland,Wetland,Water,Wetland,Bareland
162,NULL,Wetland,Wetland,Water,Wetland,Water
163,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
164,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
165,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
166,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
167,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
168,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
169,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
170,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
171,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
172,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
173,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
174,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
175,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
176,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
177,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
178,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
179,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
180,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
181,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
182,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
183,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
184,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
185,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
186,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
187,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
188,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
189,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
190,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
191,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
192,NULL,Wetland,Bareland,Water,Non_Wetland,Water
193,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
194,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
195,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
196,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
197,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
198,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
199,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
200,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
201,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
202,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
203,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
204,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
205,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
206,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
207,NULL,Wetland,Built-up,Water,Non_Wetland,Water
208,NULL,Wetland,Water,NULL,NULL,Wetland
209,NULL,Wetland,Water,NULL,NULL,Water
210,NULL,Wetland,Water,NULL,Water,Grassland
211,NULL,Wetland,Water,NULL,Water,Wetland
212,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
213,NULL,Wetland,Water,NULL,Water,Bareland
214,NULL,Wetland,Water,NULL,Water,Water
215,NULL,Wetland,Water,Non_Water,Water,Grassland
216,NULL,Wetland,Water,Non_Water,Water,Wetland
217,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
218,NULL,Wetland,Water,Non_Water,Water,Bareland
219,NULL,Wetland,Water,Non_Water,Water,Water
220,NULL,Wetland,Water,Water,NULL,Wetland
221,NULL,Wetland,Water,Water,NULL,Lichens_and_Mosses
222,NULL,Wetland,Water,Water,NULL,Water
223,NULL,Wetland,Water,Water,Water,Grassland
224,NULL,Wetland,Water,Water,Water,Wetland
225,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
226,NULL,Wetland,Water,Water,Water,Bareland
227,NULL,Wetland,Water,Water,Water,Water
228,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
229,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
230,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
231,NULL,Wetland,Forest,NULL,Non_Wetland,Water
232,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
233,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
234,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
235,NULL,Wetland,Forest,Water,Non_Wetland,Water
236,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
237,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
238,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
239,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
240,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
241,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
242,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
243,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
244,NULL,Bareland,Wetland,NULL,NULL,Bareland
245,NULL,Bareland,Wetland,NULL,NULL,Water
246,NULL,Bareland,Wetland,NULL,Wetland,Grassland
247,NULL,Bareland,Wetland,NULL,Wetland,Wetland
248,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
249,NULL,Bareland,Wetland,NULL,Wetland,Bareland
250,NULL,Bareland,Wetland,NULL,Wetland,Water
251,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
252,NULL,Bareland,Wetland,Non_Water,NULL,Water
253,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
254,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
255,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
256,NULL,Bareland,Wetland,Non_Water,Wetland,Water
257,NULL,Bareland,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
258,NULL,Bareland,Wetland,Water,NULL,Lichens_and_Mosses
259,NULL,Bareland,Wetland,Water,NULL,Bareland
260,NULL,Bareland,Wetland,Water,NULL,Water
261,NULL,Bareland,Wetland,Water,Wetland,Grassland
262,NULL,Bareland,Wetland,Water,Wetland,Wetland
263,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
264,NULL,Bareland,Wetland,Water,Wetland,Bareland
265,NULL,Bareland,Wetland,Water,Wetland,Water
266,NULL,Bareland,Wetland,Water,Wetland,Permanent_ice_and_snow
267,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
268,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
269,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
270,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
271,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
272,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
273,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
274,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
275,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
276,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
277,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
278,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
279,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
280,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
281,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
282,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
283,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
284,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
285,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
286,NULL,Bareland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
287,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
288,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
289,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
290,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
291,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
292,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
293,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
294,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
295,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
296,NULL,Bareland,Bareland,Water,Non_Wetland,Water
297,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
298,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
299,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
300,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
301,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
302,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
303,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
304,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
305,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
306,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
307,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
308,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
309,NULL,Bareland,Built-up,Water,Non_Wetland,Water
310,NULL,Bareland,Water,NULL,NULL,Water
311,NULL,Bareland,Water,NULL,Water,Grassland
312,NULL,Bareland,Water,NULL,Water,Wetland
313,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
314,NULL,Bareland,Water,NULL,Water,Bareland
315,NULL,Bareland,Water,NULL,Water,Water
316,NULL,Bareland,Water,Non_Water,NULL,Water
317,NULL,Bareland,Water,Non_Water,Water,Wetland
318,NULL,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
319,NULL,Bareland,Water,Non_Water,Water,Bareland
320,NULL,Bareland,Water,Non_Water,Water,Water
321,NULL,Bareland,Water,Water,NULL,Water
322,NULL,Bareland,Water,Water,Water,Grassland
323,NULL,Bareland,Water,Water,Water,Wetland
324,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
325,NULL,Bareland,Water,Water,Water,Bareland
326,NULL,Bareland,Water,Water,Water,Water
327,NULL,Bareland,Water,Water,Water,Permanent_ice_and_snow
328,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
329,NULL,Water,Shrubland,NULL,Non_Wetland,Water
330,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
331,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
332,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
333,NULL,Water,Shrubland,Water,Non_Wetland,Water
334,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
335,NULL,Water,Grassland,NULL,Non_Wetland,Water
336,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
337,NULL,Water,Grassland,Water,Non_Wetland,Wetland
338,NULL,Water,Wetland,NULL,NULL,Wetland
339,NULL,Water,Wetland,NULL,NULL,Bareland
340,NULL,Water,Wetland,NULL,NULL,Water
341,NULL,Water,Wetland,NULL,Wetland,Grassland
342,NULL,Water,Wetland,NULL,Wetland,Wetland
343,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
344,NULL,Water,Wetland,NULL,Wetland,Bareland
345,NULL,Water,Wetland,NULL,Wetland,Water
346,NULL,Water,Wetland,Non_Water,NULL,Lichens_and_Mosses
347,NULL,Water,Wetland,Non_Water,NULL,Bareland
348,NULL,Water,Wetland,Non_Water,NULL,Water
349,NULL,Water,Wetland,Non_Water,Wetland,Wetland
350,NULL,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
351,NULL,Water,Wetland,Non_Water,Wetland,Bareland
352,NULL,Water,Wetland,Non_Water,Wetland,Water
353,NULL,Water,Wetland,Water,NULL,Grassland
354,NULL,Water,Wetland,Water,NULL,Wetland
355,NULL,Water,Wetland,Water,NULL,Lichens_and_Mosses
356,NULL,Water,Wetland,Water,NULL,Bareland
357,NULL,Water,Wetland,Water,NULL,Water
358,NULL,Water,Wetland,Water,Wetland,Grassland
359,NULL,Water,Wetland,Water,Wetland,Wetland
360,NULL,Water,Wetland,Water,Wetland,Lichens_and_Mosses
361,NULL,Water,Wetland,Water,Wetland,Bareland
362,NULL,Water,Wetland,Water,Wetland,Water
363,NULL,Water,Wetland,Water,Wetland,Permanent_ice_and_snow
364,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
365,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
366,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
367,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
368,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
369,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
370,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
371,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
372,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
373,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
374,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
375,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
376,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
377,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
378,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
379,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
380,NULL,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
381,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
382,NULL,Water,Bareland,NULL,Non_Wetland,Water
383,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
384,NULL,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
385,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
386,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
387,NULL,Water,Bareland,Water,Non_Wetland,Grassland
388,NULL,Water,Bareland,Water,Non_Wetland,Wetland
389,NULL,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
390,NULL,Water,Bareland,Water,Non_Wetland,Bareland
391,NULL,Water,Bareland,Water,Non_Wetland,Water
392,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
393,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
394,NULL,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
395,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
396,NULL,Water,Built-up,NULL,Non_Wetland,Water
397,NULL,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
398,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
399,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
400,NULL,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
401,NULL,Water,Built-up,Water,Non_Wetland,Bareland
402,NULL,Water,Built-up,Water,Non_Wetland,Water
403,NULL,Water,Water,NULL,NULL,Lichens_and_Mosses
404,NULL,Water,Water,NULL,NULL,Bareland
405,NULL,Water,Water,NULL,NULL,Water
406,NULL,Water,Water,NULL,Water,Grassland
407,NULL,Water,Water,NULL,Water,Wetland
408,NULL,Water,Water,NULL,Water,Lichens_and_Mosses
409,NULL,Water,Water,NULL,Water,Bareland
410,NULL,Water,Water,NULL,Water,Water
411,NULL,Water,Water,Non_Water,NULL,Bareland
412,NULL,Water,Water,Non_Water,NULL,Water
413,NULL,Water,Water,Non_Water,Water,Wetland
414,NULL,Water,Water,Non_Water,Water,Lichens_and_Mosses
415,NULL,Water,Water,Non_Water,Water,Bareland
416,NULL,Water,Water,Non_Water,Water,Water
417,NULL,Water,Water,Water,NULL,Wetland
418,NULL,Water,Water,Water,NULL,Lichens_and_Mosses
